coin,timeframe,signal,filters,tp_sl_type,params,positive_periods,total_periods,avg_return,min_return,avg_sharpe,consistency,total_trades,recent_3m_ret,recent_3m_wr,recent_3m_trades,bear_2025q4_ret,bear_2025q4_wr,bear_2025q4_trades,bull_2025q3_ret,bull_2025q3_wr,bull_2025q3_trades,bull_2024h2_ret,bull_2024h2_wr,bull_2024h2_trades,bear_2024h1_ret,bear_2024h1_wr,bear_2024h1_trades,bull_2023_ret,bull_2023_wr,bull_2023_trades
ETH,1h,bb_squeeze_break,ema200+rsi_range,atr,ATR3.0x1.0,4,5,27.02,-4.93,0.581,0.465,207,,,,27.14,38.5,13.0,24.16,31.6,19,4.51,26.8,41,-4.93,28.6,49,84.22,34.1,85
ETH,1h,bb_squeeze_break,ema200+rsi_range,atr,ATR4.0x1.0,5,5,21.75,4.6,0.443,0.443,199,,,,25.51,30.8,13.0,25.19,26.3,19,4.6,22.5,40,15.24,27.9,43,38.19,26.2,84
ETH,15m,ema_cross_9_21,ema200+vol_spike+macd_pos,fixed,TP5SL2,5,6,31.96,-47.36,0.515,0.429,316,23.27,55.0,20.0,22.24,42.9,21.0,114.42,61.8,34,-47.36,44.1,59,78.97,48.3,58,0.21,37.1,124
ETH,15m,ema_cross_9_21,ema200+vol_spike,fixed,TP5SL2,5,6,31.96,-47.36,0.515,0.429,316,23.27,55.0,20.0,22.24,42.9,21.0,114.42,61.8,34,-47.36,44.1,59,78.97,48.3,58,0.21,37.1,124
BTC,1h,stoch_oversold,ema200+rsi_range+macd_pos,fixed,TP5SL2,4,5,46.28,-39.93,0.507,0.405,160,-39.93,12.5,8.0,,,,25.76,80.0,15,31.08,39.5,43,77.02,48.4,31,137.47,47.6,63
BTC,1h,stoch_oversold,ema200+rsi_range+macd_pos,fixed,TP4SL1,4,5,41.19,-37.93,0.435,0.348,177,-37.93,11.1,9.0,,,,32.02,75.0,16,27.14,34.8,46,52.75,40.5,37,131.99,43.5,69
ETH,15m,ema_cross_9_21,ema200+vol_spike+bb_not_wide,fixed,TP5SL2,4,6,27.13,-30.43,0.509,0.339,277,24.01,53.3,15.0,43.92,47.1,17.0,85.79,59.4,32,-30.43,45.3,53,57.36,46.3,54,-17.87,36.8,106
BTC,1h,bb_squeeze_break,ema200+rsi_range+macd_pos,fixed,TP5SL2,4,5,45.87,-48.55,0.359,0.287,135,-48.55,18.2,11.0,,,,24.53,61.5,13,124.49,55.2,29,16.54,37.5,24,112.32,50.0,58
ETH,15m,ema_cross_9_21,ema200+vol_spike+rsi_range,fixed,TP3SL1,5,6,13.84,-21.84,0.336,0.28,149,19.98,46.2,13.0,14.47,41.7,12.0,2.76,40.0,15,-21.84,32.0,25,38.26,43.3,30,29.44,38.9,54
ETH,1h,bb_squeeze_break,ema200,atr,ATR3.0x1.0,4,6,19.94,-15.09,0.397,0.265,240,6.3,44.4,9.0,16.66,33.3,15.0,27.14,33.3,24,-13.54,25.0,44,-15.09,27.4,51,98.17,35.0,97
ETH,1h,bb_squeeze_break,ema200+bb_not_wide,atr,ATR3.0x1.0,4,6,19.94,-15.09,0.397,0.265,240,6.3,44.4,9.0,16.66,33.3,15.0,27.14,33.3,24,-13.54,25.0,44,-15.09,27.4,51,98.17,35.0,97
BTC,1h,macd_cross,ema200+vol_spike+bb_not_wide,fixed,TP4SL1,4,5,26.68,-24.73,0.33,0.264,128,-24.73,20.0,10.0,,,,35.19,58.3,12,7.99,32.4,34,17.98,43.5,23,96.96,42.9,49
ETH,15m,ema_cross_9_21,ema200+vol_spike+rsi_range,fixed,TP5SL2,4,6,19.37,-26.98,0.364,0.242,145,52.3,58.3,12.0,29.17,41.7,12.0,-14.94,46.7,15,-26.98,37.5,24,5.87,42.9,28,70.8,46.3,54
ETH,1h,bb_squeeze_break,ema200+macd_pos,atr,ATR3.0x1.0,4,6,16.02,-34.88,0.303,0.202,229,6.3,44.4,9.0,16.66,33.3,15.0,20.69,33.3,21,-27.25,23.8,42,-34.88,25.0,48,114.57,36.2,94
ETH,1h,bb_squeeze_break,ema200+rsi_range,atr,ATR3.0x1.5,4,5,9.62,-44.89,0.235,0.188,177,,,,20.75,41.7,12.0,24.2,37.5,16,5.01,35.3,34,-44.89,31.0,42,43.02,38.4,73
ETH,15m,ema_cross_9_21,ema200+vol_spike+rsi_range,fixed,TP4SL1,4,6,12.68,-30.84,0.247,0.165,147,21.83,46.2,13.0,24.17,41.7,12.0,-3.44,46.7,15,-30.84,33.3,24,6.17,44.8,29,58.19,44.4,54
BTC,1h,macd_cross,ema200+vol_spike+macd_pos,fixed,TP5SL2,4,5,22.62,-16.89,0.201,0.16,138,-16.89,22.2,9.0,,,,2.26,53.8,13,25.85,35.3,34,41.46,44.4,27,60.44,40.0,55
BTC,1h,macd_cross,ema200+vol_spike,fixed,TP5SL2,4,5,22.62,-16.89,0.201,0.16,138,-16.89,22.2,9.0,,,,2.26,53.8,13,25.85,35.3,34,41.46,44.4,27,60.44,40.0,55
BTC,1h,macd_cross,ema200+vol_spike+macd_pos,atr,ATR3.0x1.5,4,6,14.83,-20.39,0.062,0.041,173,-0.5,41.7,12.0,-20.39,25.0,8.0,2.13,46.7,15,17.64,38.5,39,46.96,48.5,33,43.14,39.4,66
BTC,1h,macd_cross,ema200+vol_spike,atr,ATR3.0x1.5,4,6,14.83,-20.39,0.062,0.041,173,-0.5,41.7,12.0,-20.39,25.0,8.0,2.13,46.7,15,17.64,38.5,39,46.96,48.5,33,43.14,39.4,66
ETH,1h,bb_squeeze_break,ema200,atr,ATR4.0x1.0,4,6,13.48,-22.7,0.052,0.035,231,-22.7,22.2,9.0,15.02,26.7,15.0,35.85,29.2,24,-13.45,20.9,43,5.08,26.7,45,61.1,27.4,95
ETH,1h,bb_squeeze_break,ema200+bb_not_wide,atr,ATR4.0x1.0,4,6,13.48,-22.7,0.052,0.035,231,-22.7,22.2,9.0,15.02,26.7,15.0,35.85,29.2,24,-13.45,20.9,43,5.08,26.7,45,61.1,27.4,95
BTC,1h,bb_squeeze_break,ema200+macd_pos,fixed,TP5SL2,4,6,37.52,-48.55,-0.036,-0.024,160,-48.55,18.2,11.0,-43.56,12.5,8.0,22.26,56.2,16,115.58,54.6,33,45.8,42.3,26,133.61,50.0,66
BTC,1h,stoch_oversold,ema200+rsi_range,fixed,TP5SL2,4,6,19.84,-50.8,-0.057,-0.038,210,-11.7,33.3,9.0,-50.8,12.5,8.0,36.52,60.0,20,1.95,37.2,51,23.69,43.9,41,119.41,48.2,81
ETH,1h,macd_cross,ema200+vol_spike,fixed,TP5SL2,4,6,26.13,-58.15,-0.067,-0.045,129,-49.79,22.2,9.0,-58.15,18.2,11.0,63.0,42.9,14,30.95,44.0,25,88.44,45.8,24,82.35,39.1,46
ETH,1h,macd_cross,ema200+vol_spike+macd_pos,fixed,TP5SL2,4,6,26.13,-58.15,-0.067,-0.045,129,-49.79,22.2,9.0,-58.15,18.2,11.0,63.0,42.9,14,30.95,44.0,25,88.44,45.8,24,82.35,39.1,46
BTC,1h,macd_cross,ema200+vol_spike,fixed,TP4SL1,4,6,19.81,-38.38,-0.089,-0.059,153,-24.73,20.0,10.0,-38.38,25.0,8.0,39.61,61.5,13,11.49,32.4,37,5.48,39.3,28,125.39,43.9,57
BTC,1h,macd_cross,ema200+vol_spike+macd_pos,fixed,TP4SL1,4,6,19.81,-38.38,-0.089,-0.059,153,-24.73,20.0,10.0,-38.38,25.0,8.0,39.61,61.5,13,11.49,32.4,37,5.48,39.3,28,125.39,43.9,57
BTC,1h,stoch_oversold,ema200+bb_not_wide,fixed,TP5SL2,4,6,23.4,-61.3,-0.093,-0.062,188,-22.2,30.0,10.0,-61.3,11.1,9.0,12.33,47.1,17,80.39,43.2,44,83.46,51.4,35,47.73,43.8,73
BTC,1h,stoch_oversold,ema200+rsi_range+macd_pos,atr,ATR3.0x1.5,4,6,9.85,-31.71,-0.097,-0.065,234,-31.71,18.2,11.0,7.28,50.0,8.0,-8.33,40.7,27,34.48,38.9,54,7.64,38.3,47,49.74,39.1,87
ETH,1h,macd_cross,ema200+vol_spike+bb_not_wide,fixed,TP5SL2,4,6,21.29,-58.15,-0.123,-0.082,117,-49.79,22.2,9.0,-58.15,18.2,11.0,24.5,36.4,11,41.45,45.8,24,74.44,45.4,22,95.29,42.5,40
BTC,1h,bb_squeeze_break,ema200,fixed,TP5SL2,4,6,32.11,-51.45,-0.128,-0.085,168,-51.45,18.2,11.0,-42.42,12.5,8.0,27.56,52.9,17,94.58,51.4,35,21.7,37.9,29,142.68,50.0,68
BTC,1h,bb_squeeze_break,ema200+rsi_range,fixed,TP5SL2,4,6,27.15,-51.45,-0.152,-0.101,149,-51.45,18.2,11.0,-42.42,12.5,8.0,22.1,53.8,13,103.49,51.6,31,14.5,38.5,26,116.67,50.0,60
BTC,1h,ema50_pullback,ema200+rsi_range+macd_pos,fixed,TP5SL2,4,6,24.86,-56.0,-0.153,-0.102,217,-43.94,16.7,12.0,-56.0,33.3,12.0,1.52,50.0,20,73.54,47.8,46,40.16,41.9,43,133.91,47.6,84
BTC,1h,bb_squeeze_break,ema200+bb_not_wide,fixed,TP5SL2,4,6,27.13,-51.45,-0.17,-0.113,167,-51.45,18.2,11.0,-42.42,12.5,8.0,27.56,52.9,17,94.58,51.4,35,21.7,37.9,29,112.82,49.2,67
BTC,1h,stoch_oversold,ema200,fixed,TP5SL2,4,6,14.83,-71.8,-0.259,-0.173,220,-22.2,30.0,10.0,-71.8,10.0,10.0,24.3,54.6,22,31.39,38.5,52,37.37,46.5,43,89.93,45.8,83
BTC,1h,macd_cross,ema200+bb_not_wide,fixed,TP4SL1,4,6,7.18,-49.83,-0.328,-0.219,231,-49.83,23.5,17.0,-40.68,36.4,11.0,13.29,42.9,21,45.73,39.6,53,8.58,40.0,40,66.02,39.3,89
ETH,1h,macd_cross,ema200+vol_spike+macd_pos,atr,ATR3.0x1.5,4,6,-3.93,-56.07,-0.736,-0.491,149,-56.07,9.1,11.0,-48.46,18.2,11.0,9.61,35.7,14,7.51,37.9,29,60.23,45.2,31,3.61,35.8,53
ETH,1h,macd_cross,ema200+vol_spike,atr,ATR3.0x1.5,4,6,-3.93,-56.07,-0.736,-0.491,149,-56.07,9.1,11.0,-48.46,18.2,11.0,9.61,35.7,14,7.51,37.9,29,60.23,45.2,31,3.61,35.8,53
BTC,1h,stoch_oversold,ema200+macd_pos,fixed,TP4SL1,4,6,16.42,-65.54,-1.587,-1.058,197,-45.93,10.0,10.0,-65.54,0.0,9.0,25.68,70.6,17,2.88,32.6,49,61.91,42.1,38,119.49,41.9,74
