coin,period,label,sl,sl_val,bh,ret,n,win,dd,liq,beat
BTC,bull_2017h2,상승(17H2),없음,999.0,221.87,409.04,3,0.333,9.99,False,1
BTC,bull_2017h2,상승(17H2),-10%,0.1,221.87,394.52,5,0.4,40.4,False,1
BTC,bull_2017h2,상승(17H2),-15%,0.15,221.87,404.72,4,0.5,30.2,False,1
BTC,bull_2017h2,상승(17H2),-20%,0.2,221.87,394.72,4,0.5,40.2,False,1
BTC,bull_2017h2,상승(17H2),-25%,0.25,221.87,409.04,3,0.333,9.99,False,1
BTC,bull_2017h2,상승(17H2),-30%,0.3,221.87,409.04,3,0.333,9.99,False,1
BTC,bear_2018,하락(2018),없음,999.0,-73.0,-100.0,8,0.125,98.67,False,0
BTC,bear_2018,하락(2018),-10%,0.1,-73.0,-100.0,13,0.077,79.8,False,0
BTC,bear_2018,하락(2018),-15%,0.15,-73.0,-100.0,10,0.1,69.8,False,0
BTC,bear_2018,하락(2018),-20%,0.2,-73.0,-100.0,8,0.125,98.67,False,0
BTC,bear_2018,하락(2018),-25%,0.25,-73.0,-100.0,8,0.125,98.67,False,0
BTC,bear_2018,하락(2018),-30%,0.3,-73.0,-100.0,8,0.125,98.67,False,0
BTC,range_2019,횡보(2019),없음,999.0,94.4,327.94,4,0.25,33.83,False,1
BTC,range_2019,횡보(2019),-10%,0.1,94.4,326.25,5,0.4,35.53,False,1
BTC,range_2019,횡보(2019),-15%,0.15,94.4,327.94,4,0.25,33.83,False,1
BTC,range_2019,횡보(2019),-20%,0.2,94.4,327.94,4,0.25,33.83,False,1
BTC,range_2019,횡보(2019),-25%,0.25,94.4,327.94,4,0.25,33.83,False,1
BTC,range_2019,횡보(2019),-30%,0.3,94.4,327.94,4,0.25,33.83,False,1
BTC,bull_2020,상승(2020),없음,999.0,301.98,408.0,5,0.8,14.59,False,1
BTC,bull_2020,상승(2020),-10%,0.1,301.98,408.0,5,0.8,14.59,False,1
BTC,bull_2020,상승(2020),-15%,0.15,301.98,408.0,5,0.8,14.59,False,1
BTC,bull_2020,상승(2020),-20%,0.2,301.98,408.0,5,0.8,14.59,False,1
BTC,bull_2020,상승(2020),-25%,0.25,301.98,408.0,5,0.8,14.59,False,1
BTC,bull_2020,상승(2020),-30%,0.3,301.98,408.0,5,0.8,14.59,False,1
BTC,bull_2021,상승(2021),없음,999.0,59.79,217.48,4,0.75,24.82,False,1
BTC,bull_2021,상승(2021),-10%,0.1,59.79,227.19,5,0.8,20.2,False,1
BTC,bull_2021,상승(2021),-15%,0.15,59.79,217.19,5,0.8,30.2,False,1
BTC,bull_2021,상승(2021),-20%,0.2,59.79,203.43,5,0.8,40.2,False,1
BTC,bull_2021,상승(2021),-25%,0.25,59.79,217.48,4,0.75,24.82,False,1
BTC,bull_2021,상승(2021),-30%,0.3,59.79,217.48,4,0.75,24.82,False,1
BTC,bear_2022,하락(2022),없음,999.0,-64.21,-100.0,7,0.0,78.71,False,0
BTC,bear_2022,하락(2022),-10%,0.1,-64.21,-100.0,10,0.2,79.8,False,0
BTC,bear_2022,하락(2022),-15%,0.15,-64.21,-100.0,8,0.0,78.71,False,0
BTC,bear_2022,하락(2022),-20%,0.2,-64.21,-100.0,7,0.0,78.71,False,0
BTC,bear_2022,하락(2022),-25%,0.25,-64.21,-100.0,7,0.0,78.71,False,0
BTC,bear_2022,하락(2022),-30%,0.3,-64.21,-100.0,7,0.0,78.71,False,0
BTC,bull_2023,회복(2023),없음,999.0,155.62,195.55,4,1.0,0.0,False,1
BTC,bull_2023,회복(2023),-10%,0.1,155.62,195.55,4,1.0,0.0,False,1
BTC,bull_2023,회복(2023),-15%,0.15,155.62,195.55,4,1.0,0.0,False,1
BTC,bull_2023,회복(2023),-20%,0.2,155.62,195.55,4,1.0,0.0,False,1
BTC,bull_2023,회복(2023),-25%,0.25,155.62,195.55,4,1.0,0.0,False,1
BTC,bull_2023,회복(2023),-30%,0.3,155.62,195.55,4,1.0,0.0,False,1
BTC,range_2024h1,횡보(24H1),없음,999.0,48.45,84.49,3,0.333,3.08,False,1
BTC,range_2024h1,횡보(24H1),-10%,0.1,48.45,84.49,3,0.333,3.08,False,1
BTC,range_2024h1,횡보(24H1),-15%,0.15,48.45,84.49,3,0.333,3.08,False,1
BTC,range_2024h1,횡보(24H1),-20%,0.2,48.45,84.49,3,0.333,3.08,False,1
BTC,range_2024h1,횡보(24H1),-25%,0.25,48.45,84.49,3,0.333,3.08,False,1
BTC,range_2024h1,횡보(24H1),-30%,0.3,48.45,84.49,3,0.333,3.08,False,1
BTC,bull_2024h2,불장(24H2),없음,999.0,49.07,72.68,3,0.333,12.9,False,1
BTC,bull_2024h2,불장(24H2),-10%,0.1,49.07,70.05,3,0.333,12.9,False,1
BTC,bull_2024h2,불장(24H2),-15%,0.15,49.07,72.68,3,0.333,12.9,False,1
BTC,bull_2024h2,불장(24H2),-20%,0.2,49.07,72.68,3,0.333,12.9,False,1
BTC,bull_2024h2,불장(24H2),-25%,0.25,49.07,72.68,3,0.333,12.9,False,1
BTC,bull_2024h2,불장(24H2),-30%,0.3,49.07,72.68,3,0.333,12.9,False,1
BTC,bear_2025q1,하락(25Q1),없음,999.0,-11.78,-13.19,2,0.0,5.19,False,0
BTC,bear_2025q1,하락(25Q1),-10%,0.1,-11.78,-13.19,2,0.0,5.19,False,0
BTC,bear_2025q1,하락(25Q1),-15%,0.15,-11.78,-13.19,2,0.0,5.19,False,0
BTC,bear_2025q1,하락(25Q1),-20%,0.2,-11.78,-13.19,2,0.0,5.19,False,0
BTC,bear_2025q1,하락(25Q1),-25%,0.25,-11.78,-13.19,2,0.0,5.19,False,0
BTC,bear_2025q1,하락(25Q1),-30%,0.3,-11.78,-13.19,2,0.0,5.19,False,0
BTC,bull_2025q2,반등(25Q2),없음,999.0,26.7,47.74,1,1.0,0.0,False,1
BTC,bull_2025q2,반등(25Q2),-10%,0.1,26.7,47.74,1,1.0,0.0,False,1
BTC,bull_2025q2,반등(25Q2),-15%,0.15,26.7,47.74,1,1.0,0.0,False,1
BTC,bull_2025q2,반등(25Q2),-20%,0.2,26.7,47.74,1,1.0,0.0,False,1
BTC,bull_2025q2,반등(25Q2),-25%,0.25,26.7,47.74,1,1.0,0.0,False,1
BTC,bull_2025q2,반등(25Q2),-30%,0.3,26.7,47.74,1,1.0,0.0,False,1
BTC,bull_2025q3,상승(25Q3),없음,999.0,10.21,6.26,3,0.333,1.45,False,0
BTC,bull_2025q3,상승(25Q3),-10%,0.1,10.21,6.26,3,0.333,1.45,False,0
BTC,bull_2025q3,상승(25Q3),-15%,0.15,10.21,6.26,3,0.333,1.45,False,0
BTC,bull_2025q3,상승(25Q3),-20%,0.2,10.21,6.26,3,0.333,1.45,False,0
BTC,bull_2025q3,상승(25Q3),-25%,0.25,10.21,6.26,3,0.333,1.45,False,0
BTC,bull_2025q3,상승(25Q3),-30%,0.3,10.21,6.26,3,0.333,1.45,False,0
BTC,bear_2025q4,하락(25Q4),없음,999.0,-21.61,-18.04,2,0.0,10.62,False,1
BTC,bear_2025q4,하락(25Q4),-10%,0.1,-21.61,-28.22,3,0.0,20.8,False,0
BTC,bear_2025q4,하락(25Q4),-15%,0.15,-21.61,-18.04,2,0.0,10.62,False,1
BTC,bear_2025q4,하락(25Q4),-20%,0.2,-21.61,-18.04,2,0.0,10.62,False,1
BTC,bear_2025q4,하락(25Q4),-25%,0.25,-21.61,-18.04,2,0.0,10.62,False,1
BTC,bear_2025q4,하락(25Q4),-30%,0.3,-21.61,-18.04,2,0.0,10.62,False,1
BTC,bear_2026q1,하락(26Q1),없음,999.0,-25.88,-9.95,1,0.0,0.0,False,1
BTC,bear_2026q1,하락(26Q1),-10%,0.1,-25.88,-9.95,1,0.0,0.0,False,1
BTC,bear_2026q1,하락(26Q1),-15%,0.15,-25.88,-9.95,1,0.0,0.0,False,1
BTC,bear_2026q1,하락(26Q1),-20%,0.2,-25.88,-9.95,1,0.0,0.0,False,1
BTC,bear_2026q1,하락(26Q1),-25%,0.25,-25.88,-9.95,1,0.0,0.0,False,1
BTC,bear_2026q1,하락(26Q1),-30%,0.3,-25.88,-9.95,1,0.0,0.0,False,1
ETH,bull_2017h2,상승(17H2),없음,999.0,143.74,-100.0,3,0.0,98.9,True,0
ETH,bull_2017h2,상승(17H2),-10%,0.1,143.74,124.17,26,0.115,98.9,False,0
ETH,bull_2017h2,상승(17H2),-15%,0.15,143.74,-100.0,3,0.0,98.9,True,0
ETH,bull_2017h2,상승(17H2),-20%,0.2,143.74,-100.0,3,0.0,98.9,True,0
ETH,bull_2017h2,상승(17H2),-25%,0.25,143.74,-100.0,3,0.0,98.9,True,0
ETH,bull_2017h2,상승(17H2),-30%,0.3,143.74,-100.0,3,0.0,98.9,True,0
ETH,bear_2018,하락(2018),없음,999.0,-82.07,-37.33,35,0.114,110.41,False,1
ETH,bear_2018,하락(2018),-10%,0.1,-82.07,-42.01,35,0.114,115.1,False,1
ETH,bear_2018,하락(2018),-15%,0.15,-82.07,-44.48,35,0.114,117.56,False,1
ETH,bear_2018,하락(2018),-20%,0.2,-82.07,-54.48,35,0.114,127.56,False,1
ETH,bear_2018,하락(2018),-25%,0.25,-82.07,-37.33,35,0.114,110.41,False,1
ETH,bear_2018,하락(2018),-30%,0.3,-82.07,-37.33,35,0.114,110.41,False,1
ETH,range_2019,횡보(2019),없음,999.0,-1.74,117.83,27,0.296,20.65,False,1
ETH,range_2019,횡보(2019),-10%,0.1,-1.74,92.47,27,0.259,46.01,False,1
ETH,range_2019,횡보(2019),-15%,0.15,-1.74,82.47,27,0.259,56.01,False,1
ETH,range_2019,횡보(2019),-20%,0.2,-1.74,72.47,27,0.259,66.01,False,1
ETH,range_2019,횡보(2019),-25%,0.25,-1.74,117.83,27,0.296,20.65,False,1
ETH,range_2019,횡보(2019),-30%,0.3,-1.74,117.83,27,0.296,20.65,False,1
ETH,bull_2020,상승(2020),없음,999.0,470.16,355.37,41,0.22,61.11,False,0
ETH,bull_2020,상승(2020),-10%,0.1,470.16,348.83,41,0.22,67.65,False,0
ETH,bull_2020,상승(2020),-15%,0.15,470.16,355.37,41,0.22,61.11,False,0
ETH,bull_2020,상승(2020),-20%,0.2,470.16,355.37,41,0.22,61.11,False,0
ETH,bull_2020,상승(2020),-25%,0.25,470.16,355.37,41,0.22,61.11,False,0
ETH,bull_2020,상승(2020),-30%,0.3,470.16,355.37,41,0.22,61.11,False,0
ETH,bull_2021,상승(2021),없음,999.0,399.2,430.79,33,0.182,52.98,False,1
ETH,bull_2021,상승(2021),-10%,0.1,399.2,406.22,33,0.182,54.41,False,1
ETH,bull_2021,상승(2021),-15%,0.15,399.2,430.79,33,0.182,52.98,False,1
ETH,bull_2021,상승(2021),-20%,0.2,399.2,430.79,33,0.182,52.98,False,1
