coin,tf,long_filter,short_filter,params,positive,beat_bh,n_periods,avg_ret,min_ret,avg_sharpe,total_trades,recent_3m_ret,recent_3m_wr,recent_3m_tr,recent_3m_long,recent_3m_sht,bear_2025q4_ret,bear_2025q4_wr,bear_2025q4_tr,bear_2025q4_long,bear_2025q4_sht,bull_2025q3_ret,bull_2025q3_wr,bull_2025q3_tr,bull_2025q3_long,bull_2025q3_sht,bull_2024h2_ret,bull_2024h2_wr,bull_2024h2_tr,bull_2024h2_long,bull_2024h2_sht,bear_2024h1_ret,bear_2024h1_wr,bear_2024h1_tr,bear_2024h1_long,bear_2024h1_sht,bull_2023_ret,bull_2023_wr,bull_2023_tr,bull_2023_long,bull_2023_sht
ETH,4h,RSI다이버전스,깊은피보,TP6SL2,5,3,5,9.98,2.84,0.646,101,8.9,36.4,11.0,6.0,5.0,5.74,40.0,10.0,5.0,5.0,,,,,,2.84,33.3,21,10,11,23.7,47.4,19,7,12,8.74,30.0,40,26,14
ETH,4h,RSI다이버전스,깊은피보,TP5SL2,5,3,5,6.03,0.35,0.434,104,4.9,36.4,11.0,6.0,5.0,2.74,40.0,10.0,5.0,5.0,,,,,,0.35,33.3,21,10,11,16.7,47.4,19,7,12,5.44,32.6,43,26,17
ETH,1h,Z-Score낮음,거래량스파이크,TP5SL2,5,3,6,2.58,-39.18,0.244,309,1.99,38.7,31.0,7.0,24.0,21.42,42.9,28.0,1.0,27.0,4.84,37.9,29.0,7.0,22.0,6.02,35.7,56,9,47,20.42,39.6,48,8,40,-39.18,33.3,117,18,99
ETH,1h,Z-Score낮음,거래량스파이크,TP4SL1,4,3,6,1.79,-22.65,0.189,351,6.47,36.1,36.0,7.0,29.0,12.62,37.5,32.0,1.0,31.0,-2.01,30.6,36.0,10.0,26.0,2.82,31.7,63,10,53,13.47,37.0,54,11,43,-22.65,30.0,130,19,111
ETH,4h,기본,깊은피보,TP5SL2,4,3,6,5.44,-15.4,0.155,199,4.2,33.3,18.0,13.0,5.0,-6.44,27.8,18.0,13.0,5.0,-15.4,14.3,14.0,14.0,0.0,10.56,34.8,46,36,10,39.1,56.0,25,16,9,0.61,30.8,78,61,17
ETH,4h,깊은피보,기본,TP5SL2,4,3,6,4.4,-11.56,0.14,197,1.4,31.2,16.0,5.0,11.0,-11.56,25.0,20.0,4.0,16.0,-3.5,26.7,15.0,6.0,9.0,6.65,34.2,38,17,21,30.0,44.4,36,3,33,3.42,31.9,72,21,51
ETH,4h,깊은피보,기본,TP6SL2,4,3,6,5.88,-13.4,0.136,183,6.4,31.2,16.0,5.0,11.0,-7.56,25.0,20.0,4.0,16.0,-13.4,14.3,14.0,6.0,8.0,7.54,32.4,34,15,19,32.2,41.2,34,2,32,10.12,30.8,65,19,46
ETH,4h,RSI다이버전스,기본,TP6SL2,4,3,6,3.77,-11.3,0.119,177,8.5,33.3,15.0,3.0,12.0,0.84,31.2,16.0,2.0,14.0,-11.3,15.4,13.0,6.0,7.0,5.84,32.3,31,9,22,23.8,36.8,38,2,36,-5.08,28.1,64,16,48
ETH,4h,기본,깊은피보,TP6SL2,4,3,6,7.22,-19.3,0.116,187,10.2,33.3,18.0,13.0,5.0,-2.44,27.8,18.0,13.0,5.0,-19.3,7.7,13.0,13.0,0.0,16.54,34.1,41,33,8,37.2,50.0,24,16,8,1.11,27.4,73,59,14
BTC,1h,RSI과매도,RSI+깊은피보,TP4SL1,4,3,6,2.61,-12.9,0.109,219,-10.47,23.8,21.0,14.0,7.0,6.69,41.2,17.0,12.0,5.0,9.41,52.2,23.0,14.0,9.0,-12.9,27.3,33,20,13,15.84,40.0,50,29,21,7.08,40.0,75,39,36
BTC,1h,RSI과매도,RSI+깊은피보,TP5SL2,4,3,6,1.64,-13.37,0.087,198,-13.37,25.0,20.0,14.0,6.0,5.06,41.2,17.0,12.0,5.0,9.99,61.9,21.0,13.0,8.0,-11.7,33.3,30,18,12,9.93,42.9,42,23,19,9.93,51.5,68,34,34
BTC,1h,RSI+깊은피보,RSI+깊은피보,TP5SL2,4,3,6,2.98,-16.48,0.047,155,-16.48,14.3,14.0,8.0,6.0,1.32,36.4,11.0,6.0,5.0,8.37,61.1,18.0,9.0,9.0,-1.78,37.5,24,13,11,15.27,48.6,37,18,19,11.21,56.9,51,16,35
BTC,1h,깊은피보,EMA200아래+RSI,TP4SL1,4,3,6,1.08,-17.38,0.037,216,-17.38,19.0,21.0,17.0,4.0,1.68,36.4,22.0,18.0,4.0,21.21,68.2,22.0,17.0,5.0,5.63,34.9,43,41,2,0.32,41.3,46,44,2,-4.99,40.3,62,48,14
