iteration,coin,timeframe,strategy,trend_filter,tp_pct,sl_pct,signal_count,total_trades,win_rate,total_return,avg_return,max_drawdown,sharpe_ratio
iter1_baseline,BTC,5m,rsi_oversold,False,0.02,0.01,923,221,42.53,-187.46,-0.85,209.05,-2.7846
iter1_baseline,BTC,5m,macd_cross,False,0.02,0.01,1022,461,40.35,-346.73,-0.75,362.33,-3.7929
iter1_baseline,BTC,5m,ema_cross,False,0.02,0.01,620,334,37.72,-263.51,-0.79,287.36,-3.5387
iter1_baseline,BTC,5m,bollinger_bounce,False,0.02,0.01,809,388,38.4,-279.05,-0.72,296.03,-3.1822
iter1_baseline,BTC,5m,support_bounce,False,0.02,0.01,7581,579,37.48,-464.33,-0.8,496.83,-4.4376
iter1_baseline,BTC,5m,candle_pattern,False,0.02,0.01,3408,548,38.87,-406.8,-0.74,442.49,-4.0399
iter1_baseline,BTC,15m,rsi_oversold,False,0.02,0.01,360,102,36.27,-69.93,-0.69,66.68,-1.1312
iter1_baseline,BTC,15m,macd_cross,False,0.02,0.01,322,179,37.43,-144.95,-0.81,158.35,-1.9614
iter1_baseline,BTC,15m,ema_cross,False,0.02,0.01,194,134,34.33,-117.06,-0.87,174.82,-1.7562
iter1_baseline,BTC,15m,bollinger_bounce,False,0.02,0.01,279,173,38.15,-125.34,-0.72,169.53,-1.6173
iter1_baseline,BTC,15m,support_bounce,False,0.02,0.01,1687,246,35.77,-207.27,-0.84,231.03,-2.2876
iter1_baseline,BTC,15m,candle_pattern,False,0.02,0.01,1069,252,37.3,-197.58,-0.78,212.86,-2.1362
iter1_baseline,BTC,1h,rsi_oversold,False,0.02,0.01,150,45,31.11,-39.01,-0.87,44.01,-0.843
iter1_baseline,BTC,1h,macd_cross,False,0.02,0.01,84,63,34.92,-24.68,-0.39,109.34,-0.4478
iter1_baseline,BTC,1h,ema_cross,False,0.02,0.01,47,41,26.83,-51.64,-1.26,88.87,-1.2247
iter1_baseline,BTC,1h,bollinger_bounce,False,0.02,0.01,63,54,25.93,-103.28,-1.91,97.78,-2.2541
iter1_baseline,BTC,1h,support_bounce,False,0.02,0.01,234,93,35.48,-33.05,-0.36,109.52,-0.4871
iter1_baseline,BTC,1h,candle_pattern,False,0.02,0.01,264,104,34.62,-41.82,-0.4,116.39,-0.5897
iter1_baseline,BTC,4h,rsi_oversold,False,0.02,0.01,45,22,18.18,-61.0,-2.77,69.0,-2.2479
iter1_baseline,BTC,4h,macd_cross,False,0.02,0.01,18,18,38.89,6.0,0.33,16.5,0.1934
iter1_baseline,BTC,4h,ema_cross,False,0.02,0.01,14,14,35.71,-2.0,-0.14,18.0,-0.0744
iter1_baseline,BTC,4h,bollinger_bounce,False,0.02,0.01,17,17,23.53,-33.5,-1.97,47.0,-1.277
iter1_baseline,BTC,4h,support_bounce,False,0.02,0.01,42,34,29.41,-37.0,-1.09,46.0,-0.9284
iter1_baseline,BTC,4h,candle_pattern,False,0.02,0.01,60,45,35.56,-7.5,-0.17,66.5,-0.1557
iter1_baseline,BTC,1d,rsi_oversold,False,0.02,0.01,7,4,25.0,-7.0,-1.75,11.0,-0.5389
iter1_baseline,BTC,1d,macd_cross,False,0.02,0.01,1,1,0.0,-5.5,-5.5,0.0,0.0
iter1_baseline,BTC,1d,ema_cross,False,0.02,0.01,2,2,100.0,19.0,9.5,0.0,0.0
iter1_baseline,BTC,1d,bollinger_bounce,False,0.02,0.01,2,2,0.0,-11.0,-5.5,5.5,0.0
iter1_baseline,BTC,1d,support_bounce,False,0.02,0.01,4,4,0.0,-22.0,-5.5,16.5,0.0
iter1_baseline,BTC,1d,candle_pattern,False,0.02,0.01,3,3,33.33,-1.5,-0.5,11.0,-0.1225
iter1_baseline,ETH,5m,rsi_oversold,False,0.02,0.01,1033,271,39.48,-257.86,-0.95,307.12,-2.8662
iter1_baseline,ETH,5m,macd_cross,False,0.02,0.01,1030,519,39.69,-451.65,-0.87,499.42,-3.9664
iter1_baseline,ETH,5m,ema_cross,False,0.02,0.01,624,359,38.72,-256.04,-0.71,263.71,-2.8115
iter1_baseline,ETH,5m,bollinger_bounce,False,0.02,0.01,802,452,38.94,-369.97,-0.82,391.77,-3.3692
iter1_baseline,ETH,5m,support_bounce,False,0.02,0.01,6058,670,38.96,-591.5,-0.88,638.07,-4.4609
iter1_baseline,ETH,5m,candle_pattern,False,0.02,0.01,3254,647,39.26,-461.46,-0.71,517.65,-3.4537
iter1_baseline,ETH,15m,rsi_oversold,False,0.02,0.01,449,126,29.37,-208.38,-1.65,227.88,-2.9887
iter1_baseline,ETH,15m,macd_cross,False,0.02,0.01,344,213,35.68,-208.02,-0.98,272.18,-2.3689
iter1_baseline,ETH,15m,ema_cross,False,0.02,0.01,212,146,30.82,-184.06,-1.26,198.56,-2.5434
iter1_baseline,ETH,15m,bollinger_bounce,False,0.02,0.01,267,195,35.38,-207.13,-1.06,233.06,-2.4121
iter1_baseline,ETH,15m,support_bounce,False,0.02,0.01,1243,299,35.45,-268.01,-0.9,296.39,-2.4745
iter1_baseline,ETH,15m,candle_pattern,False,0.02,0.01,1043,302,33.11,-332.27,-1.1,386.98,-3.0982
iter1_baseline,ETH,1h,rsi_oversold,False,0.02,0.01,159,57,28.07,-73.5,-1.29,94.5,-1.4444
iter1_baseline,ETH,1h,macd_cross,False,0.02,0.01,82,68,30.88,-59.0,-0.87,127.5,-1.0324
iter1_baseline,ETH,1h,ema_cross,False,0.02,0.01,45,41,29.27,-45.5,-1.11,59.0,-1.0412
iter1_baseline,ETH,1h,bollinger_bounce,False,0.02,0.01,69,61,39.34,16.59,0.27,80.0,0.2936
iter1_baseline,ETH,1h,support_bounce,False,0.02,0.01,158,99,36.36,-8.69,-0.09,86.19,-0.1217
iter1_baseline,ETH,1h,candle_pattern,False,0.02,0.01,245,127,37.01,-13.09,-0.1,126.83,-0.1635
iter1_baseline,ETH,4h,rsi_oversold,False,0.02,0.01,44,23,30.43,-21.5,-0.93,52.5,-0.6495
iter1_baseline,ETH,4h,macd_cross,False,0.02,0.01,19,19,21.05,-44.5,-2.34,40.0,-1.6694
iter1_baseline,ETH,4h,ema_cross,False,0.02,0.01,12,12,41.67,9.0,0.75,22.0,0.3513
iter1_baseline,ETH,4h,bollinger_bounce,False,0.02,0.01,18,18,22.22,-39.0,-2.17,37.5,-1.4741
iter1_baseline,ETH,4h,support_bounce,False,0.02,0.01,39,32,37.5,4.0,0.12,41.5,0.0974
iter1_baseline,ETH,4h,candle_pattern,False,0.02,0.01,54,41,34.15,-15.5,-0.38,80.0,-0.3403
iter1_baseline,ETH,1d,rsi_oversold,False,0.02,0.01,8,4,0.0,-22.0,-5.5,16.5,0.0
iter1_baseline,ETH,1d,macd_cross,False,0.02,0.01,2,2,0.0,-11.0,-5.5,5.5,0.0
iter1_baseline,ETH,1d,ema_cross,False,0.02,0.01,2,2,50.0,4.0,2.0,5.5,0.3771
iter1_baseline,ETH,1d,bollinger_bounce,False,0.02,0.01,4,4,0.0,-22.0,-5.5,16.5,0.0
iter1_baseline,ETH,1d,support_bounce,False,0.02,0.01,4,3,0.0,-16.5,-5.5,11.0,0.0
iter1_baseline,ETH,1d,candle_pattern,False,0.02,0.01,4,3,33.33,-1.5,-0.5,11.0,-0.1225
iter2_trend_filter,BTC,5m,rsi_oversold,True,0.02,0.01,34,15,53.33,-5.08,-0.34,18.12,-0.3924
iter2_trend_filter,BTC,5m,macd_cross,True,0.02,0.01,489,224,38.39,-125.09,-0.56,143.99,-1.9508
iter2_trend_filter,BTC,5m,ema_cross,True,0.02,0.01,292,165,36.97,-153.03,-0.93,161.99,-3.0969
iter2_trend_filter,BTC,5m,bollinger_bounce,True,0.02,0.01,219,122,40.98,-64.08,-0.53,89.21,-1.3488
iter2_trend_filter,BTC,5m,support_bounce,True,0.02,0.01,3427,285,34.74,-237.44,-0.83,255.24,-3.4853
iter2_trend_filter,BTC,5m,candle_pattern,True,0.02,0.01,1665,296,35.81,-217.31,-0.73,246.52,-3.0681
iter2_trend_filter,BTC,15m,rsi_oversold,True,0.02,0.01,2,2,50.0,-2.12,-1.06,0.0,-0.3384
iter2_trend_filter,BTC,15m,macd_cross,True,0.02,0.01,138,75,34.67,-87.36,-1.16,84.7,-1.8584
iter2_trend_filter,BTC,15m,ema_cross,True,0.02,0.01,86,60,35.0,-72.41,-1.21,74.08,-1.6719
iter2_trend_filter,BTC,15m,bollinger_bounce,True,0.02,0.01,55,36,50.0,18.16,0.5,18.84,0.5067
iter2_trend_filter,BTC,15m,support_bounce,True,0.02,0.01,538,84,34.52,-61.05,-0.73,60.12,-1.1622
iter2_trend_filter,BTC,15m,candle_pattern,True,0.02,0.01,449,109,32.11,-129.69,-1.19,127.65,-2.279
iter2_trend_filter,BTC,1h,rsi_oversold,True,0.02,0.01,1,1,100.0,9.5,9.5,0.0,0.0
iter2_trend_filter,BTC,1h,macd_cross,True,0.02,0.01,29,21,23.81,-44.67,-2.13,55.33,-1.6615
iter2_trend_filter,BTC,1h,ema_cross,True,0.02,0.01,17,16,25.0,-22.78,-1.42,38.5,-0.8856
iter2_trend_filter,BTC,1h,bollinger_bounce,True,0.02,0.01,7,6,16.67,-26.29,-4.38,20.79,-4.2884
iter2_trend_filter,BTC,1h,support_bounce,True,0.02,0.01,47,18,33.33,-17.02,-0.95,49.52,-0.6015
iter2_trend_filter,BTC,1h,candle_pattern,True,0.02,0.01,77,30,30.0,-32.96,-1.1,50.83,-0.9148
iter2_trend_filter,BTC,4h,macd_cross,True,0.02,0.01,1,1,100.0,9.5,9.5,0.0,0.0
iter2_trend_filter,BTC,4h,ema_cross,True,0.02,0.01,1,1,0.0,-5.5,-5.5,0.0,0.0
iter2_trend_filter,BTC,4h,bollinger_bounce,True,0.02,0.01,1,1,0.0,-5.5,-5.5,0.0,0.0
iter2_trend_filter,BTC,4h,support_bounce,True,0.02,0.01,4,3,0.0,-16.5,-5.5,11.0,0.0
iter2_trend_filter,BTC,4h,candle_pattern,True,0.02,0.01,17,12,25.0,-21.0,-1.75,30.5,-0.9333
iter2_trend_filter,ETH,5m,rsi_oversold,True,0.02,0.01,40,24,45.83,-29.29,-1.22,44.28,-1.5567
iter2_trend_filter,ETH,5m,macd_cross,True,0.02,0.01,496,243,40.33,-129.65,-0.53,192.15,-1.6724
iter2_trend_filter,ETH,5m,ema_cross,True,0.02,0.01,324,197,40.61,-107.66,-0.55,129.11,-1.6357
iter2_trend_filter,ETH,5m,bollinger_bounce,True,0.02,0.01,204,126,35.71,-129.98,-1.03,146.8,-2.398
iter2_trend_filter,ETH,5m,support_bounce,True,0.02,0.01,2945,298,39.6,-214.68,-0.72,261.8,-2.64
iter2_trend_filter,ETH,5m,candle_pattern,True,0.02,0.01,1599,341,39.88,-219.12,-0.64,271.91,-2.393
iter2_trend_filter,ETH,15m,rsi_oversold,True,0.02,0.01,16,7,42.86,1.46,0.21,11.0,0.0813
iter2_trend_filter,ETH,15m,macd_cross,True,0.02,0.01,149,77,40.26,0.13,0.0,32.03,0.0024
iter2_trend_filter,ETH,15m,ema_cross,True,0.02,0.01,99,66,30.3,-84.4,-1.28,78.9,-1.7515
