coin,tf,signal,params,positive_periods,beat_bh,total_periods,avg_return,min_return,avg_sharpe,total_trades,recent_3m_ret,recent_3m_wr,recent_3m_trades,recent_3m_long,recent_3m_short,bear_2025q4_ret,bear_2025q4_wr,bear_2025q4_trades,bear_2025q4_long,bear_2025q4_short,bull_2025q3_ret,bull_2025q3_wr,bull_2025q3_trades,bull_2025q3_long,bull_2025q3_short,bull_2024h2_ret,bull_2024h2_wr,bull_2024h2_trades,bull_2024h2_long,bull_2024h2_short,bear_2024h1_ret,bear_2024h1_wr,bear_2024h1_trades,bear_2024h1_long,bear_2024h1_short,bull_2023_ret,bull_2023_wr,bull_2023_trades,bull_2023_long,bull_2023_short
ETH,1h,macd_cross,TP5SL2,5,3,6,6.5,-28.34,0.105,304,-28.34,22.6,31,9,22,4.66,32.4,37,11,26,3.54,33.3,27,14,13,19.36,40.0,60,21,39,23.7,38.5,52,24,28,16.06,41.2,97,49,48
ETH,1h,rsi,TP5SL2,4,3,6,-1.15,-29.06,-0.032,83,4.53,42.9,7,1,6,3.36,33.3,9,1,8,4.16,42.9,7,3,4,-0.7,29.4,17,10,7,10.79,46.7,15,9,6,-29.06,17.9,28,13,15
ETH,15m,ema_cross,TP5SL2,4,3,6,-1.23,-37.9,0.035,723,9.39,51.6,64,21,43,0.9,40.8,76,22,54,7.86,45.3,64,33,31,15.61,44.4,124,58,66,-3.26,38.8,134,61,73,-37.9,36.0,261,120,141
ETH,1h,rsi,TP4SL1,4,3,6,-2.27,-27.63,-0.317,84,3.27,42.9,7,1,6,-3.4,22.2,9,1,8,3.7,37.5,8,3,5,0.3,29.4,17,10,7,10.15,46.7,15,9,6,-27.63,14.3,28,13,15
ETH,1h,ema_cross,TP4SL1,4,3,6,-4.34,-46.85,-0.304,240,7.34,38.1,21,2,19,13.83,37.0,27,7,20,-15.37,14.3,21,9,12,7.96,33.3,42,18,24,7.03,36.8,38,15,23,-46.85,25.3,91,52,39
BTC,1h,rsi,TP5SL2,4,2,6,4.58,-8.37,-0.107,83,-7.88,42.9,7,2,5,-8.37,37.5,8,0,8,1.41,44.4,9,3,6,14.04,54.5,11,5,6,28.22,68.8,16,8,8,0.06,40.6,32,10,22
BTC,1h,bb_squeeze,TP4SL1,4,2,6,3.39,-9.42,0.103,186,-9.42,23.5,17,5,12,2.07,35.7,14,3,11,-3.45,33.3,15,9,6,16.98,41.7,36,19,17,7.79,38.9,36,16,20,6.39,39.7,68,40,28
BTC,1h,macd_cross,TP4SL1,4,2,6,2.71,-13.01,0.042,315,-13.01,21.9,32,8,24,5.27,35.7,28,5,23,-2.41,39.1,23,12,11,5.38,33.8,68,40,28,0.14,36.8,57,28,29,20.87,40.2,107,57,50
ETH,1h,bb_bounce,TP5SL2,4,2,6,0.63,-20.8,0.068,138,1.87,36.4,11,3,8,7.7,38.5,13,3,10,2.98,38.5,13,7,6,-3.86,32.0,25,10,15,15.89,40.6,32,20,12,-20.8,34.1,44,17,27
ETH,1h,rsi,TP3SL1,4,2,6,-0.6,-18.8,-0.114,86,3.27,42.9,7,1,6,2.1,33.3,9,1,8,2.1,33.3,9,4,5,-7.8,16.7,18,11,7,15.5,53.3,15,9,6,-18.8,10.7,28,13,15
BTC,1h,ema_cross,TP3SL1,4,2,6,-2.38,-19.89,-0.426,243,-19.89,12.9,31,9,22,-4.3,24.0,25,11,14,1.45,27.8,18,8,10,1.75,30.8,39,23,16,5.04,34.8,46,23,23,1.66,32.1,84,47,37
ETH,1h,bb_bounce,TP3SL1,4,2,6,-3.58,-21.66,-0.387,151,6.87,45.5,11,3,8,5.7,38.5,13,3,10,3.5,33.3,15,8,7,-17.39,13.8,29,12,17,1.5,28.6,35,21,14,-21.66,18.8,48,18,30
