coin,tf,strategy,type,params,positive,beat_bh,n_periods,avg_ret,min_ret,avg_sharpe,total_trades,recent_3m_ret,recent_3m_wr,recent_3m_tr,recent_3m_long,recent_3m_sht,bear_2025q4_ret,bear_2025q4_wr,bear_2025q4_tr,bear_2025q4_long,bear_2025q4_sht,bull_2025q3_ret,bull_2025q3_wr,bull_2025q3_tr,bull_2025q3_long,bull_2025q3_sht,bull_2024h2_ret,bull_2024h2_wr,bull_2024h2_tr,bull_2024h2_long,bull_2024h2_sht,bear_2024h1_ret,bear_2024h1_wr,bear_2024h1_tr,bear_2024h1_long,bear_2024h1_sht,bull_2023_ret,bull_2023_wr,bull_2023_tr,bull_2023_long,bull_2023_sht
ETH,4h,turtle_20,trend,TP6SL2,5,3,6,11.22,-20.99,0.698,210,18.2,38.9,18,4,14,11.9,33.3,21,2,19,22.8,50.0,12.0,10.0,2.0,32.2,36.8,38,20,18,3.21,26.7,45,27,18,-20.99,25.0,76,46,30
ETH,4h,breakout_10,trend,TP4SL1,5,3,6,9.78,-6.8,0.733,163,9.0,40.0,15,4,11,-6.8,22.2,18,1,17,15.4,54.5,11.0,9.0,2.0,7.7,33.3,33,16,17,18.0,40.0,30,16,14,15.35,35.7,56,36,20
ETH,4h,breakout_10,trend,TP6SL2,4,3,6,9.02,-9.6,0.511,145,14.8,41.7,12,3,9,-9.6,18.8,16,1,15,11.0,40.0,10.0,8.0,2.0,27.1,37.9,29,13,16,13.2,32.1,28,14,14,-2.38,30.0,50,32,18
ETH,4h,consec_3bar,pattern,TP6SL2,4,3,6,7.38,-6.17,0.422,178,18.6,42.9,14,3,11,22.4,43.8,16,0,16,-4.26,26.7,15.0,12.0,3.0,1.78,29.4,34,15,19,-6.17,27.8,36,18,18,11.95,30.2,63,39,24
ETH,4h,consec_3bar,pattern,TP5SL2,4,3,6,6.51,-9.27,0.429,186,17.5,46.7,15,4,11,20.3,47.1,17,0,17,-2.36,31.2,16.0,13.0,3.0,6.09,33.3,36,16,20,-9.27,29.7,37,18,19,6.79,32.3,65,41,24
ETH,4h,breakout_10,trend,TP3SL1,5,3,6,5.48,-8.9,0.369,181,2.4,31.2,16,4,12,-8.9,15.8,19,1,18,6.8,41.7,12.0,9.0,3.0,5.5,31.4,35,16,19,1.5,28.6,35,17,18,25.6,37.5,64,40,24
ETH,4h,breakout_10,trend,TP5SL2,4,3,6,5.19,-12.6,0.363,150,14.7,46.2,13,3,10,-12.6,18.8,16,1,15,14.0,50.0,10.0,8.0,2.0,16.1,37.9,29,13,16,7.0,33.3,30,16,14,-8.07,30.8,52,34,18
ETH,4h,turtle_20,trend,TP5SL2,4,3,6,3.99,-40.08,0.428,229,9.8,36.4,22,4,18,0.7,30.4,23,3,20,28.7,61.5,13.0,11.0,2.0,28.7,39.5,43,25,18,-3.89,28.3,46,27,19,-40.08,24.4,82,50,32
ETH,4h,turtle_20,trend,TP4SL1,4,3,6,3.34,-8.84,0.271,261,0.1,29.2,24,5,19,-7.0,24.0,25,3,22,18.4,50.0,16.0,14.0,2.0,15.8,34.6,52,33,19,1.6,29.6,54,30,24,-8.84,27.8,90,56,34
ETH,1h,turtle_20,trend,TP6SL2,4,3,6,-9.65,-68.97,-0.258,617,10.65,35.2,54,16,38,-21.44,24.6,65,22,43,5.18,35.6,59.0,39.0,20.0,9.53,33.1,124,69,55,7.16,33.0,112,62,50,-68.97,30.0,203,112,91
BTC,4h,breakout_10,trend,TP5SL2,5,2,6,8.14,-4.34,0.573,136,7.0,40.0,10,3,7,4.9,36.4,11,1,10,2.33,37.5,8.0,4.0,4.0,11.9,35.5,31,17,14,27.07,47.8,23,15,8,-4.34,28.3,53,34,19
BTC,4h,breakout_10,trend,TP4SL1,4,2,6,4.95,-13.0,0.149,158,-4.3,23.1,13,3,10,-13.0,13.3,15,1,14,2.83,37.5,8.0,4.0,4.0,4.5,31.4,35,21,14,24.4,46.2,26,17,9,15.3,34.4,61,42,19
ETH,4h,pivot_24,support,TP4SL1,4,2,5,4.28,-10.9,0.304,116,13.8,50.0,12,3,9,0.5,30.0,10,0,10,,,,,,-10.9,20.8,24,12,12,0.64,31.6,19,7,12,17.34,37.3,51,32,19
BTC,4h,pivot_24,support,TP3SL1,5,2,6,2.43,-11.9,0.38,154,7.5,40.0,15,4,11,1.7,30.8,13,0,13,1.0,30.0,10.0,2.0,8.0,4.9,33.3,21,17,4,11.4,38.5,26,17,9,-11.9,23.2,69,46,23
BTC,4h,pivot_24,support,TP5SL2,4,2,5,1.52,-26.68,0.334,104,18.2,62.5,8,3,5,2.1,33.3,9,0,9,,,,,,4.2,33.3,18,14,4,9.8,36.4,22,15,7,-26.68,21.3,47,32,15
BTC,15m,vol_pinbar,pattern,TP3SL1,4,2,6,0.76,-13.89,-0.005,206,1.99,33.3,18,7,11,-3.25,23.5,17,8,9,0.94,47.8,23.0,14.0,9.0,-13.89,20.6,34,21,13,16.78,45.5,33,19,14,2.0,42.0,81,48,33
BTC,4h,turtle_20,trend,TP5SL2,4,2,6,0.59,-36.99,0.173,192,17.5,46.7,15,3,12,3.5,33.3,15,1,14,2.33,37.5,8.0,4.0,4.0,18.74,37.2,43,29,14,-1.54,29.3,41,25,16,-36.99,24.3,70,47,23
BTC,15m,vol_pinbar,pattern,TP4SL1,4,2,6,0.19,-18.53,-0.074,205,1.3,38.9,18,7,11,-2.7,23.5,17,8,9,1.64,52.2,23.0,14.0,9.0,-18.53,23.5,34,21,13,17.32,46.9,32,19,13,2.09,43.2,81,48,33
BTC,4h,pivot_24,support,TP6SL2,4,2,5,-0.07,-44.86,0.126,100,15.2,50.0,8,3,5,7.2,37.5,8,0,8,,,,,,4.3,29.4,17,14,3,17.8,36.4,22,15,7,-44.86,15.6,45,30,15
BTC,1h,breakout_10,trend,TP3SL1,4,2,6,-2.74,-27.41,-0.086,670,1.04,30.2,63,17,46,-3.97,27.9,68,20,48,3.06,31.9,47.0,26.0,21.0,6.27,30.0,140,82,58,4.55,29.8,121,65,56,-27.41,28.1,231,133,98
