coin,tf,signal,lev,mode,beat_cnt,total_periods,beat_pct,avg_ret,min_ret,max_dd_avg,avg_trades,avg_bh,bull_2017h2_ret,bear_2018_ret,range_2019_ret,bull_2020_ret,bull_2021_ret,bear_2022_ret,bull_2023_ret,range_2024h1_ret,bull_2024h2_ret,bear_2025q1_ret,bull_2025q2_ret,bull_2025q3_ret,bear_2025q4_ret,bear_2026q1_ret,bull_2017h2_bh,bear_2018_bh,range_2019_bh,bull_2020_bh,bull_2021_bh,bear_2022_bh,bull_2023_bh,range_2024h1_bh,bull_2024h2_bh,bear_2025q1_bh,bull_2025q2_bh,bull_2025q3_bh,bear_2025q4_bh,bear_2026q1_bh
BTC,4h,ema50/200,3,L+S,12,14,85.7,175.79,-155.38,59.25,7.4,55.12,583.11,-28.38,541.93,589.75,407.45,-155.38,253.45,108.96,67.93,-6.51,66.12,-11.53,11.46,32.73,221.87,-73.0,94.4,301.98,59.79,-64.21,155.62,48.45,49.07,-11.78,26.7,10.21,-21.61,-25.88
BTC,1d,c>ema50,3,L+S,12,14,85.7,139.1,-48.56,73.29,15.1,55.12,511.45,1.66,303.29,491.07,247.33,-48.56,248.25,93.59,40.11,4.85,49.34,-28.51,32.55,0.92,221.87,-73.0,94.4,301.98,59.79,-64.21,155.62,48.45,49.07,-11.78,26.7,10.21,-21.61,-25.88
BTC,1d,ema20/100,3,L,12,14,85.7,114.87,-176.71,7.6,1.5,55.12,495.37,-176.71,197.44,649.17,99.68,-45.03,178.94,113.58,83.62,-32.94,31.19,26.93,-13.0,0.0,221.87,-73.0,94.4,301.98,59.79,-64.21,155.62,48.45,49.07,-11.78,26.7,10.21,-21.61,-25.88
BTC,4h,c>ema100,3,L+S,12,14,85.7,103.42,-147.19,92.27,62.0,55.12,350.72,111.24,312.83,314.84,-147.19,95.11,219.98,67.52,89.79,-11.01,49.05,-34.8,52.29,-22.51,221.87,-73.0,94.4,301.98,59.79,-64.21,155.62,48.45,49.07,-11.78,26.7,10.21,-21.61,-25.88
BTC,1d,c>ema50,2,L+S,12,14,85.7,92.73,-32.37,48.86,15.1,55.12,340.97,1.1,202.19,327.38,164.89,-32.37,165.5,62.39,26.74,3.23,32.89,-19.01,21.7,0.61,221.87,-73.0,94.4,301.98,59.79,-64.21,155.62,48.45,49.07,-11.78,26.7,10.21,-21.61,-25.88
BTC,1d,ema10/30,3,L+S,11,14,78.6,183.03,-149.29,53.58,7.0,55.12,610.87,70.39,585.65,593.02,375.67,-149.29,257.79,103.55,51.26,-24.81,67.41,-14.88,1.32,34.48,221.87,-73.0,94.4,301.98,59.79,-64.21,155.62,48.45,49.07,-11.78,26.7,10.21,-21.61,-25.88
BTC,1d,c>ema100,3,L,11,14,78.6,137.3,-238.97,29.41,4.9,55.12,659.76,-238.97,355.45,544.2,223.74,-6.44,189.74,101.32,98.3,-36.19,58.13,11.55,-33.72,-4.65,221.87,-73.0,94.4,301.98,59.79,-64.21,155.62,48.45,49.07,-11.78,26.7,10.21,-21.61,-25.88
BTC,4h,c>ema200,3,L,11,14,78.6,134.69,-124.37,44.84,19.8,55.12,363.92,-124.37,446.49,592.76,237.96,-57.09,260.89,111.72,66.66,-36.37,45.2,-6.44,-12.45,-3.28,221.87,-73.0,94.4,301.98,59.79,-64.21,155.62,48.45,49.07,-11.78,26.7,10.21,-21.61,-25.88
BTC,4h,ema50/200,2,L+S,11,14,78.6,117.19,-103.59,39.5,7.4,55.12,388.74,-18.92,361.28,393.16,271.63,-103.59,168.97,72.64,45.29,-4.34,44.08,-7.68,7.64,21.82,221.87,-73.0,94.4,301.98,59.79,-64.21,155.62,48.45,49.07,-11.78,26.7,10.21,-21.61,-25.88
BTC,1d,st3.0,3,L,11,14,78.6,110.61,-171.72,26.77,2.9,55.12,248.08,-130.7,375.81,592.63,261.9,-171.72,227.36,59.85,107.31,-36.56,35.39,12.2,-15.19,-17.83,221.87,-73.0,94.4,301.98,59.79,-64.21,155.62,48.45,49.07,-11.78,26.7,10.21,-21.61,-25.88
BTC,1d,ema5/20,3,L+S,11,14,78.6,105.78,-66.92,84.62,13.2,55.12,315.64,-13.24,318.13,554.68,89.9,-23.55,98.06,91.65,67.54,-51.11,78.65,-66.92,-15.78,37.24,221.87,-73.0,94.4,301.98,59.79,-64.21,155.62,48.45,49.07,-11.78,26.7,10.21,-21.61,-25.88
BTC,1d,c>ema50,2,L,11,14,78.6,90.09,-108.33,31.53,7.4,55.12,374.26,-108.33,224.67,377.9,168.03,-104.91,193.63,77.36,62.82,-10.66,38.75,-0.45,-11.22,-20.59,221.87,-73.0,94.4,301.98,59.79,-64.21,155.62,48.45,49.07,-11.78,26.7,10.21,-21.61,-25.88
BTC,1d,st2.0,2,L,11,14,78.6,71.23,-120.71,30.76,4.9,55.12,226.0,-49.18,181.93,404.72,78.88,-120.71,159.86,87.99,82.52,-56.32,37.29,-15.86,-8.0,-11.89,221.87,-73.0,94.4,301.98,59.79,-64.21,155.62,48.45,49.07,-11.78,26.7,10.21,-21.61,-25.88
BTC,4h,c>ema200,3,L+S,10,14,71.4,142.3,-43.65,75.27,39.9,55.12,251.68,71.8,452.74,528.43,263.61,140.63,187.27,78.96,-13.33,-36.53,12.45,-43.65,42.11,56.07,221.87,-73.0,94.4,301.98,59.79,-64.21,155.62,48.45,49.07,-11.78,26.7,10.21,-21.61,-25.88
BTC,1d,ema10/50,3,L,10,14,71.4,135.27,-210.75,29.14,2.9,55.12,625.06,-210.75,403.17,582.59,228.47,-124.67,205.98,101.38,88.16,5.39,35.39,10.13,-37.28,-19.21,221.87,-73.0,94.4,301.98,59.79,-64.21,155.62,48.45,49.07,-11.78,26.7,10.21,-21.61,-25.88
BTC,1d,ema20/50,3,L,10,14,71.4,130.95,-197.26,24.66,2.1,55.12,600.02,-197.26,387.53,562.02,246.79,-134.45,224.6,83.42,86.44,3.29,33.47,7.28,-48.23,-21.66,221.87,-73.0,94.4,301.98,59.79,-64.21,155.62,48.45,49.07,-11.78,26.7,10.21,-21.61,-25.88
