coin,tf,signal,lev,mode,period,bh_ret,ret,beat_bh,n_trades,win_rate,max_dd
BTC,1h,ema10/30,1,L,bull_2017h2,221.87,124.69,False,50,0.42,15.16
BTC,1h,ema10/30,1,L+S,bull_2017h2,221.87,111.62,False,100,0.35,20.23
BTC,1h,ema10/30,2,L,bull_2017h2,221.87,249.38,True,50,0.42,30.32
BTC,1h,ema10/30,2,L+S,bull_2017h2,221.87,223.25,True,100,0.35,40.46
BTC,1h,ema10/30,3,L,bull_2017h2,221.87,374.07,True,50,0.42,45.48
BTC,1h,ema10/30,3,L+S,bull_2017h2,221.87,334.87,True,100,0.35,60.68
BTC,1h,ema20/50,1,L,bull_2017h2,221.87,127.24,False,25,0.52,12.03
BTC,1h,ema20/50,1,L+S,bull_2017h2,221.87,117.19,False,50,0.42,20.04
BTC,1h,ema20/50,2,L,bull_2017h2,221.87,254.49,True,25,0.52,24.07
BTC,1h,ema20/50,2,L+S,bull_2017h2,221.87,234.38,True,50,0.42,40.08
BTC,1h,ema20/50,3,L,bull_2017h2,221.87,381.73,True,25,0.52,36.1
BTC,1h,ema20/50,3,L+S,bull_2017h2,221.87,351.58,True,50,0.42,60.13
BTC,1h,ema20/100,1,L,bull_2017h2,221.87,116.03,False,19,0.421,15.79
BTC,1h,ema20/100,1,L+S,bull_2017h2,221.87,92.74,False,39,0.333,20.53
BTC,1h,ema20/100,2,L,bull_2017h2,221.87,232.06,True,19,0.421,31.59
BTC,1h,ema20/100,2,L+S,bull_2017h2,221.87,185.48,False,39,0.333,41.05
BTC,1h,ema20/100,3,L,bull_2017h2,221.87,348.09,True,19,0.421,47.38
BTC,1h,ema20/100,3,L+S,bull_2017h2,221.87,278.21,True,39,0.333,61.58
BTC,1h,ema50/200,1,L,bull_2017h2,221.87,143.1,False,8,0.5,17.19
BTC,1h,ema50/200,1,L+S,bull_2017h2,221.87,112.73,False,17,0.412,20.59
BTC,1h,ema50/200,2,L,bull_2017h2,221.87,286.2,True,8,0.5,34.39
BTC,1h,ema50/200,2,L+S,bull_2017h2,221.87,225.46,True,17,0.412,41.17
BTC,1h,ema50/200,3,L,bull_2017h2,221.87,429.3,True,8,0.5,51.58
BTC,1h,ema50/200,3,L+S,bull_2017h2,221.87,338.19,True,17,0.412,61.76
BTC,1h,ema5/20,1,L,bull_2017h2,221.87,85.8,False,103,0.282,25.49
BTC,1h,ema5/20,1,L+S,bull_2017h2,221.87,32.88,False,206,0.248,30.62
BTC,1h,ema5/20,2,L,bull_2017h2,221.87,171.59,False,103,0.282,50.99
BTC,1h,ema5/20,2,L+S,bull_2017h2,221.87,65.76,False,206,0.248,61.24
BTC,1h,ema5/20,3,L,bull_2017h2,221.87,257.39,True,103,0.282,76.48
BTC,1h,ema5/20,3,L+S,bull_2017h2,221.87,98.65,False,206,0.248,91.86
BTC,1h,ema10/50,1,L,bull_2017h2,221.87,113.62,False,38,0.395,17.99
BTC,1h,ema10/50,1,L+S,bull_2017h2,221.87,85.1,False,76,0.329,25.46
BTC,1h,ema10/50,2,L,bull_2017h2,221.87,227.24,True,38,0.395,35.98
BTC,1h,ema10/50,2,L+S,bull_2017h2,221.87,170.2,False,76,0.329,50.92
BTC,1h,ema10/50,3,L,bull_2017h2,221.87,340.87,True,38,0.395,53.97
BTC,1h,ema10/50,3,L+S,bull_2017h2,221.87,255.29,True,76,0.329,76.38
BTC,1h,c>ema50,1,L,bull_2017h2,221.87,65.08,False,120,0.233,35.06
BTC,1h,c>ema50,1,L+S,bull_2017h2,221.87,-7.78,False,240,0.2,52.72
BTC,1h,c>ema50,2,L,bull_2017h2,221.87,130.17,False,120,0.233,70.12
BTC,1h,c>ema50,2,L+S,bull_2017h2,221.87,-15.56,False,240,0.2,105.45
BTC,1h,c>ema50,3,L,bull_2017h2,221.87,195.25,False,120,0.233,105.18
BTC,1h,c>ema50,3,L+S,bull_2017h2,221.87,-23.34,False,240,0.2,158.17
BTC,1h,c>ema100,1,L,bull_2017h2,221.87,69.92,False,79,0.241,30.75
BTC,1h,c>ema100,1,L+S,bull_2017h2,221.87,-1.72,False,158,0.19,45.29
BTC,1h,c>ema100,2,L,bull_2017h2,221.87,139.84,False,79,0.241,61.5
BTC,1h,c>ema100,2,L+S,bull_2017h2,221.87,-3.43,False,158,0.19,90.58
BTC,1h,c>ema100,3,L,bull_2017h2,221.87,209.76,False,79,0.241,92.25
BTC,1h,c>ema100,3,L+S,bull_2017h2,221.87,-5.15,False,158,0.19,135.87
BTC,1h,c>ema200,1,L,bull_2017h2,221.87,85.74,False,54,0.204,29.57
BTC,1h,c>ema200,1,L+S,bull_2017h2,221.87,32.55,False,109,0.193,45.86
BTC,1h,c>ema200,2,L,bull_2017h2,221.87,171.49,False,54,0.204,59.14
BTC,1h,c>ema200,2,L+S,bull_2017h2,221.87,65.09,False,109,0.193,91.72
BTC,1h,c>ema200,3,L,bull_2017h2,221.87,257.23,True,54,0.204,88.71
BTC,1h,c>ema200,3,L+S,bull_2017h2,221.87,97.64,False,109,0.193,137.58
BTC,1h,macd12/26,1,L,bull_2017h2,221.87,43.51,False,131,0.382,36.89
BTC,1h,macd12/26,1,L+S,bull_2017h2,221.87,-50.98,False,262,0.317,95.66
BTC,1h,macd12/26,2,L,bull_2017h2,221.87,87.02,False,131,0.382,73.79
BTC,1h,macd12/26,2,L+S,bull_2017h2,221.87,-101.97,False,262,0.317,191.32
BTC,1h,macd12/26,3,L,bull_2017h2,221.87,130.54,False,131,0.382,110.68
BTC,1h,macd12/26,3,L+S,bull_2017h2,221.87,-152.95,False,262,0.317,286.98
BTC,1h,macd26/52,1,L,bull_2017h2,221.87,96.64,False,57,0.474,30.57
BTC,1h,macd26/52,1,L+S,bull_2017h2,221.87,54.39,False,114,0.404,43.4
BTC,1h,macd26/52,2,L,bull_2017h2,221.87,193.29,False,57,0.474,61.14
BTC,1h,macd26/52,2,L+S,bull_2017h2,221.87,108.78,False,114,0.404,86.8
