coin,tf,signal,lev,mode,beat_cnt,total_periods,beat_pct,avg_ret,min_ret,max_dd_avg,avg_trades,avg_bh,bull_2017h2_ret,bear_2018_ret,range_2019_ret,bull_2020_ret,bull_2021_ret,bear_2022_ret,bull_2023_ret,range_2024h1_ret,bull_2024h2_ret,bear_2025q1_ret,bull_2025q2_ret,bull_2025q3_ret,bear_2025q4_ret,bear_2026q1_ret,bull_2017h2_bh,bear_2018_bh,range_2019_bh,bull_2020_bh,bull_2021_bh,bear_2022_bh,bull_2023_bh,range_2024h1_bh,bull_2024h2_bh,bear_2025q1_bh,bull_2025q2_bh,bull_2025q3_bh,bear_2025q4_bh,bear_2026q1_bh
ETH,4h,c>ema200,3,L,13,14,92.9,141.15,-55.99,70.23,19.9,71.89,84.73,-55.99,176.75,533.05,646.18,-24.74,170.07,95.18,111.2,-43.19,114.13,221.79,-30.16,-22.85,143.74,-82.07,-1.74,470.16,399.2,-67.46,90.77,50.67,-2.92,-45.4,38.72,82.14,-35.04,-34.32
ETH,4h,ema20/100,3,L,13,14,92.9,130.05,-70.21,63.73,8.6,71.89,256.57,-69.04,80.55,583.42,654.65,-9.46,104.05,117.11,17.04,-40.49,121.98,107.21,-70.21,-32.64,143.74,-82.07,-1.74,470.16,399.2,-67.46,90.77,50.67,-2.92,-45.4,38.72,82.14,-35.04,-34.32
ETH,4h,ema20/100,3,L+S,12,14,85.7,144.9,-21.85,103.69,17.4,71.89,182.25,173.72,103.57,472.91,604.64,184.95,-16.07,69.17,33.03,83.79,127.96,12.11,-21.85,18.48,143.74,-82.07,-1.74,470.16,399.2,-67.46,90.77,50.67,-2.92,-45.4,38.72,82.14,-35.04,-34.32
ETH,1d,macd26/52,3,L,12,14,85.7,136.8,-37.68,41.06,4.0,71.89,351.74,10.7,-18.7,597.49,550.52,67.76,175.74,4.22,24.48,-37.68,98.23,121.51,0.0,-30.75,143.74,-82.07,-1.74,470.16,399.2,-67.46,90.77,50.67,-2.92,-45.4,38.72,82.14,-35.04,-34.32
ETH,1h,ema20/50,3,L,12,14,85.7,130.51,-169.65,87.65,49.2,71.89,202.19,284.42,69.88,670.52,427.6,-10.94,116.39,116.76,73.03,-169.65,44.78,89.93,-17.62,-70.16,143.74,-82.07,-1.74,470.16,399.2,-67.46,90.77,50.67,-2.92,-45.4,38.72,82.14,-35.04,-34.32
ETH,4h,c>ema200,2,L,12,14,85.7,94.1,-37.33,46.82,19.9,71.89,56.49,-37.33,117.83,355.37,430.79,-16.49,113.38,63.45,74.13,-28.79,76.08,147.86,-20.1,-15.24,143.74,-82.07,-1.74,470.16,399.2,-67.46,90.77,50.67,-2.92,-45.4,38.72,82.14,-35.04,-34.32
ETH,1d,macd26/52,3,L+S,11,14,78.6,157.84,-121.52,76.95,8.1,71.89,282.41,384.78,-97.32,538.81,435.34,321.72,124.42,-121.52,40.19,76.11,67.11,33.1,101.27,23.35,143.74,-82.07,-1.74,470.16,399.2,-67.46,90.77,50.67,-2.92,-45.4,38.72,82.14,-35.04,-34.32
ETH,1d,ema5/20,3,L+S,11,14,78.6,150.46,-57.54,98.62,11.7,71.89,283.42,399.86,17.42,598.91,474.19,-4.63,49.41,-57.54,-36.06,80.87,138.91,170.51,-21.81,13.04,143.74,-82.07,-1.74,470.16,399.2,-67.46,90.77,50.67,-2.92,-45.4,38.72,82.14,-35.04,-34.32
ETH,4h,c>ema200,3,L+S,11,14,78.6,142.72,-446.02,137.72,39.9,71.89,-446.02,197.02,289.71,398.11,575.89,182.72,116.37,36.26,205.31,50.66,111.15,192.33,56.69,31.85,143.74,-82.07,-1.74,470.16,399.2,-67.46,90.77,50.67,-2.92,-45.4,38.72,82.14,-35.04,-34.32
ETH,4h,macd26/52,3,L,11,14,78.6,139.9,-126.81,68.52,23.9,71.89,188.13,214.1,201.52,536.65,329.42,96.49,200.68,139.51,79.14,-126.81,71.11,99.4,-31.64,-39.07,143.74,-82.07,-1.74,470.16,399.2,-67.46,90.77,50.67,-2.92,-45.4,38.72,82.14,-35.04,-34.32
