coin,tf,signal,lev,mode,period,bh_ret,ret,beat_bh,n_trades,win_rate,max_dd
ETH,1h,ema10/30,1,L,bull_2017h2,143.74,-6.0,False,56,0.393,54.35
ETH,1h,ema10/30,1,L+S,bull_2017h2,143.74,-181.37,False,112,0.312,184.21
ETH,1h,ema10/30,2,L,bull_2017h2,143.74,-12.0,False,56,0.393,108.71
ETH,1h,ema10/30,2,L+S,bull_2017h2,143.74,-362.74,False,112,0.312,368.41
ETH,1h,ema10/30,3,L,bull_2017h2,143.74,-18.0,False,56,0.393,163.06
ETH,1h,ema10/30,3,L+S,bull_2017h2,143.74,-544.11,False,112,0.312,552.62
ETH,1h,ema20/50,1,L,bull_2017h2,143.74,67.4,False,30,0.4,25.99
ETH,1h,ema20/50,1,L+S,bull_2017h2,143.74,19.61,False,60,0.3,52.38
ETH,1h,ema20/50,2,L,bull_2017h2,143.74,134.79,False,30,0.4,51.98
ETH,1h,ema20/50,2,L+S,bull_2017h2,143.74,39.22,False,60,0.3,104.77
ETH,1h,ema20/50,3,L,bull_2017h2,143.74,202.19,True,30,0.4,77.97
ETH,1h,ema20/50,3,L+S,bull_2017h2,143.74,58.83,False,60,0.3,157.15
ETH,1h,ema20/100,1,L,bull_2017h2,143.74,54.21,False,22,0.273,37.01
ETH,1h,ema20/100,1,L+S,bull_2017h2,143.74,-4.95,False,44,0.25,71.05
ETH,1h,ema20/100,2,L,bull_2017h2,143.74,108.42,False,22,0.273,74.02
ETH,1h,ema20/100,2,L+S,bull_2017h2,143.74,-9.91,False,44,0.25,142.1
ETH,1h,ema20/100,3,L,bull_2017h2,143.74,162.64,True,22,0.273,111.04
ETH,1h,ema20/100,3,L+S,bull_2017h2,143.74,-14.86,False,44,0.25,213.16
ETH,1h,ema50/200,1,L,bull_2017h2,143.74,22.16,False,17,0.294,31.51
ETH,1h,ema50/200,1,L+S,bull_2017h2,143.74,-65.55,False,34,0.176,75.29
ETH,1h,ema50/200,2,L,bull_2017h2,143.74,44.31,False,17,0.294,63.01
ETH,1h,ema50/200,2,L+S,bull_2017h2,143.74,-131.1,False,34,0.176,150.58
ETH,1h,ema50/200,3,L,bull_2017h2,143.74,66.47,False,17,0.294,94.52
ETH,1h,ema50/200,3,L+S,bull_2017h2,143.74,-196.66,False,34,0.176,225.87
ETH,1h,ema5/20,1,L,bull_2017h2,143.74,71.11,False,99,0.323,23.78
ETH,1h,ema5/20,1,L+S,bull_2017h2,143.74,29.44,False,198,0.278,51.38
ETH,1h,ema5/20,2,L,bull_2017h2,143.74,142.21,False,99,0.323,47.55
ETH,1h,ema5/20,2,L+S,bull_2017h2,143.74,58.89,False,198,0.278,102.77
ETH,1h,ema5/20,3,L,bull_2017h2,143.74,213.32,True,99,0.323,71.33
ETH,1h,ema5/20,3,L+S,bull_2017h2,143.74,88.33,False,198,0.278,154.15
ETH,1h,ema10/50,1,L,bull_2017h2,143.74,61.81,False,42,0.31,28.24
ETH,1h,ema10/50,1,L+S,bull_2017h2,143.74,0.34,False,84,0.262,59.54
ETH,1h,ema10/50,2,L,bull_2017h2,143.74,123.63,False,42,0.31,56.49
ETH,1h,ema10/50,2,L+S,bull_2017h2,143.74,0.68,False,84,0.262,119.07
ETH,1h,ema10/50,3,L,bull_2017h2,143.74,185.44,True,42,0.31,84.73
ETH,1h,ema10/50,3,L+S,bull_2017h2,143.74,1.02,False,84,0.262,178.61
ETH,1h,c>ema50,1,L,bull_2017h2,143.74,-3.45,False,143,0.28,57.89
ETH,1h,c>ema50,1,L+S,bull_2017h2,143.74,-179.33,False,286,0.245,186.81
