coin,tf,signal,lev,mode,beat_cnt,total_periods,beat_pct,avg_ret,min_ret,max_dd_avg,avg_trades,avg_bh,bull_2017h2_ret,bear_2018_ret,range_2019_ret,bull_2020_ret,bull_2021_ret,bear_2022_ret,bull_2023_ret,range_2024h1_ret,bull_2024h2_ret,bear_2025q1_ret,bull_2025q2_ret,bull_2025q3_ret,bear_2025q4_ret,bear_2026q1_ret,bull_2017h2_bh,bear_2018_bh,range_2019_bh,bull_2020_bh,bull_2021_bh,bear_2022_bh,bull_2023_bh,range_2024h1_bh,bull_2024h2_bh,bear_2025q1_bh,bull_2025q2_bh,bull_2025q3_bh,bear_2025q4_bh,bear_2026q1_bh
SOL,1d,c>ema50,3,L,7,11,63.6,696.07,-340.87,84.18,6.9,1089.31,,,,-340.87,6728.56,-173.15,1277.12,83.02,71.03,0.66,34.55,92.77,-103.1,-13.87,,,,-47.11,11166.57,-94.14,920.26,44.13,29.12,-34.21,25.63,53.25,-44.33,-36.81
SOL,1d,st2.0,3,L+S,7,11,63.6,683.8,-219.22,102.32,8.0,1089.31,,,,5.57,6078.04,444.2,1234.59,35.76,-200.62,-219.22,39.32,139.74,-10.84,-24.71,,,,-47.11,11166.57,-94.14,920.26,44.13,29.12,-34.21,25.63,53.25,-44.33,-36.81
SOL,1d,st3.0,3,L+S,7,11,63.6,532.06,-71.85,78.52,4.7,1089.31,,,,-71.85,4470.33,236.9,992.57,54.01,110.9,-8.13,3.47,-51.02,84.51,30.92,,,,-47.11,11166.57,-94.14,920.26,44.13,29.12,-34.21,25.63,53.25,-44.33,-36.81
SOL,4h,c>ema200,3,L,7,11,63.6,389.44,-254.46,93.4,18.8,1089.31,,,,-254.46,3257.26,-191.79,1248.15,58.16,66.96,18.36,73.16,81.52,-76.44,2.92,,,,-47.11,11166.57,-94.14,920.26,44.13,29.12,-34.21,25.63,53.25,-44.33,-36.81
SOL,4h,ema20/100,3,L+S,7,11,63.6,387.48,-287.76,133.43,14.5,1089.31,,,,-287.76,3105.28,228.27,1011.57,46.15,-64.38,25.66,64.47,12.74,22.19,98.07,,,,-47.11,11166.57,-94.14,920.26,44.13,29.12,-34.21,25.63,53.25,-44.33,-36.81
SOL,4h,c>ema200,3,L+S,7,11,63.6,379.11,-352.63,160.83,38.2,1089.31,,,,-352.63,2934.84,201.76,1072.82,-39.5,31.92,133.13,71.63,13.62,2.44,100.21,,,,-47.11,11166.57,-94.14,920.26,44.13,29.12,-34.21,25.63,53.25,-44.33,-36.81
SOL,1h,ema10/30,2,L+S,7,11,63.6,82.69,-105.84,114.03,152.1,1089.31,,,,-4.22,556.76,23.77,359.18,11.51,63.81,-27.01,-105.84,103.14,-39.88,-31.68,,,,-47.11,11166.57,-94.14,920.26,44.13,29.12,-34.21,25.63,53.25,-44.33,-36.81
SOL,1d,st3.0,3,L,6,11,54.5,508.69,-193.87,34.14,2.2,1089.31,,,,-137.28,4583.57,-193.87,1197.31,81.34,102.19,-57.83,35.18,45.27,-27.39,-32.93,,,,-47.11,11166.57,-94.14,920.26,44.13,29.12,-34.21,25.63,53.25,-44.33,-36.81
SOL,1d,st2.0,2,L+S,6,11,54.5,455.87,-146.15,68.22,8.0,1089.31,,,,3.71,4052.02,296.13,823.06,23.84,-133.75,-146.15,26.21,93.16,-7.22,-16.47,,,,-47.11,11166.57,-94.14,920.26,44.13,29.12,-34.21,25.63,53.25,-44.33,-36.81
SOL,1d,ema5/20,3,L+S,6,11,54.5,342.29,-223.08,146.03,11.8,1089.31,,,,-223.08,2914.23,59.89,1125.12,-114.51,-137.04,-45.44,59.11,92.67,-35.34,69.56,,,,-47.11,11166.57,-94.14,920.26,44.13,29.12,-34.21,25.63,53.25,-44.33,-36.81
