coin,tf,signal,lev,mode,period,bh_ret,ret,beat_bh,n_trades,win_rate,max_dd
SOL,1h,ema10/30,1,L,bull_2020,-47.11,-16.31,True,56,0.268,45.28
SOL,1h,ema10/30,1,L+S,bull_2020,-47.11,-2.11,True,113,0.319,76.24
SOL,1h,ema10/30,2,L,bull_2020,-47.11,-32.62,True,56,0.268,90.57
SOL,1h,ema10/30,2,L+S,bull_2020,-47.11,-4.22,True,113,0.319,152.49
SOL,1h,ema10/30,3,L,bull_2020,-47.11,-48.93,False,56,0.268,135.85
SOL,1h,ema10/30,3,L+S,bull_2020,-47.11,-6.33,True,113,0.319,228.73
SOL,1h,ema20/50,1,L,bull_2020,-47.11,-25.87,True,31,0.258,46.52
SOL,1h,ema20/50,1,L+S,bull_2020,-47.11,-13.05,True,63,0.286,81.09
SOL,1h,ema20/50,2,L,bull_2020,-47.11,-51.74,False,31,0.258,93.04
SOL,1h,ema20/50,2,L+S,bull_2020,-47.11,-26.1,True,63,0.286,162.18
SOL,1h,ema20/50,3,L,bull_2020,-47.11,-77.62,False,31,0.258,139.56
SOL,1h,ema20/50,3,L+S,bull_2020,-47.11,-39.16,True,63,0.286,243.28
SOL,1h,ema20/100,1,L,bull_2020,-47.11,-33.34,True,22,0.273,49.08
SOL,1h,ema20/100,1,L+S,bull_2020,-47.11,-25.87,True,44,0.273,66.68
SOL,1h,ema20/100,2,L,bull_2020,-47.11,-66.67,False,22,0.273,98.17
SOL,1h,ema20/100,2,L+S,bull_2020,-47.11,-51.75,False,44,0.273,133.35
SOL,1h,ema20/100,3,L,bull_2020,-47.11,-100.01,False,22,0.273,147.25
SOL,1h,ema20/100,3,L+S,bull_2020,-47.11,-77.62,False,44,0.273,200.03
SOL,1h,ema50/200,1,L,bull_2020,-47.11,-40.67,True,10,0.3,51.91
SOL,1h,ema50/200,1,L+S,bull_2020,-47.11,-25.35,True,20,0.4,38.1
SOL,1h,ema50/200,2,L,bull_2020,-47.11,-81.34,False,10,0.3,103.83
SOL,1h,ema50/200,2,L+S,bull_2020,-47.11,-50.7,False,20,0.4,76.2
SOL,1h,ema50/200,3,L,bull_2020,-47.11,-122.0,False,10,0.3,155.74
SOL,1h,ema50/200,3,L+S,bull_2020,-47.11,-76.05,False,20,0.4,114.3
SOL,1h,ema5/20,1,L,bull_2020,-47.11,-35.35,True,101,0.267,69.56
