coin,tf,signal,lev,mode,beat_cnt,total_periods,beat_pct,avg_ret,min_ret,max_dd_avg,avg_trades,avg_bh,bull_2017h2_ret,bear_2018_ret,range_2019_ret,bull_2020_ret,bull_2021_ret,bear_2022_ret,bull_2023_ret,range_2024h1_ret,bull_2024h2_ret,bear_2025q1_ret,bull_2025q2_ret,bull_2025q3_ret,bear_2025q4_ret,bear_2026q1_ret,bull_2017h2_bh,bear_2018_bh,range_2019_bh,bull_2020_bh,bull_2021_bh,bear_2022_bh,bull_2023_bh,range_2024h1_bh,bull_2024h2_bh,bear_2025q1_bh,bull_2025q2_bh,bull_2025q3_bh,bear_2025q4_bh,bear_2026q1_bh
XRP,1d,macd26/52,3,L+S,10,13,76.9,138.88,-329.88,96.93,8.1,41.0,,-78.79,43.3,677.88,329.28,230.92,-329.88,150.49,650.64,-94.81,11.12,78.97,72.58,63.68,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,1d,macd26/52,3,L,10,13,76.9,128.7,-145.56,42.51,3.8,41.0,,-145.56,-41.27,467.17,551.93,14.23,-34.52,40.79,793.73,-49.98,8.33,95.45,-6.66,-20.54,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,1d,macd26/52,2,L,10,13,76.9,85.8,-97.04,28.34,3.8,41.0,,-97.04,-27.52,311.45,367.95,9.48,-23.01,27.19,529.15,-33.32,5.56,63.63,-4.44,-13.69,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,4h,macd26/52,3,L,9,13,69.2,153.12,-124.3,70.74,23.2,41.0,,149.88,-124.3,484.18,727.7,65.27,266.61,-88.66,416.14,115.35,-27.07,65.75,11.26,-71.6,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,4h,ema20/50,3,L+S,9,13,69.2,141.37,-244.8,127.52,25.9,41.0,,183.13,-21.61,663.48,540.92,-13.11,83.56,-157.27,903.5,-244.8,-49.78,-1.51,-25.91,-22.79,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,1h,ema20/100,3,L+S,9,13,69.2,96.6,-296.05,151.69,70.6,41.0,,362.41,-240.02,571.05,395.33,-296.05,-127.09,-192.13,598.27,10.24,25.48,76.96,52.44,18.91,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,1d,macd26/52,2,L+S,9,13,69.2,92.58,-219.92,64.62,8.1,41.0,,-52.53,28.87,451.92,219.52,153.95,-219.92,100.32,433.76,-63.21,7.41,52.65,48.39,42.46,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,1h,ema20/100,2,L,9,13,69.2,68.81,-161.77,62.71,34.9,41.0,,58.73,-123.81,288.29,392.85,-161.77,38.29,-84.13,433.55,12.08,14.21,67.84,-13.7,-27.92,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,1h,st2.0,3,L+S,9,13,69.2,35.23,-544.86,217.72,196.5,41.0,,58.94,-103.22,25.23,668.5,34.46,-544.86,-295.85,358.37,163.04,-33.73,69.72,81.03,-23.62,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,1d,macd12/26,3,L+S,8,13,61.5,212.01,-256.12,136.26,15.4,41.0,,616.82,-132.68,878.93,620.97,85.44,-34.93,-18.96,975.76,-256.12,-4.12,103.38,-146.49,68.07,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,1d,macd12/26,3,L,8,13,61.5,182.76,-133.18,90.09,7.7,41.0,,244.98,-133.18,618.45,758.6,-47.82,119.88,-44.97,1001.87,-123.74,1.84,113.27,-117.26,-16.08,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,1d,macd12/26,2,L+S,8,13,61.5,141.34,-170.75,90.84,15.4,41.0,,411.22,-88.45,585.96,413.98,56.96,-23.29,-12.64,650.51,-170.75,-2.75,68.92,-97.66,45.38,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,4h,macd26/52,2,L+S,8,13,61.5,132.61,-83.18,75.92,46.7,41.0,,286.19,-80.9,473.63,445.9,215.09,173.11,-83.18,154.44,133.34,-49.41,5.92,77.44,-27.61,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,4h,ema10/50,3,L,8,13,61.5,129.41,-157.14,92.27,17.9,41.0,,19.8,-132.99,515.42,541.36,-157.14,114.64,-123.14,995.52,-67.13,21.42,57.29,-82.93,-19.82,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,4h,ema10/30,3,L,8,13,61.5,125.56,-226.56,91.21,23.8,41.0,,41.59,-175.98,543.71,546.78,-226.56,97.33,-136.23,974.56,-9.42,24.59,43.62,-25.36,-66.38,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,1h,ema20/100,3,L,8,13,61.5,103.21,-242.65,94.06,34.9,41.0,,88.09,-185.72,432.43,589.28,-242.65,57.43,-126.19,650.33,18.12,21.32,101.76,-20.54,-41.87,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,4h,macd26/52,2,L,8,13,61.5,102.08,-82.86,47.16,23.2,41.0,,99.92,-82.86,322.79,485.14,43.51,177.74,-59.1,277.43,76.9,-18.05,43.84,7.51,-47.73,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,1d,st2.0,3,L+S,8,13,61.5,99.37,-418.5,111.21,8.8,41.0,,-93.41,-24.98,533.4,318.82,149.87,-418.5,14.73,821.33,-106.56,-8.93,3.83,9.79,92.44,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,4h,ema20/50,2,L+S,8,13,61.5,94.25,-163.2,85.01,25.9,41.0,,122.09,-14.41,442.32,360.61,-8.74,55.7,-104.85,602.33,-163.2,-33.18,-1.01,-17.27,-15.19,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,4h,ema5/20,3,L+S,8,13,61.5,81.69,-328.81,169.12,79.9,41.0,,361.81,-287.28,473.09,587.73,-328.81,-277.32,-172.29,639.33,18.36,12.59,16.82,3.78,14.19,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,4h,ema20/100,2,L,8,13,61.5,74.83,-67.54,47.65,8.7,41.0,,-21.78,-28.23,278.04,253.99,-47.25,100.89,-63.24,578.08,-49.57,-7.32,45.64,-67.54,1.12,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,1d,st2.0,2,L,8,13,61.5,69.61,-96.77,34.77,4.1,41.0,,-96.77,-49.12,251.29,336.44,-6.88,-49.57,-21.8,569.78,-40.55,-1.03,40.96,-25.92,-1.85,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
XRP,4h,macd26/52,1,L+S,8,13,61.5,66.31,-41.59,37.96,46.7,41.0,,143.09,-40.45,236.82,222.95,107.54,86.56,-41.59,77.22,66.67,-24.7,2.96,38.72,-13.81,,-30.3,-44.66,13.87,277.94,-59.16,81.65,-22.65,337.64,0.3,4.01,39.28,-28.83,-36.14
