coin,tf,signal,lev,mode,period,bh_ret,ret,beat_bh,n_trades,win_rate,max_dd
XRP,1h,ema10/30,1,L,bear_2018,-30.3,24.22,True,95,0.211,49.0
XRP,1h,ema10/30,1,L+S,bear_2018,-30.3,98.66,True,191,0.298,48.89
XRP,1h,ema10/30,2,L,bear_2018,-30.3,48.43,True,95,0.211,98.0
XRP,1h,ema10/30,2,L+S,bear_2018,-30.3,197.32,True,191,0.298,97.78
XRP,1h,ema10/30,3,L,bear_2018,-30.3,72.65,True,95,0.211,147.0
XRP,1h,ema10/30,3,L+S,bear_2018,-30.3,295.97,True,191,0.298,146.68
XRP,1h,ema20/50,1,L,bear_2018,-30.3,48.52,True,47,0.234,24.39
XRP,1h,ema20/50,1,L+S,bear_2018,-30.3,148.29,True,95,0.337,43.95
XRP,1h,ema20/50,2,L,bear_2018,-30.3,97.05,True,47,0.234,48.78
XRP,1h,ema20/50,2,L+S,bear_2018,-30.3,296.57,True,95,0.337,87.89
XRP,1h,ema20/50,3,L,bear_2018,-30.3,145.57,True,47,0.234,73.17
XRP,1h,ema20/50,3,L+S,bear_2018,-30.3,444.86,True,95,0.337,131.84
XRP,1h,ema20/100,1,L,bear_2018,-30.3,29.36,True,37,0.189,17.82
XRP,1h,ema20/100,1,L+S,bear_2018,-30.3,120.8,True,75,0.293,34.82
XRP,1h,ema20/100,2,L,bear_2018,-30.3,58.73,True,37,0.189,35.65
XRP,1h,ema20/100,2,L+S,bear_2018,-30.3,241.6,True,75,0.293,69.65
XRP,1h,ema20/100,3,L,bear_2018,-30.3,88.09,True,37,0.189,53.47
XRP,1h,ema20/100,3,L+S,bear_2018,-30.3,362.41,True,75,0.293,104.47
XRP,1h,ema50/200,1,L,bear_2018,-30.3,1.81,True,17,0.176,31.46
XRP,1h,ema50/200,1,L+S,bear_2018,-30.3,67.04,True,35,0.286,46.3
XRP,1h,ema50/200,2,L,bear_2018,-30.3,3.62,True,17,0.176,62.91
XRP,1h,ema50/200,2,L+S,bear_2018,-30.3,134.07,True,35,0.286,92.59
XRP,1h,ema50/200,3,L,bear_2018,-30.3,5.43,True,17,0.176,94.37
XRP,1h,ema50/200,3,L+S,bear_2018,-30.3,201.11,True,35,0.286,138.89
XRP,1h,ema5/20,1,L,bear_2018,-30.3,-65.94,False,185,0.162,74.13
XRP,1h,ema5/20,1,L+S,bear_2018,-30.3,-72.63,False,371,0.229,91.72
XRP,1h,ema5/20,2,L,bear_2018,-30.3,-131.87,False,185,0.162,148.27
XRP,1h,ema5/20,2,L+S,bear_2018,-30.3,-145.27,False,371,0.229,183.44
XRP,1h,ema5/20,3,L,bear_2018,-30.3,-197.81,False,185,0.162,222.4
XRP,1h,ema5/20,3,L+S,bear_2018,-30.3,-217.9,False,371,0.229,275.16
XRP,1h,ema10/50,1,L,bear_2018,-30.3,33.53,True,72,0.222,32.84
XRP,1h,ema10/50,1,L+S,bear_2018,-30.3,119.23,True,145,0.29,46.83
XRP,1h,ema10/50,2,L,bear_2018,-30.3,67.06,True,72,0.222,65.69
XRP,1h,ema10/50,2,L+S,bear_2018,-30.3,238.46,True,145,0.29,93.65
XRP,1h,ema10/50,3,L,bear_2018,-30.3,100.59,True,72,0.222,98.53
XRP,1h,ema10/50,3,L+S,bear_2018,-30.3,357.7,True,145,0.29,140.48
XRP,1h,c>ema50,1,L,bear_2018,-30.3,-33.41,False,245,0.114,67.91
XRP,1h,c>ema50,1,L+S,bear_2018,-30.3,-12.4,True,491,0.161,61.65
XRP,1h,c>ema50,2,L,bear_2018,-30.3,-66.82,False,245,0.114,135.81
XRP,1h,c>ema50,2,L+S,bear_2018,-30.3,-24.8,True,491,0.161,123.29
XRP,1h,c>ema50,3,L,bear_2018,-30.3,-100.23,False,245,0.114,203.72
XRP,1h,c>ema50,3,L+S,bear_2018,-30.3,-37.2,False,491,0.161,184.94
XRP,1h,c>ema100,1,L,bear_2018,-30.3,-28.85,True,167,0.114,53.96
XRP,1h,c>ema100,1,L+S,bear_2018,-30.3,-3.71,True,335,0.119,76.85
XRP,1h,c>ema100,2,L,bear_2018,-30.3,-57.7,False,167,0.114,107.91
XRP,1h,c>ema100,2,L+S,bear_2018,-30.3,-7.42,True,335,0.119,153.7
XRP,1h,c>ema100,3,L,bear_2018,-30.3,-86.55,False,167,0.114,161.87
XRP,1h,c>ema100,3,L+S,bear_2018,-30.3,-11.13,True,335,0.119,230.56
XRP,1h,c>ema200,1,L,bear_2018,-30.3,4.45,True,104,0.125,36.24
XRP,1h,c>ema200,1,L+S,bear_2018,-30.3,69.42,True,209,0.134,49.77
XRP,1h,c>ema200,2,L,bear_2018,-30.3,8.9,True,104,0.125,72.48
XRP,1h,c>ema200,2,L+S,bear_2018,-30.3,138.85,True,209,0.134,99.54
XRP,1h,c>ema200,3,L,bear_2018,-30.3,13.34,True,104,0.125,108.71
XRP,1h,c>ema200,3,L+S,bear_2018,-30.3,208.27,True,209,0.134,149.32
XRP,1h,macd12/26,1,L,bear_2018,-30.3,3.7,True,214,0.304,54.9
XRP,1h,macd12/26,1,L+S,bear_2018,-30.3,65.1,True,429,0.347,57.23
XRP,1h,macd12/26,2,L,bear_2018,-30.3,7.4,True,214,0.304,109.79
XRP,1h,macd12/26,2,L+S,bear_2018,-30.3,130.2,True,429,0.347,114.45
XRP,1h,macd12/26,3,L,bear_2018,-30.3,11.1,True,214,0.304,164.69
XRP,1h,macd12/26,3,L+S,bear_2018,-30.3,195.3,True,429,0.347,171.68
XRP,1h,macd26/52,1,L,bear_2018,-30.3,-28.93,True,100,0.27,63.77
XRP,1h,macd26/52,1,L+S,bear_2018,-30.3,4.47,True,201,0.323,53.16
XRP,1h,macd26/52,2,L,bear_2018,-30.3,-57.86,False,100,0.27,127.53
XRP,1h,macd26/52,2,L+S,bear_2018,-30.3,8.93,True,201,0.323,106.32
XRP,1h,macd26/52,3,L,bear_2018,-30.3,-86.79,False,100,0.27,191.3
XRP,1h,macd26/52,3,L+S,bear_2018,-30.3,13.4,True,201,0.323,159.48
XRP,1h,st2.0,1,L,bear_2018,-30.3,-19.78,True,99,0.303,71.03
XRP,1h,st2.0,1,L+S,bear_2018,-30.3,19.65,True,198,0.374,72.48
XRP,1h,st2.0,2,L,bear_2018,-30.3,-39.56,False,99,0.303,142.05
XRP,1h,st2.0,2,L+S,bear_2018,-30.3,39.29,True,198,0.374,144.97
XRP,1h,st2.0,3,L,bear_2018,-30.3,-59.34,False,99,0.303,213.08
XRP,1h,st2.0,3,L+S,bear_2018,-30.3,58.94,True,198,0.374,217.45
XRP,1h,st3.0,1,L,bear_2018,-30.3,6.22,True,55,0.255,66.89
XRP,1h,st3.0,1,L+S,bear_2018,-30.3,68.29,True,110,0.4,70.66
XRP,1h,st3.0,2,L,bear_2018,-30.3,12.45,True,55,0.255,133.77
XRP,1h,st3.0,2,L+S,bear_2018,-30.3,136.59,True,110,0.4,141.31
XRP,1h,st3.0,3,L,bear_2018,-30.3,18.67,True,55,0.255,200.66
XRP,1h,st3.0,3,L+S,bear_2018,-30.3,204.88,True,110,0.4,211.97
XRP,1h,ema10/30,1,L,range_2019,-44.66,-102.08,False,171,0.193,105.52
XRP,1h,ema10/30,1,L+S,range_2019,-44.66,-161.28,False,343,0.224,169.13
XRP,1h,ema10/30,2,L,range_2019,-44.66,-204.17,False,171,0.193,211.03
XRP,1h,ema10/30,2,L+S,range_2019,-44.66,-322.56,False,343,0.224,338.25
XRP,1h,ema10/30,3,L,range_2019,-44.66,-306.25,False,171,0.193,316.55
XRP,1h,ema10/30,3,L+S,range_2019,-44.66,-483.85,False,343,0.224,507.38
XRP,1h,ema20/50,1,L,range_2019,-44.66,-68.0,False,90,0.178,69.61
XRP,1h,ema20/50,1,L+S,range_2019,-44.66,-94.5,False,181,0.21,132.59
XRP,1h,ema20/50,2,L,range_2019,-44.66,-136.0,False,90,0.178,139.22
XRP,1h,ema20/50,2,L+S,range_2019,-44.66,-188.99,False,181,0.21,265.18
XRP,1h,ema20/50,3,L,range_2019,-44.66,-204.0,False,90,0.178,208.84
XRP,1h,ema20/50,3,L+S,range_2019,-44.66,-283.49,False,181,0.21,397.77
XRP,1h,ema20/100,1,L,range_2019,-44.66,-61.91,False,60,0.167,58.78
XRP,1h,ema20/100,1,L+S,range_2019,-44.66,-80.01,False,121,0.174,105.22
XRP,1h,ema20/100,2,L,range_2019,-44.66,-123.81,False,60,0.167,117.56
XRP,1h,ema20/100,2,L+S,range_2019,-44.66,-160.01,False,121,0.174,210.43
XRP,1h,ema20/100,3,L,range_2019,-44.66,-185.72,False,60,0.167,176.33
XRP,1h,ema20/100,3,L+S,range_2019,-44.66,-240.02,False,121,0.174,315.65
XRP,1h,ema50/200,1,L,range_2019,-44.66,-38.53,True,32,0.156,38.18
XRP,1h,ema50/200,1,L+S,range_2019,-44.66,-31.7,True,65,0.185,72.24
XRP,1h,ema50/200,2,L,range_2019,-44.66,-77.06,False,32,0.156,76.36
XRP,1h,ema50/200,2,L+S,range_2019,-44.66,-63.4,False,65,0.185,144.48
XRP,1h,ema50/200,3,L,range_2019,-44.66,-115.6,False,32,0.156,114.53
XRP,1h,ema50/200,3,L+S,range_2019,-44.66,-95.1,False,65,0.185,216.72
XRP,1h,ema5/20,1,L,range_2019,-44.66,-121.17,False,297,0.172,121.95
XRP,1h,ema5/20,1,L+S,range_2019,-44.66,-203.29,False,595,0.197,208.36
XRP,1h,ema5/20,2,L,range_2019,-44.66,-242.34,False,297,0.172,243.91
XRP,1h,ema5/20,2,L+S,range_2019,-44.66,-406.58,False,595,0.197,416.71
XRP,1h,ema5/20,3,L,range_2019,-44.66,-363.52,False,297,0.172,365.86
XRP,1h,ema5/20,3,L+S,range_2019,-44.66,-609.87,False,595,0.197,625.07
XRP,1h,ema10/50,1,L,range_2019,-44.66,-75.66,False,116,0.198,80.72
XRP,1h,ema10/50,1,L+S,range_2019,-44.66,-107.62,False,233,0.232,139.11
XRP,1h,ema10/50,2,L,range_2019,-44.66,-151.32,False,116,0.198,161.43
XRP,1h,ema10/50,2,L+S,range_2019,-44.66,-215.23,False,233,0.232,278.23
XRP,1h,ema10/50,3,L,range_2019,-44.66,-226.98,False,116,0.198,242.15
XRP,1h,ema10/50,3,L+S,range_2019,-44.66,-322.85,False,233,0.232,417.34
XRP,1h,c>ema50,1,L,range_2019,-44.66,-153.06,False,427,0.115,153.92
XRP,1h,c>ema50,1,L+S,range_2019,-44.66,-264.68,False,855,0.132,270.21
XRP,1h,c>ema50,2,L,range_2019,-44.66,-306.12,False,427,0.115,307.83
XRP,1h,c>ema50,2,L+S,range_2019,-44.66,-529.36,False,855,0.132,540.43
XRP,1h,c>ema50,3,L,range_2019,-44.66,-459.17,False,427,0.115,461.75
XRP,1h,c>ema50,3,L+S,range_2019,-44.66,-794.04,False,855,0.132,810.64
XRP,1h,c>ema100,1,L,range_2019,-44.66,-109.41,False,273,0.117,108.66
XRP,1h,c>ema100,1,L+S,range_2019,-44.66,-176.65,False,547,0.122,201.28
XRP,1h,c>ema100,2,L,range_2019,-44.66,-218.82,False,273,0.117,217.33
XRP,1h,c>ema100,2,L+S,range_2019,-44.66,-353.31,False,547,0.122,402.56
XRP,1h,c>ema100,3,L,range_2019,-44.66,-328.23,False,273,0.117,325.99
XRP,1h,c>ema100,3,L+S,range_2019,-44.66,-529.96,False,547,0.122,603.84
XRP,1h,c>ema200,1,L,range_2019,-44.66,-79.76,False,197,0.071,78.64
XRP,1h,c>ema200,1,L+S,range_2019,-44.66,-114.05,False,395,0.089,130.72
XRP,1h,c>ema200,2,L,range_2019,-44.66,-159.51,False,197,0.071,157.28
XRP,1h,c>ema200,2,L+S,range_2019,-44.66,-228.1,False,395,0.089,261.44
XRP,1h,c>ema200,3,L,range_2019,-44.66,-239.27,False,197,0.071,235.92
XRP,1h,c>ema200,3,L+S,range_2019,-44.66,-342.15,False,395,0.089,392.17
XRP,1h,macd12/26,1,L,range_2019,-44.66,-41.93,True,341,0.287,61.22
XRP,1h,macd12/26,1,L+S,range_2019,-44.66,-47.87,False,682,0.311,65.86
XRP,1h,macd12/26,2,L,range_2019,-44.66,-83.86,False,341,0.287,122.44
XRP,1h,macd12/26,2,L+S,range_2019,-44.66,-95.74,False,682,0.311,131.71
XRP,1h,macd12/26,3,L,range_2019,-44.66,-125.79,False,341,0.287,183.67
XRP,1h,macd12/26,3,L+S,range_2019,-44.66,-143.61,False,682,0.311,197.57
XRP,1h,macd26/52,1,L,range_2019,-44.66,-8.74,True,153,0.301,37.21
XRP,1h,macd26/52,1,L+S,range_2019,-44.66,21.72,True,307,0.316,49.6
XRP,1h,macd26/52,2,L,range_2019,-44.66,-17.47,True,153,0.301,74.42
XRP,1h,macd26/52,2,L+S,range_2019,-44.66,43.44,True,307,0.316,99.2
XRP,1h,macd26/52,3,L,range_2019,-44.66,-26.21,True,153,0.301,111.63
XRP,1h,macd26/52,3,L+S,range_2019,-44.66,65.16,True,307,0.316,148.79
XRP,1h,st2.0,1,L,range_2019,-44.66,-35.82,True,151,0.285,53.01
XRP,1h,st2.0,1,L+S,range_2019,-44.66,-34.41,True,303,0.317,70.08
XRP,1h,st2.0,2,L,range_2019,-44.66,-71.64,False,151,0.285,106.02
XRP,1h,st2.0,2,L+S,range_2019,-44.66,-68.81,False,303,0.317,140.15
XRP,1h,st2.0,3,L,range_2019,-44.66,-107.45,False,151,0.285,159.03
XRP,1h,st2.0,3,L+S,range_2019,-44.66,-103.22,False,303,0.317,210.23
XRP,1h,st3.0,1,L,range_2019,-44.66,-41.96,True,82,0.305,48.04
XRP,1h,st3.0,1,L+S,range_2019,-44.66,-42.83,True,165,0.352,86.2
XRP,1h,st3.0,2,L,range_2019,-44.66,-83.93,False,82,0.305,96.08
XRP,1h,st3.0,2,L+S,range_2019,-44.66,-85.66,False,165,0.352,172.39
XRP,1h,st3.0,3,L,range_2019,-44.66,-125.89,False,82,0.305,144.12
XRP,1h,st3.0,3,L+S,range_2019,-44.66,-128.48,False,165,0.352,258.59
XRP,1h,ema10/30,1,L,bull_2020,13.87,99.22,True,157,0.274,52.88
XRP,1h,ema10/30,1,L+S,bull_2020,13.87,111.65,True,314,0.252,92.73
XRP,1h,ema10/30,2,L,bull_2020,13.87,198.43,True,157,0.274,105.76
XRP,1h,ema10/30,2,L+S,bull_2020,13.87,223.3,True,314,0.252,185.47
XRP,1h,ema10/30,3,L,bull_2020,13.87,297.65,True,157,0.274,158.64
XRP,1h,ema10/30,3,L+S,bull_2020,13.87,334.96,True,314,0.252,278.2
XRP,1h,ema20/50,1,L,bull_2020,13.87,109.11,True,89,0.292,31.37
XRP,1h,ema20/50,1,L+S,bull_2020,13.87,134.26,True,179,0.263,58.7
XRP,1h,ema20/50,2,L,bull_2020,13.87,218.23,True,89,0.292,62.74
XRP,1h,ema20/50,2,L+S,bull_2020,13.87,268.51,True,179,0.263,117.41
XRP,1h,ema20/50,3,L,bull_2020,13.87,327.34,True,89,0.292,94.11
XRP,1h,ema20/50,3,L+S,bull_2020,13.87,402.77,True,179,0.263,176.11
XRP,1h,ema20/100,1,L,bull_2020,13.87,144.14,True,52,0.365,25.69
XRP,1h,ema20/100,1,L+S,bull_2020,13.87,190.35,True,105,0.343,37.33
XRP,1h,ema20/100,2,L,bull_2020,13.87,288.29,True,52,0.365,51.38
XRP,1h,ema20/100,2,L+S,bull_2020,13.87,380.7,True,105,0.343,74.67
XRP,1h,ema20/100,3,L,bull_2020,13.87,432.43,True,52,0.365,77.07
XRP,1h,ema20/100,3,L+S,bull_2020,13.87,571.05,True,105,0.343,112.0
XRP,1h,ema50/200,1,L,bull_2020,13.87,168.43,True,21,0.333,22.8
XRP,1h,ema50/200,1,L+S,bull_2020,13.87,226.96,True,43,0.349,34.89
XRP,1h,ema50/200,2,L,bull_2020,13.87,336.86,True,21,0.333,45.6
XRP,1h,ema50/200,2,L+S,bull_2020,13.87,453.91,True,43,0.349,69.78
XRP,1h,ema50/200,3,L,bull_2020,13.87,505.29,True,21,0.333,68.41
XRP,1h,ema50/200,3,L+S,bull_2020,13.87,680.87,True,43,0.349,104.67
XRP,1h,ema5/20,1,L,bull_2020,13.87,16.05,True,292,0.223,91.06
XRP,1h,ema5/20,1,L+S,bull_2020,13.87,-62.16,False,583,0.208,217.83
XRP,1h,ema5/20,2,L,bull_2020,13.87,32.1,True,292,0.223,182.12
XRP,1h,ema5/20,2,L+S,bull_2020,13.87,-124.33,False,583,0.208,435.66
XRP,1h,ema5/20,3,L,bull_2020,13.87,48.14,True,292,0.223,273.19
XRP,1h,ema5/20,3,L+S,bull_2020,13.87,-186.49,False,583,0.208,653.49
XRP,1h,ema10/50,1,L,bull_2020,13.87,96.64,True,131,0.252,38.43
XRP,1h,ema10/50,1,L+S,bull_2020,13.87,110.39,True,263,0.224,72.93
XRP,1h,ema10/50,2,L,bull_2020,13.87,193.29,True,131,0.252,76.85
XRP,1h,ema10/50,2,L+S,bull_2020,13.87,220.78,True,263,0.224,145.85
XRP,1h,ema10/50,3,L,bull_2020,13.87,289.93,True,131,0.252,115.28
XRP,1h,ema10/50,3,L+S,bull_2020,13.87,331.17,True,263,0.224,218.78
XRP,1h,c>ema50,1,L,bull_2020,13.87,14.95,True,393,0.16,81.35
XRP,1h,c>ema50,1,L+S,bull_2020,13.87,-61.4,False,786,0.14,171.67
XRP,1h,c>ema50,2,L,bull_2020,13.87,29.9,True,393,0.16,162.69
XRP,1h,c>ema50,2,L+S,bull_2020,13.87,-122.79,False,786,0.14,343.33
XRP,1h,c>ema50,3,L,bull_2020,13.87,44.86,True,393,0.16,244.04
XRP,1h,c>ema50,3,L+S,bull_2020,13.87,-184.19,False,786,0.14,515.0
XRP,1h,c>ema100,1,L,bull_2020,13.87,99.27,True,244,0.143,41.82
XRP,1h,c>ema100,1,L+S,bull_2020,13.87,111.26,True,489,0.143,63.45
XRP,1h,c>ema100,2,L,bull_2020,13.87,198.54,True,244,0.143,83.64
XRP,1h,c>ema100,2,L+S,bull_2020,13.87,222.52,True,489,0.143,126.9
XRP,1h,c>ema100,3,L,bull_2020,13.87,297.82,True,244,0.143,125.45
XRP,1h,c>ema100,3,L+S,bull_2020,13.87,333.77,True,489,0.143,190.34
XRP,1h,c>ema200,1,L,bull_2020,13.87,125.87,True,154,0.156,38.83
XRP,1h,c>ema200,1,L+S,bull_2020,13.87,154.3,True,309,0.155,61.49
XRP,1h,c>ema200,2,L,bull_2020,13.87,251.74,True,154,0.156,77.65
XRP,1h,c>ema200,2,L+S,bull_2020,13.87,308.61,True,309,0.155,122.97
XRP,1h,c>ema200,3,L,bull_2020,13.87,377.61,True,154,0.156,116.48
XRP,1h,c>ema200,3,L+S,bull_2020,13.87,462.91,True,309,0.155,184.46
XRP,1h,macd12/26,1,L,bull_2020,13.87,-1.27,False,345,0.351,59.72
XRP,1h,macd12/26,1,L+S,bull_2020,13.87,-68.73,False,689,0.321,144.24
XRP,1h,macd12/26,2,L,bull_2020,13.87,-2.55,False,345,0.351,119.44
XRP,1h,macd12/26,2,L+S,bull_2020,13.87,-137.46,False,689,0.321,288.48
XRP,1h,macd12/26,3,L,bull_2020,13.87,-3.82,False,345,0.351,179.16
XRP,1h,macd12/26,3,L+S,bull_2020,13.87,-206.2,False,689,0.321,432.72
XRP,1h,macd26/52,1,L,bull_2020,13.87,70.58,True,161,0.311,43.36
XRP,1h,macd26/52,1,L+S,bull_2020,13.87,61.64,True,322,0.289,125.18
XRP,1h,macd26/52,2,L,bull_2020,13.87,141.17,True,161,0.311,86.72
XRP,1h,macd26/52,2,L+S,bull_2020,13.87,123.28,True,322,0.289,250.36
XRP,1h,macd26/52,3,L,bull_2020,13.87,211.75,True,161,0.311,130.08
XRP,1h,macd26/52,3,L+S,bull_2020,13.87,184.91,True,322,0.289,375.54
XRP,1h,st2.0,1,L,bull_2020,13.87,47.86,True,165,0.327,70.24
XRP,1h,st2.0,1,L+S,bull_2020,13.87,8.41,False,329,0.319,184.12
