period,period_label,coin,timeframe,strategy,start,end,price_chg_pct,market_mdd_pct,raw_signals,filtered_signals,total_trades,win_rate,total_return,avg_return,max_drawdown,sharpe_ratio,vol_ratio,avg_vol_usd_m,total_vol_usd_b
recent_3m,하락장 (최근 3개월),BTC,15m,rsi_oversold,2025-12-02,2026-03-02,-26.8,-38.9,360,2,2,50.0,-2.0,-1.0,0.0,-0.3229,2.39,137.55,1165.9
recent_3m,하락장 (최근 3개월),BTC,15m,macd_cross,2025-12-02,2026-03-02,-26.8,-38.9,321,137,66,37.88,-149.05,-2.26,141.85,-2.6914,1.22,137.55,1165.9
recent_3m,하락장 (최근 3개월),BTC,15m,ema_cross,2025-12-02,2026-03-02,-26.8,-38.9,193,84,46,45.65,-54.27,-1.18,47.24,-1.2571,1.31,137.55,1165.9
recent_3m,하락장 (최근 3개월),BTC,15m,bollinger_bounce,2025-12-02,2026-03-02,-26.8,-38.9,279,55,31,64.52,56.4,1.82,16.56,1.4237,1.17,137.55,1165.9
recent_3m,하락장 (최근 3개월),BTC,15m,support_bounce,2025-12-02,2026-03-02,-26.8,-38.9,1685,531,70,38.57,-62.82,-0.9,73.25,-0.9954,0.69,137.55,1165.9
recent_3m,하락장 (최근 3개월),BTC,15m,candle_pattern,2025-12-02,2026-03-02,-26.8,-38.9,1065,447,87,34.48,-164.61,-1.89,172.42,-2.4844,0.89,137.55,1165.9
recent_3m,하락장 (최근 3개월),BTC,1h,rsi_oversold,2025-12-02,2026-03-02,-26.8,-38.9,150,1,1,0.0,-10.5,-10.5,0.0,0.0,3.32,550.16,1165.8
recent_3m,하락장 (최근 3개월),BTC,1h,macd_cross,2025-12-02,2026-03-02,-26.8,-38.9,84,29,17,29.41,-51.46,-3.03,62.26,-1.2865,1.18,550.16,1165.8
recent_3m,하락장 (최근 3개월),BTC,1h,ema_cross,2025-12-02,2026-03-02,-26.8,-38.9,47,17,12,25.0,-48.25,-4.02,37.88,-1.3015,1.4,550.16,1165.8
recent_3m,하락장 (최근 3개월),BTC,1h,bollinger_bounce,2025-12-02,2026-03-02,-26.8,-38.9,63,7,5,20.0,-9.87,-1.97,23.87,-0.3255,0.78,550.16,1165.8
recent_3m,하락장 (최근 3개월),BTC,1h,support_bounce,2025-12-02,2026-03-02,-26.8,-38.9,234,47,14,28.57,-57.33,-4.09,51.02,-1.4963,0.86,550.16,1165.8
recent_3m,하락장 (최근 3개월),BTC,1h,candle_pattern,2025-12-02,2026-03-02,-26.8,-38.9,263,76,19,36.84,-71.47,-3.76,66.24,-2.0008,0.93,550.16,1165.8
recent_3m,하락장 (최근 3개월),ETH,15m,rsi_oversold,2025-12-02,2026-03-02,-32.8,-49.6,449,16,7,42.86,-23.71,-3.39,21.0,-1.0757,2.19,126.28,1070.7
recent_3m,하락장 (최근 3개월),ETH,15m,macd_cross,2025-12-02,2026-03-02,-32.8,-49.6,344,148,62,45.16,-42.05,-0.68,42.33,-0.6325,1.11,126.28,1070.7
recent_3m,하락장 (최근 3개월),ETH,15m,ema_cross,2025-12-02,2026-03-02,-32.8,-49.6,210,99,54,38.89,-71.06,-1.32,86.91,-1.2477,1.02,126.28,1070.7
recent_3m,하락장 (최근 3개월),ETH,15m,bollinger_bounce,2025-12-02,2026-03-02,-32.8,-49.6,267,58,34,55.88,-32.54,-0.96,57.32,-0.8379,1.18,126.28,1070.7
recent_3m,하락장 (최근 3개월),ETH,15m,support_bounce,2025-12-02,2026-03-02,-32.8,-49.6,1242,485,73,47.95,-96.91,-1.33,91.55,-1.3327,0.68,126.28,1070.7
recent_3m,하락장 (최근 3개월),ETH,15m,candle_pattern,2025-12-02,2026-03-02,-32.8,-49.6,1040,474,87,36.78,-100.41,-1.15,101.49,-1.199,0.81,126.28,1070.7
recent_3m,하락장 (최근 3개월),ETH,1h,rsi_oversold,2025-12-02,2026-03-02,-32.8,-49.6,159,3,2,0.0,-21.0,-10.5,10.5,0.0,1.82,505.03,1070.7
recent_3m,하락장 (최근 3개월),ETH,1h,macd_cross,2025-12-02,2026-03-02,-32.8,-49.6,81,26,16,25.0,-74.83,-4.68,64.33,-1.7993,1.15,505.03,1070.7
recent_3m,하락장 (최근 3개월),ETH,1h,ema_cross,2025-12-02,2026-03-02,-32.8,-49.6,45,8,7,28.57,-27.66,-3.95,31.5,-0.8567,0.97,505.03,1070.7
recent_3m,하락장 (최근 3개월),ETH,1h,bollinger_bounce,2025-12-02,2026-03-02,-32.8,-49.6,69,6,6,16.67,-43.15,-7.19,32.65,-2.3809,1.36,505.03,1070.7
recent_3m,하락장 (최근 3개월),ETH,1h,support_bounce,2025-12-02,2026-03-02,-32.8,-49.6,158,28,14,21.43,-34.16,-2.44,62.16,-0.6425,0.84,505.03,1070.7
recent_3m,하락장 (최근 3개월),ETH,1h,candle_pattern,2025-12-02,2026-03-02,-32.8,-49.6,244,74,22,22.73,-103.76,-4.72,93.26,-2.0878,0.7,505.03,1070.7
bear_2025q4,하락장 (2025 Q4),BTC,15m,rsi_oversold,2025-10-01,2026-01-01,-23.3,-36.1,447,10,4,25.0,0.36,0.09,5.37,0.0336,2.59,160.67,1419.0
bear_2025q4,하락장 (2025 Q4),BTC,15m,macd_cross,2025-10-01,2026-01-01,-23.3,-36.1,333,138,63,38.1,-99.9,-1.59,123.76,-1.8618,1.17,160.67,1419.0
bear_2025q4,하락장 (2025 Q4),BTC,15m,ema_cross,2025-10-01,2026-01-01,-23.3,-36.1,196,93,53,41.51,-46.29,-0.87,72.34,-0.9417,0.96,160.67,1419.0
bear_2025q4,하락장 (2025 Q4),BTC,15m,bollinger_bounce,2025-10-01,2026-01-01,-23.3,-36.1,285,72,37,43.24,-27.08,-0.73,49.41,-0.6276,1.07,160.67,1419.0
bear_2025q4,하락장 (2025 Q4),BTC,15m,support_bounce,2025-10-01,2026-01-01,-23.3,-36.1,1705,611,73,38.36,-135.69,-1.86,148.49,-2.6676,0.67,160.67,1419.0
bear_2025q4,하락장 (2025 Q4),BTC,15m,candle_pattern,2025-10-01,2026-01-01,-23.3,-36.1,1072,470,86,41.86,-117.49,-1.37,130.21,-2.0707,0.83,160.67,1419.0
bear_2025q4,하락장 (2025 Q4),BTC,1h,macd_cross,2025-10-01,2026-01-01,-23.3,-36.1,77,18,12,33.33,-60.72,-5.06,50.22,-2.6212,1.18,642.76,1419.2
bear_2025q4,하락장 (2025 Q4),BTC,1h,ema_cross,2025-10-01,2026-01-01,-23.3,-36.1,47,16,13,15.38,-105.4,-8.11,95.99,-5.9502,2.13,642.76,1419.2
bear_2025q4,하락장 (2025 Q4),BTC,1h,bollinger_bounce,2025-10-01,2026-01-01,-23.3,-36.1,61,4,3,0.0,-31.5,-10.5,21.0,0.0,1.13,642.76,1419.2
bear_2025q4,하락장 (2025 Q4),BTC,1h,support_bounce,2025-10-01,2026-01-01,-23.3,-36.1,234,38,12,25.0,-66.83,-5.57,59.02,-2.5801,0.81,642.76,1419.2
bear_2025q4,하락장 (2025 Q4),BTC,1h,candle_pattern,2025-10-01,2026-01-01,-23.3,-36.1,263,70,22,31.82,-126.9,-5.77,116.4,-4.0606,0.9,642.76,1419.2
bear_2025q4,하락장 (2025 Q4),ETH,15m,rsi_oversold,2025-10-01,2026-01-01,-28.4,-44.9,459,17,8,62.5,14.99,1.87,21.0,0.4483,2.44,166.44,1470.0
bear_2025q4,하락장 (2025 Q4),ETH,15m,macd_cross,2025-10-01,2026-01-01,-28.4,-44.9,328,154,69,39.13,-90.62,-1.31,123.76,-1.1204,1.16,166.44,1470.0
bear_2025q4,하락장 (2025 Q4),ETH,15m,ema_cross,2025-10-01,2026-01-01,-28.4,-44.9,215,98,57,35.09,-87.06,-1.53,122.68,-1.2253,0.89,166.44,1470.0
bear_2025q4,하락장 (2025 Q4),ETH,15m,bollinger_bounce,2025-10-01,2026-01-01,-28.4,-44.9,272,70,44,40.91,-77.35,-1.76,99.59,-1.4218,0.99,166.44,1470.0
bear_2025q4,하락장 (2025 Q4),ETH,15m,support_bounce,2025-10-01,2026-01-01,-28.4,-44.9,1195,466,81,40.74,-88.64,-1.09,102.01,-1.02,0.72,166.44,1470.0
bear_2025q4,하락장 (2025 Q4),ETH,15m,candle_pattern,2025-10-01,2026-01-01,-28.4,-44.9,1088,507,101,35.64,-228.09,-2.26,232.54,-2.5942,0.85,166.44,1470.0
bear_2025q4,하락장 (2025 Q4),ETH,1h,rsi_oversold,2025-10-01,2026-01-01,-28.4,-44.9,121,4,2,0.0,-21.0,-10.5,10.5,0.0,2.86,666.01,1470.5
bear_2025q4,하락장 (2025 Q4),ETH,1h,macd_cross,2025-10-01,2026-01-01,-28.4,-44.9,84,25,19,15.79,-107.15,-5.64,100.15,-2.2821,1.54,666.01,1470.5
bear_2025q4,하락장 (2025 Q4),ETH,1h,ema_cross,2025-10-01,2026-01-01,-28.4,-44.9,54,15,12,16.67,-47.21,-3.93,49.0,-1.053,1.28,666.01,1470.5
bear_2025q4,하락장 (2025 Q4),ETH,1h,bollinger_bounce,2025-10-01,2026-01-01,-28.4,-44.9,67,9,7,0.0,-64.92,-9.27,54.42,-8.1749,1.12,666.01,1470.5
bear_2025q4,하락장 (2025 Q4),ETH,1h,support_bounce,2025-10-01,2026-01-01,-28.4,-44.9,166,23,11,27.27,-25.71,-2.34,51.27,-0.5868,1.0,666.01,1470.5
bear_2025q4,하락장 (2025 Q4),ETH,1h,candle_pattern,2025-10-01,2026-01-01,-28.4,-44.9,274,80,25,12.0,-138.61,-5.54,128.11,-2.4347,0.76,666.01,1470.5
bull_2025q3,상승/횡보 (2025 Q3),BTC,15m,rsi_oversold,2025-07-01,2025-10-01,6.2,-15.7,316,29,6,50.0,-24.38,-4.06,21.0,-1.5269,2.2,147.66,1304.2
bull_2025q3,상승/횡보 (2025 Q3),BTC,15m,macd_cross,2025-07-01,2025-10-01,6.2,-15.7,354,170,75,38.67,-104.16,-1.39,144.72,-2.2562,1.65,147.66,1304.2
bull_2025q3,상승/횡보 (2025 Q3),BTC,15m,ema_cross,2025-07-01,2025-10-01,6.2,-15.7,212,105,62,46.77,3.55,0.06,48.26,0.0862,1.41,147.66,1304.2
bull_2025q3,상승/횡보 (2025 Q3),BTC,15m,bollinger_bounce,2025-07-01,2025-10-01,6.2,-15.7,297,91,44,38.64,-42.37,-0.96,79.47,-0.9235,1.11,147.66,1304.2
bull_2025q3,상승/횡보 (2025 Q3),BTC,15m,support_bounce,2025-07-01,2025-10-01,6.2,-15.7,2236,945,97,42.27,-58.9,-0.61,102.07,-1.0566,0.83,147.66,1304.2
bull_2025q3,상승/횡보 (2025 Q3),BTC,15m,candle_pattern,2025-07-01,2025-10-01,6.2,-15.7,1134,589,101,40.59,-35.72,-0.35,94.2,-0.6101,0.94,147.66,1304.2
bull_2025q3,상승/횡보 (2025 Q3),BTC,1h,rsi_oversold,2025-07-01,2025-10-01,6.2,-15.7,90,7,2,50.0,-1.17,-0.58,5.88,-0.1563,3.13,590.64,1304.1
bull_2025q3,상승/횡보 (2025 Q3),BTC,1h,macd_cross,2025-07-01,2025-10-01,6.2,-15.7,83,44,24,41.67,-33.67,-1.4,67.06,-0.7659,1.75,590.64,1304.1
bull_2025q3,상승/횡보 (2025 Q3),BTC,1h,ema_cross,2025-07-01,2025-10-01,6.2,-15.7,50,29,16,25.0,-49.37,-3.09,52.72,-1.8414,1.3,590.64,1304.1
bull_2025q3,상승/횡보 (2025 Q3),BTC,1h,bollinger_bounce,2025-07-01,2025-10-01,6.2,-15.7,64,16,9,55.56,9.49,1.05,25.15,0.3244,1.12,590.64,1304.1
bull_2025q3,상승/횡보 (2025 Q3),BTC,1h,support_bounce,2025-07-01,2025-10-01,6.2,-15.7,318,123,20,50.0,57.0,2.85,26.43,1.24,1.05,590.64,1304.1
bull_2025q3,상승/횡보 (2025 Q3),BTC,1h,candle_pattern,2025-07-01,2025-10-01,6.2,-15.7,285,155,29,34.48,-55.28,-1.91,98.58,-1.206,0.94,590.64,1304.1
bull_2025q3,상승/횡보 (2025 Q3),ETH,15m,rsi_oversold,2025-07-01,2025-10-01,66.3,-52.2,297,19,5,40.0,-19.1,-3.82,20.45,-2.0079,1.67,220.15,1944.4
bull_2025q3,상승/횡보 (2025 Q3),ETH,15m,macd_cross,2025-07-01,2025-10-01,66.3,-52.2,375,201,92,48.91,48.18,0.52,81.16,0.4819,1.6,220.15,1944.4
bull_2025q3,상승/횡보 (2025 Q3),ETH,15m,ema_cross,2025-07-01,2025-10-01,66.3,-52.2,200,109,68,55.88,128.77,1.89,30.37,1.4754,1.49,220.15,1944.4
bull_2025q3,상승/횡보 (2025 Q3),ETH,15m,bollinger_bounce,2025-07-01,2025-10-01,66.3,-52.2,277,93,58,53.45,74.79,1.29,72.25,0.8449,1.37,220.15,1944.4
bull_2025q3,상승/횡보 (2025 Q3),ETH,15m,support_bounce,2025-07-01,2025-10-01,66.3,-52.2,1275,530,90,50.0,65.66,0.73,83.92,0.6439,0.87,220.15,1944.4
bull_2025q3,상승/횡보 (2025 Q3),ETH,15m,candle_pattern,2025-07-01,2025-10-01,66.3,-52.2,1091,632,119,52.1,76.65,0.64,107.79,0.6587,1.01,220.15,1944.4
bull_2025q3,상승/횡보 (2025 Q3),ETH,1h,rsi_oversold,2025-07-01,2025-10-01,66.3,-52.2,88,5,2,50.0,-1.37,-0.68,10.5,-0.0985,2.45,880.72,1944.6
bull_2025q3,상승/횡보 (2025 Q3),ETH,1h,macd_cross,2025-07-01,2025-10-01,66.3,-52.2,81,47,34,35.29,-5.85,-0.17,73.5,-0.0672,1.84,880.72,1944.6
bull_2025q3,상승/횡보 (2025 Q3),ETH,1h,ema_cross,2025-07-01,2025-10-01,66.3,-52.2,52,29,20,30.0,-29.73,-1.49,90.52,-0.4694,1.22,880.72,1944.6
bull_2025q3,상승/횡보 (2025 Q3),ETH,1h,bollinger_bounce,2025-07-01,2025-10-01,66.3,-52.2,63,21,16,31.25,-14.81,-0.93,88.31,-0.2466,1.57,880.72,1944.6
bull_2025q3,상승/횡보 (2025 Q3),ETH,1h,support_bounce,2025-07-01,2025-10-01,66.3,-52.2,175,64,24,25.0,-101.36,-4.22,152.58,-1.8803,1.35,880.72,1944.6
bull_2025q3,상승/횡보 (2025 Q3),ETH,1h,candle_pattern,2025-07-01,2025-10-01,66.3,-52.2,263,159,42,40.48,65.69,1.56,95.62,0.6701,1.06,880.72,1944.6
bull_2024h2,불장 (2024 하반기),BTC,15m,rsi_oversold,2024-07-01,2024-12-31,47.4,-54.9,538,26,14,64.29,2.66,0.19,18.03,0.1058,2.37,193.18,3393.7
bull_2024h2,불장 (2024 하반기),BTC,15m,macd_cross,2024-07-01,2024-12-31,47.4,-54.9,712,422,177,46.33,85.36,0.48,75.34,0.7356,1.32,193.18,3393.7
bull_2024h2,불장 (2024 하반기),BTC,15m,ema_cross,2024-07-01,2024-12-31,47.4,-54.9,407,232,126,49.21,106.45,0.84,47.87,1.1415,1.02,193.18,3393.7
bull_2024h2,불장 (2024 하반기),BTC,15m,bollinger_bounce,2024-07-01,2024-12-31,47.4,-54.9,545,192,104,50.96,76.15,0.73,68.41,0.9026,1.28,193.18,3393.7
bull_2024h2,불장 (2024 하반기),BTC,15m,support_bounce,2024-07-01,2024-12-31,47.4,-54.9,2951,1600,185,50.81,68.04,0.37,91.73,0.608,0.72,193.18,3393.7
bull_2024h2,불장 (2024 하반기),BTC,15m,candle_pattern,2024-07-01,2024-12-31,47.4,-54.9,2185,1235,215,50.7,107.69,0.5,65.91,0.8881,0.87,193.18,3393.7
