coin,period,label,bh_ret,a_ret,a_n,a_win,a_dd,a_beat,b_ret,b_n,b_win,b_dd,b_beat
BTC,bull_2017h2,상승(17H2),221.87,409.04,3,0.333,9.99,1,-51.57,1,0.0,0.0,0
BTC,bear_2018,하락(2018),-73.0,-100.0,8,0.125,98.67,0,-64.38,12,0.25,78.16,1
BTC,range_2019,횡보(2019),94.4,327.94,4,0.25,33.83,1,28.83,10,0.5,29.57,0
BTC,bull_2020,상승(2020),301.98,408.0,5,0.8,14.59,1,-1.18,8,0.5,72.06,0
BTC,bull_2021,상승(2021),59.79,217.48,4,0.75,24.82,1,120.86,5,0.6,29.54,1
BTC,bear_2022,하락(2022),-64.21,-100.0,7,0.0,78.71,0,15.02,16,0.438,25.12,1
BTC,bull_2023,회복(2023),155.62,195.55,4,1.0,0.0,1,18.87,8,0.5,30.0,0
BTC,range_2024h1,횡보(24H1),48.45,84.49,3,0.333,3.08,1,35.21,3,0.667,0.0,0
BTC,bull_2024h2,불장(24H2),49.07,72.68,3,0.333,12.9,1,2.76,5,0.4,24.22,0
BTC,bear_2025q1,하락(25Q1),-11.78,-13.19,2,0.0,5.19,0,37.09,2,1.0,0.0,1
BTC,bull_2025q2,반등(25Q2),26.7,47.74,1,1.0,0.0,1,0.0,0,0.0,0.0,0
BTC,bull_2025q3,상승(25Q3),10.21,6.26,3,0.333,1.45,0,0.0,0,0.0,0.0,0
BTC,bear_2025q4,하락(25Q4),-21.61,-18.04,2,0.0,10.62,1,26.54,3,1.0,0.0,1
BTC,bear_2026q1,하락(26Q1),-25.88,-9.95,1,0.0,0.0,1,40.62,3,1.0,0.0,1
ETH,bull_2017h2,상승(17H2),143.74,-100.0,3,0.0,98.9,0,0.0,0,0.0,0.0,0
ETH,bear_2018,하락(2018),-82.07,-37.33,35,0.114,110.41,1,-58.58,22,0.455,83.88,1
ETH,range_2019,횡보(2019),-1.74,117.83,27,0.296,20.65,1,-13.18,9,0.444,22.64,0
ETH,bull_2020,상승(2020),470.16,355.37,41,0.22,61.11,0,-13.02,6,0.333,56.4,0
ETH,bull_2021,상승(2021),399.2,430.79,33,0.182,52.98,1,-30.59,1,0.0,0.0,0
ETH,bear_2022,하락(2022),-67.46,-16.49,27,0.148,46.28,1,5.54,13,0.538,55.06,1
ETH,bull_2023,회복(2023),90.77,113.38,27,0.222,41.7,1,14.18,7,0.714,8.55,0
ETH,range_2024h1,횡보(24H1),50.67,63.45,25,0.12,25.52,1,5.9,3,0.667,10.9,0
ETH,bull_2024h2,불장(24H2),-2.92,74.13,8,0.5,6.67,1,18.28,4,0.75,7.79,1
ETH,bear_2025q1,하락(25Q1),-45.4,-28.79,6,0.0,22.73,1,43.01,3,1.0,0.0,1
ETH,bull_2025q2,반등(25Q2),38.72,76.08,5,0.2,6.6,1,-6.13,2,0.5,15.38,0
ETH,bull_2025q3,상승(25Q3),82.14,147.86,9,0.222,15.36,1,0.0,0,0.0,0.0,0
ETH,bear_2025q4,하락(25Q4),-35.04,-20.1,5,0.2,5.99,1,4.61,4,0.5,16.27,1
ETH,bear_2026q1,하락(26Q1),-34.32,-15.24,5,0.2,18.31,1,6.53,3,0.667,15.3,1
XRP,bear_2018,하락(2018),-30.3,-21.78,10,0.1,45.87,1,-37.22,13,0.308,60.96,0
XRP,range_2019,횡보(2019),-44.66,-28.23,13,0.231,57.05,1,57.56,8,0.625,24.17,1
XRP,bull_2020,상승(2020),13.87,278.04,13,0.462,37.26,1,15.09,7,0.429,30.98,1
XRP,bull_2021,상승(2021),277.94,253.99,12,0.333,97.9,0,26.14,6,0.5,46.8,0
XRP,bear_2022,하락(2022),-59.16,-47.25,13,0.231,78.02,1,15.84,9,0.444,36.95,1
XRP,bull_2023,회복(2023),81.65,100.89,13,0.385,25.09,1,-12.41,7,0.429,41.77,0
XRP,range_2024h1,횡보(24H1),-22.65,-63.24,11,0.182,70.62,0,39.56,3,0.667,7.67,1
XRP,bull_2024h2,불장(24H2),337.64,578.08,5,0.4,43.43,1,-17.23,3,0.333,25.86,0
XRP,bear_2025q1,하락(25Q1),0.3,-49.57,7,0.143,89.02,0,-16.74,4,0.25,49.25,0
XRP,bull_2025q2,반등(25Q2),4.01,-7.32,3,0.0,1.0,0,-15.75,1,0.0,0.0,0
XRP,bull_2025q3,상승(25Q3),39.28,45.64,4,0.5,16.41,1,0.0,0,0.0,0.0,0
XRP,bear_2025q4,하락(25Q4),-28.83,-67.54,8,0.0,57.76,0,32.94,5,0.6,20.88,1
XRP,bear_2026q1,하락(26Q1),-36.14,1.12,1,1.0,0.0,1,7.43,5,0.4,25.14,1
