coin,tf,signal,lev,mode,beat_cnt,total_periods,avg_ret,min_ret,max_dd_avg,avg_trades,bear_2026q1_ret,bear_2025q4_ret,bull_2025q3_ret,bull_2025q2_ret,bear_2025q1_ret,bull_2024h2_ret,bear_2024h1_ret,bull_2023_ret
ETH,4h,c>ema200,2,L,8,8,51.4,-29.06,18.14,11.2,-15.27,-20.08,146.5,75.82,-29.06,72.38,66.14,114.78
SOL,4h,c>ema200,3,L,7,8,186.92,-76.46,47.59,14.4,2.88,-76.46,81.43,73.08,18.25,74.87,58.92,1262.41
SOL,4h,st4.0,3,L+S,7,8,186.28,-80.73,57.53,11.5,16.97,24.77,-80.73,136.62,73.38,40.51,347.52,931.21
SOL,1d,c>ema50,3,L,7,8,180.34,-103.95,36.58,5.8,-13.96,-103.95,92.56,34.57,0.61,70.82,83.54,1278.54
ETH,4h,c>ema200,3,L+S,7,8,101.26,39.92,49.42,22.6,39.92,56.77,188.26,110.35,49.9,200.16,44.56,120.13
ETH,4h,c>ema200,3,L,7,8,77.11,-43.59,27.21,11.2,-22.91,-30.12,219.75,113.74,-43.59,108.58,99.22,172.17
BTC,4h,ema50/200,3,L+S,7,8,66.59,-11.45,30.42,5.0,44.95,11.4,-11.45,66.16,-6.54,67.18,107.72,253.27
XRP,1h,ema20/100,2,L,7,8,62.64,-82.96,37.67,23.1,-28.22,-13.79,68.83,13.66,11.73,433.18,-82.96,98.72
BTC,4h,c>ema100,3,L+S,7,8,54.46,-34.75,58.45,39.5,-6.58,52.46,-34.75,49.18,-10.57,105.62,69.17,211.17
BTC,1d,ema20/100,3,L,7,8,48.53,-33.07,2.98,1.2,0.0,-13.04,26.95,31.22,-33.07,83.78,113.08,179.29
BTC,1d,ema20/50,3,L,7,8,46.03,-48.3,9.61,1.6,-21.66,-48.3,7.33,33.5,3.2,86.46,82.61,225.08
BTC,4h,ema50/200,2,L,7,8,45.6,-18.05,4.16,2.4,-9.94,-18.05,6.27,47.74,-13.21,72.44,83.92,195.64
BTC,1d,st3.0,3,L,7,8,45.27,-36.58,6.3,1.9,-17.84,-15.24,12.24,35.38,-36.58,106.07,54.95,223.15
ETH,1d,macd26/52,3,L,7,8,44.13,-37.7,12.69,2.6,-30.78,0.0,121.41,98.24,-37.7,21.76,4.1,176.03
BTC,1d,c>ema50,2,L,7,8,41.2,-20.59,11.68,4.9,-20.59,-11.24,-0.39,38.78,-10.75,62.95,77.14,193.73
ETH,4h,ema20/100,3,L,7,8,40.86,-70.41,39.49,6.0,-32.71,-70.41,107.13,122.04,-40.55,16.88,119.78,104.7
BTC,4h,ema20/50,2,L,7,8,36.68,-29.59,20.11,8.0,-18.77,-15.71,8.31,54.14,-29.59,71.01,60.21,163.84
ETH,1d,macd26/52,2,L,7,8,29.42,-25.13,8.46,2.6,-20.52,0.0,80.94,65.49,-25.13,14.5,2.73,117.35
SOL,4h,c>ema200,3,L+S,6,8,180.11,-37.56,82.97,29.1,114.44,2.45,13.45,71.5,132.9,46.65,-37.56,1097.05
SOL,1d,st3.0,3,L,6,8,173.75,-57.85,8.94,1.9,-33.05,-27.38,44.9,35.19,-57.85,102.11,80.87,1245.25
SOL,4h,ema20/100,3,L,6,8,170.15,-68.3,35.63,5.8,1.46,-68.3,78.31,68.62,-34.34,13.64,102.1,1199.74
SOL,1d,st3.0,3,L+S,6,8,166.12,-51.73,45.27,4.0,45.89,84.57,-51.73,3.48,-8.12,110.79,53.61,1090.51
SOL,4h,ema20/100,3,L+S,6,8,153.73,-74.04,66.25,11.9,112.72,22.03,12.39,64.67,25.56,-74.04,47.55,1018.94
SOL,2h,ema50/200,3,L+S,6,8,152.67,-109.73,73.33,11.5,101.8,-19.64,100.69,65.07,8.9,-109.73,-21.98,1096.24
SOL,1d,macd26/52,2,L,6,8,147.61,-58.83,11.73,2.4,-30.86,-19.74,62.85,46.72,-58.83,117.27,12.29,1051.2
XRP,1d,macd26/52,3,L,6,8,102.15,-50.0,27.71,2.5,-20.61,-6.68,95.3,8.28,-50.0,792.29,33.88,-35.27
XRP,1h,ema20/100,3,L,6,8,93.97,-124.43,56.5,23.1,-42.33,-20.69,103.24,20.48,17.6,649.77,-124.43,148.08
XRP,1h,ema20/100,3,L+S,6,8,79.69,-188.92,99.73,46.9,32.83,52.19,79.87,23.83,9.24,596.79,-188.92,31.69
XRP,1d,macd26/52,3,L+S,6,8,74.65,-332.05,85.65,5.8,74.63,72.6,78.67,10.96,-94.79,648.17,139.03,-332.05
BTC,4h,ema50/200,3,L,6,8,68.4,-27.08,6.24,2.4,-14.91,-27.08,9.41,71.61,-19.82,108.66,125.88,293.46
XRP,1d,macd26/52,2,L,6,8,68.1,-33.33,18.47,2.5,-13.74,-4.45,63.53,5.52,-33.33,528.2,22.59,-23.51
ETH,4h,c>ema200,2,L+S,6,8,67.5,26.61,32.95,22.6,26.61,37.85,125.51,73.57,33.27,133.44,29.7,80.09
BTC,1d,ema10/30,3,L+S,6,8,61.03,-24.87,34.77,5.0,46.59,1.23,-14.76,67.43,-24.87,51.48,103.38,257.75
XRP,4h,ema50/200,2,L,6,8,59.68,-30.95,15.73,3.1,-30.95,-22.21,57.34,-11.39,21.17,501.46,-11.74,-26.22
SOL,2h,ema5/20,2,L+S,6,8,58.29,-118.87,83.09,100.4,-28.66,-29.09,94.1,-118.87,-10.97,138.43,50.06,371.34
BTC,1d,c>ema50,3,L+S,6,8,56.65,-28.36,37.45,9.9,13.22,32.52,-28.36,49.42,4.67,40.5,93.2,248.01
BTC,1d,ema50/200,3,L,6,8,56.51,-60.63,0.0,1.0,0.0,-60.63,26.95,68.05,-38.64,145.86,125.29,185.19
XRP,4h,ema50/200,3,L+S,6,8,55.83,-334.91,81.6,6.5,15.81,24.68,59.74,-46.36,60.45,629.83,37.39,-334.91
BTC,4h,c>ema200,3,L,6,8,53.85,-36.29,24.63,13.9,-3.26,-12.45,-6.39,45.15,-36.29,69.45,112.06,262.53
XRP,1h,ema20/100,2,L+S,6,8,53.13,-125.95,66.48,46.9,21.89,34.8,53.25,15.88,6.16,397.86,-125.95,21.13
XRP,1d,ema10/30,2,L,6,8,50.8,-39.34,17.62,2.9,-39.34,-24.53,47.06,-22.68,3.77,497.86,-19.19,-36.52
XRP,1d,macd26/52,2,L+S,6,8,49.77,-221.37,57.1,5.8,49.75,48.4,52.45,7.31,-63.19,432.12,92.69,-221.37
BTC,1d,c>ema100,3,L,6,8,48.04,-36.23,15.89,3.4,-4.63,-33.68,11.62,58.17,-36.23,98.44,100.53,190.11
ETH,4h,st4.0,3,L,6,8,48.0,-164.06,56.12,6.9,-18.81,-16.33,146.34,144.89,-164.06,114.75,89.85,87.38
ETH,4h,macd12/26,3,L+S,6,8,47.71,-72.92,90.33,66.2,5.89,26.87,112.55,105.65,20.48,185.79,-72.92,-2.62
BTC,2h,ema20/100,3,L,6,8,47.38,-73.21,35.26,11.2,-44.15,-13.12,7.28,63.19,-73.21,70.34,135.29,233.46
BTC,1d,c>ema200,3,L,6,8,46.37,-68.2,16.92,3.5,0.0,-41.08,26.95,62.53,-68.2,84.2,125.29,181.25
BTC,2h,c>ema200,3,L+S,6,8,45.59,-37.45,60.62,53.5,-17.83,64.7,-33.8,30.81,-37.45,101.58,77.71,178.97
BTC,1d,st2.0,3,L,6,8,44.65,-84.54,21.34,3.2,-17.84,-12.02,-23.89,56.02,-84.54,105.5,109.13,224.86
BTC,4h,ema50/200,2,L+S,6,8,44.39,-7.64,20.28,5.0,29.97,7.6,-7.64,44.11,-4.36,44.78,71.81,168.85
ETH,2h,macd26/52,3,L+S,6,8,44.11,-81.93,89.51,64.5,-9.66,14.14,128.44,106.84,-22.25,202.64,-81.93,14.64
ETH,1d,macd26/52,3,L+S,6,8,43.47,-121.34,50.91,5.6,32.26,101.26,32.91,67.12,76.1,34.93,-121.34,124.54
ETH,1d,st4.0,3,L,6,8,43.34,-46.4,7.33,1.6,-46.4,-43.48,130.18,43.18,-13.07,50.8,63.37,162.14
ETH,1d,ema20/50,3,L,6,8,43.03,-36.14,9.91,1.8,-30.88,-36.14,243.53,-6.76,-20.4,2.17,50.02,142.67
BTC,1d,ema10/30,2,L,6,8,42.9,-21.06,5.2,2.4,-9.4,-21.06,4.07,45.31,-19.95,68.44,78.48,197.3
ETH,4h,ema20/100,3,L+S,6,8,40.09,-22.26,80.98,12.2,27.0,-22.26,11.99,128.07,83.73,32.75,74.62,-15.18
BTC,1d,st4.0,3,L,6,8,39.2,-32.28,8.68,1.6,-32.28,-20.64,7.33,35.38,-19.32,97.76,59.76,185.57
BTC,4h,ema20/100,2,L,6,8,38.05,-21.64,14.89,4.8,-16.14,-21.64,2.92,42.41,-20.41,101.69,45.25,170.35
BTC,1d,c>ema50,2,L+S,6,8,37.77,-18.91,24.97,9.9,8.81,21.68,-18.91,32.95,3.12,27.0,62.14,165.34
XRP,4h,ema50/200,2,L+S,6,8,37.22,-223.27,54.4,6.5,10.54,16.45,39.83,-30.9,40.3,419.89,24.93,-223.27
ETH,4h,c>ema100,2,L+S,6,8,36.76,-45.77,48.77,43.6,6.03,45.25,-13.76,91.75,-35.52,163.3,82.82,-45.77
BTC,4h,c>ema100,2,L+S,6,8,36.31,-23.17,38.96,39.5,-4.38,34.98,-23.17,32.79,-7.04,70.42,46.12,140.78
BTC,1d,macd12/26,3,L,6,8,36.21,-56.92,23.15,5.8,-25.16,-49.33,21.68,37.52,-56.92,92.05,73.18,196.67
ETH,2h,st4.0,3,L,6,8,35.77,-134.61,49.77,12.5,-20.42,-20.27,182.77,41.68,-134.61,67.38,106.56,63.06
ETH,2h,ema10/30,3,L,6,8,35.56,-146.2,68.05,30.6,-65.41,-18.56,123.14,64.26,-146.2,46.95,182.78,97.52
