coin,tf,signal,lev,mode,period,ret,bh_ret,beat_bh,n_trades,win_rate,max_dd
BTC,1h,ema20/50,1,L,bear_2026q1,-21.9,-26.8,True,21,0.095,21.62
BTC,1h,ema20/50,1,L+S,bear_2026q1,-15.62,-26.8,True,43,0.233,34.63
BTC,1h,ema20/50,2,L,bear_2026q1,-43.8,-26.8,False,21,0.095,43.24
BTC,1h,ema20/50,2,L+S,bear_2026q1,-31.25,-26.8,False,43,0.233,69.26
BTC,1h,ema20/50,3,L,bear_2026q1,-65.69,-26.8,False,21,0.095,64.85
BTC,1h,ema20/50,3,L+S,bear_2026q1,-46.87,-26.8,False,43,0.233,103.89
BTC,1h,ema50/200,1,L,bear_2026q1,-16.8,-26.8,True,10,0.2,15.75
BTC,1h,ema50/200,1,L+S,bear_2026q1,-6.91,-26.8,True,20,0.25,31.3
BTC,1h,ema50/200,2,L,bear_2026q1,-33.61,-26.8,False,10,0.2,31.49
BTC,1h,ema50/200,2,L+S,bear_2026q1,-13.83,-26.8,True,20,0.25,62.61
BTC,1h,ema50/200,3,L,bear_2026q1,-50.41,-26.8,False,10,0.2,47.24
BTC,1h,ema50/200,3,L+S,bear_2026q1,-20.74,-26.8,True,20,0.25,93.91
BTC,1h,ema10/30,1,L,bear_2026q1,-29.19,-26.8,False,38,0.184,37.65
BTC,1h,ema10/30,1,L+S,bear_2026q1,-29.35,-26.8,False,77,0.26,48.91
BTC,1h,ema10/30,2,L,bear_2026q1,-58.39,-26.8,False,38,0.184,75.29
BTC,1h,ema10/30,2,L+S,bear_2026q1,-58.7,-26.8,False,77,0.26,97.81
BTC,1h,ema10/30,3,L,bear_2026q1,-87.58,-26.8,False,38,0.184,112.94
BTC,1h,ema10/30,3,L+S,bear_2026q1,-88.05,-26.8,False,77,0.26,146.72
BTC,1h,ema20/100,1,L,bear_2026q1,-25.78,-26.8,True,19,0.158,25.81
BTC,1h,ema20/100,1,L+S,bear_2026q1,-22.85,-26.8,True,38,0.237,37.41
BTC,1h,ema20/100,2,L,bear_2026q1,-51.56,-26.8,False,19,0.158,51.62
BTC,1h,ema20/100,2,L+S,bear_2026q1,-45.7,-26.8,False,38,0.237,74.82
BTC,1h,ema20/100,3,L,bear_2026q1,-77.34,-26.8,False,19,0.158,77.42
BTC,1h,ema20/100,3,L+S,bear_2026q1,-68.56,-26.8,False,38,0.237,112.22
BTC,1h,ema5/20,1,L,bear_2026q1,-24.51,-26.8,True,62,0.194,33.7
BTC,1h,ema5/20,1,L+S,bear_2026q1,-20.68,-26.8,True,125,0.232,49.84
BTC,1h,ema5/20,2,L,bear_2026q1,-49.03,-26.8,False,62,0.194,67.39
BTC,1h,ema5/20,2,L+S,bear_2026q1,-41.36,-26.8,False,125,0.232,99.67
BTC,1h,ema5/20,3,L,bear_2026q1,-73.54,-26.8,False,62,0.194,101.09
BTC,1h,ema5/20,3,L+S,bear_2026q1,-62.04,-26.8,False,125,0.232,149.51
BTC,1h,c>ema50,1,L,bear_2026q1,-29.24,-26.8,False,87,0.115,33.83
BTC,1h,c>ema50,1,L+S,bear_2026q1,-29.21,-26.8,False,175,0.166,39.08
BTC,1h,c>ema50,2,L,bear_2026q1,-58.48,-26.8,False,87,0.115,67.66
BTC,1h,c>ema50,2,L+S,bear_2026q1,-58.41,-26.8,False,175,0.166,78.15
BTC,1h,c>ema50,3,L,bear_2026q1,-87.71,-26.8,False,87,0.115,101.48
BTC,1h,c>ema50,3,L+S,bear_2026q1,-87.62,-26.8,False,175,0.166,117.23
BTC,1h,c>ema100,1,L,bear_2026q1,-33.7,-26.8,False,60,0.067,35.85
BTC,1h,c>ema100,1,L+S,bear_2026q1,-38.99,-26.8,False,121,0.116,43.11
BTC,1h,c>ema100,2,L,bear_2026q1,-67.39,-26.8,False,60,0.067,71.7
BTC,1h,c>ema100,2,L+S,bear_2026q1,-77.99,-26.8,False,121,0.116,86.22
BTC,1h,c>ema100,3,L,bear_2026q1,-101.09,-26.8,False,60,0.067,107.54
BTC,1h,c>ema100,3,L+S,bear_2026q1,-116.98,-26.8,False,121,0.116,129.33
BTC,1h,c>ema200,1,L,bear_2026q1,-27.47,-26.8,False,49,0.061,28.66
BTC,1h,c>ema200,1,L+S,bear_2026q1,-26.79,-26.8,True,99,0.091,43.19
BTC,1h,c>ema200,2,L,bear_2026q1,-54.94,-26.8,False,49,0.061,57.32
BTC,1h,c>ema200,2,L+S,bear_2026q1,-53.57,-26.8,False,99,0.091,86.38
BTC,1h,c>ema200,3,L,bear_2026q1,-82.41,-26.8,False,49,0.061,85.99
BTC,1h,c>ema200,3,L+S,bear_2026q1,-80.36,-26.8,False,99,0.091,129.57
BTC,1h,macd12/26,1,L,bear_2026q1,-22.1,-26.8,True,85,0.259,36.94
BTC,1h,macd12/26,1,L+S,bear_2026q1,-15.82,-26.8,True,170,0.3,44.5
BTC,1h,macd12/26,2,L,bear_2026q1,-44.19,-26.8,False,85,0.259,73.87
BTC,1h,macd12/26,2,L+S,bear_2026q1,-31.64,-26.8,False,170,0.3,89.0
BTC,1h,macd12/26,3,L,bear_2026q1,-66.29,-26.8,False,85,0.259,110.81
BTC,1h,macd12/26,3,L+S,bear_2026q1,-47.46,-26.8,False,170,0.3,133.5
BTC,1h,macd26/52,1,L,bear_2026q1,-10.26,-26.8,True,35,0.343,25.36
BTC,1h,macd26/52,1,L+S,bear_2026q1,8.29,-26.8,True,71,0.352,33.45
BTC,1h,macd26/52,2,L,bear_2026q1,-20.52,-26.8,True,35,0.343,50.72
BTC,1h,macd26/52,2,L+S,bear_2026q1,16.59,-26.8,True,71,0.352,66.91
BTC,1h,macd26/52,3,L,bear_2026q1,-30.78,-26.8,False,35,0.343,76.08
BTC,1h,macd26/52,3,L+S,bear_2026q1,24.88,-26.8,True,71,0.352,100.36
