coin,timeframe,signal,filters,params,beat_count,total_periods,avg_return,consistency,total_trades
ETH,15m,ema_cross_9_21,ema200+vol_spike+macd_pos,TP5SL2,4,6,31.96,0.429,316
ETH,15m,ema_cross_9_21,ema200+vol_spike,TP5SL2,4,6,31.96,0.429,316
ETH,15m,ema_cross_9_21,ema200+vol_spike+bb_not_wide,TP5SL2,4,6,27.13,0.339,277
BTC,1h,stoch_oversold,ema200+bb_not_wide,TP5SL2,4,6,23.4,-0.062,188
BTC,1h,bb_squeeze_break,ema200+macd_pos,TP5SL2,3,6,37.52,-0.024,160
ETH,1h,macd_cross,ema200+vol_spike+bb_not_wide,TP5SL2,3,6,21.29,-0.082,117
ETH,1h,bb_squeeze_break,ema200,ATR3.0x1.0,3,6,19.94,0.265,240
ETH,1h,bb_squeeze_break,ema200+bb_not_wide,ATR3.0x1.0,3,6,19.94,0.265,240
ETH,1h,bb_squeeze_break,ema200+macd_pos,ATR3.0x1.0,3,6,16.02,0.202,229
BTC,1h,macd_cross,ema200+vol_spike+macd_pos,ATR3.0x1.5,3,6,14.83,0.041,173
BTC,1h,macd_cross,ema200+vol_spike,ATR3.0x1.5,3,6,14.83,0.041,173
BTC,1h,stoch_oversold,ema200+rsi_range+macd_pos,TP5SL2,2,5,46.28,0.405,160
BTC,1h,bb_squeeze_break,ema200+rsi_range+macd_pos,TP5SL2,2,5,45.87,0.287,135
BTC,1h,stoch_oversold,ema200+rsi_range+macd_pos,TP4SL1,2,5,41.19,0.348,177
BTC,1h,bb_squeeze_break,ema200,TP5SL2,2,6,32.11,-0.085,168
BTC,1h,bb_squeeze_break,ema200+rsi_range,TP5SL2,2,6,27.15,-0.101,149
BTC,1h,bb_squeeze_break,ema200+bb_not_wide,TP5SL2,2,6,27.13,-0.113,167
ETH,1h,bb_squeeze_break,ema200+rsi_range,ATR3.0x1.0,2,5,27.02,0.465,207
BTC,1h,macd_cross,ema200+vol_spike+bb_not_wide,TP4SL1,2,5,26.68,0.264,128
ETH,1h,macd_cross,ema200+vol_spike,TP5SL2,2,6,26.13,-0.045,129
ETH,1h,macd_cross,ema200+vol_spike+macd_pos,TP5SL2,2,6,26.13,-0.045,129
ETH,1h,bb_squeeze_break,ema200+rsi_range,ATR4.0x1.0,2,5,21.75,0.443,199
BTC,1h,stoch_oversold,ema200+rsi_range,TP5SL2,2,6,19.84,-0.038,210
BTC,1h,macd_cross,ema200+vol_spike,TP4SL1,2,6,19.81,-0.059,153
BTC,1h,macd_cross,ema200+vol_spike+macd_pos,TP4SL1,2,6,19.81,-0.059,153
ETH,15m,ema_cross_9_21,ema200+vol_spike+rsi_range,TP5SL2,2,6,19.37,0.242,145
BTC,1h,stoch_oversold,ema200+macd_pos,TP4SL1,2,6,16.42,-1.058,197
BTC,1h,stoch_oversold,ema200,TP5SL2,2,6,14.83,-0.173,220
ETH,15m,ema_cross_9_21,ema200+vol_spike+rsi_range,TP3SL1,2,6,13.84,0.28,149
ETH,1h,bb_squeeze_break,ema200,ATR4.0x1.0,2,6,13.48,0.035,231
ETH,1h,bb_squeeze_break,ema200+bb_not_wide,ATR4.0x1.0,2,6,13.48,0.035,231
ETH,15m,ema_cross_9_21,ema200+vol_spike+rsi_range,TP4SL1,2,6,12.68,0.165,147
ETH,1h,bb_squeeze_break,ema200+rsi_range,ATR3.0x1.5,2,5,9.62,0.188,177
ETH,1h,macd_cross,ema200+vol_spike+macd_pos,ATR3.0x1.5,2,6,-3.93,-0.491,149
ETH,1h,macd_cross,ema200+vol_spike,ATR3.0x1.5,2,6,-3.93,-0.491,149
BTC,1h,ema50_pullback,ema200+rsi_range+macd_pos,TP5SL2,1,6,24.86,-0.102,217
BTC,1h,macd_cross,ema200+vol_spike+macd_pos,TP5SL2,1,5,22.62,0.16,138
BTC,1h,macd_cross,ema200+vol_spike,TP5SL2,1,5,22.62,0.16,138
BTC,1h,stoch_oversold,ema200+rsi_range+macd_pos,ATR3.0x1.5,1,6,9.85,-0.065,234
BTC,1h,macd_cross,ema200+bb_not_wide,TP4SL1,1,6,7.18,-0.219,231
