entry_dt,exit_dt,side,entry,exit,tp,sl,result,pnl_pct,hold
2025-03-05 09:30:00+00:00,2025-03-05 10:15:00+00:00,short,88505.0,89065.19527194374,87504.35500000001,89065.19527194374,loss,-2.0189,3
2025-03-18 01:45:00+00:00,2025-03-18 06:00:00+00:00,long,83127.2,82756.21505075248,83799.42500000002,82756.21505075248,loss,-1.4589,17
2025-03-27 11:45:00+00:00,2025-03-27 13:00:00+00:00,long,86900.7,86621.81578041082,87279.59,86621.81578041082,loss,-1.0828,5
2025-03-28 04:45:00+00:00,2025-03-28 05:30:00+00:00,long,86248.5,85898.17279797536,86935.48,85898.17279797536,loss,-1.3386,3
2025-04-10 16:00:00+00:00,2025-04-11 04:30:00+00:00,long,78838.0,81002.65,81002.65,78032.51036694572,win,8.1171,50
2025-04-11 17:45:00+00:00,2025-04-12 13:45:00+00:00,short,83888.2,84622.1437088273,82511.845,84622.1437088273,loss,-2.7447,80
2025-04-22 01:45:00+00:00,2025-04-22 12:30:00+00:00,short,88350.1,88856.67341247575,87445.89,88856.67341247575,loss,-1.8401,43
2025-05-10 06:30:00+00:00,2025-05-10 06:45:00+00:00,short,103596.7,103856.52594271874,103165.78,103856.52594271874,loss,-0.8724,1
2025-05-12 07:15:00+00:00,2025-05-12 07:45:00+00:00,short,105415.1,104117.91500000001,104117.91500000001,105949.67008433487,win,3.5716,2
2025-05-15 02:00:00+00:00,2025-05-15 03:45:00+00:00,long,103002.5,102692.74979985501,103466.72,102692.74979985501,loss,-1.0222,7
2025-05-16 08:30:00+00:00,2025-05-16 10:00:00+00:00,long,103277.2,103818.755,103818.755,102934.02358821222,win,1.4531,6
2025-05-17 09:30:00+00:00,2025-05-17 20:45:00+00:00,long,102853.2,103359.33,103359.33,102554.00273232824,win,1.3563,45
2025-05-18 06:00:00+00:00,2025-05-18 07:45:00+00:00,short,103553.8,103734.00819955791,103295.425,103734.00819955791,loss,-0.6421,7
2025-05-25 22:15:00+00:00,2025-05-25 22:45:00+00:00,short,108283.1,108786.13176011309,107560.63500000001,108786.13176011309,loss,-1.5137,2
2025-05-27 01:30:00+00:00,2025-05-27 03:15:00+00:00,long,108326.1,109183.875,109183.875,107785.54344583991,win,2.2555,7
2025-05-27 21:45:00+00:00,2025-05-28 02:15:00+00:00,long,108873.7,108391.48605900783,109722.285,108391.48605900783,loss,-1.4487,18
2025-05-29 13:45:00+00:00,2025-05-29 14:15:00+00:00,long,107569.1,107132.69595099075,108424.425,107132.69595099075,loss,-1.3371,2
2025-06-03 15:00:00+00:00,2025-06-03 20:30:00+00:00,short,106392.0,105472.51999999999,105472.51999999999,106818.18895040298,win,2.4727,22
2025-06-10 14:45:00+00:00,2025-06-10 18:45:00+00:00,long,108579.1,109311.91,109311.91,108129.6730841572,win,1.9047,16
2025-06-10 19:30:00+00:00,2025-06-11 12:15:00+00:00,short,109941.8,109008.245,109008.245,110471.16923522597,win,2.4274,67
2025-06-14 07:15:00+00:00,2025-06-14 12:30:00+00:00,long,104940.8,104705.70635364496,105207.05,104705.70635364496,loss,-0.7921,21
2025-06-22 13:45:00+00:00,2025-06-22 14:15:00+00:00,long,100810.0,100245.89800253809,102222.265,100245.89800253809,loss,-1.7987,2
