entry_dt,exit_dt,side,entry,exit,tp,sl,result,pnl_pct,hold,funding_at_entry
2025-11-30 21:45:00+00:00,2025-11-30 23:30:00+00:00,short,91139.1,90533.61110891508,90533.61110891508,91441.84444554246,win,1.8731,7,3.88e-05
2025-12-01 23:00:00+00:00,2025-12-02 13:45:00+00:00,long,86396.3,87713.54308610017,87713.54308610017,85737.67845694991,win,4.454,59,1.491e-05
2025-12-04 11:30:00+00:00,2025-12-04 14:45:00+00:00,short,92804.0,92051.53583391802,92051.53583391802,93180.23208304099,win,2.3124,13,7.435e-05
2025-12-07 04:00:00+00:00,2025-12-07 05:00:00+00:00,long,89650.0,89425.45828936585,90099.08342126831,89425.45828936585,loss,-0.8714,4,4.192e-05
2025-12-07 17:15:00+00:00,2025-12-07 21:45:00+00:00,long,90669.7,90039.07166372043,91930.95667255913,90039.07166372043,loss,-2.2066,18,5.212e-05
2025-12-08 15:15:00+00:00,2025-12-08 20:15:00+00:00,short,89933.1,90583.2826358351,88632.73472832981,90583.2826358351,loss,-2.2889,20,6.545e-05
2025-12-11 19:15:00+00:00,2025-12-11 21:00:00+00:00,long,91070.5,92389.99289968985,92389.99289968985,90410.75355015507,win,4.2266,7,6.1e-05
2025-12-15 03:00:00+00:00,2025-12-15 14:45:00+00:00,long,89337.3,88820.99719211942,90369.90561576118,88820.99719211942,loss,-1.8538,47,1.9e-06
2025-12-15 14:45:00+00:00,2025-12-15 15:15:00+00:00,short,88004.3,86982.3936430181,86982.3936430181,88515.25317849095,win,3.3636,2,-8.93e-06
2025-12-17 13:45:00+00:00,2025-12-17 14:45:00+00:00,long,87579.0,87140.26319347753,88456.47361304493,87140.26319347753,loss,-1.6229,4,8.987e-05
2025-12-17 17:45:00+00:00,2025-12-18 04:30:00+00:00,short,86380.6,86802.2,84531.20121347738,87305.29939326132,cross_exit,-1.5842,43,5.917e-05
2025-12-18 18:30:00+00:00,2025-12-18 19:45:00+00:00,short,86439.0,84566.95898459213,84566.95898459213,87375.02050770393,win,6.3772,5,8.355e-05
2025-12-19 04:15:00+00:00,2025-12-19 14:30:00+00:00,long,87021.4,88468.03716516057,88468.03716516057,86298.08141741971,win,4.8672,41,5.491e-05
2025-12-19 19:00:00+00:00,2025-12-19 19:30:00+00:00,short,87267.6,87934.8,85803.6774945565,87999.56125272176,cross_exit,-2.4136,2,0.0001
2025-12-19 19:30:00+00:00,2025-12-20 15:45:00+00:00,long,87934.8,88134.6,89391.30358887732,87206.54820556135,cross_exit,0.5616,81,0.0001
2025-12-20 15:45:00+00:00,2025-12-20 18:45:00+00:00,short,88134.6,88322.13261989296,87759.53476021411,88322.13261989296,loss,-0.7583,12,1.234e-05
2025-12-21 02:00:00+00:00,2025-12-21 06:00:00+00:00,short,87984.2,88147.34984383367,87657.90031233264,88147.34984383367,loss,-0.6763,16,9.682e-05
2025-12-21 14:00:00+00:00,2025-12-21 15:45:00+00:00,short,87844.2,88213.94983276134,87104.7003344773,88213.94983276134,loss,-1.3827,7,8.873e-05
2025-12-24 17:15:00+00:00,2025-12-25 09:30:00+00:00,long,87421.8,87460.0,88280.52251357964,86992.43874321018,cross_exit,0.0111,65,5.927e-05
2025-12-25 23:15:00+00:00,2025-12-26 00:30:00+00:00,short,87439.2,86894.1658424738,86894.1658424738,87711.7170787631,win,1.75,5,8.322e-05
2025-12-26 02:30:00+00:00,2025-12-26 03:30:00+00:00,long,89189.9,88698.35269269101,90172.99461461796,88698.35269269101,loss,-1.7734,4,4.378e-05
2025-12-26 15:00:00+00:00,2025-12-26 15:45:00+00:00,short,86735.1,87184.91360699054,85835.47278601896,87184.91360699054,loss,-1.6758,3,5.427e-05
2025-12-27 09:45:00+00:00,2025-12-27 10:15:00+00:00,long,87575.4,87500.1,87803.65305990572,87461.27347004713,cross_exit,-0.3779,2,2.788e-05
2025-12-27 10:15:00+00:00,2025-12-27 13:30:00+00:00,short,87500.1,87270.82873916293,87270.82873916293,87614.73563041854,win,0.6661,13,2.788e-05
2025-12-27 19:15:00+00:00,2025-12-27 22:00:00+00:00,long,87507.4,87692.20811683472,87692.20811683472,87414.99594158263,win,0.5136,11,5.85e-05
2025-12-28 18:45:00+00:00,2025-12-28 22:45:00+00:00,short,87570.1,87730.70860568374,87248.88278863253,87730.70860568374,loss,-0.6702,16,9.464e-05
2025-12-29 00:15:00+00:00,2025-12-29 01:30:00+00:00,long,87983.1,88449.12269037057,88449.12269037057,87750.08865481472,win,1.469,5,0.0001
2025-12-29 10:45:00+00:00,2025-12-29 12:00:00+00:00,short,87747.1,86888.48964986698,86888.48964986698,88176.40517506652,win,2.8155,5,0.0001
2025-12-30 08:15:00+00:00,2025-12-30 14:15:00+00:00,long,87788.5,88371.84593475937,88371.84593475937,87496.8270326203,win,1.8735,24,4.613e-05
2025-12-31 15:30:00+00:00,2025-12-31 20:30:00+00:00,short,88006.2,87320.78177926666,87320.78177926666,88348.90911036667,win,2.2165,20,1.453e-05
2026-01-01 11:30:00+00:00,2026-01-01 17:15:00+00:00,long,87880.0,88126.72252334618,88126.72252334618,87756.6387383269,win,0.7222,23,0.0001
2026-01-04 19:30:00+00:00,2026-01-04 20:15:00+00:00,short,91025.2,91265.29923939197,90545.00152121607,91265.29923939197,loss,-0.9113,3,4.436e-05
2026-01-04 20:30:00+00:00,2026-01-05 00:00:00+00:00,long,91248.4,91697.21676521626,91697.21676521626,91023.99161739186,win,1.3556,14,4.436e-05
2026-01-06 23:45:00+00:00,2026-01-07 00:30:00+00:00,long,93708.0,93212.70178700305,94698.59642599389,93212.70178700305,loss,-1.7057,3,2.691e-05
2026-01-07 01:00:00+00:00,2026-01-07 09:30:00+00:00,short,92769.1,91803.7758525158,91803.7758525158,93251.76207374211,win,3.0017,34,6.582e-05
2026-01-08 17:15:00+00:00,2026-01-09 08:00:00+00:00,long,90813.4,90647.1,91911.98273396835,90264.10863301581,cross_exit,-0.6694,59,6.436e-05
2026-01-09 08:00:00+00:00,2026-01-09 08:45:00+00:00,short,90647.1,90099.01376602496,90099.01376602496,90921.14311698753,win,1.6939,3,7.258e-05
2026-01-09 16:00:00+00:00,2026-01-09 17:15:00+00:00,long,91722.5,91056.63061329364,93054.23877341271,91056.63061329364,loss,-2.2979,5,7.258e-05
2026-01-09 19:45:00+00:00,2026-01-10 09:45:00+00:00,short,90290.6,90729.9,89133.53134481321,90869.1343275934,cross_exit,-1.5796,56,2.18e-06
2026-01-11 20:15:00+00:00,2026-01-11 20:45:00+00:00,short,90485.1,90695.8946615905,90063.510676819,90695.8946615905,loss,-0.8189,2,1.667e-05
2026-01-12 09:15:00+00:00,2026-01-12 15:15:00+00:00,short,90758.6,91171.56589391593,89932.66821216814,91171.56589391593,loss,-1.485,24,2.902e-05
2026-01-12 16:15:00+00:00,2026-01-12 17:15:00+00:00,long,92170.3,91673.39975205992,93164.10049588016,91673.39975205992,loss,-1.7373,4,4.65e-05
2026-01-13 01:30:00+00:00,2026-01-13 03:15:00+00:00,short,91060.2,91404.00745594644,90372.5850881071,91404.00745594644,loss,-1.2527,7,2.245e-05
2026-01-15 03:15:00+00:00,2026-01-15 05:00:00+00:00,short,95868.3,96353.10698240808,94898.68603518384,96353.10698240808,loss,-1.6371,7,-3.67e-06
2026-01-15 15:00:00+00:00,2026-01-15 15:45:00+00:00,short,96208.5,96722.85563934279,95179.78872131444,96722.85563934279,loss,-1.7239,3,1.749e-05
2026-01-18 23:30:00+00:00,2026-01-18 23:45:00+00:00,short,94429.0,93877.91189044747,93877.91189044747,94704.54405477626,win,1.6308,1,6.571e-05
2026-01-21 15:15:00+00:00,2026-01-21 16:15:00+00:00,long,89980.6,89360.93504934342,91219.9299013132,89360.93504934342,loss,-2.186,4,6.055e-05
2026-01-21 16:45:00+00:00,2026-01-21 18:45:00+00:00,short,87562.3,88390.63074183639,85905.63851632722,88390.63074183639,loss,-2.958,8,2.41e-05
2026-01-21 20:30:00+00:00,2026-01-22 14:15:00+00:00,long,89864.9,89532.0,91567.62471720067,89013.53764139966,cross_exit,-1.2313,71,2.41e-05
2026-01-23 08:00:00+00:00,2026-01-23 09:15:00+00:00,short,89511.2,88985.37726114804,88985.37726114804,89774.11136942598,win,1.6423,5,3.39e-05
2026-01-23 16:30:00+00:00,2026-01-23 19:30:00+00:00,long,90233.1,89681.08718406195,91337.1256318761,89681.08718406195,loss,-1.9553,12,6.968e-05
2026-01-26 05:00:00+00:00,2026-01-26 15:00:00+00:00,long,87651.4,88566.5878914723,88566.5878914723,87193.80605426384,win,3.0124,40,4.067e-05
2026-01-27 16:45:00+00:00,2026-01-27 17:00:00+00:00,long,88604.9,88151.90514656062,89510.88970687876,88151.90514656062,loss,-1.6538,1,7.503e-05
2026-01-27 17:00:00+00:00,2026-01-27 18:45:00+00:00,short,87971.7,88471.88093533657,86971.33812932686,88471.88093533657,loss,-1.8257,7,7.503e-05
2026-01-28 21:00:00+00:00,2026-01-29 02:45:00+00:00,short,89176.1,87930.13308568421,87930.13308568421,89799.0834571579,win,4.0716,23,3.83e-05
2026-01-31 07:45:00+00:00,2026-01-31 08:30:00+00:00,short,83514.4,82998.07868363037,82998.07868363037,83772.56065818481,win,1.7347,3,9.693e-05
2026-02-02 10:00:00+00:00,2026-02-02 15:30:00+00:00,long,77612.1,79248.14913874266,79248.14913874266,76794.07543062868,win,6.2039,22,-3.043e-05
2026-02-07 07:15:00+00:00,2026-02-07 12:00:00+00:00,short,67977.3,68840.35799093678,66251.18401812643,68840.35799093678,loss,-3.9289,19,-0.00015178
2026-02-09 18:00:00+00:00,2026-02-10 03:15:00+00:00,long,70498.8,69688.54778493181,72119.3044301364,69688.54778493181,loss,-3.5679,37,-4.284e-05
2026-02-10 17:30:00+00:00,2026-02-10 18:15:00+00:00,long,69837.8,69173.33509350379,71166.72981299243,69173.33509350379,loss,-2.9743,3,-8.816e-05
2026-02-10 18:45:00+00:00,2026-02-11 04:15:00+00:00,short,68860.0,67530.83997989046,67530.83997989046,69524.58001005478,win,5.6707,38,-8.816e-05
2026-02-12 16:15:00+00:00,2026-02-13 03:30:00+00:00,short,66034.5,66745.34987087162,64612.80025825674,66745.34987087162,loss,-3.3494,45,-1.728e-05
2026-02-13 04:00:00+00:00,2026-02-13 04:45:00+00:00,long,66504.9,66299.9,67292.2090326449,66111.24548367754,cross_exit,-1.0447,3,5.834e-05
2026-02-13 04:45:00+00:00,2026-02-13 08:45:00+00:00,short,66299.9,66666.41808395059,65566.86383209881,66666.41808395059,loss,-1.7785,16,5.834e-05
2026-02-15 04:00:00+00:00,2026-02-15 12:15:00+00:00,long,70406.1,70013.94266962374,71190.41466075255,70013.94266962374,loss,-1.791,33,-1.068e-05
2026-02-15 13:15:00+00:00,2026-02-15 19:00:00+00:00,short,69020.0,68134.37755419007,68134.37755419007,69462.81122290497,win,3.7294,23,4.664e-05
2026-02-16 22:30:00+00:00,2026-02-17 05:15:00+00:00,long,68568.4,68179.43460524087,69346.33078951825,68179.43460524087,loss,-1.8218,27,-4.112e-05
2026-02-17 05:30:00+00:00,2026-02-17 14:30:00+00:00,short,68127.8,67381.26559450054,67381.26559450054,68501.06720274973,win,3.1674,36,5.883e-05
2026-02-18 12:15:00+00:00,2026-02-18 14:45:00+00:00,short,67532.9,66857.74778598515,66857.74778598515,67870.47610700742,win,2.8792,10,-1.41e-06
2026-02-19 19:15:00+00:00,2026-02-20 05:45:00+00:00,long,66910.2,67968.99945259174,67968.99945259174,66380.80027370412,win,4.6273,42,-3.052e-05
