macro_span,bull_rsi_long,bear_rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,trades,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
500,45,20,65,2.0,atr_3x,3,0.5,270,171,99,43.0,38.0,51.5,-42.24,86.02,-0.49
500,35,20,65,2.0,atr_3x,3,0.5,204,105,99,44.1,37.1,51.5,-43.77,86.05,-0.51
500,40,20,65,2.0,atr_3x,3,0.5,247,148,99,42.9,37.2,51.5,-51.14,87.3,-0.59
500,45,20,65,1.5,atr_3x,3,0.5,301,190,111,35.2,31.1,42.3,-53.69,80.08,-0.67
500,40,20,65,1.5,atr_3x,3,0.5,274,163,111,35.4,30.7,42.3,-56.61,82.01,-0.69
500,35,20,65,1.5,atr_3x,3,0.5,227,116,111,36.1,30.2,42.3,-58.69,82.19,-0.71
500,45,20,70,2.0,atr_3x,3,0.5,226,171,55,40.7,38.0,49.1,-62.98,88.8,-0.71
500,45,25,65,2.0,atr_3x,3,0.5,328,229,99,41.2,36.7,51.5,-63.4,93.35,-0.68
500,35,20,70,2.0,atr_3x,3,0.5,160,105,55,41.2,37.1,49.1,-63.96,88.83,-0.72
500,35,25,65,2.0,atr_3x,3,0.5,262,163,99,41.6,35.6,51.5,-64.37,93.36,-0.69
800,35,25,65,2.0,atr_3x,3,0.5,264,149,115,40.2,35.6,46.1,-68.34,91.85,-0.74
500,40,20,70,2.0,atr_3x,3,0.5,203,148,55,40.4,37.2,49.1,-68.69,89.82,-0.76
800,35,20,65,2.0,atr_3x,3,0.5,216,101,115,41.7,36.6,46.1,-68.82,87.68,-0.78
1200,35,20,65,2.0,atr_3x,3,0.5,198,93,105,41.4,36.6,45.7,-68.86,83.29,-0.83
500,40,25,65,2.0,atr_3x,3,0.5,305,206,99,41.0,35.9,51.5,-69.04,93.96,-0.73
500,45,20,70,1.5,atr_3x,3,0.5,251,190,61,33.1,31.1,39.3,-69.83,87.25,-0.8
800,45,25,65,2.0,atr_3x,3,0.5,327,212,115,39.8,36.3,46.1,-70.94,92.15,-0.77
800,45,20,65,2.0,atr_3x,3,0.5,279,164,115,40.9,37.2,46.1,-71.39,88.14,-0.81
500,35,20,65,2.0,atr_3x,3,0.7,204,105,99,44.1,37.1,51.5,-71.52,94.81,-0.75
