macro_span,bull_rsi_long,bear_rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,trades,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
500,45,20,65,1.5,atr_2x,3,0.5,356,228,128,40.7,39.9,42.2,-91.6,97.73,-0.94
500,40,20,65,2.0,atr_2x,3,0.5,292,178,114,47.6,46.6,49.1,-92.26,97.25,-0.95
500,45,20,70,1.5,atr_2x,3,0.5,302,228,74,39.7,39.9,39.2,-92.56,97.67,-0.95
800,45,20,70,1.5,atr_2x,3,0.5,318,217,101,39.3,40.1,37.6,-93.64,97.59,-0.96
500,45,20,65,2.0,atr_2x,3,0.5,316,202,114,47.5,46.5,49.1,-93.82,98.12,-0.96
500,40,20,70,2.0,atr_2x,3,0.5,243,178,65,46.5,46.6,46.2,-94.11,97.63,-0.96
800,45,20,65,1.5,atr_2x,3,0.5,379,217,162,39.6,40.1,38.9,-94.77,98.0,-0.97
500,40,20,65,1.5,atr_2x,3,0.5,331,203,128,39.6,37.9,42.2,-94.8,97.66,-0.97
500,40,20,65,2.0,atr_3x,3,0.5,277,168,109,39.0,39.3,38.5,-94.86,97.77,-0.97
500,40,20,70,2.0,atr_3x,3,0.5,232,168,64,38.8,39.3,37.5,-95.08,97.73,-0.97
500,45,20,70,2.0,atr_2x,3,0.5,267,202,65,46.4,46.5,46.2,-95.3,98.12,-0.97
500,40,20,70,1.5,atr_2x,3,0.5,277,203,74,38.3,37.9,39.2,-95.4,97.95,-0.97
800,40,20,65,2.0,atr_2x,3,0.5,311,169,142,46.3,46.2,46.5,-95.64,97.9,-0.98
800,45,20,65,2.0,atr_2x,3,0.5,334,192,142,46.7,46.9,46.5,-95.76,98.24,-0.97
800,40,20,70,2.0,atr_2x,3,0.5,260,169,91,45.4,46.2,44.0,-96.01,98.14,-0.98
800,40,20,70,1.5,atr_2x,3,0.5,295,194,101,38.0,38.1,37.6,-96.03,97.86,-0.98
500,45,20,70,1.5,atr_3x,3,0.5,287,215,72,32.1,33.0,29.2,-96.1,98.21,-0.98
1200,45,20,70,1.5,atr_2x,3,0.5,322,206,116,38.2,38.8,37.1,-96.11,97.45,-0.99
800,45,25,70,1.5,atr_2x,3,0.5,379,278,101,38.5,38.8,37.6,-96.11,98.4,-0.98
800,45,20,70,2.0,atr_2x,3,0.5,283,192,91,45.9,46.9,44.0,-96.11,98.28,-0.98
500,45,25,65,1.5,atr_2x,3,0.5,428,300,128,40.0,39.0,42.2,-96.24,98.74,-0.97
500,45,20,65,1.5,atr_3x,3,0.5,338,215,123,32.2,33.0,30.9,-96.55,98.92,-0.98
