macro_span,bull_rsi_long,bear_rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,trades,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
500,35,20,70,2.0,atr_2x,3,0.5,153,87,66,43.1,44.8,40.9,-88.64,96.99,-0.91
500,35,20,65,2.0,atr_3x,3,0.5,190,86,104,38.9,37.2,40.4,-89.96,98.04,-0.92
500,35,20,70,2.0,atr_3x,3,0.5,152,86,66,37.5,37.2,37.9,-90.78,98.5,-0.92
500,35,20,65,2.0,atr_2x,3,0.5,195,87,108,44.1,44.8,43.5,-91.3,96.93,-0.94
500,35,20,70,1.5,atr_2x,3,0.5,174,98,76,35.1,38.8,30.3,-91.3,95.36,-0.96
500,40,20,65,2.0,atr_3x,3,0.5,216,112,104,39.4,38.4,40.4,-92.88,96.27,-0.96
500,35,20,65,1.5,atr_2x,3,0.5,221,98,123,36.7,38.8,35.0,-92.94,94.29,-0.99
500,40,20,70,2.0,atr_3x,3,0.5,178,112,66,38.2,38.4,37.9,-93.46,97.14,-0.96
1200,35,20,70,1.5,atr_2x,3,0.5,200,86,114,35.5,38.4,33.3,-94.15,95.13,-0.99
1200,35,20,70,2.0,atr_2x,3,0.5,176,77,99,43.2,42.9,43.4,-94.73,97.88,-0.97
500,40,20,70,2.0,atr_2x,3,0.5,178,112,66,42.7,43.8,40.9,-94.78,96.21,-0.99
800,35,20,70,2.0,atr_2x,3,0.5,168,84,84,41.1,44.0,38.1,-94.99,97.92,-0.97
800,35,20,70,2.0,atr_3x,3,0.5,167,83,84,35.9,37.3,34.5,-95.18,98.96,-0.96
500,45,20,65,2.0,atr_3x,3,0.5,228,124,104,39.0,37.9,40.4,-95.27,97.7,-0.98
500,35,25,70,2.0,atr_2x,3,0.5,214,148,66,42.5,43.2,40.9,-95.28,98.62,-0.97
500,35,20,70,1.5,atr_3x,3,0.5,172,96,76,29.1,30.2,27.6,-95.47,98.05,-0.97
1200,35,20,65,1.5,atr_2x,3,0.5,253,86,167,36.4,38.4,35.3,-95.6,96.35,-0.99
500,35,20,65,1.5,atr_3x,3,0.5,217,96,121,30.9,30.2,31.4,-95.62,97.72,-0.98
1200,35,20,70,2.0,atr_3x,3,0.5,175,76,99,37.1,35.5,38.4,-95.64,98.95,-0.97
500,45,20,70,2.0,atr_3x,3,0.5,190,124,66,37.9,37.9,37.9,-95.65,98.23,-0.97
800,35,20,65,2.0,atr_3x,3,0.5,209,83,126,36.8,37.3,36.5,-95.74,99.03,-0.97
500,40,20,65,2.0,atr_2x,3,0.5,220,112,108,43.6,43.8,43.5,-96.0,97.05,-0.99
800,35,20,70,1.5,atr_2x,3,0.5,193,94,99,33.2,37.2,29.3,-96.03,96.69,-0.99
1200,35,20,65,2.0,atr_2x,3,0.5,224,77,147,43.8,42.9,44.2,-96.07,98.2,-0.98
500,40,20,70,1.5,atr_2x,3,0.5,202,126,76,34.7,37.3,30.3,-96.17,96.81,-0.99
500,35,25,65,2.0,atr_2x,3,0.5,256,148,108,43.4,43.2,43.5,-96.39,98.5,-0.98
500,45,20,70,2.0,atr_2x,3,0.5,191,125,66,42.9,44.0,40.9,-96.55,97.97,-0.99
800,35,20,65,2.0,atr_2x,3,0.5,214,84,130,42.1,44.0,40.8,-96.69,98.45,-0.98
500,35,25,70,1.5,atr_2x,3,0.5,238,162,76,34.5,36.4,30.3,-96.77,97.13,-1.0
1200,35,25,70,1.5,atr_2x,3,0.5,258,144,114,35.3,36.8,33.3,-96.79,97.0,-1.0
1200,35,25,70,2.0,atr_2x,3,0.5,231,132,99,42.9,42.4,43.4,-96.81,98.35,-0.98
1200,35,20,70,1.5,atr_3x,3,0.5,198,84,114,29.3,29.8,28.9,-96.82,97.96,-0.99
800,35,25,70,2.0,atr_2x,3,0.5,225,141,84,41.3,43.3,38.1,-96.84,98.63,-0.98
500,40,20,65,1.5,atr_2x,3,0.5,249,126,123,36.1,37.3,35.0,-96.89,97.42,-0.99
1200,35,20,65,2.0,atr_3x,3,0.5,219,76,143,37.4,35.5,38.5,-97.02,98.95,-0.98
500,40,20,70,1.5,atr_3x,3,0.5,202,126,76,29.7,31.0,27.6,-97.03,98.14,-0.99
500,40,20,65,1.5,atr_3x,3,0.5,247,126,121,31.2,31.0,31.4,-97.13,97.72,-0.99
500,45,20,65,2.0,atr_2x,3,0.5,233,125,108,43.8,44.0,43.5,-97.36,98.18,-0.99
800,40,20,70,2.0,atr_3x,3,0.5,191,107,84,36.6,38.3,34.5,-97.36,98.47,-0.99
500,35,25,65,1.5,atr_2x,3,0.5,285,162,123,35.8,36.4,35.0,-97.37,97.7,-1.0
500,35,20,70,2.0,atr_2x,3,0.7,153,87,66,43.1,44.8,40.9,-97.47,99.54,-0.98
800,35,20,65,1.5,atr_2x,3,0.5,243,94,149,34.2,37.2,32.2,-97.5,97.93,-1.0
800,35,20,70,1.5,atr_3x,3,0.5,191,92,99,27.7,29.3,26.3,-97.55,98.47,-0.99
1200,35,25,65,1.5,atr_2x,3,0.5,311,144,167,36.0,36.8,35.3,-97.59,97.88,-1.0
500,45,20,70,1.5,atr_2x,3,0.5,219,143,76,34.2,36.4,30.3,-97.6,98.0,-1.0
1200,35,25,65,2.0,atr_2x,3,0.5,279,132,147,43.4,42.4,44.2,-97.63,98.61,-0.99
1200,40,20,70,2.0,atr_3x,3,0.5,197,98,99,37.6,36.7,38.4,-97.67,98.34,-0.99
800,40,20,65,2.0,atr_3x,3,0.5,233,107,126,37.3,38.3,36.5,-97.67,98.58,-0.99
500,35,25,65,2.0,atr_3x,3,0.5,249,145,104,38.2,36.6,40.4,-97.69,99.33,-0.98
500,40,25,70,2.0,atr_2x,3,0.5,239,173,66,42.3,42.8,40.9,-97.83,98.26,-1.0
1200,40,20,70,2.0,atr_2x,3,0.5,197,98,99,42.6,41.8,43.4,-97.89,98.34,-1.0
800,35,25,65,2.0,atr_2x,3,0.5,271,141,130,42.1,43.3,40.8,-97.91,98.91,-0.99
1200,35,20,65,1.5,atr_3x,3,0.5,249,84,165,30.1,29.8,30.3,-97.91,98.28,-1.0
500,35,25,70,2.0,atr_3x,3,0.5,211,145,66,37.0,36.6,37.9,-97.91,99.5,-0.98
800,35,25,70,1.5,atr_2x,3,0.5,253,154,99,33.2,35.7,29.3,-98.02,98.16,-1.0
