rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,trades_per_yr,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
25,65,1.5,atr_3x,2,0.3,True,5,1.2,0,5,20.0,0.0,20.0,-2.66,8.01,-0.33
35,65,1.5,atr_3x,2,0.3,True,9,2.2,4,5,22.2,25.0,20.0,-3.23,9.6,-0.34
25,65,1.5,atr_3x,3,0.3,True,5,1.2,0,5,20.0,0.0,20.0,-4.14,11.83,-0.35
25,65,1.5,atr_2x,2,0.3,True,5,1.2,0,5,20.0,0.0,20.0,-4.46,8.01,-0.56
35,65,2.0,atr_3x,2,0.3,True,8,2.0,3,5,25.0,33.3,20.0,-4.47,10.53,-0.42
25,65,1.5,atr_3x,2,0.5,True,5,1.2,0,5,20.0,0.0,20.0,-4.65,13.08,-0.36
25,65,2.0,atr_3x,2,0.3,True,5,1.2,0,5,20.0,0.0,20.0,-5.29,10.5,-0.5
35,65,1.5,atr_3x,3,0.3,True,9,2.2,4,5,22.2,25.0,20.0,-5.41,14.16,-0.38
35,65,1.5,atr_3x,2,0.5,True,9,2.2,4,5,22.2,25.0,20.0,-6.21,15.65,-0.4
25,75,1.5,bb_mid,2,0.3,True,3,0.8,0,3,0.0,0.0,0.0,-6.38,6.38,-1.0
25,75,1.5,atr_2x,2,0.3,True,3,0.8,0,3,0.0,0.0,0.0,-6.38,6.38,-1.0
25,75,1.5,atr_3x,2,0.3,True,3,0.8,0,3,0.0,0.0,0.0,-6.38,6.38,-1.0
25,65,3.0,atr_3x,2,0.3,True,4,1.0,0,4,25.0,0.0,25.0,-6.44,11.58,-0.56
25,65,1.5,bb_mid,2,0.3,True,5,1.2,0,5,20.0,0.0,20.0,-6.46,8.01,-0.81
25,65,1.5,atr_2x,3,0.3,True,5,1.2,0,5,20.0,0.0,20.0,-6.73,11.83,-0.57
35,75,1.5,atr_3x,2,0.3,True,7,1.8,4,3,14.3,25.0,0.0,-6.93,9.6,-0.72
25,65,2.0,atr_2x,2,0.3,True,5,1.2,0,5,20.0,0.0,20.0,-7.04,10.5,-0.67
35,65,2.0,atr_3x,3,0.3,True,8,2.0,3,5,25.0,33.3,20.0,-7.28,15.47,-0.47
25,65,1.5,atr_3x,5,0.3,True,5,1.2,0,5,20.0,0.0,20.0,-7.35,19.12,-0.38
25,65,1.5,atr_3x,3,0.5,True,5,1.2,0,5,20.0,0.0,20.0,-7.35,19.12,-0.38
25,65,1.5,atr_2x,2,0.5,True,5,1.2,0,5,20.0,0.0,20.0,-7.49,13.08,-0.57
35,75,2.0,atr_3x,2,0.3,True,6,1.5,3,3,16.7,33.3,0.0,-7.59,8.42,-0.9
35,65,1.5,atr_2x,2,0.3,True,9,2.2,4,5,22.2,25.0,20.0,-7.91,11.33,-0.7
25,70,1.5,atr_3x,2,0.3,True,4,1.0,0,4,0.0,0.0,0.0,-8.01,8.01,-1.0
25,70,1.5,bb_mid,2,0.3,True,4,1.0,0,4,0.0,0.0,0.0,-8.01,8.01,-1.0
25,70,1.5,atr_2x,2,0.3,True,4,1.0,0,4,0.0,0.0,0.0,-8.01,8.01,-1.0
25,65,2.0,atr_3x,3,0.3,True,5,1.2,0,5,20.0,0.0,20.0,-8.05,15.43,-0.52
25,65,3.0,atr_2x,2,0.3,True,4,1.0,0,4,25.0,0.0,25.0,-8.17,11.58,-0.71
35,65,2.0,atr_3x,2,0.5,True,8,2.0,3,5,25.0,33.3,20.0,-8.29,17.07,-0.49
25,75,2.0,atr_2x,2,0.3,True,3,0.8,0,3,0.0,0.0,0.0,-8.39,8.39,-1.0
25,75,2.0,atr_3x,2,0.3,True,3,0.8,0,3,0.0,0.0,0.0,-8.39,8.39,-1.0
25,75,2.0,bb_mid,2,0.3,True,3,0.8,0,3,0.0,0.0,0.0,-8.39,8.39,-1.0
25,75,3.0,atr_3x,2,0.3,True,2,0.5,0,2,0.0,0.0,0.0,-8.44,8.44,-1.0
25,75,3.0,bb_mid,2,0.3,True,2,0.5,0,2,0.0,0.0,0.0,-8.44,8.44,-1.0
25,75,3.0,atr_2x,2,0.3,True,2,0.5,0,2,0.0,0.0,0.0,-8.44,8.44,-1.0
35,70,1.5,atr_3x,2,0.3,True,8,2.0,4,4,12.5,25.0,0.0,-8.55,9.6,-0.89
25,65,2.0,atr_3x,2,0.5,True,5,1.2,0,5,20.0,0.0,20.0,-8.98,17.02,-0.53
25,65,2.0,bb_mid,2,0.3,True,5,1.2,0,5,20.0,0.0,20.0,-8.99,10.5,-0.86
30,65,2.0,atr_2x,2,0.3,False,48,12.0,12,36,43.8,58.3,38.9,-9.02,25.27,-0.36
30,65,1.5,atr_3x,2,0.3,True,7,1.8,2,5,14.3,0.0,20.0,-9.09,14.08,-0.65
35,65,2.0,atr_2x,2,0.3,True,8,2.0,3,5,25.0,33.3,20.0,-9.09,12.47,-0.73
25,75,1.5,atr_2x,3,0.3,True,3,0.8,0,3,0.0,0.0,0.0,-9.47,9.47,-1.0
25,75,1.5,atr_3x,3,0.3,True,3,0.8,0,3,0.0,0.0,0.0,-9.47,9.47,-1.0
25,75,1.5,bb_mid,3,0.3,True,3,0.8,0,3,0.0,0.0,0.0,-9.47,9.47,-1.0
25,65,1.5,bb_mid,3,0.3,True,5,1.2,0,5,20.0,0.0,20.0,-9.6,11.83,-0.81
35,65,3.0,atr_3x,2,0.3,True,7,1.8,3,4,28.6,33.3,25.0,-9.69,14.65,-0.66
35,70,2.0,atr_3x,2,0.3,True,7,1.8,3,4,14.3,33.3,0.0,-9.72,10.53,-0.92
35,75,1.5,atr_2x,2,0.3,True,7,1.8,4,3,14.3,25.0,0.0,-9.76,9.76,-1.0
25,65,3.0,atr_3x,3,0.3,True,4,1.0,0,4,25.0,0.0,25.0,-9.78,17.02,-0.57
25,65,3.0,bb_mid,2,0.3,True,4,1.0,0,4,25.0,0.0,25.0,-10.09,11.58,-0.87
35,75,2.0,atr_2x,2,0.3,True,6,1.5,3,3,16.7,33.3,0.0,-10.4,10.4,-1.0
