rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,trades_per_yr,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
35,65,2.0,atr_3x,5,0.5,True,10,2.5,1,9,50.0,100.0,44.4,33.01,44.5,0.74
35,70,3.0,atr_3x,5,0.5,True,5,1.2,1,4,60.0,100.0,50.0,31.52,51.04,0.62
35,65,2.0,atr_3x,3,0.5,True,10,2.5,1,9,50.0,100.0,44.4,28.78,28.27,1.02
35,65,2.0,atr_3x,5,0.3,True,10,2.5,1,9,50.0,100.0,44.4,28.78,28.27,1.02
35,70,2.0,atr_3x,5,0.5,True,6,1.5,1,5,50.0,100.0,40.0,26.72,52.83,0.51
35,70,3.0,atr_3x,3,0.5,True,5,1.2,1,4,60.0,100.0,50.0,26.68,32.62,0.82
35,70,3.0,atr_3x,5,0.3,True,5,1.2,1,4,60.0,100.0,50.0,26.68,32.62,0.82
35,65,3.0,atr_3x,3,0.5,True,9,2.2,1,8,55.6,100.0,50.0,25.6,25.52,1.0
35,65,3.0,atr_3x,5,0.3,True,9,2.2,1,8,55.6,100.0,50.0,25.6,25.52,1.0
35,65,3.0,atr_3x,5,0.5,True,9,2.2,1,8,55.6,100.0,50.0,24.46,42.73,0.57
35,70,2.0,atr_3x,3,0.5,True,6,1.5,1,5,50.0,100.0,40.0,22.72,34.72,0.65
35,70,2.0,atr_3x,5,0.3,True,6,1.5,1,5,50.0,100.0,40.0,22.72,34.72,0.65
35,65,2.0,atr_3x,2,0.5,True,10,2.5,1,9,50.0,100.0,44.4,21.76,19.37,1.12
35,65,3.0,atr_3x,2,0.5,True,9,2.2,1,8,55.6,100.0,50.0,20.2,17.43,1.16
35,65,2.0,atr_3x,3,0.3,True,10,2.5,1,9,50.0,100.0,44.4,20.01,17.53,1.14
35,70,3.0,atr_3x,2,0.5,True,5,1.2,1,4,60.0,100.0,50.0,19.92,22.41,0.89
35,65,3.0,atr_3x,3,0.3,True,9,2.2,1,8,55.6,100.0,50.0,18.7,15.76,1.19
35,70,3.0,atr_3x,3,0.3,True,5,1.2,1,4,60.0,100.0,50.0,18.28,20.29,0.9
35,70,2.0,atr_3x,2,0.5,True,6,1.5,1,5,50.0,100.0,40.0,17.15,24.21,0.71
35,70,2.0,atr_3x,3,0.3,True,6,1.5,1,5,50.0,100.0,40.0,15.77,21.98,0.72
35,65,2.0,atr_3x,2,0.3,True,10,2.5,1,9,50.0,100.0,44.4,14.13,11.87,1.19
35,65,3.0,atr_3x,2,0.3,True,9,2.2,1,8,55.6,100.0,50.0,13.43,10.66,1.26
35,70,3.0,atr_3x,2,0.3,True,5,1.2,1,4,60.0,100.0,50.0,12.83,13.76,0.93
35,70,2.0,atr_3x,2,0.3,True,6,1.5,1,5,50.0,100.0,40.0,11.16,15.04,0.74
30,65,2.0,atr_3x,2,0.5,True,9,2.2,0,9,44.4,0.0,44.4,6.24,19.33,0.32
25,65,2.0,atr_3x,2,0.5,True,9,2.2,0,9,44.4,0.0,44.4,6.24,19.33,0.32
30,65,2.0,atr_3x,3,0.3,True,9,2.2,0,9,44.4,0.0,44.4,6.06,17.49,0.35
25,65,2.0,atr_3x,3,0.3,True,9,2.2,0,9,44.4,0.0,44.4,6.06,17.49,0.35
30,65,2.0,atr_3x,3,0.5,True,9,2.2,0,9,44.4,0.0,44.4,5.64,28.21,0.2
30,65,2.0,atr_3x,5,0.3,True,9,2.2,0,9,44.4,0.0,44.4,5.64,28.21,0.2
25,65,2.0,atr_3x,3,0.5,True,9,2.2,0,9,44.4,0.0,44.4,5.64,28.21,0.2
25,65,2.0,atr_3x,5,0.3,True,9,2.2,0,9,44.4,0.0,44.4,5.64,28.21,0.2
30,65,2.0,atr_3x,2,0.3,True,9,2.2,0,9,44.4,0.0,44.4,4.93,11.85,0.42
25,65,2.0,atr_3x,2,0.3,True,9,2.2,0,9,44.4,0.0,44.4,4.93,11.85,0.42
25,65,3.0,atr_3x,3,0.3,True,8,2.0,0,8,50.0,0.0,50.0,4.91,15.76,0.31
30,65,3.0,atr_3x,3,0.3,True,8,2.0,0,8,50.0,0.0,50.0,4.91,15.76,0.31
25,65,3.0,atr_3x,2,0.5,True,8,2.0,0,8,50.0,0.0,50.0,4.88,17.43,0.28
30,65,3.0,atr_3x,2,0.5,True,8,2.0,0,8,50.0,0.0,50.0,4.88,17.43,0.28
25,70,3.0,atr_3x,2,0.5,True,4,1.0,0,4,50.0,0.0,50.0,4.64,22.37,0.21
30,70,3.0,atr_3x,2,0.5,True,4,1.0,0,4,50.0,0.0,50.0,4.64,22.37,0.21
25,70,3.0,atr_3x,3,0.3,True,4,1.0,0,4,50.0,0.0,50.0,4.53,20.25,0.22
30,70,3.0,atr_3x,3,0.3,True,4,1.0,0,4,50.0,0.0,50.0,4.53,20.25,0.22
35,70,3.0,atr_2x,2,0.5,True,5,1.2,1,4,60.0,100.0,50.0,4.37,22.41,0.2
25,65,3.0,atr_3x,2,0.3,True,8,2.0,0,8,50.0,0.0,50.0,4.29,10.66,0.4
30,65,3.0,atr_3x,2,0.3,True,8,2.0,0,8,50.0,0.0,50.0,4.29,10.66,0.4
35,70,3.0,atr_2x,3,0.3,True,5,1.2,1,4,60.0,100.0,50.0,4.23,20.29,0.21
35,70,3.0,atr_2x,3,0.5,True,5,1.2,1,4,60.0,100.0,50.0,4.04,32.62,0.12
35,70,3.0,atr_2x,5,0.3,True,5,1.2,1,4,60.0,100.0,50.0,4.04,32.62,0.12
25,70,3.0,atr_3x,5,0.3,True,4,1.0,0,4,50.0,0.0,50.0,3.91,32.57,0.12
25,70,3.0,atr_3x,3,0.5,True,4,1.0,0,4,50.0,0.0,50.0,3.91,32.57,0.12
30,70,3.0,atr_3x,3,0.5,True,4,1.0,0,4,50.0,0.0,50.0,3.91,32.57,0.12
30,70,3.0,atr_3x,5,0.3,True,4,1.0,0,4,50.0,0.0,50.0,3.91,32.57,0.12
30,70,3.0,atr_3x,2,0.3,True,4,1.0,0,4,50.0,0.0,50.0,3.74,13.74,0.27
25,70,3.0,atr_3x,2,0.3,True,4,1.0,0,4,50.0,0.0,50.0,3.74,13.74,0.27
35,70,3.0,atr_2x,2,0.3,True,5,1.2,1,4,60.0,100.0,50.0,3.39,13.76,0.25
25,65,3.0,atr_3x,5,0.3,True,8,2.0,0,8,50.0,0.0,50.0,3.02,25.52,0.12
30,65,3.0,atr_3x,3,0.5,True,8,2.0,0,8,50.0,0.0,50.0,3.02,25.52,0.12
30,65,3.0,atr_3x,5,0.3,True,8,2.0,0,8,50.0,0.0,50.0,3.02,25.52,0.12
25,65,3.0,atr_3x,3,0.5,True,8,2.0,0,8,50.0,0.0,50.0,3.02,25.52,0.12
30,70,2.0,atr_3x,3,0.3,True,5,1.2,0,5,40.0,0.0,40.0,2.32,21.94,0.11
25,70,2.0,atr_3x,3,0.3,True,5,1.2,0,5,40.0,0.0,40.0,2.32,21.94,0.11
25,70,2.0,atr_3x,2,0.5,True,5,1.2,0,5,40.0,0.0,40.0,2.21,24.17,0.09
30,70,2.0,atr_3x,2,0.5,True,5,1.2,0,5,40.0,0.0,40.0,2.21,24.17,0.09
30,70,2.0,atr_3x,2,0.3,True,5,1.2,0,5,40.0,0.0,40.0,2.2,15.02,0.15
25,70,2.0,atr_3x,2,0.3,True,5,1.2,0,5,40.0,0.0,40.0,2.2,15.02,0.15
35,70,2.0,atr_2x,3,0.3,True,6,1.5,1,5,50.0,100.0,40.0,2.02,21.98,0.09
35,70,2.0,atr_2x,2,0.5,True,6,1.5,1,5,50.0,100.0,40.0,1.96,24.21,0.08
35,70,2.0,atr_2x,2,0.3,True,6,1.5,1,5,50.0,100.0,40.0,1.86,15.04,0.12
35,65,3.0,atr_3x,2,0.3,False,49,12.2,21,28,46.9,52.4,42.9,1.81,33.13,0.05
35,65,2.0,atr_2x,2,0.3,True,10,2.5,1,9,50.0,100.0,44.4,0.86,11.87,0.07
35,70,2.0,atr_2x,3,0.5,True,6,1.5,1,5,50.0,100.0,40.0,0.78,34.72,0.02
35,70,2.0,atr_2x,5,0.3,True,6,1.5,1,5,50.0,100.0,40.0,0.78,34.72,0.02
30,70,2.0,atr_3x,5,0.3,True,5,1.2,0,5,40.0,0.0,40.0,0.66,34.67,0.02
30,70,2.0,atr_3x,3,0.5,True,5,1.2,0,5,40.0,0.0,40.0,0.66,34.67,0.02
25,70,2.0,atr_3x,3,0.5,True,5,1.2,0,5,40.0,0.0,40.0,0.66,34.67,0.02
25,70,2.0,atr_3x,5,0.3,True,5,1.2,0,5,40.0,0.0,40.0,0.66,34.67,0.02
35,65,1.5,atr_3x,2,0.3,True,11,2.8,1,10,36.4,100.0,30.0,0.58,11.96,0.05
35,70,3.0,bb_mid,2,0.3,True,5,1.2,1,4,60.0,100.0,50.0,0.37,13.76,0.03
35,65,2.0,atr_2x,3,0.3,True,10,2.5,1,9,50.0,100.0,44.4,0.28,17.64,0.02
35,65,3.0,atr_2x,2,0.3,True,9,2.2,1,8,55.6,100.0,50.0,0.24,12.37,0.02
35,65,2.0,atr_2x,2,0.5,True,10,2.5,1,9,50.0,100.0,44.4,-0.05,19.55,-0.0
35,70,3.0,bb_mid,3,0.3,True,5,1.2,1,4,60.0,100.0,50.0,-0.21,20.29,-0.01
35,70,3.0,bb_mid,2,0.5,True,5,1.2,1,4,60.0,100.0,50.0,-0.52,22.41,-0.02
35,70,1.5,atr_3x,2,0.3,True,7,1.8,1,6,28.6,100.0,16.7,-0.52,17.66,-0.03
35,65,1.5,atr_3x,3,0.3,True,11,2.8,1,10,36.4,100.0,30.0,-0.52,17.53,-0.03
35,65,3.0,atr_2x,3,0.3,True,9,2.2,1,8,55.6,100.0,50.0,-0.81,18.54,-0.04
35,65,1.5,atr_3x,2,0.5,True,11,2.8,1,10,36.4,100.0,30.0,-1.08,19.32,-0.06
35,70,2.0,bb_mid,2,0.3,True,6,1.5,1,5,50.0,100.0,40.0,-1.12,15.04,-0.07
