rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,trades_per_yr,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
35,75,1.5,bb_mid,5,0.5,False,47,11.8,27,20,59.6,70.4,45.0,297.11,85.38,3.48
35,75,1.5,bb_mid,5,0.3,False,47,11.8,27,20,59.6,70.4,45.0,222.77,66.26,3.36
35,75,1.5,bb_mid,3,0.5,False,47,11.8,27,20,59.6,70.4,45.0,222.77,66.26,3.36
35,75,1.5,atr_2x,3,0.5,False,46,11.5,26,20,54.3,61.5,45.0,146.24,66.24,2.21
35,75,1.5,atr_2x,5,0.3,False,46,11.5,26,20,54.3,61.5,45.0,146.24,66.24,2.21
35,75,1.5,atr_2x,5,0.5,False,46,11.5,26,20,54.3,61.5,45.0,145.33,85.36,1.7
35,75,1.5,bb_mid,2,0.5,False,47,11.8,27,20,59.6,70.4,45.0,145.25,50.57,2.87
35,75,1.5,bb_mid,3,0.3,False,47,11.8,27,20,59.6,70.4,45.0,128.99,46.78,2.76
35,75,1.5,atr_2x,2,0.5,False,46,11.5,26,20,54.3,61.5,45.0,106.02,50.55,2.1
30,75,1.5,atr_3x,5,0.3,False,34,8.5,14,20,50.0,57.1,45.0,99.43,66.26,1.5
30,75,1.5,atr_3x,3,0.5,False,34,8.5,14,20,50.0,57.1,45.0,99.43,66.26,1.5
35,70,1.5,bb_mid,3,0.5,False,56,14.0,27,29,55.4,70.4,41.4,98.52,66.26,1.49
35,70,1.5,bb_mid,5,0.3,False,56,14.0,27,29,55.4,70.4,41.4,98.52,66.26,1.49
35,75,1.5,atr_2x,3,0.3,False,46,11.5,26,20,54.3,61.5,45.0,95.96,46.76,2.05
35,70,1.5,atr_2x,3,0.5,False,57,14.2,26,31,52.6,61.5,45.2,82.37,67.36,1.22
35,70,1.5,atr_2x,5,0.3,False,57,14.2,26,31,52.6,61.5,45.2,82.37,67.36,1.22
35,75,1.5,bb_mid,2,0.3,False,47,11.8,27,20,59.6,70.4,45.0,81.3,33.89,2.4
35,70,1.5,bb_mid,2,0.5,False,56,14.0,27,29,55.4,70.4,41.4,80.77,50.57,1.6
30,75,1.5,atr_3x,2,0.5,False,34,8.5,14,20,50.0,57.1,45.0,78.43,50.57,1.55
30,75,1.5,atr_3x,5,0.5,False,34,8.5,14,20,50.0,57.1,45.0,77.75,85.38,0.91
35,70,1.5,bb_mid,3,0.3,False,56,14.0,27,29,55.4,70.4,41.4,74.59,46.78,1.59
35,70,1.5,atr_2x,2,0.5,False,57,14.2,26,31,52.6,61.5,45.2,73.21,51.02,1.44
30,75,1.5,atr_3x,3,0.3,False,34,8.5,14,20,50.0,57.1,45.0,72.11,46.78,1.54
35,70,1.5,atr_2x,3,0.3,False,57,14.2,26,31,52.6,61.5,45.2,68.43,47.09,1.45
35,75,1.5,atr_2x,2,0.3,False,46,11.5,26,20,54.3,61.5,45.0,63.79,33.87,1.88
25,75,1.5,atr_3x,5,0.3,False,25,6.2,5,20,48.0,60.0,45.0,61.06,66.26,0.92
25,75,1.5,atr_3x,3,0.5,False,25,6.2,5,20,48.0,60.0,45.0,61.06,66.26,0.92
35,70,1.5,bb_mid,5,0.5,False,56,14.0,27,29,55.4,70.4,41.4,59.77,85.38,0.7
35,75,2.0,bb_mid,5,0.3,False,46,11.5,26,20,60.9,73.1,45.0,59.61,77.39,0.77
35,75,2.0,bb_mid,3,0.5,False,46,11.5,26,20,60.9,73.1,45.0,59.61,77.39,0.77
35,75,2.0,bb_mid,2,0.5,False,46,11.5,26,20,60.9,73.1,45.0,58.86,61.48,0.96
35,75,2.0,bb_mid,3,0.3,False,46,11.5,26,20,60.9,73.1,45.0,55.81,57.36,0.97
35,70,1.5,bb_mid,2,0.3,False,56,14.0,27,29,55.4,70.4,41.4,52.32,33.89,1.54
30,75,1.5,atr_3x,2,0.3,False,34,8.5,14,20,50.0,57.1,45.0,50.15,33.89,1.48
25,75,1.5,atr_3x,2,0.5,False,25,6.2,5,20,48.0,60.0,45.0,50.09,50.57,0.99
35,70,1.5,atr_2x,2,0.3,False,57,14.2,26,31,52.6,61.5,45.2,49.47,33.87,1.46
25,75,1.5,atr_3x,3,0.3,False,25,6.2,5,20,48.0,60.0,45.0,46.49,46.78,0.99
25,75,1.5,atr_3x,5,0.5,False,25,6.2,5,20,48.0,60.0,45.0,44.57,85.38,0.52
35,75,2.0,bb_mid,2,0.3,False,46,11.5,26,20,60.9,73.1,45.0,41.8,42.65,0.98
35,70,3.0,bb_mid,5,0.5,True,1,0.2,1,0,100.0,100.0,0.0,37.76,0.12,302.09
35,75,1.5,bb_mid,5,0.5,True,1,0.2,1,0,100.0,100.0,0.0,37.76,0.12,302.09
35,70,2.0,bb_mid,5,0.5,True,1,0.2,1,0,100.0,100.0,0.0,37.76,0.12,302.09
35,70,1.5,bb_mid,5,0.5,True,1,0.2,1,0,100.0,100.0,0.0,37.76,0.12,302.09
35,75,3.0,bb_mid,5,0.5,True,1,0.2,1,0,100.0,100.0,0.0,37.76,0.12,302.09
35,75,2.0,bb_mid,5,0.5,True,1,0.2,1,0,100.0,100.0,0.0,37.76,0.12,302.09
35,75,1.5,atr_3x,2,0.5,False,46,11.5,26,20,47.8,50.0,45.0,37.37,50.57,0.74
30,75,1.5,atr_2x,5,0.3,False,34,8.5,14,20,50.0,57.1,45.0,36.71,66.24,0.55
30,75,1.5,atr_2x,3,0.5,False,34,8.5,14,20,50.0,57.1,45.0,36.71,66.24,0.55
35,75,1.5,atr_3x,3,0.3,False,46,11.5,26,20,47.8,50.0,45.0,36.57,46.78,0.78
30,75,1.5,atr_2x,2,0.5,False,34,8.5,14,20,50.0,57.1,45.0,36.04,50.55,0.71
30,75,1.5,atr_2x,3,0.3,False,34,8.5,14,20,50.0,57.1,45.0,34.32,46.76,0.73
25,75,1.5,atr_3x,2,0.3,False,25,6.2,5,20,48.0,60.0,45.0,33.34,33.89,0.98
35,65,1.5,bb_mid,3,0.3,False,70,17.5,27,43,51.4,70.4,39.5,30.29,49.74,0.61
35,75,1.5,atr_3x,3,0.5,False,46,11.5,26,20,47.8,50.0,45.0,30.2,66.26,0.46
35,75,1.5,atr_3x,5,0.3,False,46,11.5,26,20,47.8,50.0,45.0,30.2,66.26,0.46
35,65,1.5,bb_mid,2,0.5,False,70,17.5,27,43,51.4,70.4,39.5,30.11,53.62,0.56
35,75,1.5,atr_3x,2,0.3,False,46,11.5,26,20,47.8,50.0,45.0,29.73,33.89,0.88
35,75,2.0,atr_2x,3,0.3,False,45,11.2,25,20,55.6,64.0,45.0,29.66,57.34,0.52
