rsi_thresh,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,trades_per_yr,win_rate,return_pct,max_drawdown,calmar,timeframe
30,1.5,atr_3x,7,0.3,True,24,8.0,37.5,6.12,21.57,0.28,1h
35,2.0,atr_2x,7,0.3,True,65,21.7,53.8,5.84,25.24,0.23,1h
35,2.0,atr_2x,5,0.3,True,65,21.7,53.8,5.24,18.59,0.28,1h
35,2.0,atr_2x,7,0.2,True,65,21.7,53.8,5.06,17.44,0.29,1h
30,1.5,atr_3x,5,0.3,True,24,8.0,37.5,4.85,15.83,0.31,1h
30,1.5,atr_3x,7,0.2,True,24,8.0,37.5,4.6,14.85,0.31,1h
35,2.0,atr_2x,5,0.2,True,65,21.7,53.8,4.07,12.71,0.32,1h
35,2.0,atr_2x,3,0.3,True,65,21.7,53.8,3.77,11.5,0.33,1h
30,1.5,atr_3x,5,0.2,True,24,8.0,37.5,3.49,10.8,0.32,1h
30,1.5,atr_3x,3,0.3,True,24,8.0,37.5,3.19,9.77,0.33,1h
35,2.0,atr_2x,7,0.1,True,65,21.7,53.8,3.09,9.04,0.34,1h
45,1.0,atr_2x,7,0.2,True,188,62.7,35.6,3.04,20.68,0.15,1h
45,1.0,atr_2x,5,0.3,True,188,62.7,35.6,2.97,22.0,0.14,1h
45,1.0,atr_2x,5,0.2,True,188,62.7,35.6,2.94,15.18,0.19,1h
45,1.0,atr_2x,3,0.3,True,188,62.7,35.6,2.82,13.76,0.2,1h
35,2.0,atr_2x,3,0.2,True,65,21.7,53.8,2.71,7.78,0.35,1h
30,1.5,atr_3x,7,0.1,True,24,8.0,37.5,2.55,7.67,0.33,1h
45,1.0,atr_2x,7,0.1,True,188,62.7,35.6,2.46,10.85,0.23,1h
35,2.0,atr_2x,5,0.1,True,65,21.7,53.8,2.32,6.52,0.36,1h
30,1.5,atr_3x,3,0.2,True,24,8.0,37.5,2.22,6.6,0.34,1h
45,1.0,atr_2x,3,0.2,True,188,62.7,35.6,2.22,9.36,0.24,1h
30,2.0,bb_mid,7,0.3,True,24,8.0,75.0,2.01,7.59,0.27,1h
45,1.0,atr_2x,5,0.1,True,188,62.7,35.6,1.94,7.86,0.25,1h
30,1.5,atr_3x,5,0.1,True,24,8.0,37.5,1.87,5.53,0.34,1h
30,1.5,atr_2x,7,0.3,True,24,8.0,45.8,1.79,14.64,0.12,1h
45,1.0,atr_2x,7,0.3,True,188,62.7,35.6,1.76,29.57,0.06,1h
30,1.5,atr_2x,5,0.3,True,24,8.0,45.8,1.6,10.63,0.15,1h
30,2.0,bb_mid,5,0.3,True,24,8.0,75.0,1.57,5.42,0.29,1h
30,1.5,atr_2x,7,0.2,True,24,8.0,45.8,1.55,9.95,0.16,1h
30,2.0,bb_mid,7,0.2,True,24,8.0,75.0,1.48,5.06,0.29,1h
35,2.0,atr_2x,3,0.1,True,65,21.7,53.8,1.45,3.95,0.37,1h
45,1.0,atr_3x,7,0.1,True,180,60.0,27.8,1.37,14.71,0.09,1h
45,1.0,atr_3x,3,0.2,True,180,60.0,27.8,1.34,12.74,0.11,1h
45,1.0,atr_2x,3,0.1,True,188,62.7,35.6,1.28,4.78,0.27,1h
45,1.0,atr_3x,3,0.3,True,180,60.0,27.8,1.27,18.54,0.07,1h
45,1.0,atr_3x,5,0.1,True,180,60.0,27.8,1.25,10.72,0.12,1h
30,1.5,atr_2x,5,0.2,True,24,8.0,45.8,1.25,7.18,0.17,1h
30,1.5,atr_2x,3,0.3,True,24,8.0,45.8,1.16,6.48,0.18,1h
30,1.5,atr_3x,3,0.1,True,24,8.0,37.5,1.15,3.35,0.35,1h
45,1.0,atr_3x,5,0.2,True,180,60.0,27.8,1.14,20.39,0.06,1h
30,2.0,bb_mid,5,0.2,True,24,8.0,75.0,1.11,3.62,0.31,1h
30,2.0,bb_mid,3,0.3,True,24,8.0,75.0,1.01,3.26,0.31,1h
30,1.5,atr_2x,7,0.1,True,24,8.0,45.8,0.95,5.07,0.19,1h
45,1.0,atr_3x,3,0.1,True,180,60.0,27.8,0.91,6.57,0.14,1h
30,1.5,atr_2x,3,0.2,True,24,8.0,45.8,0.84,4.36,0.19,1h
30,2.0,bb_mid,7,0.1,True,24,8.0,75.0,0.81,2.53,0.32,1h
30,1.5,atr_2x,5,0.1,True,24,8.0,45.8,0.71,3.64,0.2,1h
30,2.0,bb_mid,3,0.2,True,24,8.0,75.0,0.7,2.17,0.32,1h
30,2.0,atr_2x,5,0.2,True,24,8.0,54.2,0.59,7.85,0.07,1h
