rsi_thresh,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,trades_per_yr,win_rate,return_pct,max_drawdown,calmar,timeframe
40,2.0,bb_mid,7,0.3,True,133,44.3,69.9,105.22,33.57,3.13,1h
40,2.0,bb_mid,5,0.3,True,133,44.3,69.9,72.89,24.89,2.93,1h
40,1.5,bb_mid,7,0.3,True,134,44.7,60.4,71.12,39.27,1.81,1h
40,2.0,bb_mid,7,0.2,True,133,44.3,69.9,67.58,23.37,2.89,1h
40,1.5,bb_mid,5,0.3,True,134,44.7,60.4,51.31,29.69,1.73,1h
40,1.5,bb_mid,7,0.2,True,134,44.7,60.4,47.89,27.97,1.71,1h
40,2.0,bb_mid,5,0.2,True,133,44.3,69.9,46.8,17.1,2.74,1h
40,2.0,bb_mid,3,0.3,True,133,44.3,69.9,41.75,15.48,2.7,1h
40,1.5,bb_mid,5,0.2,True,134,44.7,60.4,34.06,20.75,1.64,1h
40,2.0,bb_mid,7,0.1,True,133,44.3,69.9,31.87,12.19,2.62,1h
40,1.5,bb_mid,3,0.3,True,134,44.7,60.4,30.59,18.86,1.62,1h
40,2.0,bb_mid,3,0.2,True,133,44.3,69.9,27.05,10.51,2.57,1h
45,2.0,atr_2x,5,0.3,True,159,53.0,52.2,26.87,40.43,0.66,1h
45,2.0,atr_2x,7,0.2,True,159,53.0,52.2,26.38,37.94,0.7,1h
45,2.0,atr_2x,7,0.3,True,159,53.0,52.2,25.27,54.31,0.47,1h
40,1.5,bb_mid,7,0.1,True,134,44.7,60.4,23.66,14.95,1.58,1h
35,1.5,bb_mid,7,0.3,True,65,21.7,55.4,22.36,34.05,0.66,1h
45,2.0,atr_2x,5,0.2,True,159,53.0,52.2,22.31,27.58,0.81,1h
40,2.0,bb_mid,5,0.1,True,133,44.3,69.9,22.31,8.81,2.53,1h
45,1.5,atr_2x,5,0.3,True,172,57.3,45.3,21.31,40.08,0.53,1h
45,1.5,atr_2x,7,0.2,True,172,57.3,45.3,21.03,37.87,0.56,1h
45,2.0,atr_2x,3,0.3,True,159,53.0,52.2,20.8,24.9,0.84,1h
45,1.0,atr_2x,7,0.3,True,186,62.0,36.0,20.52,41.41,0.5,1h
45,1.0,atr_2x,5,0.3,True,186,62.0,36.0,20.24,31.11,0.65,1h
40,1.5,bb_mid,3,0.2,True,134,44.7,60.4,20.21,12.94,1.56,1h
45,1.0,atr_2x,7,0.2,True,186,62.0,36.0,19.73,29.27,0.67,1h
40,1.0,atr_2x,7,0.3,True,139,46.3,36.7,19.36,41.02,0.47,1h
45,1.5,atr_2x,7,0.3,True,172,57.3,45.3,19.17,52.06,0.37,1h
35,1.5,atr_3x,7,0.3,True,62,20.7,40.3,18.94,50.05,0.38,1h
45,1.5,atr_2x,5,0.2,True,172,57.3,45.3,18.16,28.41,0.64,1h
40,1.0,atr_2x,5,0.3,True,139,46.3,36.7,17.81,30.98,0.57,1h
35,1.5,atr_3x,5,0.3,True,62,20.7,40.3,17.61,38.68,0.46,1h
35,1.5,bb_mid,5,0.3,True,65,21.7,55.4,17.6,25.52,0.69,1h
45,2.0,atr_2x,7,0.1,True,159,53.0,52.2,17.23,19.46,0.89,1h
40,1.0,atr_2x,7,0.2,True,139,46.3,36.7,17.21,29.18,0.59,1h
35,1.5,atr_3x,7,0.2,True,62,20.7,40.3,17.05,36.59,0.47,1h
45,1.5,atr_2x,3,0.3,True,172,57.3,45.3,17.0,25.88,0.66,1h
40,1.5,bb_mid,5,0.1,True,134,44.7,60.4,16.78,10.88,1.54,1h
35,1.5,bb_mid,7,0.2,True,65,21.7,55.4,16.66,24.01,0.69,1h
45,1.0,atr_2x,5,0.2,True,186,62.0,36.0,16.38,21.59,0.76,1h
45,1.0,atr_2x,3,0.3,True,186,62.0,36.0,15.23,19.59,0.78,1h
45,2.0,atr_2x,3,0.2,True,159,53.0,52.2,15.19,16.71,0.91,1h
40,1.0,bb_mid,7,0.3,True,140,46.7,45.0,14.68,41.89,0.35,1h
45,1.5,atr_2x,7,0.1,True,172,57.3,45.3,14.21,20.62,0.69,1h
40,1.0,atr_2x,5,0.2,True,139,46.3,36.7,13.93,21.62,0.64,1h
35,1.5,atr_3x,5,0.2,True,62,20.7,40.3,13.89,27.56,0.5,1h
40,1.5,atr_2x,5,0.3,True,128,42.7,44.5,13.86,35.84,0.39,1h
40,1.5,atr_2x,7,0.2,True,128,42.7,44.5,13.75,33.82,0.41,1h
40,1.0,bb_mid,5,0.3,True,140,46.7,45.0,13.25,31.82,0.42,1h
40,2.0,bb_mid,3,0.1,True,133,44.3,69.9,13.1,5.35,2.45,1h
