rsi_thresh,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,trades_per_yr,win_rate,return_pct,max_drawdown,calmar,timeframe
40,1.0,atr_3x,7,0.3,True,107,35.7,29.0,122.57,41.58,2.95,1h
40,1.0,atr_3x,5,0.3,True,107,35.7,29.0,84.94,31.51,2.7,1h
40,1.0,atr_3x,7,0.2,True,107,35.7,29.0,78.74,29.7,2.65,1h
40,1.5,atr_3x,7,0.3,True,98,32.7,33.7,66.38,44.19,1.5,1h
35,1.5,atr_3x,7,0.3,True,41,13.7,39.0,65.24,26.18,2.49,1h
30,1.5,atr_3x,7,0.3,True,14,4.7,57.1,63.75,7.09,8.99,1h
35,1.0,atr_3x,7,0.3,True,45,15.0,28.9,60.07,30.08,2.0,1h
45,2.0,atr_3x,7,0.3,True,126,42.0,38.1,58.47,53.93,1.08,1h
40,1.0,atr_3x,5,0.2,True,107,35.7,29.0,54.48,22.06,2.47,1h
30,1.0,atr_3x,7,0.3,True,15,5.0,46.7,52.24,8.09,6.46,1h
30,2.0,atr_3x,7,0.3,True,14,4.7,57.1,51.93,9.35,5.55,1h
40,1.5,atr_3x,5,0.3,True,98,32.7,33.7,51.07,33.41,1.53,1h
45,2.0,atr_3x,5,0.3,True,126,42.0,38.1,49.26,41.97,1.17,1h
40,1.0,atr_3x,3,0.3,True,107,35.7,29.0,48.59,20.05,2.42,1h
40,1.5,atr_3x,7,0.2,True,98,32.7,33.7,48.12,31.47,1.53,1h
35,2.0,atr_3x,7,0.3,True,39,13.0,46.2,47.91,31.77,1.51,1h
35,1.5,atr_3x,5,0.3,True,41,13.7,39.0,47.08,19.29,2.44,1h
45,2.0,atr_3x,7,0.2,True,126,42.0,38.1,46.98,39.73,1.18,1h
45,1.0,atr_3x,7,0.3,True,150,50.0,26.0,45.87,41.72,1.1,1h
35,1.5,atr_3x,7,0.2,True,41,13.7,39.0,43.96,18.1,2.43,1h
30,1.5,atr_3x,5,0.3,True,14,4.7,57.1,43.68,5.07,8.62,1h
35,1.0,atr_3x,5,0.3,True,45,15.0,28.9,43.38,22.45,1.93,1h
35,1.5,atr_2x,7,0.3,True,42,14.0,45.2,41.14,19.34,2.13,1h
35,1.0,atr_3x,7,0.2,True,45,15.0,28.9,40.52,21.11,1.92,1h
30,1.5,atr_3x,7,0.2,True,14,4.7,57.1,40.48,4.73,8.56,1h
45,1.0,atr_3x,5,0.3,True,150,50.0,26.0,38.8,31.6,1.23,1h
45,1.5,atr_3x,7,0.3,True,135,45.0,32.6,38.08,52.86,0.72,1h
45,1.0,atr_3x,7,0.2,True,150,50.0,26.0,37.06,29.78,1.24,1h
40,1.0,atr_3x,7,0.1,True,107,35.7,29.0,37.06,15.9,2.33,1h
