xrp,sol,portfolio,year_month
106.83,145.12,125.98,2023-01
2.92,-0.69,0.97,2023-02
0.0,0.0,0.0,2023-03
-4.06,-3.67,-3.85,2023-04
-0.66,0.0,-0.31,2023-05
3.57,0.0,1.66,2023-06
3.15,-4.89,-1.09,2023-07
-5.51,-1.71,-3.58,2023-08
2.9,0.0,1.4,2023-09
-2.45,-5.19,-3.85,2023-10
9.79,30.65,20.28,2023-11
4.26,19.19,12.41,2023-12
-5.47,23.45,11.27,2024-01
0.0,4.08,2.62,2024-02
0.0,12.68,8.26,2024-03
-0.91,-3.39,-2.59,2024-04
0.0,-0.05,-0.04,2024-05
7.16,3.75,4.87,2024-06
2.52,6.18,4.95,2024-07
10.39,-2.98,1.39,2024-08
-3.08,0.0,-1.1,2024-09
1.55,-0.94,-0.07,2024-10
0.0,-8.78,-5.67,2024-11
26.45,-7.86,5.04,2024-12
9.1,1.72,5.06,2025-01
-6.46,0.0,-3.04,2025-02
6.07,0.0,2.75,2025-03
12.08,-0.05,5.62,2025-04
-0.05,10.76,5.39,2025-05
5.46,0.0,2.57,2025-06
3.53,7.21,5.43,2025-07
3.68,2.99,3.32,2025-08
0.22,0.09,0.15,2025-09
17.63,-2.39,7.17,2025-10
4.54,0.0,2.38,2025-11
2.13,0.0,1.14,2025-12
474.84,389.09,431.97,SUMMARY
15.84,24.01,11.36,MDD
1.29,1.27,1.71,SHARPE
29.98,16.21,38.03,CALMAR
0.876,0.876,0.876,CORRELATION
