rsi_thresh,vol_mult,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
35,2.0,1.0,atr_3x,7,0.3,True,64,28.1,10.5,17.68,0.59,1h
35,1.2,1.0,atr_3x,7,0.3,True,88,27.3,9.38,17.68,0.53,1h
35,2.0,1.0,atr_3x,5,0.3,True,64,28.1,8.2,12.94,0.63,1h
35,2.0,1.0,atr_3x,7,0.2,True,64,28.1,7.76,12.12,0.64,1h
35,1.2,1.0,atr_3x,5,0.3,True,88,27.3,7.63,12.76,0.6,1h
35,1.2,1.0,atr_3x,7,0.2,True,88,27.3,7.27,11.93,0.61,1h
25,1.2,1.0,atr_3x,7,0.3,True,6,33.3,7.23,2.52,2.87,1h
25,1.5,1.0,atr_3x,7,0.3,True,6,33.3,7.23,2.52,2.87,1h
25,2.0,1.0,atr_3x,7,0.3,True,6,33.3,7.23,2.52,2.87,1h
25,1.2,2.0,atr_3x,7,0.3,True,6,50.0,6.93,4.59,1.51,1h
25,1.5,2.0,atr_3x,7,0.3,True,6,50.0,6.93,4.59,1.51,1h
25,2.0,2.0,atr_3x,7,0.3,True,6,50.0,6.93,4.59,1.51,1h
35,2.0,1.0,atr_3x,5,0.2,True,64,28.1,5.84,8.8,0.66,1h
35,1.2,1.0,atr_3x,5,0.2,True,88,27.3,5.59,8.57,0.65,1h
25,2.0,1.0,bb_mid,7,0.3,True,6,33.3,5.49,2.52,2.18,1h
25,1.5,1.0,bb_mid,7,0.3,True,6,33.3,5.49,2.52,2.18,1h
25,1.2,1.0,bb_mid,7,0.3,True,6,33.3,5.49,2.52,2.18,1h
35,2.0,1.0,atr_3x,3,0.3,True,64,28.1,5.33,7.95,0.67,1h
25,2.0,1.0,atr_3x,5,0.3,True,6,33.3,5.21,1.8,2.89,1h
25,1.2,1.0,atr_3x,5,0.3,True,6,33.3,5.21,1.8,2.89,1h
25,1.5,1.0,atr_3x,5,0.3,True,6,33.3,5.21,1.8,2.89,1h
25,1.2,1.5,atr_3x,7,0.3,True,6,33.3,5.19,3.56,1.46,1h
35,2.0,1.0,atr_2x,7,0.3,True,65,36.9,5.19,15.22,0.34,1h
25,2.0,1.5,atr_3x,7,0.3,True,6,33.3,5.19,3.56,1.46,1h
25,1.5,1.5,atr_3x,7,0.3,True,6,33.3,5.19,3.56,1.46,1h
35,1.2,1.0,atr_3x,3,0.3,True,88,27.3,5.12,7.72,0.66,1h
25,1.5,2.0,atr_3x,5,0.3,True,6,50.0,5.01,3.29,1.52,1h
25,2.0,2.0,atr_3x,5,0.3,True,6,50.0,5.01,3.29,1.52,1h
25,1.2,2.0,atr_3x,5,0.3,True,6,50.0,5.01,3.29,1.52,1h
25,1.2,1.0,atr_3x,7,0.2,True,6,33.3,4.87,1.68,2.89,1h
25,1.5,1.0,atr_3x,7,0.2,True,6,33.3,4.87,1.68,2.89,1h
25,2.0,1.0,atr_3x,7,0.2,True,6,33.3,4.87,1.68,2.89,1h
25,2.0,2.0,atr_3x,7,0.2,True,6,50.0,4.68,3.07,1.52,1h
25,1.2,2.0,atr_3x,7,0.2,True,6,50.0,4.68,3.07,1.52,1h
25,1.5,2.0,atr_3x,7,0.2,True,6,50.0,4.68,3.07,1.52,1h
25,2.0,2.0,bb_mid,7,0.3,True,6,50.0,4.42,4.59,0.96,1h
25,1.5,2.0,bb_mid,7,0.3,True,6,50.0,4.42,4.59,0.96,1h
25,1.2,2.0,bb_mid,7,0.3,True,6,50.0,4.42,4.59,0.96,1h
35,2.0,1.0,atr_3x,7,0.1,True,64,28.1,4.25,6.23,0.68,1h
35,2.0,1.0,atr_2x,5,0.3,True,65,36.9,4.16,11.03,0.38,1h
35,1.2,1.0,atr_3x,7,0.1,True,88,27.3,4.12,6.02,0.68,1h
25,1.2,1.0,bb_mid,5,0.3,True,6,33.3,3.96,1.8,2.2,1h
25,2.0,1.0,bb_mid,5,0.3,True,6,33.3,3.96,1.8,2.2,1h
25,1.5,1.0,bb_mid,5,0.3,True,6,33.3,3.96,1.8,2.2,1h
35,2.0,1.0,atr_2x,7,0.2,True,65,36.9,3.95,10.32,0.38,1h
25,1.5,1.5,atr_3x,5,0.3,True,6,33.3,3.77,2.55,1.48,1h
25,2.0,1.5,atr_3x,5,0.3,True,6,33.3,3.77,2.55,1.48,1h
25,1.2,1.5,atr_3x,5,0.3,True,6,33.3,3.77,2.55,1.48,1h
25,2.0,1.0,bb_mid,7,0.2,True,6,33.3,3.71,1.68,2.2,1h
25,1.2,1.0,bb_mid,7,0.2,True,6,33.3,3.71,1.68,2.2,1h
25,1.5,1.0,bb_mid,7,0.2,True,6,33.3,3.71,1.68,2.2,1h
35,2.0,1.0,atr_3x,3,0.2,True,64,28.1,3.68,5.36,0.69,1h
35,1.2,1.0,atr_3x,3,0.2,True,88,27.3,3.59,5.17,0.69,1h
25,1.2,1.5,atr_3x,7,0.2,True,6,33.3,3.53,2.38,1.49,1h
25,1.5,1.5,atr_3x,7,0.2,True,6,33.3,3.53,2.38,1.49,1h
