rsi_thresh,vol_mult,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
30,1.5,2.0,bb_mid,7,0.3,True,11,81.8,24.78,10.29,2.41,1h
30,2.0,2.0,bb_mid,7,0.3,True,10,80.0,18.09,10.29,1.76,1h
30,1.5,2.0,bb_mid,5,0.3,True,11,81.8,17.39,7.41,2.35,1h
30,1.5,2.0,atr_3x,7,0.3,True,11,63.6,16.21,18.4,0.88,1h
30,1.5,2.0,bb_mid,7,0.2,True,11,81.8,16.18,6.92,2.34,1h
30,2.0,2.0,bb_mid,5,0.3,True,10,80.0,12.83,7.41,1.73,1h
30,2.0,2.0,bb_mid,7,0.2,True,10,80.0,11.95,6.92,1.73,1h
30,1.5,2.0,atr_3x,5,0.3,True,11,63.6,11.92,13.38,0.89,1h
30,1.5,2.0,bb_mid,5,0.2,True,11,81.8,11.42,4.97,2.3,1h
30,1.5,2.0,atr_3x,7,0.2,True,11,63.6,11.18,12.53,0.89,1h
30,1.5,2.0,bb_mid,3,0.3,True,11,81.8,10.24,4.48,2.29,1h
30,2.0,2.0,bb_mid,5,0.2,True,10,80.0,8.49,4.97,1.71,1h
30,1.5,2.0,atr_2x,7,0.3,True,11,63.6,8.24,19.77,0.42,1h
30,1.5,2.0,atr_3x,5,0.2,True,11,63.6,8.12,9.06,0.9,1h
30,1.5,2.0,bb_mid,7,0.1,True,11,81.8,7.92,3.49,2.27,1h
30,2.0,2.0,bb_mid,3,0.3,True,10,80.0,7.63,4.48,1.7,1h
30,1.5,2.0,atr_3x,3,0.3,True,11,63.6,7.34,8.18,0.9,1h
25,1.5,1.5,bb_mid,7,0.3,True,1,100.0,7.17,0.1,68.28,1h
25,1.2,1.0,bb_mid,7,0.3,True,1,100.0,7.17,0.1,68.28,1h
25,1.2,2.0,bb_mid,7,0.3,True,1,100.0,7.17,0.1,68.28,1h
25,1.2,1.5,bb_mid,7,0.3,True,1,100.0,7.17,0.1,68.28,1h
25,1.5,1.0,bb_mid,7,0.3,True,1,100.0,7.17,0.1,68.28,1h
25,1.5,2.0,bb_mid,7,0.3,True,1,100.0,7.17,0.1,68.28,1h
25,2.0,2.0,bb_mid,7,0.3,True,1,100.0,7.17,0.1,68.28,1h
25,2.0,1.5,bb_mid,7,0.3,True,1,100.0,7.17,0.1,68.28,1h
25,2.0,1.0,bb_mid,7,0.3,True,1,100.0,7.17,0.1,68.28,1h
30,2.0,2.0,atr_3x,7,0.3,True,10,60.0,6.82,18.4,0.37,1h
30,1.5,2.0,bb_mid,3,0.2,True,11,81.8,6.77,3.0,2.26,1h
30,1.5,2.0,atr_2x,5,0.3,True,11,63.6,6.26,14.36,0.44,1h
30,1.5,1.5,bb_mid,7,0.3,True,11,63.6,6.01,7.94,0.76,1h
30,2.0,2.0,bb_mid,7,0.1,True,10,80.0,5.92,3.49,1.69,1h
30,1.5,2.0,atr_2x,7,0.2,True,11,63.6,5.9,13.44,0.44,1h
30,1.5,2.0,atr_3x,7,0.1,True,11,63.6,5.75,6.4,0.9,1h
30,1.5,2.0,bb_mid,5,0.1,True,11,81.8,5.62,2.5,2.25,1h
30,2.0,2.0,atr_3x,5,0.3,True,10,60.0,5.31,13.38,0.4,1h
25,2.0,2.0,bb_mid,5,0.3,True,1,100.0,5.12,0.07,68.28,1h
25,1.5,1.5,bb_mid,5,0.3,True,1,100.0,5.12,0.07,68.28,1h
25,1.2,1.5,bb_mid,5,0.3,True,1,100.0,5.12,0.07,68.28,1h
25,2.0,1.5,bb_mid,5,0.3,True,1,100.0,5.12,0.07,68.28,1h
25,2.0,1.0,bb_mid,5,0.3,True,1,100.0,5.12,0.07,68.28,1h
25,1.2,1.0,bb_mid,5,0.3,True,1,100.0,5.12,0.07,68.28,1h
25,1.5,1.0,bb_mid,5,0.3,True,1,100.0,5.12,0.07,68.28,1h
25,1.2,2.0,bb_mid,5,0.3,True,1,100.0,5.12,0.07,68.28,1h
25,1.5,2.0,bb_mid,5,0.3,True,1,100.0,5.12,0.07,68.28,1h
30,2.0,2.0,bb_mid,3,0.2,True,10,80.0,5.07,3.0,1.69,1h
30,2.0,2.0,atr_3x,7,0.2,True,10,60.0,5.03,12.53,0.4,1h
30,1.5,2.0,atr_3x,3,0.2,True,11,63.6,4.95,5.5,0.9,1h
25,1.5,1.0,bb_mid,7,0.2,True,1,100.0,4.78,0.07,68.28,1h
25,1.5,2.0,bb_mid,7,0.2,True,1,100.0,4.78,0.07,68.28,1h
25,2.0,1.5,bb_mid,7,0.2,True,1,100.0,4.78,0.07,68.28,1h
25,1.5,1.5,bb_mid,7,0.2,True,1,100.0,4.78,0.07,68.28,1h
25,1.2,1.0,bb_mid,7,0.2,True,1,100.0,4.78,0.07,68.28,1h
25,1.2,1.5,bb_mid,7,0.2,True,1,100.0,4.78,0.07,68.28,1h
25,2.0,2.0,bb_mid,7,0.2,True,1,100.0,4.78,0.07,68.28,1h
25,1.2,2.0,bb_mid,7,0.2,True,1,100.0,4.78,0.07,68.28,1h
25,2.0,1.0,bb_mid,7,0.2,True,1,100.0,4.78,0.07,68.28,1h
30,1.5,1.5,bb_mid,5,0.3,True,11,63.6,4.5,5.67,0.79,1h
30,1.5,2.0,atr_2x,5,0.2,True,11,63.6,4.37,9.7,0.45,1h
30,1.5,1.5,bb_mid,7,0.2,True,11,63.6,4.23,5.3,0.8,1h
30,2.0,2.0,bb_mid,5,0.1,True,10,80.0,4.21,2.5,1.69,1h
30,1.5,2.0,atr_3x,5,0.1,True,11,63.6,4.14,4.6,0.9,1h
30,1.5,2.0,atr_2x,3,0.3,True,11,63.6,3.97,8.75,0.45,1h
