rsi_thresh,vol_mult,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
30,2.0,1.0,atr_3x,7,0.3,True,11,54.5,63.47,4.69,13.54,1h
30,2.0,1.5,atr_3x,7,0.3,True,11,54.5,54.9,6.74,8.15,1h
35,1.5,1.0,bb_mid,7,0.3,True,49,44.9,48.69,13.8,3.53,1h
35,1.2,1.0,bb_mid,7,0.3,True,53,45.3,46.94,13.8,3.4,1h
30,2.0,2.0,atr_3x,7,0.3,True,11,54.5,46.69,8.77,5.32,1h
35,1.2,1.5,atr_2x,7,0.3,True,49,46.9,45.12,21.88,2.06,1h
30,2.0,1.0,atr_3x,5,0.3,True,11,54.5,43.24,3.36,12.87,1h
35,1.5,1.5,atr_2x,7,0.3,True,47,46.8,41.58,19.35,2.15,1h
30,2.0,1.0,atr_3x,7,0.2,True,11,54.5,40.04,3.14,12.76,1h
30,1.2,1.5,atr_3x,7,0.3,True,15,46.7,39.18,7.09,5.52,1h
30,1.5,1.5,atr_3x,7,0.3,True,15,46.7,39.18,7.09,5.52,1h
30,2.0,1.5,atr_3x,5,0.3,True,11,54.5,37.88,4.84,7.83,1h
30,2.0,1.5,atr_3x,7,0.2,True,11,54.5,35.15,4.52,7.78,1h
35,1.5,1.0,bb_mid,5,0.3,True,49,44.9,34.38,9.95,3.46,1h
30,2.0,1.0,atr_2x,7,0.3,True,11,54.5,34.14,4.69,7.28,1h
35,1.2,1.0,bb_mid,5,0.3,True,53,45.3,33.38,9.95,3.36,1h
35,1.2,1.5,atr_3x,7,0.3,True,47,34.0,33.37,31.77,1.05,1h
35,1.2,1.5,atr_2x,5,0.3,True,49,46.9,33.08,16.03,2.06,1h
30,2.0,2.0,atr_3x,5,0.3,True,11,54.5,32.68,6.3,5.18,1h
35,1.5,1.0,atr_2x,7,0.3,True,49,34.7,32.42,17.07,1.9,1h
35,1.2,1.0,atr_2x,7,0.3,True,53,35.8,32.1,18.86,1.7,1h
35,1.5,1.0,bb_mid,7,0.2,True,49,44.9,32.01,9.3,3.44,1h
35,1.2,1.0,atr_3x,7,0.3,True,51,25.5,31.93,26.52,1.2,1h
35,1.5,1.5,atr_3x,7,0.3,True,44,34.1,31.68,26.68,1.19,1h
35,1.2,1.5,bb_mid,7,0.3,True,49,55.1,31.5,22.21,1.42,1h
35,1.2,1.0,bb_mid,7,0.2,True,53,45.3,31.12,9.3,3.35,1h
35,1.2,1.5,atr_2x,7,0.2,True,49,46.9,30.97,15.03,2.06,1h
35,1.5,1.5,atr_2x,5,0.3,True,47,46.8,30.7,14.11,2.18,1h
30,2.0,2.0,atr_3x,7,0.2,True,11,54.5,30.39,5.89,5.16,1h
35,1.5,1.0,atr_3x,7,0.3,True,46,23.9,29.99,24.49,1.22,1h
30,1.5,1.5,atr_2x,7,0.3,True,15,53.3,29.28,7.09,4.13,1h
30,1.2,1.5,atr_2x,7,0.3,True,15,53.3,29.28,7.09,4.13,1h
35,1.5,1.5,atr_2x,7,0.2,True,47,46.8,28.78,13.21,2.18,1h
35,1.2,2.0,atr_2x,7,0.3,True,46,52.2,28.65,24.59,1.16,1h
35,1.5,1.5,bb_mid,7,0.3,True,47,55.3,28.3,19.69,1.44,1h
30,1.5,1.5,atr_3x,5,0.3,True,15,46.7,27.79,5.07,5.48,1h
30,1.2,1.5,atr_3x,5,0.3,True,15,46.7,27.79,5.07,5.48,1h
30,1.2,2.0,atr_3x,7,0.3,True,15,46.7,27.78,9.35,2.97,1h
30,1.5,2.0,atr_3x,7,0.3,True,15,46.7,27.78,9.35,2.97,1h
30,2.0,1.0,atr_3x,5,0.2,True,11,54.5,27.69,2.25,12.32,1h
30,2.0,1.0,bb_mid,7,0.3,True,11,63.6,27.58,2.87,9.61,1h
35,1.5,2.0,atr_2x,7,0.3,True,44,52.3,27.13,24.59,1.1,1h
30,2.0,1.5,atr_2x,7,0.3,True,11,54.5,27.1,6.74,4.02,1h
35,1.2,1.5,atr_3x,5,0.3,True,47,34.0,26.45,23.32,1.13,1h
30,1.2,1.5,atr_3x,7,0.2,True,15,46.7,25.9,4.73,5.47,1h
30,1.5,1.5,atr_3x,7,0.2,True,15,46.7,25.9,4.73,5.47,1h
30,1.2,1.5,bb_mid,7,0.3,True,15,66.7,25.36,7.34,3.46,1h
30,1.5,1.5,bb_mid,7,0.3,True,15,66.7,25.36,7.34,3.46,1h
35,1.5,1.5,atr_3x,5,0.3,True,44,34.1,25.18,19.3,1.31,1h
35,1.2,1.5,atr_3x,7,0.2,True,47,34.0,25.06,21.86,1.15,1h
35,1.2,1.0,atr_3x,5,0.3,True,51,25.5,24.93,19.67,1.27,1h
