rsi_thresh,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
30,1.5,atr_3x,7,0.3,True,10,60.0,51.74,10.8,4.79,4h
30,2.0,atr_3x,7,0.3,True,10,60.0,40.96,14.14,2.9,4h
30,1.5,atr_3x,5,0.3,True,10,60.0,35.87,7.78,4.61,4h
30,1.5,atr_3x,7,0.2,True,10,60.0,33.31,7.27,4.58,4h
30,2.0,atr_3x,5,0.3,True,10,60.0,29.03,10.21,2.84,4h
30,2.0,atr_3x,7,0.2,True,10,60.0,27.05,9.54,2.84,4h
30,1.0,atr_3x,7,0.3,True,11,45.5,25.32,10.02,2.53,4h
30,1.5,atr_3x,5,0.2,True,10,60.0,23.29,5.22,4.46,4h
30,1.5,atr_2x,7,0.3,True,10,60.0,23.16,10.8,2.14,4h
30,1.5,atr_3x,3,0.3,True,10,60.0,20.84,4.7,4.43,4h
30,2.0,atr_3x,5,0.2,True,10,60.0,19.18,6.86,2.79,4h
30,1.0,atr_3x,5,0.3,True,11,45.5,18.17,7.23,2.51,4h
30,2.0,atr_3x,3,0.3,True,10,60.0,17.23,6.19,2.78,4h
30,1.0,atr_3x,7,0.2,True,11,45.5,16.97,6.76,2.51,4h
30,1.5,atr_2x,5,0.3,True,10,60.0,16.59,7.78,2.13,4h
30,1.5,bb_mid,7,0.3,True,10,60.0,16.21,10.8,1.5,4h
30,1.5,atr_3x,7,0.1,True,10,60.0,16.03,3.67,4.37,4h
30,1.5,atr_2x,7,0.2,True,10,60.0,15.49,7.27,2.13,4h
30,2.0,atr_2x,7,0.3,True,10,60.0,14.41,14.14,1.02,4h
30,1.5,atr_3x,3,0.2,True,10,60.0,13.66,3.15,4.34,4h
30,2.0,atr_3x,7,0.1,True,10,60.0,13.34,4.83,2.76,4h
30,1.0,atr_3x,5,0.2,True,11,45.5,12.14,4.86,2.5,4h
30,1.5,bb_mid,5,0.3,True,10,60.0,11.76,7.78,1.51,4h
30,2.0,atr_3x,3,0.2,True,10,60.0,11.4,4.15,2.75,4h
30,1.5,atr_3x,5,0.1,True,10,60.0,11.32,2.63,4.31,4h
30,1.5,atr_2x,5,0.2,True,10,60.0,11.07,5.22,2.12,4h
30,1.5,bb_mid,7,0.2,True,10,60.0,11.0,7.27,1.51,4h
30,1.0,atr_3x,3,0.3,True,11,45.5,10.93,4.38,2.49,4h
30,2.0,atr_2x,5,0.3,True,10,60.0,10.72,10.21,1.05,4h
30,2.0,atr_2x,7,0.2,True,10,60.0,10.07,9.54,1.06,4h
30,1.5,atr_2x,3,0.3,True,10,60.0,9.96,4.7,2.12,4h
30,2.0,atr_3x,5,0.1,True,10,60.0,9.48,3.46,2.74,4h
30,1.0,atr_3x,7,0.1,True,11,45.5,8.5,3.42,2.49,4h
30,2.0,bb_mid,7,0.3,True,10,60.0,7.95,14.14,0.56,4h
30,1.5,bb_mid,5,0.2,True,10,60.0,7.93,5.22,1.52,4h
30,1.5,atr_2x,7,0.1,True,10,60.0,7.74,3.67,2.11,4h
30,2.0,atr_2x,5,0.2,True,10,60.0,7.37,6.86,1.07,4h
30,1.0,atr_3x,3,0.2,True,11,45.5,7.29,2.93,2.48,4h
30,1.0,atr_2x,7,0.3,True,11,45.5,7.25,10.02,0.72,4h
30,1.5,bb_mid,3,0.3,True,10,60.0,7.15,4.7,1.52,4h
30,1.5,atr_3x,3,0.1,True,10,60.0,6.71,1.58,4.25,4h
30,2.0,atr_2x,3,0.3,True,10,60.0,6.67,6.19,1.08,4h
30,1.5,atr_2x,3,0.2,True,10,60.0,6.64,3.15,2.11,4h
30,2.0,bb_mid,5,0.3,True,10,60.0,6.14,10.21,0.6,4h
30,1.0,atr_3x,5,0.1,True,11,45.5,6.07,2.45,2.48,4h
30,2.0,bb_mid,7,0.2,True,10,60.0,5.8,9.54,0.61,4h
30,2.0,atr_3x,3,0.1,True,10,60.0,5.66,2.08,2.72,4h
30,1.5,bb_mid,7,0.1,True,10,60.0,5.58,3.67,1.52,4h
30,1.5,atr_2x,5,0.1,True,10,60.0,5.53,2.63,2.11,4h
30,1.0,atr_2x,5,0.3,True,11,45.5,5.47,7.23,0.76,4h
30,2.0,atr_2x,7,0.1,True,10,60.0,5.24,4.83,1.09,4h
30,1.0,atr_2x,7,0.2,True,11,45.5,5.15,6.76,0.76,4h
30,1.5,bb_mid,3,0.2,True,10,60.0,4.8,3.15,1.52,4h
30,1.0,bb_mid,7,0.3,True,11,45.5,4.65,10.56,0.44,4h
30,2.0,atr_2x,3,0.2,True,10,60.0,4.52,4.15,1.09,4h
30,2.0,bb_mid,5,0.2,True,10,60.0,4.33,6.86,0.63,4h
30,1.5,bb_mid,5,0.1,True,10,60.0,4.0,2.63,1.53,4h
30,2.0,bb_mid,3,0.3,True,10,60.0,3.94,6.19,0.64,4h
30,1.0,atr_2x,5,0.2,True,11,45.5,3.8,4.86,0.78,4h
30,2.0,atr_2x,5,0.1,True,10,60.0,3.78,3.46,1.09,4h
30,1.0,atr_3x,3,0.1,True,11,45.5,3.64,1.47,2.47,4h
30,1.0,bb_mid,5,0.3,True,11,45.5,3.62,7.58,0.48,4h
30,1.0,atr_2x,3,0.3,True,11,45.5,3.45,4.38,0.79,4h
30,1.0,bb_mid,7,0.2,True,11,45.5,3.43,7.08,0.48,4h
30,1.5,atr_2x,3,0.1,True,10,60.0,3.32,1.58,2.1,4h
30,2.0,bb_mid,7,0.1,True,10,60.0,3.13,4.83,0.65,4h
30,1.0,atr_2x,7,0.1,True,11,45.5,2.72,3.42,0.8,4h
30,2.0,bb_mid,3,0.2,True,10,60.0,2.71,4.15,0.65,4h
30,1.0,bb_mid,5,0.2,True,11,45.5,2.58,5.08,0.51,4h
30,1.5,bb_mid,3,0.1,True,10,60.0,2.41,1.58,1.53,4h
30,1.0,bb_mid,3,0.3,True,11,45.5,2.35,4.57,0.51,4h
