rsi_thresh,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
45,2.0,atr_2x,7,0.3,True,56,55.4,85.5,38.11,2.24,4h
45,2.0,atr_2x,5,0.3,True,56,55.4,62.81,28.63,2.19,4h
45,2.0,atr_2x,7,0.2,True,56,55.4,58.74,26.95,2.18,4h
45,2.0,atr_3x,7,0.3,True,51,45.1,51.13,39.34,1.3,4h
45,2.0,atr_3x,5,0.3,True,51,45.1,43.45,29.63,1.47,4h
45,2.0,atr_2x,5,0.2,True,56,55.4,41.99,19.91,2.11,4h
45,2.0,atr_3x,7,0.2,True,51,45.1,41.5,27.9,1.49,4h
45,2.0,atr_2x,3,0.3,True,56,55.4,37.74,18.07,2.09,4h
45,2.0,atr_3x,5,0.2,True,51,45.1,32.02,20.64,1.55,4h
45,2.0,atr_3x,3,0.3,True,51,45.1,29.28,18.74,1.56,4h
45,2.0,atr_2x,7,0.1,True,56,55.4,29.21,14.29,2.04,4h
45,2.0,atr_2x,3,0.2,True,56,55.4,24.95,12.36,2.02,4h
40,2.0,atr_2x,7,0.3,True,44,52.3,23.43,45.89,0.51,4h
45,2.0,atr_3x,7,0.1,True,51,45.1,23.41,14.84,1.58,4h
45,2.0,atr_2x,5,0.1,True,56,55.4,20.71,10.38,1.99,4h
40,2.0,atr_2x,5,0.3,True,44,52.3,20.64,35.13,0.59,4h
45,2.0,atr_3x,3,0.2,True,51,45.1,20.31,12.83,1.58,4h
40,2.0,atr_2x,7,0.2,True,44,52.3,19.83,33.17,0.6,4h
45,2.0,atr_3x,5,0.1,True,51,45.1,17.11,10.79,1.59,4h
40,2.0,atr_2x,5,0.2,True,44,52.3,15.7,24.82,0.63,4h
40,2.0,atr_3x,5,0.3,True,41,43.9,15.13,35.13,0.43,4h
40,2.0,atr_3x,7,0.2,True,41,43.9,15.0,33.17,0.45,4h
40,2.0,atr_2x,3,0.3,True,44,52.3,14.45,22.6,0.64,4h
40,2.0,atr_3x,5,0.2,True,41,43.9,13.16,24.82,0.53,4h
40,2.0,atr_3x,7,0.3,True,41,43.9,13.15,45.89,0.29,4h
40,2.0,atr_3x,3,0.3,True,41,43.9,12.38,22.6,0.55,4h
45,2.0,atr_2x,3,0.1,True,56,55.4,12.31,6.34,1.94,4h
40,2.0,atr_2x,7,0.1,True,44,52.3,11.72,17.99,0.65,4h
45,2.0,atr_3x,5,0.1,False,207,43.5,10.59,20.35,0.52,4h
45,2.0,atr_3x,3,0.2,False,207,43.5,10.56,24.02,0.44,4h
45,2.0,atr_3x,3,0.1,True,51,45.1,10.45,6.59,1.59,4h
40,2.0,atr_3x,7,0.1,True,41,43.9,10.43,17.99,0.58,4h
40,2.0,atr_2x,3,0.2,True,44,52.3,10.24,15.6,0.66,4h
45,2.0,atr_3x,7,0.1,False,207,43.5,9.8,27.58,0.36,4h
40,2.0,atr_3x,3,0.2,True,41,43.9,9.28,15.6,0.59,4h
45,1.5,atr_2x,7,0.2,True,58,43.1,9.01,27.4,0.33,4h
45,1.5,atr_2x,5,0.3,True,58,43.1,8.99,29.13,0.31,4h
40,2.0,atr_2x,5,0.1,True,44,52.3,8.69,13.16,0.66,4h
45,2.0,atr_3x,3,0.1,False,207,43.5,8.42,12.62,0.67,4h
45,1.5,atr_2x,5,0.2,True,58,43.1,8.16,20.16,0.4,4h
40,2.0,atr_3x,5,0.1,True,41,43.9,8.0,13.16,0.61,4h
45,1.5,atr_2x,3,0.3,True,58,43.1,7.73,18.28,0.42,4h
45,1.5,atr_2x,7,0.3,True,58,43.1,7.04,38.93,0.18,4h
45,1.5,atr_2x,7,0.1,True,58,43.1,6.59,14.43,0.46,4h
45,2.0,atr_3x,3,0.3,False,207,43.5,6.15,34.47,0.18,4h
45,1.5,atr_2x,3,0.2,True,58,43.1,5.9,12.46,0.47,4h
40,2.0,atr_3x,5,0.1,False,186,43.0,5.59,20.94,0.27,4h
40,2.0,atr_2x,3,0.1,True,44,52.3,5.39,8.08,0.67,4h
40,2.0,atr_3x,3,0.1,False,186,43.0,5.28,13.02,0.41,4h
45,1.5,atr_2x,5,0.1,True,58,43.1,5.12,10.45,0.49,4h
40,2.0,atr_3x,3,0.1,True,41,43.9,5.11,8.08,0.63,4h
40,2.0,atr_3x,3,0.2,False,186,43.0,4.77,24.68,0.19,4h
45,2.0,atr_3x,5,0.2,False,207,43.5,3.33,37.74,0.09,4h
40,2.0,atr_3x,7,0.1,False,186,43.0,3.31,28.78,0.11,4h
45,1.5,atr_2x,3,0.1,True,58,43.1,3.3,6.36,0.52,4h
45,1.5,atr_3x,7,0.1,True,53,34.0,3.19,13.39,0.24,4h
45,1.5,atr_3x,3,0.2,True,53,34.0,3.11,11.5,0.27,4h
45,1.5,atr_3x,3,0.3,True,53,34.0,2.98,17.13,0.17,4h
45,1.5,atr_3x,5,0.1,True,53,34.0,2.9,9.6,0.3,4h
45,1.5,atr_3x,5,0.2,True,53,34.0,2.69,18.98,0.14,4h
30,2.0,atr_3x,7,0.2,True,8,50.0,2.15,17.48,0.12,4h
30,2.0,atr_3x,5,0.3,True,8,50.0,2.12,18.65,0.11,4h
45,1.5,atr_3x,3,0.1,True,53,34.0,2.11,5.78,0.37,4h
30,2.0,atr_3x,5,0.2,True,8,50.0,2.0,12.7,0.16,4h
30,2.0,atr_3x,3,0.1,False,111,42.3,1.98,12.41,0.16,4h
30,2.0,atr_3x,3,0.3,True,8,50.0,1.91,11.48,0.17,4h
30,2.0,atr_3x,7,0.1,True,8,50.0,1.65,9.0,0.18,4h
30,2.0,atr_3x,7,0.3,True,8,50.0,1.51,25.45,0.06,4h
30,2.0,atr_3x,3,0.2,True,8,50.0,1.48,7.75,0.19,4h
30,2.0,atr_3x,5,0.1,True,8,50.0,1.29,6.48,0.2,4h
30,2.0,atr_3x,5,0.1,False,111,42.3,1.22,19.98,0.06,4h
30,2.0,atr_3x,3,0.1,True,8,50.0,0.85,3.92,0.22,4h
45,1.5,atr_3x,7,0.2,True,53,34.0,0.37,26.23,0.01,4h
30,2.0,atr_3x,3,0.2,False,111,42.3,0.23,23.57,0.01,4h
35,2.0,atr_2x,3,0.1,True,24,50.0,-0.4,6.31,-0.06,4h
35,1.0,atr_2x,3,0.1,True,30,33.3,-0.4,5.34,-0.07,4h
30,2.0,atr_2x,3,0.1,True,8,50.0,-0.43,3.11,-0.14,4h
45,1.5,atr_3x,5,0.3,True,53,34.0,-0.49,28.0,-0.02,4h
45,2.0,bb_mid,3,0.1,True,59,66.1,-0.6,5.51,-0.11,4h
30,2.0,atr_2x,5,0.1,True,8,50.0,-0.8,5.17,-0.15,4h
35,1.0,atr_2x,5,0.1,True,30,33.3,-0.83,8.81,-0.09,4h
35,2.0,atr_2x,5,0.1,True,24,50.0,-0.92,10.34,-0.09,4h
30,2.0,atr_2x,3,0.2,True,8,50.0,-1.0,6.2,-0.16,4h
45,1.0,atr_2x,3,0.1,True,65,32.3,-1.09,5.01,-0.22,4h
35,1.0,atr_2x,3,0.2,True,30,33.3,-1.1,10.52,-0.1,4h
30,2.0,atr_3x,7,0.1,False,111,42.3,-1.15,27.03,-0.04,4h
30,2.0,atr_2x,7,0.1,True,8,50.0,-1.23,7.22,-0.17,4h
35,2.0,atr_2x,3,0.2,True,24,50.0,-1.25,12.3,-0.1,4h
45,2.0,bb_mid,5,0.1,True,59,66.1,-1.27,9.15,-0.14,4h
30,2.0,bb_mid,3,0.1,True,8,62.5,-1.35,1.81,-0.75,4h
40,2.0,atr_3x,3,0.3,False,186,43.0,-1.38,37.24,-0.04,4h
35,1.0,atr_3x,3,0.1,True,29,24.1,-1.38,5.63,-0.25,4h
35,1.0,atr_2x,7,0.1,True,30,33.3,-1.4,12.21,-0.11,4h
45,1.0,atr_3x,3,0.1,True,62,24.2,-1.54,5.47,-0.28,4h
35,2.0,atr_2x,7,0.1,True,24,50.0,-1.63,14.23,-0.11,4h
30,1.0,atr_2x,3,0.1,True,10,30.0,-1.63,2.29,-0.71,4h
45,2.0,bb_mid,3,0.2,True,59,66.1,-1.68,10.96,-0.15,4h
30,2.0,atr_2x,3,0.3,True,8,50.0,-1.73,9.25,-0.19,4h
35,1.5,atr_2x,3,0.1,True,27,40.7,-1.88,7.9,-0.24,4h
30,2.0,atr_2x,5,0.2,True,8,50.0,-2.0,10.26,-0.19,4h
35,1.0,atr_2x,3,0.3,True,30,33.3,-2.1,15.53,-0.14,4h
45,2.0,bb_mid,7,0.1,True,59,66.1,-2.14,12.76,-0.17,4h
45,1.0,atr_2x,5,0.1,True,65,32.3,-2.14,8.41,-0.25,4h
40,2.0,bb_mid,3,0.1,True,47,63.8,-2.26,7.19,-0.31,4h
30,2.0,bb_mid,5,0.1,True,8,62.5,-2.29,3.05,-0.75,4h
30,1.0,bb_mid,3,0.1,True,10,30.0,-2.36,2.92,-0.81,4h
45,2.0,atr_2x,3,0.1,False,221,48.9,-2.4,15.2,-0.16,4h
35,1.0,atr_2x,5,0.2,True,30,33.3,-2.49,17.16,-0.15,4h
35,2.0,atr_2x,3,0.3,True,24,50.0,-2.53,17.99,-0.14,4h
35,1.0,atr_3x,5,0.1,True,29,24.1,-2.54,9.34,-0.27,4h
35,1.0,bb_mid,3,0.1,True,32,40.6,-2.61,4.61,-0.57,4h
30,1.0,atr_2x,5,0.1,True,10,30.0,-2.74,3.8,-0.72,4h
45,1.0,atr_2x,3,0.2,True,65,32.3,-2.75,10.13,-0.27,4h
30,2.0,bb_mid,3,0.2,True,8,62.5,-2.77,3.68,-0.75,4h
45,1.0,atr_3x,5,0.1,True,62,24.2,-3.01,9.01,-0.33,4h
35,2.0,atr_2x,5,0.2,True,24,50.0,-3.05,19.81,-0.15,4h
35,1.0,atr_3x,3,0.2,True,29,24.1,-3.18,11.18,-0.28,4h
45,2.0,bb_mid,3,0.3,True,59,66.1,-3.22,16.33,-0.2,4h
30,2.0,atr_2x,7,0.2,True,8,50.0,-3.25,14.27,-0.23,4h
30,2.0,bb_mid,7,0.1,True,8,62.5,-3.26,4.31,-0.76,4h
30,1.0,atr_2x,3,0.2,True,10,30.0,-3.31,4.56,-0.73,4h
35,1.5,atr_2x,5,0.1,True,27,40.7,-3.34,12.93,-0.26,4h
45,1.0,atr_2x,7,0.1,True,65,32.3,-3.42,11.85,-0.29,4h
