rsi_thresh,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
45,1.0,atr_2x,7,0.3,True,64,42.2,262.41,42.9,6.12,4h
45,1.0,atr_3x,7,0.3,True,61,32.8,177.66,45.57,3.9,4h
45,1.0,atr_2x,5,0.3,True,64,42.2,169.81,32.67,5.2,4h
45,1.0,atr_2x,7,0.2,True,64,42.2,155.49,30.82,5.04,4h
45,1.0,bb_mid,7,0.3,True,64,50.0,151.42,40.9,3.7,4h
45,1.0,atr_3x,5,0.3,True,61,32.8,130.25,34.83,3.74,4h
45,1.0,atr_3x,7,0.2,True,61,32.8,121.51,32.88,3.7,4h
45,1.0,bb_mid,5,0.3,True,64,50.0,102.38,30.93,3.31,4h
45,1.0,atr_2x,5,0.2,True,64,42.2,102.15,22.99,4.44,4h
40,1.0,atr_2x,7,0.3,True,48,37.5,98.76,36.54,2.7,4h
45,1.5,atr_2x,7,0.3,True,54,46.3,97.51,42.51,2.29,4h
45,1.0,bb_mid,7,0.2,True,64,50.0,94.51,29.15,3.24,4h
45,1.0,atr_2x,3,0.3,True,64,42.2,89.88,20.91,4.3,4h
45,1.0,atr_3x,5,0.2,True,61,32.8,85.51,24.57,3.48,4h
45,1.5,atr_3x,7,0.3,True,50,40.0,78.01,55.89,1.4,4h
45,1.0,atr_3x,3,0.3,True,61,32.8,76.42,22.37,3.42,4h
45,1.5,atr_2x,5,0.3,True,54,46.3,76.25,32.01,2.38,4h
45,1.5,atr_2x,7,0.2,True,54,46.3,71.89,30.14,2.39,4h
40,1.0,atr_2x,5,0.3,True,48,37.5,71.72,27.54,2.6,4h
45,1.5,atr_3x,5,0.3,True,50,40.0,68.81,43.64,1.58,4h
40,1.0,atr_2x,7,0.2,True,48,37.5,66.97,25.93,2.58,4h
45,1.0,atr_2x,7,0.1,True,64,42.2,66.69,16.62,4.01,4h
45,1.5,atr_3x,7,0.2,True,50,40.0,65.96,41.35,1.6,4h
45,1.0,bb_mid,5,0.2,True,64,50.0,64.29,21.62,2.97,4h
45,1.0,atr_3x,7,0.1,True,61,32.8,58.39,17.8,3.28,4h
45,1.0,bb_mid,3,0.3,True,64,50.0,57.09,19.65,2.91,4h
45,1.0,atr_2x,3,0.2,True,64,42.2,55.78,14.4,3.87,4h
45,1.5,atr_2x,5,0.2,True,54,46.3,52.78,22.28,2.37,4h
40,1.0,bb_mid,7,0.3,True,48,43.8,51.62,36.62,1.41,4h
45,1.5,atr_3x,5,0.2,True,50,40.0,51.31,31.36,1.64,4h
45,1.0,atr_3x,3,0.2,True,61,32.8,49.52,15.43,3.21,4h
45,1.5,atr_2x,3,0.3,True,54,46.3,47.68,20.22,2.36,4h
40,1.0,atr_2x,5,0.2,True,48,37.5,47.6,19.2,2.48,4h
45,1.5,atr_3x,3,0.3,True,50,40.0,46.93,28.65,1.64,4h
45,1.0,atr_2x,5,0.1,True,64,42.2,45.34,12.13,3.74,4h
45,1.0,bb_mid,7,0.1,True,64,50.0,43.17,15.57,2.77,4h
40,1.0,atr_2x,3,0.3,True,48,37.5,42.72,17.44,2.45,4h
45,1.5,bb_mid,7,0.3,True,56,55.4,41.88,38.0,1.1,4h
45,2.0,atr_2x,5,0.3,True,52,50.0,40.9,50.67,0.81,4h
45,1.0,atr_3x,5,0.1,True,61,32.8,40.77,13.0,3.14,4h
45,2.0,atr_2x,7,0.3,True,52,50.0,40.56,63.77,0.64,4h
45,2.0,atr_2x,7,0.2,True,52,50.0,39.88,48.14,0.83,4h
40,1.0,bb_mid,5,0.3,True,48,43.8,39.16,27.54,1.42,4h
45,1.5,atr_3x,7,0.1,True,50,40.0,37.49,22.97,1.63,4h
45,1.5,atr_2x,7,0.1,True,54,46.3,37.22,15.99,2.33,4h
40,1.0,bb_mid,7,0.2,True,48,43.8,36.84,25.93,1.42,4h
45,1.0,bb_mid,3,0.2,True,64,50.0,36.47,13.47,2.71,4h
45,1.5,bb_mid,5,0.3,True,56,55.4,35.2,28.35,1.24,4h
45,1.5,bb_mid,7,0.2,True,56,55.4,33.58,26.65,1.26,4h
40,1.0,atr_2x,7,0.1,True,48,37.5,32.98,13.81,2.39,4h
45,2.0,atr_2x,5,0.2,True,52,50.0,32.92,36.94,0.89,4h
45,1.5,atr_3x,3,0.2,True,50,40.0,32.47,19.99,1.62,4h
45,1.5,atr_2x,3,0.2,True,54,46.3,31.91,13.82,2.31,4h
45,2.0,atr_3x,7,0.2,True,51,43.1,31.55,50.74,0.62,4h
45,2.0,atr_3x,5,0.3,True,51,43.1,30.89,53.3,0.58,4h
45,2.0,atr_2x,3,0.3,True,52,50.0,30.51,33.85,0.9,4h
45,2.0,atr_3x,5,0.2,True,51,43.1,30.02,39.24,0.76,4h
45,1.0,bb_mid,5,0.1,True,64,50.0,29.93,11.34,2.64,4h
45,2.0,atr_3x,3,0.3,True,51,43.1,28.59,36.03,0.79,4h
40,1.0,atr_2x,3,0.2,True,48,37.5,28.14,11.95,2.36,4h
45,1.5,atr_3x,5,0.1,True,50,40.0,27.3,16.91,1.61,4h
40,1.0,bb_mid,5,0.2,True,48,43.8,27.02,19.2,1.41,4h
45,1.5,atr_2x,5,0.1,True,54,46.3,26.56,11.62,2.29,4h
45,1.5,bb_mid,5,0.2,True,56,55.4,25.86,19.58,1.32,4h
45,1.0,atr_2x,3,0.1,True,64,42.2,25.83,7.44,3.47,4h
30,1.0,bb_mid,7,0.3,True,6,66.7,25.67,10.59,2.42,4h
45,2.0,atr_2x,7,0.1,True,52,50.0,24.98,27.29,0.92,4h
45,2.0,atr_3x,7,0.1,True,51,43.1,24.56,29.17,0.84,4h
40,1.0,bb_mid,3,0.3,True,48,43.8,24.45,17.44,1.4,4h
45,1.0,atr_3x,3,0.1,True,61,32.8,23.8,7.98,2.98,4h
45,1.5,bb_mid,3,0.3,True,56,55.4,23.64,17.74,1.33,4h
40,1.0,atr_2x,5,0.1,True,48,37.5,23.33,10.05,2.32,4h
30,1.0,atr_2x,7,0.3,True,6,50.0,22.18,10.61,2.09,4h
45,2.0,atr_3x,3,0.2,True,51,43.1,21.97,25.51,0.86,4h
45,2.0,atr_2x,3,0.2,True,52,50.0,21.9,23.81,0.92,4h
45,2.0,bb_mid,5,0.3,True,54,61.1,21.11,44.65,0.47,4h
45,2.0,bb_mid,7,0.3,True,54,61.1,20.67,57.16,0.36,4h
45,2.0,bb_mid,7,0.2,True,54,61.1,20.65,42.3,0.49,4h
30,1.0,atr_3x,7,0.3,True,6,33.3,19.66,15.8,1.24,4h
40,1.0,bb_mid,7,0.1,True,48,43.8,19.19,13.81,1.39,4h
45,2.0,atr_3x,5,0.1,True,51,43.1,19.04,21.7,0.88,4h
45,2.0,atr_3x,7,0.3,True,51,43.1,18.98,66.4,0.29,4h
45,1.5,bb_mid,7,0.1,True,56,55.4,18.92,13.99,1.35,4h
30,1.5,bb_mid,7,0.3,True,6,66.7,18.81,15.47,1.22,4h
45,2.0,atr_2x,5,0.1,True,52,50.0,18.62,20.2,0.92,4h
30,1.0,bb_mid,5,0.3,True,6,66.7,18.36,7.62,2.41,4h
45,1.0,bb_mid,3,0.1,True,64,50.0,17.4,6.93,2.51,4h
45,2.0,bb_mid,5,0.2,True,54,61.1,17.3,32.08,0.54,4h
30,1.0,bb_mid,7,0.2,True,6,66.7,17.14,7.12,2.41,4h
45,1.5,atr_3x,3,0.1,True,50,40.0,16.58,10.46,1.59,4h
40,1.0,bb_mid,3,0.2,True,48,43.8,16.51,11.95,1.38,4h
45,1.5,bb_mid,3,0.2,True,56,55.4,16.42,12.07,1.36,4h
30,1.0,atr_2x,5,0.3,True,6,50.0,16.36,7.62,2.15,4h
40,1.5,atr_2x,5,0.3,True,42,40.5,16.35,47.18,0.35,4h
