rsi_thresh,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
30,1.5,bb_mid,7,0.3,False,104,53.8,407.87,55.9,7.3,4h
30,1.5,atr_2x,7,0.3,False,101,49.5,281.95,48.03,5.87,4h
30,1.5,bb_mid,5,0.3,False,104,53.8,271.07,43.43,6.24,4h
30,1.5,bb_mid,7,0.2,False,104,53.8,248.24,41.11,6.04,4h
30,2.0,atr_2x,7,0.3,False,92,53.3,209.61,52.72,3.98,4h
30,1.5,atr_2x,5,0.3,False,101,49.5,197.25,36.29,5.44,4h
30,2.0,atr_3x,7,0.3,False,90,47.8,188.03,67.03,2.81,4h
30,1.5,atr_2x,7,0.2,False,101,49.5,182.24,34.18,5.33,4h
35,2.0,atr_3x,7,0.3,False,141,44.0,165.45,71.39,2.32,4h
35,2.0,atr_3x,5,0.3,False,141,44.0,164.37,56.12,2.93,4h
30,2.0,atr_2x,5,0.3,False,92,53.3,161.42,40.08,4.03,4h
30,1.5,bb_mid,5,0.2,False,104,53.8,161.38,31.06,5.2,4h
30,1.0,bb_mid,7,0.3,False,111,42.3,159.45,56.08,2.84,4h
35,2.0,atr_3x,7,0.2,False,141,44.0,158.74,53.13,2.99,4h
30,2.0,atr_3x,5,0.3,False,90,47.8,158.74,53.58,2.96,4h
30,2.0,atr_2x,7,0.2,False,92,53.3,151.14,37.78,4.0,4h
30,2.0,atr_3x,7,0.2,False,90,47.8,150.41,50.97,2.95,4h
30,1.5,bb_mid,3,0.3,False,104,53.8,141.26,28.35,4.98,4h
35,2.0,bb_mid,7,0.3,False,155,59.4,137.64,64.1,2.15,4h
35,2.0,bb_mid,5,0.3,False,155,59.4,124.76,50.45,2.47,4h
35,2.0,atr_3x,5,0.2,False,141,44.0,123.48,39.96,3.09,4h
30,1.5,atr_2x,5,0.2,False,101,49.5,122.82,25.29,4.86,4h
30,1.0,bb_mid,5,0.3,False,111,42.3,122.27,43.47,2.81,4h
35,2.0,bb_mid,7,0.2,False,155,59.4,119.42,47.85,2.5,4h
30,1.0,bb_mid,7,0.2,False,111,42.3,114.75,41.12,2.79,4h
35,2.0,atr_3x,3,0.3,False,141,44.0,112.18,36.37,3.08,4h
30,2.0,atr_3x,5,0.2,False,90,47.8,110.49,39.29,2.81,4h
30,1.5,atr_2x,3,0.3,False,101,49.5,108.5,22.96,4.73,4h
30,2.0,atr_2x,5,0.2,False,92,53.3,106.79,28.18,3.79,4h
30,1.5,bb_mid,7,0.1,False,104,53.8,103.43,22.67,4.56,4h
30,2.0,atr_3x,3,0.3,False,90,47.8,99.37,36.05,2.76,4h
30,2.0,atr_2x,3,0.3,False,92,53.3,95.31,25.69,3.71,4h
35,2.0,bb_mid,5,0.2,False,155,59.4,91.06,36.43,2.5,4h
35,2.0,atr_3x,7,0.1,False,141,44.0,87.74,28.87,3.04,4h
30,1.5,bb_mid,3,0.2,False,104,53.8,85.82,19.71,4.35,4h
30,1.5,atr_3x,7,0.3,False,99,39.4,83.7,68.65,1.22,4h
30,1.5,atr_3x,5,0.3,False,99,39.4,83.54,55.55,1.5,4h
35,2.0,bb_mid,3,0.3,False,155,59.4,82.62,33.31,2.48,4h
30,1.0,bb_mid,5,0.2,False,111,42.3,82.37,30.99,2.66,4h
30,1.5,atr_3x,7,0.2,False,99,39.4,81.16,52.95,1.53,4h
30,1.5,atr_2x,7,0.1,False,101,49.5,80.92,18.16,4.46,4h
30,2.0,atr_3x,7,0.1,False,90,47.8,76.54,29.14,2.63,4h
35,2.0,atr_3x,3,0.2,False,141,44.0,74.94,24.98,3.0,4h
30,1.0,bb_mid,3,0.3,False,111,42.3,73.92,28.26,2.62,4h
30,2.0,atr_2x,7,0.1,False,92,53.3,72.45,20.49,3.54,4h
30,1.5,bb_mid,5,0.1,False,104,53.8,69.14,16.66,4.15,4h
30,1.5,atr_2x,3,0.2,False,101,49.5,67.78,15.7,4.32,4h
35,1.5,bb_mid,5,0.3,False,168,50.0,67.24,51.16,1.31,4h
35,1.5,bb_mid,7,0.2,False,168,50.0,65.94,48.64,1.36,4h
30,1.5,atr_3x,5,0.2,False,99,39.4,65.56,41.21,1.59,4h
30,2.0,atr_3x,3,0.2,False,90,47.8,65.01,25.46,2.55,4h
