month,trades,total_pnl,avg_pnl
2023-01,4,0.981,0.245
2023-02,3,0.592,0.197
2023-03,3,1.68,0.56
2023-04,3,-0.484,-0.161
2023-05,2,-0.398,-0.199
2023-06,1,-0.207,-0.207
2023-07,1,-0.176,-0.176
2023-08,1,-0.203,-0.203
2023-09,1,-0.174,-0.174
2023-10,1,-0.292,-0.292
2023-11,6,0.181,0.03
2023-12,2,0.469,0.235
2024-01,3,1.362,0.454
2024-02,6,0.698,0.116
2024-03,5,2.063,0.413
2024-04,3,-0.921,-0.307
2024-05,2,0.217,0.108
2024-06,1,-0.225,-0.225
2024-07,1,0.713,0.713
2024-08,3,-0.672,-0.224
2024-09,5,-0.825,-0.165
2024-10,3,-0.064,-0.021
2024-11,5,0.463,0.093
2024-12,1,-0.289,-0.289
2025-01,3,0.546,0.182
2025-04,3,0.679,0.226
2025-05,7,-0.353,-0.05
2025-06,1,-0.172,-0.172
2025-07,4,-0.639,-0.16
2025-08,1,-0.255,-0.255
2025-09,1,-0.121,-0.121
2025-10,3,0.168,0.056
