month,trades,total_pnl,avg_pnl
2023-01,12,23.137,1.928
2023-02,12,0.217,0.018
2023-03,6,13.027,2.171
2023-04,10,-10.978,-1.098
2023-05,5,-6.643,-1.329
2023-06,5,4.334,0.867
2023-07,7,-9.641,-1.377
2023-08,2,0.108,0.054
2023-09,2,0.118,0.059
2023-10,4,-1.22,-0.305
2023-11,11,20.476,1.861
2023-12,12,34.11,2.842
2024-01,5,11.589,2.318
2024-02,6,10.569,1.762
2024-03,10,-31.126,-3.113
2024-04,6,-12.9,-2.15
2024-05,6,12.511,2.085
2024-06,5,-19.245,-3.849
2024-07,6,-6.362,-1.06
2024-08,1,-2.026,-2.026
2024-09,5,-1.48,-0.296
2024-10,7,-6.842,-0.977
2024-11,8,16.74,2.092
2024-12,11,5.465,0.497
2025-01,3,-7.222,-2.407
2025-03,5,-3.434,-0.687
2025-04,3,2.455,0.818
2025-05,10,35.192,3.519
2025-06,5,32.173,6.435
2025-07,11,45.276,4.116
2025-08,9,12.725,1.414
2025-09,4,-16.19,-4.047
2025-10,4,-11.866,-2.967
2025-11,1,4.562,4.562
2025-12,5,-27.741,-5.548
