exit_ts,tier,entry,exit,pnl_pct,won
2023-01-08 01:00:00+00:00,2,13.03,13.1696,1.072,True
2023-01-11 19:00:00+00:00,2,15.636,15.8845,1.632,True
2023-01-18 03:00:00+00:00,2,22.855,23.3183,2.129,True
2023-01-18 13:00:00+00:00,2,22.342,22.96845,3.025,True
2023-01-18 16:00:00+00:00,2,21.781,20.558941,-6.395,False
2023-01-18 20:00:00+00:00,2,21.418,20.804,-3.098,False
2023-01-20 19:00:00+00:00,1,20.804,23.325213,24.836,True
2023-01-23 02:00:00+00:00,2,23.887,24.79445,4.83,True
2023-01-25 21:00:00+00:00,1,22.77,24.709487,22.668,True
2023-01-27 14:00:00+00:00,2,23.606,23.95175,2.228,True
2023-01-29 00:00:00+00:00,2,23.852,24.16865,2.041,True
2023-02-05 21:00:00+00:00,1,23.618,23.012638,-8.457,False
2023-02-07 18:00:00+00:00,1,22.635,23.841079,16.127,True
2023-02-09 19:00:00+00:00,1,22.33,21.683237,-9.99,False
2023-02-17 14:00:00+00:00,2,22.4,22.6876,1.96,True
2023-02-21 20:00:00+00:00,2,25.076,25.4812,2.519,True
2023-02-22 08:00:00+00:00,2,24.411,23.392177,-6.902,False
2023-03-15 15:00:00+00:00,2,20.291,19.402383,-6.913,False
2023-04-14 20:00:00+00:00,2,23.845,24.75505,5.602,True
2023-04-16 00:00:00+00:00,2,23.872,24.2289,2.233,True
2023-04-19 08:00:00+00:00,2,24.291,23.737812,-3.649,False
2023-04-19 23:00:00+00:00,1,23.198,22.410631,-10.531,False
2023-05-01 01:00:00+00:00,2,22.729,22.235537,-3.147,False
2023-05-29 23:00:00+00:00,2,20.33,20.62595,1.944,True
2023-06-02 00:00:00+00:00,2,20.738,20.304947,-2.999,False
2023-06-23 15:00:00+00:00,2,16.396,16.67805,2.289,True
2023-06-25 02:00:00+00:00,2,16.614,16.85405,1.944,True
2023-06-26 06:00:00+00:00,2,16.656,16.93625,2.307,True
2023-07-03 19:00:00+00:00,2,18.951,19.33025,2.804,True
2023-07-05 12:00:00+00:00,2,18.614,18.575,-0.38,False
2023-07-06 00:00:00+00:00,1,18.575,19.603979,16.038,True
2023-07-10 03:00:00+00:00,2,21.25,21.3611,0.77,True
2023-07-10 14:00:00+00:00,2,20.602,20.98465,2.955,True
2023-07-18 00:00:00+00:00,2,26.046,26.9617,5.77,True
2023-07-22 23:00:00+00:00,1,25.716,24.557834,-15.707,False
2023-07-24 09:00:00+00:00,1,23.617,22.914758,-9.421,False
2023-07-26 14:00:00+00:00,1,23.206,24.632306,17.77,True
2023-07-30 19:00:00+00:00,1,24.239,23.741232,-6.91,False
2023-07-31 19:00:00+00:00,1,24.236,23.707573,-6.995,False
2023-08-01 02:00:00+00:00,1,23.39,22.806541,-7.599,False
2023-08-13 20:00:00+00:00,2,24.485,24.216,-1.622,False
2023-08-14 16:00:00+00:00,1,24.216,24.882223,7.531,True
2023-08-15 19:00:00+00:00,1,24.037,23.5868,-5.66,False
2023-08-16 05:00:00+00:00,1,23.889,23.439957,-5.445,False
2023-09-22 00:00:00+00:00,2,19.629,19.230059,-2.816,False
2023-10-04 08:00:00+00:00,2,23.093,23.5136,2.341,True
2023-10-04 19:00:00+00:00,2,22.684,23.15285,2.714,True
2023-10-06 00:00:00+00:00,2,22.79,22.9561,0.932,True
2023-10-08 02:00:00+00:00,2,23.117,23.3789,1.497,True
2023-10-09 08:00:00+00:00,2,22.972,22.165,-4.979,False
2023-10-09 16:00:00+00:00,1,22.165,21.628961,-6.638,False
2023-10-11 18:00:00+00:00,1,22.185,21.636533,-6.424,False
2023-10-19 04:00:00+00:00,2,23.323,23.63145,1.533,True
2023-10-26 20:00:00+00:00,2,31.297,32.05995,2.913,True
2023-11-04 05:00:00+00:00,2,39.649,39.71995,0.161,True
2023-11-05 23:00:00+00:00,2,40.698,41.22385,1.554,True
2023-11-06 15:00:00+00:00,2,39.958,40.61,2.004,True
