month,trades,total_pnl,avg_pnl
2023-01,11,54.969,4.997
2023-02,6,-4.743,-0.79
2023-03,1,-6.913,-6.913
2023-04,4,-6.345,-1.586
2023-05,2,-1.203,-0.601
2023-06,4,3.541,0.885
2023-07,11,6.693,0.608
2023-08,5,-12.794,-2.559
2023-09,1,-2.816,-2.816
2023-10,9,-6.11,-0.679
2023-11,10,69.55,6.955
2023-12,11,126.096,11.463
2024-01,3,30.826,10.275
2024-02,9,27.259,3.029
2024-03,7,92.396,13.199
2024-04,6,-62.409,-10.402
2024-05,6,-23.357,-3.893
2024-06,6,22.784,3.797
2024-07,6,55.191,9.199
2024-08,2,-36.035,-18.017
2024-09,6,11.062,1.844
2024-10,7,-29.045,-4.149
2024-11,11,18.841,1.713
2024-12,4,-76.899,-19.225
2025-01,6,7.484,1.247
2025-02,1,-27.37,-27.37
2025-03,2,-3.631,-1.816
2025-04,5,20.261,4.052
2025-05,8,89.117,11.14
2025-06,1,-11.457,-11.457
2025-07,5,61.189,12.238
2025-08,7,18.738,2.677
2025-09,8,10.069,1.259
2025-10,4,-25.186,-6.296
2025-11,1,6.357,6.357
2025-12,1,1.818,1.818
