ema_period,mode,leverage,pos_ratio,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar
150,long_short,3,1.0,40,20,20,40.0,829.06,49.76,16.66
150,long_short,5,1.0,40,20,20,40.0,779.85,70.14,11.12
150,long_short,5,0.5,40,20,20,40.0,705.93,43.25,16.32
150,long_short,2,1.0,40,20,20,40.0,550.33,36.1,15.24
200,long_short,3,1.0,32,16,16,28.1,410.38,58.87,6.97
150,long_short,3,0.5,40,20,20,40.0,383.43,28.26,13.57
200,long_short,5,0.5,32,16,16,28.1,381.33,51.78,7.36
200,long_short,2,1.0,32,16,16,28.1,326.89,43.73,7.47
200,long_short,5,1.0,32,16,16,28.1,295.98,79.42,3.73
200,long_short,3,0.5,32,16,16,28.1,251.95,34.64,7.27
150,long_short,1,1.0,40,20,20,40.0,226.27,19.66,11.51
150,long_short,2,0.5,40,20,20,40.0,226.27,19.66,11.51
150,long_only,3,1.0,20,20,0,40.0,191.93,58.79,3.26
150,long_only,5,0.5,20,20,0,40.0,176.68,51.58,3.43
150,long_only,5,1.0,20,20,0,40.0,171.39,79.86,2.15
200,long_short,1,1.0,32,16,16,28.1,165.05,24.39,6.77
200,long_short,2,0.5,32,16,16,28.1,165.05,24.39,6.77
150,long_only,2,1.0,20,20,0,40.0,152.95,43.45,3.52
200,long_only,3,1.0,16,16,0,25.0,138.82,43.55,3.19
200,long_only,5,0.5,16,16,0,25.0,134.35,37.5,3.58
200,long_only,2,1.0,16,16,0,25.0,122.15,30.99,3.94
150,long_only,3,0.5,20,20,0,40.0,121.59,34.32,3.54
200,long_only,3,0.5,16,16,0,25.0,101.91,24.01,4.24
200,long_only,5,1.0,16,16,0,25.0,97.18,63.78,1.52
150,long_short,1,0.5,40,20,20,40.0,95.44,10.26,9.3
150,long_only,2,0.5,20,20,0,40.0,84.07,24.09,3.49
150,long_only,1,1.0,20,20,0,40.0,84.07,24.09,3.49
200,long_short,1,0.5,32,16,16,28.1,77.23,12.89,5.99
200,long_only,2,0.5,16,16,0,25.0,73.92,16.53,4.47
200,long_only,1,1.0,16,16,0,25.0,73.92,16.53,4.47
150,long_only,1,0.5,20,20,0,40.0,42.59,12.68,3.36
200,long_only,1,0.5,16,16,0,25.0,39.27,8.54,4.6
250,long_only,1,0.5,24,24,0,12.5,-2.4,24.55,-0.1
250,long_short,1,0.5,48,24,24,16.7,-10.5,34.7,-0.3
250,long_only,1,1.0,24,24,0,12.5,-13.51,43.58,-0.31
250,long_only,2,0.5,24,24,0,12.5,-13.51,43.58,-0.31
250,long_only,3,0.5,24,24,0,12.5,-28.59,58.2,-0.49
250,long_short,1,1.0,48,24,24,16.7,-31.4,57.88,-0.54
250,long_short,2,0.5,48,24,24,16.7,-31.4,57.88,-0.54
250,long_only,2,1.0,24,24,0,12.5,-44.29,69.34,-0.64
250,long_short,3,0.5,48,24,24,16.7,-53.29,74.08,-0.72
250,long_only,5,0.5,24,24,0,12.5,-58.61,77.76,-0.75
250,long_only,3,1.0,24,24,0,12.5,-70.56,84.06,-0.84
250,long_short,2,1.0,48,24,24,16.7,-71.17,85.48,-0.83
250,long_short,5,0.5,48,24,24,16.7,-83.68,92.26,-0.91
250,long_short,3,1.0,48,24,24,16.7,-91.47,96.06,-0.95
250,long_only,5,1.0,24,24,0,12.5,-94.98,97.41,-0.98
250,long_short,5,1.0,48,24,24,16.7,-99.7,99.83,-1.0
