coin,year,ema_period,mode,leverage,pos_ratio,return_pct,max_drawdown,calmar,trades,win_rate,long_trades,short_trades
BTC,2022,200,long_only,5,1.0,-9.75,9.75,-1.0,1,0.0,1,0
BTC,2023,200,long_only,5,1.0,884.46,35.46,24.94,4,50.0,4,0
BTC,2024,200,long_only,5,1.0,51.13,58.41,0.88,10,30.0,10,0
BTC,2025,200,long_only,5,1.0,-21.25,37.24,-0.57,9,11.1,9,0
ETH,2022,150,long_short,3,1.0,131.27,41.06,3.2,10,40.0,5,5
ETH,2023,150,long_short,3,1.0,82.73,53.16,1.56,9,22.2,5,4
ETH,2024,150,long_short,3,1.0,-79.03,88.99,-0.89,21,14.3,11,10
ETH,2025,150,long_short,3,1.0,45.45,56.71,0.8,14,21.4,7,7
XRP,2022,250,long_only,1,0.5,-23.43,23.43,-1.0,9,0.0,9,0
XRP,2023,250,long_only,1,0.5,29.2,1.78,16.39,6,33.3,6,0
XRP,2024,250,long_only,1,0.5,81.43,23.56,3.46,11,9.1,11,0
XRP,2025,250,long_only,1,0.5,-26.16,26.84,-0.97,13,15.4,13,0
