ema_period,mode,leverage,pos_ratio,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar
250,long_only,1,0.5,30,30,0,13.3,31.98,35.33,0.91
250,long_only,2,0.5,30,30,0,13.3,21.85,59.14,0.37
250,long_only,1,1.0,30,30,0,13.3,21.85,59.14,0.37
200,long_only,1,0.5,43,43,0,11.6,18.45,48.89,0.38
150,long_only,1,0.5,38,38,0,10.5,16.81,39.07,0.43
250,long_only,3,0.5,30,30,0,13.3,-4.08,74.8,-0.05
200,long_only,2,0.5,43,43,0,11.6,-5.41,74.67,-0.07
200,long_only,1,1.0,43,43,0,11.6,-5.41,74.67,-0.07
250,long_short,1,0.5,60,30,30,15.0,-10.5,52.12,-0.2
150,long_only,2,0.5,38,38,0,10.5,-10.89,63.95,-0.17
150,long_only,1,1.0,38,38,0,10.5,-10.89,63.95,-0.17
250,long_only,2,1.0,30,30,0,13.3,-31.8,84.84,-0.37
200,long_short,1,0.5,86,43,43,12.8,-32.05,71.13,-0.45
150,long_short,1,0.5,76,38,38,11.8,-33.79,58.61,-0.58
200,long_only,3,0.5,43,43,0,11.6,-36.2,87.84,-0.41
150,long_only,3,0.5,38,38,0,10.5,-43.2,79.33,-0.54
250,long_short,2,0.5,60,30,30,15.0,-47.16,78.42,-0.6
250,long_short,1,1.0,60,30,30,15.0,-47.16,78.42,-0.6
250,long_only,5,0.5,30,30,0,13.3,-55.14,91.12,-0.61
200,long_only,2,1.0,43,43,0,11.6,-61.31,94.35,-0.65
150,long_only,2,1.0,38,38,0,10.5,-67.77,88.55,-0.77
200,long_short,1,1.0,86,43,43,12.8,-71.26,92.37,-0.77
200,long_short,2,0.5,86,43,43,12.8,-71.26,92.37,-0.77
250,long_only,3,1.0,30,30,0,13.3,-72.38,94.95,-0.76
150,long_short,2,0.5,76,38,38,11.8,-73.41,84.21,-0.87
150,long_short,1,1.0,76,38,38,11.8,-73.41,84.21,-0.87
250,long_short,3,0.5,60,30,30,15.0,-74.83,90.83,-0.82
200,long_only,5,0.5,43,43,0,11.6,-78.38,97.47,-0.8
150,long_only,5,0.5,38,38,0,10.5,-83.33,93.9,-0.89
200,long_only,3,1.0,43,43,0,11.6,-88.73,98.91,-0.9
250,long_short,2,1.0,60,30,30,15.0,-89.75,96.33,-0.93
200,long_short,3,0.5,86,43,43,12.8,-90.47,98.15,-0.92
150,long_short,3,0.5,76,38,38,11.8,-91.7,94.46,-0.97
150,long_only,3,1.0,38,38,0,10.5,-92.08,96.9,-0.95
250,long_short,5,0.5,60,30,30,15.0,-96.35,98.61,-0.98
200,long_short,2,1.0,86,43,43,12.8,-97.36,99.59,-0.98
250,long_only,5,1.0,30,30,0,13.3,-97.83,99.62,-0.98
150,long_short,2,1.0,76,38,38,11.8,-97.86,98.68,-0.99
250,long_short,3,1.0,60,30,30,15.0,-98.85,99.51,-0.99
200,long_short,5,0.5,86,43,43,12.8,-99.38,99.92,-0.99
150,long_short,5,0.5,76,38,38,11.8,-99.54,99.74,-1.0
200,long_only,5,1.0,43,43,0,11.6,-99.56,99.98,-1.0
150,long_only,5,1.0,38,38,0,10.5,-99.86,99.9,-1.0
200,long_short,3,1.0,86,43,43,12.8,-99.87,99.99,-1.0
150,long_short,3,1.0,76,38,38,11.8,-99.92,99.96,-1.0
200,long_short,5,1.0,86,43,43,12.8,-100.0,100.0,-1.0
150,long_short,5,1.0,76,38,38,11.8,-100.0,100.0,-1.0
250,long_short,5,1.0,60,30,30,15.0,-100.0,100.0,-1.0
