fast_ema,slow_ema,tp_pct,sl_capital,sl_price_pct,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
9,50,2.0,3.0,1.0,3,0.1,2161,27.3,-28.5,28.56,-1.0,15m
9,50,2.0,2.0,0.6667,3,0.1,2161,25.4,-29.78,29.91,-1.0,15m
9,50,5.0,2.0,0.6667,3,0.1,2161,22.4,-31.92,32.65,-0.98,15m
12,50,2.0,1.0,0.3333,3,0.1,1895,18.0,-32.16,32.16,-1.0,15m
12,50,2.0,3.0,1.0,3,0.1,1895,26.9,-32.16,32.2,-1.0,15m
12,50,2.0,2.0,0.6667,3,0.1,1895,24.6,-32.84,32.84,-1.0,15m
12,50,5.0,1.0,0.3333,3,0.1,1895,15.5,-32.97,33.06,-1.0,15m
9,50,2.0,1.0,0.3333,3,0.1,2161,18.5,-35.94,35.94,-1.0,15m
12,50,5.0,2.0,0.6667,3,0.1,1895,21.3,-36.13,36.13,-1.0,15m
12,50,3.0,1.0,0.3333,3,0.1,1895,16.1,-36.43,36.43,-1.0,15m
9,50,5.0,3.0,1.0,3,0.1,2161,23.9,-36.6,37.21,-0.98,15m
9,50,5.0,1.0,0.3333,3,0.1,2161,16.1,-37.03,37.03,-1.0,15m
12,50,3.0,2.0,0.6667,3,0.1,1895,22.2,-39.23,39.23,-1.0,15m
9,50,3.0,2.0,0.6667,3,0.1,2161,23.2,-39.65,39.94,-0.99,15m
12,50,5.0,3.0,1.0,3,0.1,1895,23.3,-39.85,40.42,-0.99,15m
9,50,3.0,1.0,0.3333,3,0.1,2161,16.6,-41.03,41.03,-1.0,15m
5,50,2.0,2.0,0.6667,3,0.1,2909,23.5,-41.52,41.57,-1.0,15m
5,50,5.0,2.0,0.6667,3,0.1,2909,21.3,-41.59,42.16,-0.99,15m
12,50,3.0,3.0,1.0,3,0.1,1895,24.2,-41.85,42.05,-1.0,15m
5,50,2.0,3.0,1.0,3,0.1,2909,24.5,-42.77,42.77,-1.0,15m
12,26,5.0,2.0,0.6667,3,0.1,2719,24.2,-42.98,43.56,-0.99,15m
9,50,3.0,3.0,1.0,3,0.1,2161,24.7,-43.17,43.38,-1.0,15m
5,50,5.0,1.0,0.3333,3,0.1,2909,17.0,-45.08,45.08,-1.0,15m
5,50,2.0,1.0,0.3333,3,0.1,2909,18.8,-45.43,45.43,-1.0,15m
