fast_ema,slow_ema,tp_pct,sl_capital,sl_price_pct,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
12,50,5.0,1.0,0.3333,3,0.1,453,10.2,0.03,12.47,0.0,1h
12,50,5.0,1.0,0.3333,3,0.2,453,10.2,-0.73,23.6,-0.03,1h
12,50,5.0,1.0,0.3333,3,0.3,453,10.2,-2.24,33.49,-0.07,1h
12,50,5.0,2.0,0.2857,7,0.1,453,9.1,-3.16,21.63,-0.15,1h
12,50,5.0,1.0,0.2,5,0.1,453,7.1,-4.05,12.26,-0.33,1h
12,50,5.0,2.0,0.4,5,0.1,453,11.3,-6.11,20.91,-0.29,1h
9,21,2.0,2.0,0.6667,3,0.1,816,26.3,-7.09,10.6,-0.67,1h
12,21,3.0,1.0,0.3333,3,0.1,724,13.5,-8.15,14.31,-0.57,1h
9,26,2.0,2.0,0.6667,3,0.1,745,26.3,-8.37,10.39,-0.81,1h
9,21,3.0,2.0,0.6667,3,0.1,816,21.4,-9.18,16.42,-0.56,1h
12,50,5.0,1.0,0.2,5,0.2,453,7.1,-9.24,23.56,-0.39,1h
12,50,5.0,2.0,0.2857,7,0.2,453,9.1,-9.58,39.44,-0.24,1h
12,21,2.0,2.0,0.6667,3,0.1,724,25.8,-10.01,14.49,-0.69,1h
9,50,5.0,1.0,0.3333,3,0.1,519,9.2,-10.07,10.09,-1.0,1h
12,50,3.0,1.0,0.3333,3,0.1,453,11.3,-10.17,15.88,-0.64,1h
12,50,5.0,2.0,0.6667,3,0.1,453,15.2,-11.17,17.19,-0.65,1h
12,26,2.0,2.0,0.6667,3,0.1,634,25.4,-11.34,11.43,-0.99,1h
12,50,5.0,3.0,1.0,3,0.1,453,19.2,-11.41,20.67,-0.55,1h
9,21,2.0,1.0,0.3333,3,0.1,816,17.2,-11.65,11.65,-1.0,1h
12,21,2.0,1.0,0.3333,3,0.1,724,16.6,-11.69,12.92,-0.9,1h
9,21,3.0,1.0,0.3333,3,0.1,816,13.6,-11.7,13.5,-0.87,1h
5,26,2.0,3.0,1.0,3,0.1,990,29.2,-11.71,12.81,-0.91,1h
5,26,3.0,3.0,1.0,3,0.1,990,24.5,-11.75,15.72,-0.75,1h
5,26,2.0,2.0,0.6667,3,0.1,990,25.5,-11.77,12.06,-0.98,1h
