fast_ema,slow_ema,tp_pct,sl_capital,sl_price_pct,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
12,21,5.0,2.0,0.6667,3,0.1,2925,23.4,-30.89,31.98,-0.97,15m
9,50,5.0,2.0,0.6667,3,0.1,2165,19.9,-32.76,33.61,-0.97,15m
5,50,5.0,3.0,1.0,3,0.1,2815,22.2,-33.99,34.22,-0.99,15m
12,50,2.0,3.0,1.0,3,0.1,1888,28.3,-34.15,34.64,-0.99,15m
12,50,3.0,3.0,1.0,3,0.1,1888,24.9,-34.24,34.92,-0.98,15m
9,50,5.0,3.0,1.0,3,0.1,2165,22.2,-35.03,35.77,-0.98,15m
12,50,5.0,2.0,0.6667,3,0.1,1888,19.9,-35.24,36.04,-0.98,15m
12,50,3.0,2.0,0.6667,3,0.1,1888,21.2,-35.49,36.25,-0.98,15m
12,50,2.0,2.0,0.6667,3,0.1,1888,24.6,-35.98,36.56,-0.98,15m
12,21,5.0,3.0,1.0,3,0.1,2925,25.7,-36.7,37.57,-0.98,15m
9,50,3.0,2.0,0.6667,3,0.1,2165,21.3,-37.35,38.07,-0.98,15m
12,26,5.0,3.0,1.0,3,0.1,2618,24.8,-37.58,37.7,-1.0,15m
9,26,5.0,2.0,0.6667,3,0.1,3025,22.8,-37.94,39.02,-0.97,15m
12,50,5.0,3.0,1.0,3,0.1,1888,23.2,-38.15,38.85,-0.98,15m
9,50,2.0,2.0,0.6667,3,0.1,2165,24.2,-38.17,38.72,-0.99,15m
12,50,3.0,1.0,0.3333,3,0.1,1888,13.9,-38.85,39.29,-0.99,15m
5,50,5.0,2.0,0.6667,3,0.1,2815,20.1,-38.87,39.27,-0.99,15m
9,50,3.0,3.0,1.0,3,0.1,2165,23.7,-39.46,40.05,-0.99,15m
12,50,2.0,1.0,0.3333,3,0.1,1888,16.3,-39.7,40.15,-0.99,15m
9,50,2.0,3.0,1.0,3,0.1,2165,26.8,-39.84,40.28,-0.99,15m
9,26,5.0,3.0,1.0,3,0.1,3025,25.0,-40.13,40.93,-0.98,15m
12,50,5.0,1.0,0.3333,3,0.1,1888,12.8,-40.92,41.17,-0.99,15m
5,50,3.0,3.0,1.0,3,0.1,2815,22.9,-41.32,41.65,-0.99,15m
9,50,5.0,1.0,0.3333,3,0.1,2165,13.2,-41.54,42.55,-0.98,15m
9,50,2.0,1.0,0.3333,3,0.1,2165,16.5,-42.44,43.13,-0.98,15m
12,26,2.0,3.0,1.0,3,0.1,2618,28.9,-42.52,42.89,-0.99,15m
12,21,5.0,1.0,0.3333,3,0.1,2925,15.9,-43.1,44.49,-0.97,15m
12,26,3.0,3.0,1.0,3,0.1,2618,26.0,-44.14,45.11,-0.98,15m
12,26,5.0,2.0,0.6667,3,0.1,2618,22.0,-44.98,45.28,-0.99,15m
9,26,5.0,1.0,0.3333,3,0.1,3025,15.8,-45.18,46.32,-0.98,15m
12,21,2.0,2.0,0.6667,3,0.1,2925,26.4,-45.97,46.17,-1.0,15m
9,50,3.0,1.0,0.3333,3,0.1,2165,14.2,-46.33,47.1,-0.98,15m
12,26,5.0,1.0,0.3333,3,0.1,2618,15.1,-46.6,47.11,-0.99,15m
5,50,5.0,1.0,0.3333,3,0.1,2815,14.1,-46.73,46.75,-1.0,15m
12,21,2.0,3.0,1.0,3,0.1,2925,29.0,-46.97,47.04,-1.0,15m
12,21,3.0,2.0,0.6667,3,0.1,2925,24.2,-47.15,47.44,-0.99,15m
5,50,2.0,3.0,1.0,3,0.1,2815,25.2,-47.42,47.71,-0.99,15m
5,50,3.0,2.0,0.6667,3,0.1,2815,20.7,-47.88,48.1,-1.0,15m
12,21,3.0,3.0,1.0,3,0.1,2925,26.6,-48.49,49.51,-0.98,15m
12,50,5.0,3.0,0.6,5,0.1,1888,18.9,-48.79,51.14,-0.95,15m
9,26,2.0,3.0,1.0,3,0.1,3025,28.2,-49.66,49.82,-1.0,15m
12,50,3.0,2.0,0.4,5,0.1,1888,16.4,-49.75,50.3,-0.99,15m
12,26,2.0,2.0,0.6667,3,0.1,2618,25.5,-49.87,49.97,-1.0,15m
5,50,2.0,2.0,0.6667,3,0.1,2815,22.9,-50.96,51.13,-1.0,15m
9,26,3.0,3.0,1.0,3,0.1,3025,25.9,-51.1,51.33,-1.0,15m
9,26,2.0,2.0,0.6667,3,0.1,3025,25.7,-51.18,51.48,-0.99,15m
12,50,5.0,2.0,0.4,5,0.1,1888,15.1,-51.19,51.33,-1.0,15m
12,21,5.0,2.0,0.4,5,0.1,2925,18.3,-51.73,55.2,-0.94,15m
9,50,5.0,3.0,0.6,5,0.1,2165,18.9,-52.05,53.1,-0.98,15m
12,21,2.0,1.0,0.3333,3,0.1,2925,18.4,-52.11,52.49,-0.99,15m
12,50,3.0,3.0,0.6,5,0.1,1888,20.2,-52.16,53.34,-0.98,15m
12,26,2.0,1.0,0.3333,3,0.1,2618,17.7,-52.2,52.23,-1.0,15m
12,26,3.0,2.0,0.6667,3,0.1,2618,22.8,-52.56,52.66,-1.0,15m
9,26,3.0,2.0,0.6667,3,0.1,3025,23.5,-53.04,53.4,-0.99,15m
12,50,2.0,2.0,0.4,5,0.1,1888,19.0,-53.06,53.59,-0.99,15m
12,21,5.0,3.0,0.6,5,0.1,2925,22.3,-53.1,54.43,-0.98,15m
12,50,2.0,3.0,0.6,5,0.1,1888,23.5,-53.23,53.97,-0.99,15m
12,21,3.0,1.0,0.3333,3,0.1,2925,16.4,-53.57,54.02,-0.99,15m
5,50,3.0,1.0,0.3333,3,0.1,2815,14.7,-53.87,54.12,-1.0,15m
12,21,5.0,2.0,0.6667,3,0.2,2925,23.4,-54.46,55.88,-0.97,15m
5,50,2.0,1.0,0.3333,3,0.1,2815,16.6,-54.72,54.97,-1.0,15m
12,26,3.0,1.0,0.3333,3,0.1,2618,15.7,-55.17,55.33,-1.0,15m
9,26,2.0,1.0,0.3333,3,0.1,3025,18.0,-55.76,56.12,-0.99,15m
9,21,5.0,2.0,0.6667,3,0.1,3423,23.0,-56.14,56.14,-1.0,15m
9,21,5.0,1.0,0.3333,3,0.1,3423,16.7,-56.18,56.27,-1.0,15m
9,21,5.0,3.0,1.0,3,0.1,3423,25.3,-56.43,56.43,-1.0,15m
9,50,2.0,3.0,0.6,5,0.1,2165,23.2,-56.47,57.15,-0.99,15m
9,50,5.0,2.0,0.6667,3,0.2,2165,19.9,-56.53,57.61,-0.98,15m
9,50,5.0,2.0,0.4,5,0.1,2165,15.0,-56.69,57.75,-0.98,15m
12,50,5.0,1.0,0.2,5,0.1,1888,8.4,-57.45,57.85,-0.99,15m
12,50,2.0,3.0,1.0,3,0.2,1888,28.3,-57.6,58.23,-0.99,15m
9,21,2.0,3.0,1.0,3,0.1,3423,28.1,-57.84,57.86,-1.0,15m
9,50,3.0,3.0,0.6,5,0.1,2165,20.3,-58.07,58.9,-0.99,15m
12,50,3.0,3.0,1.0,3,0.2,1888,24.9,-58.08,58.93,-0.99,15m
9,50,2.0,2.0,0.4,5,0.1,2165,18.8,-58.09,58.87,-0.99,15m
9,26,3.0,1.0,0.3333,3,0.1,3025,16.2,-58.29,58.68,-0.99,15m
5,50,5.0,3.0,1.0,3,0.2,2815,22.2,-58.58,58.86,-1.0,15m
12,26,5.0,1.0,0.2,5,0.1,2618,10.6,-58.62,59.37,-0.99,15m
