fast_ema,slow_ema,tp_pct,sl_capital,sl_price_pct,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
12,50,5.0,3.0,1.0,3,0.3,441,20.9,10.38,35.39,0.29,1h
12,50,5.0,3.0,1.0,3,0.2,441,20.9,8.83,24.91,0.35,1h
12,50,5.0,3.0,1.0,3,0.1,441,20.9,5.32,13.13,0.4,1h
9,50,5.0,3.0,1.0,3,0.1,517,19.5,-4.19,15.09,-0.28,1h
12,50,3.0,3.0,1.0,3,0.1,441,25.6,-4.3,15.65,-0.27,1h
5,50,5.0,3.0,1.0,3,0.1,679,19.6,-7.18,17.2,-0.42,1h
12,50,5.0,2.0,0.6667,3,0.1,441,14.3,-7.56,18.19,-0.42,1h
9,50,3.0,3.0,1.0,3,0.1,517,25.0,-8.19,16.87,-0.49,1h
12,50,3.0,3.0,1.0,3,0.2,441,25.6,-9.44,29.08,-0.32,1h
9,50,5.0,3.0,1.0,3,0.2,517,19.5,-10.07,28.3,-0.36,1h
12,50,5.0,1.0,0.3333,3,0.1,441,7.3,-10.18,16.31,-0.62,1h
12,50,3.0,1.0,0.3333,3,0.1,441,10.4,-11.43,15.74,-0.73,1h
9,50,3.0,2.0,0.6667,3,0.1,517,18.6,-11.84,19.8,-0.6,1h
12,50,2.0,3.0,1.0,3,0.1,441,31.5,-12.35,16.23,-0.76,1h
12,26,5.0,3.0,1.0,3,0.1,649,20.2,-12.45,16.16,-0.77,1h
5,50,5.0,2.0,0.6667,3,0.1,679,14.9,-12.62,16.31,-0.77,1h
9,50,5.0,2.0,0.6667,3,0.1,517,13.7,-13.1,19.28,-0.68,1h
12,50,3.0,2.0,0.6667,3,0.1,441,18.1,-13.15,19.26,-0.68,1h
9,50,3.0,1.0,0.3333,3,0.1,517,10.4,-13.34,16.51,-0.81,1h
5,21,3.0,1.0,0.3333,3,0.1,1129,13.5,-13.62,15.55,-0.88,1h
5,50,5.0,1.0,0.3333,3,0.1,679,8.5,-13.81,17.25,-0.8,1h
12,26,5.0,1.0,0.3333,3,0.1,649,8.3,-14.75,19.25,-0.77,1h
