fast_ema,slow_ema,tp_pct,sl_capital,sl_price_pct,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
12,50,5.0,3.0,1.0,3,0.1,1803,21.7,-29.01,32.89,-0.88,15m
9,50,5.0,3.0,1.0,3,0.1,2057,21.7,-29.48,30.45,-0.97,15m
9,50,3.0,3.0,1.0,3,0.1,2057,25.2,-29.99,30.69,-0.98,15m
12,50,3.0,3.0,1.0,3,0.1,1803,25.1,-31.33,35.64,-0.88,15m
9,50,3.0,2.0,0.6667,3,0.1,2057,20.4,-35.69,36.25,-0.98,15m
12,50,2.0,3.0,1.0,3,0.1,1803,30.8,-36.45,39.06,-0.93,15m
9,50,5.0,2.0,0.6667,3,0.1,2057,17.4,-37.32,37.62,-0.99,15m
12,50,5.0,2.0,0.6667,3,0.1,1803,17.2,-37.81,38.09,-0.99,15m
12,50,3.0,2.0,0.6667,3,0.1,1803,19.9,-38.13,38.66,-0.99,15m
12,50,5.0,1.0,0.3333,3,0.1,1803,9.5,-38.81,39.69,-0.98,15m
12,26,3.0,3.0,1.0,3,0.1,2586,26.6,-40.06,41.11,-0.97,15m
9,50,2.0,3.0,1.0,3,0.1,2057,30.1,-41.06,42.24,-0.97,15m
12,26,3.0,2.0,0.6667,3,0.1,2586,22.2,-41.26,42.07,-0.98,15m
12,50,2.0,2.0,0.6667,3,0.1,1803,24.5,-41.55,41.88,-0.99,15m
5,50,5.0,2.0,0.6667,3,0.1,2800,18.9,-42.83,45.1,-0.95,15m
12,50,3.0,1.0,0.3333,3,0.1,1803,10.9,-43.88,44.37,-0.99,15m
9,50,2.0,2.0,0.6667,3,0.1,2057,24.6,-43.98,44.62,-0.99,15m
9,50,5.0,1.0,0.3333,3,0.1,2057,9.7,-44.41,44.67,-0.99,15m
12,21,5.0,3.0,1.0,3,0.1,2904,24.3,-45.33,46.59,-0.97,15m
5,50,5.0,3.0,1.0,3,0.1,2800,21.9,-45.34,45.92,-0.99,15m
12,50,2.0,1.0,0.3333,3,0.1,1803,13.8,-46.27,46.8,-0.99,15m
12,26,5.0,3.0,1.0,3,0.1,2586,24.4,-46.28,47.05,-0.98,15m
12,26,3.0,1.0,0.3333,3,0.1,2586,13.3,-47.16,47.27,-1.0,15m
5,50,3.0,3.0,1.0,3,0.1,2800,24.0,-47.49,48.13,-0.99,15m
9,50,3.0,1.0,0.3333,3,0.1,2057,11.2,-48.69,49.13,-0.99,15m
9,21,5.0,3.0,1.0,3,0.1,3374,24.0,-48.99,49.89,-0.98,15m
12,21,3.0,3.0,1.0,3,0.1,2904,26.2,-49.35,50.35,-0.98,15m
5,50,3.0,2.0,0.6667,3,0.1,2800,20.5,-50.35,50.82,-0.99,15m
12,21,3.0,2.0,0.6667,3,0.1,2904,21.7,-50.48,51.32,-0.98,15m
12,26,5.0,1.0,0.3333,3,0.1,2586,11.9,-50.81,50.81,-1.0,15m
12,26,2.0,2.0,0.6667,3,0.1,2586,25.5,-50.96,51.24,-0.99,15m
5,26,5.0,3.0,1.0,3,0.1,4012,23.9,-50.96,51.43,-0.99,15m
9,26,3.0,2.0,0.6667,3,0.1,2997,21.5,-50.98,51.59,-0.99,15m
12,26,5.0,2.0,0.6667,3,0.1,2586,20.1,-51.02,51.64,-0.99,15m
