fast_ema,slow_ema,tp_pct,sl_capital,sl_price_pct,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
12,21,5.0,3.0,1.0,3,0.3,707,22.8,57.14,40.28,1.42,1h
12,21,5.0,3.0,1.0,3,0.2,707,22.8,39.61,28.22,1.4,1h
9,26,5.0,3.0,1.0,3,0.3,732,21.3,39.28,38.47,1.02,1h
9,26,5.0,3.0,1.0,3,0.2,732,21.3,28.96,26.85,1.08,1h
5,21,5.0,3.0,1.0,3,0.3,1063,21.9,22.09,40.02,0.55,1h
12,21,5.0,3.0,1.0,3,0.1,707,22.8,20.12,14.76,1.36,1h
5,21,5.0,3.0,1.0,3,0.2,1063,21.9,19.38,27.84,0.7,1h
5,21,5.0,2.0,0.6667,3,0.3,1063,16.9,19.16,29.43,0.65,1h
5,21,5.0,2.0,0.6667,3,0.2,1063,16.9,16.14,19.83,0.81,1h
5,50,3.0,2.0,0.6667,3,0.3,652,21.8,16.07,26.1,0.62,1h
5,50,3.0,3.0,0.6,5,0.3,652,20.2,15.54,31.73,0.49,1h
9,26,5.0,3.0,1.0,3,0.1,732,21.3,15.5,13.98,1.11,1h
5,50,3.0,3.0,0.6,5,0.2,652,20.2,13.76,21.66,0.64,1h
5,50,3.0,2.0,0.6667,3,0.2,652,21.8,11.89,17.92,0.66,1h
5,21,5.0,3.0,1.0,3,0.1,1063,21.9,11.73,14.61,0.8,1h
9,21,5.0,3.0,1.0,3,0.2,800,21.2,10.02,40.27,0.25,1h
5,21,5.0,2.0,0.6667,3,0.1,1063,16.9,9.58,9.94,0.96,1h
9,21,5.0,3.0,1.0,3,0.3,800,21.2,9.5,54.56,0.17,1h
5,50,3.0,3.0,0.6,5,0.1,652,20.2,8.43,11.32,0.75,1h
9,21,5.0,3.0,1.0,3,0.1,800,21.2,6.77,22.3,0.3,1h
5,50,3.0,2.0,0.6667,3,0.1,652,21.8,6.48,9.21,0.7,1h
5,50,5.0,3.0,0.6,5,0.1,652,14.1,5.15,14.63,0.35,1h
5,21,5.0,3.0,0.6,5,0.1,1063,15.4,5.07,21.0,0.24,1h
5,50,5.0,3.0,0.6,5,0.2,652,14.1,4.83,28.4,0.17,1h
5,50,3.0,3.0,1.0,3,0.2,652,27.0,4.78,13.0,0.37,1h
5,50,3.0,3.0,1.0,3,0.3,652,27.0,4.45,19.01,0.23,1h
5,50,5.0,2.0,0.6667,3,0.2,652,15.0,4.23,22.0,0.19,1h
12,50,5.0,2.0,0.6667,3,0.2,421,14.5,3.9,14.82,0.26,1h
5,26,5.0,3.0,1.0,3,0.1,954,21.3,3.74,19.12,0.2,1h
12,50,5.0,2.0,0.6667,3,0.3,421,14.5,3.74,21.61,0.17,1h
5,26,5.0,3.0,1.0,3,0.2,954,21.3,3.38,35.42,0.1,1h
5,50,3.0,3.0,1.0,3,0.1,652,27.0,3.28,6.66,0.49,1h
5,50,5.0,2.0,0.6667,3,0.1,652,15.0,3.18,11.39,0.28,1h
5,50,5.0,2.0,0.6667,3,0.3,652,15.0,3.14,31.78,0.1,1h
9,26,5.0,2.0,0.6667,3,0.2,732,15.7,2.75,31.86,0.09,1h
12,50,5.0,2.0,0.6667,3,0.1,421,14.5,2.65,7.62,0.35,1h
9,26,5.0,2.0,0.6667,3,0.1,732,15.7,2.56,17.1,0.15,1h
12,26,5.0,1.0,0.2,5,0.2,628,6.4,2.4,27.59,0.09,1h
12,26,5.0,1.0,0.2,5,0.1,628,6.4,2.34,14.79,0.16,1h
12,26,5.0,3.0,1.0,3,0.1,628,20.1,2.28,14.35,0.16,1h
5,50,3.0,3.0,0.4286,7,0.1,652,15.8,2.27,18.1,0.13,1h
12,26,5.0,3.0,1.0,3,0.2,628,20.1,1.73,26.76,0.06,1h
5,21,5.0,3.0,0.6,5,0.2,1063,15.4,1.61,39.51,0.04,1h
9,26,5.0,3.0,0.6,5,0.1,732,14.3,1.41,26.71,0.05,1h
9,26,3.0,3.0,1.0,3,0.1,732,27.6,1.35,14.13,0.1,1h
5,50,5.0,3.0,1.0,3,0.1,652,19.0,1.34,13.99,0.1,1h
9,50,5.0,1.0,0.1429,7,0.1,492,4.9,1.3,17.81,0.07,1h
9,26,3.0,3.0,1.0,3,0.2,732,27.6,0.66,26.95,0.02,1h
9,26,5.0,2.0,0.6667,3,0.3,732,15.7,0.62,44.45,0.01,1h
12,21,5.0,2.0,0.6667,3,0.1,707,16.0,0.58,22.29,0.03,1h
12,26,5.0,1.0,0.2,5,0.3,628,6.4,0.28,38.63,0.01,1h
9,50,5.0,1.0,0.1429,7,0.2,492,4.9,-0.18,32.94,-0.01,1h
5,50,5.0,3.0,1.0,3,0.2,652,19.0,-0.22,26.47,-0.01,1h
5,50,3.0,3.0,0.4286,7,0.2,652,15.8,-0.3,33.66,-0.01,1h
5,50,5.0,3.0,0.4286,7,0.1,652,10.7,-0.33,28.65,-0.01,1h
12,26,5.0,1.0,0.3333,3,0.1,628,8.8,-0.43,11.87,-0.04,1h
5,50,5.0,3.0,0.6,5,0.3,652,14.1,-0.69,40.96,-0.02,1h
5,26,5.0,3.0,1.0,3,0.3,954,21.3,-0.95,49.08,-0.02,1h
12,21,5.0,2.0,0.6667,3,0.2,707,16.0,-1.07,40.03,-0.03,1h
12,26,3.0,1.0,0.2,5,0.1,628,9.6,-1.14,12.53,-0.09,1h
12,50,5.0,3.0,1.0,3,0.1,421,18.8,-1.15,7.89,-0.15,1h
9,50,5.0,3.0,1.0,3,0.1,492,18.5,-1.35,12.1,-0.11,1h
12,26,5.0,3.0,1.0,3,0.3,628,20.1,-1.54,37.47,-0.04,1h
12,26,5.0,3.0,0.4286,7,0.1,628,11.0,-1.88,27.77,-0.07,1h
9,26,3.0,3.0,1.0,3,0.3,732,27.6,-1.99,38.47,-0.05,1h
12,26,5.0,1.0,0.3333,3,0.2,628,8.8,-1.99,22.46,-0.09,1h
12,26,3.0,3.0,0.4286,7,0.1,628,15.6,-2.06,23.46,-0.09,1h
12,21,5.0,3.0,0.6,5,0.1,707,14.6,-2.52,32.69,-0.08,1h
5,26,5.0,2.0,0.6667,3,0.1,954,15.9,-2.66,19.66,-0.14,1h
12,26,5.0,3.0,0.6,5,0.1,628,13.9,-2.67,21.36,-0.12,1h
12,26,5.0,2.0,0.6667,3,0.1,628,14.6,-2.7,13.71,-0.2,1h
5,50,3.0,1.0,0.3333,3,0.1,652,12.7,-2.83,10.66,-0.27,1h
9,26,5.0,3.0,0.6,5,0.2,732,14.3,-3.02,47.4,-0.06,1h
12,26,3.0,3.0,1.0,3,0.1,628,27.1,-3.18,13.44,-0.24,1h
12,26,3.0,1.0,0.3333,3,0.1,628,12.7,-3.23,8.65,-0.37,1h
12,50,3.0,2.0,0.6667,3,0.1,421,20.2,-3.27,8.01,-0.41,1h
12,21,3.0,3.0,1.0,3,0.1,707,27.7,-3.34,18.14,-0.18,1h
9,26,5.0,1.0,0.2,5,0.1,732,6.0,-3.46,13.95,-0.25,1h
12,26,3.0,1.0,0.2,5,0.2,628,9.6,-3.55,24.0,-0.15,1h
