fast_ema,slow_ema,tp_pct,sl_capital,sl_price_pct,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
12,50,5.0,1.0,0.3333,3,0.1,1918,10.7,-49.62,51.29,-0.97,15m
12,50,3.0,1.0,0.3333,3,0.1,1918,11.8,-52.8,53.18,-0.99,15m
12,50,2.0,1.0,0.3333,3,0.1,1918,13.9,-53.4,53.4,-1.0,15m
9,50,5.0,1.0,0.3333,3,0.1,2254,11.7,-55.41,55.41,-1.0,15m
12,50,5.0,2.0,0.6667,3,0.1,1918,17.7,-56.17,56.76,-0.99,15m
12,50,2.0,2.0,0.6667,3,0.1,1918,22.4,-56.68,57.0,-0.99,15m
12,50,3.0,2.0,0.6667,3,0.1,1918,19.3,-57.01,57.44,-0.99,15m
9,50,3.0,1.0,0.3333,3,0.1,2254,12.6,-58.81,59.05,-1.0,15m
12,50,5.0,3.0,1.0,3,0.1,1918,20.8,-59.1,59.14,-1.0,15m
12,50,2.0,3.0,1.0,3,0.1,1918,26.1,-60.14,60.56,-0.99,15m
9,50,5.0,2.0,0.6667,3,0.1,2254,18.2,-60.94,60.97,-1.0,15m
12,26,2.0,1.0,0.3333,3,0.1,2724,16.2,-61.61,61.86,-1.0,15m
9,50,2.0,1.0,0.3333,3,0.1,2254,14.2,-61.81,61.83,-1.0,15m
9,50,5.0,3.0,1.0,3,0.1,2254,21.1,-62.04,62.08,-1.0,15m
12,50,3.0,3.0,1.0,3,0.1,1918,22.6,-62.12,62.43,-1.0,15m
12,26,5.0,3.0,1.0,3,0.1,2724,23.7,-63.29,64.13,-0.99,15m
12,26,5.0,1.0,0.3333,3,0.1,2724,13.5,-63.53,63.95,-0.99,15m
9,50,3.0,2.0,0.6667,3,0.1,2254,19.6,-63.61,63.77,-1.0,15m
9,50,2.0,2.0,0.6667,3,0.1,2254,22.2,-64.09,64.31,-1.0,15m
12,26,5.0,2.0,0.6667,3,0.1,2724,20.6,-64.23,64.97,-0.99,15m
12,26,2.0,3.0,1.0,3,0.1,2724,27.8,-64.49,64.72,-1.0,15m
12,26,2.0,2.0,0.6667,3,0.1,2724,24.3,-64.6,65.13,-0.99,15m
12,26,3.0,1.0,0.3333,3,0.1,2724,14.2,-64.65,64.84,-1.0,15m
12,26,3.0,3.0,1.0,3,0.1,2724,25.1,-65.24,65.63,-0.99,15m
9,50,3.0,3.0,1.0,3,0.1,2254,22.5,-66.78,66.93,-1.0,15m
12,26,3.0,2.0,0.6667,3,0.1,2724,21.6,-67.34,68.0,-0.99,15m
9,50,5.0,1.0,0.2,5,0.1,2254,7.5,-67.35,67.49,-1.0,15m
9,26,5.0,3.0,1.0,3,0.1,3164,23.0,-67.66,67.8,-1.0,15m
12,50,5.0,1.0,0.2,5,0.1,1918,6.6,-67.81,69.77,-0.97,15m
5,50,5.0,3.0,1.0,3,0.1,3017,20.5,-68.15,68.4,-1.0,15m
9,50,2.0,3.0,1.0,3,0.1,2254,25.2,-68.35,68.55,-1.0,15m
12,21,2.0,3.0,1.0,3,0.1,3052,27.5,-68.37,68.49,-1.0,15m
12,50,3.0,1.0,0.2,5,0.1,1918,7.4,-68.85,69.71,-0.99,15m
9,26,5.0,2.0,0.6667,3,0.1,3164,20.2,-69.07,69.24,-1.0,15m
12,21,2.0,1.0,0.3333,3,0.1,3052,15.7,-69.2,69.37,-1.0,15m
12,21,5.0,3.0,1.0,3,0.1,3052,23.9,-69.22,69.34,-1.0,15m
9,26,3.0,1.0,0.3333,3,0.1,3164,14.3,-69.3,69.42,-1.0,15m
12,21,3.0,1.0,0.3333,3,0.1,3052,14.3,-69.56,69.68,-1.0,15m
12,50,5.0,2.0,0.4,5,0.1,1918,12.7,-69.56,71.53,-0.97,15m
12,50,2.0,1.0,0.2,5,0.1,1918,8.7,-70.0,70.06,-1.0,15m
12,21,3.0,3.0,1.0,3,0.1,3052,25.1,-70.01,70.09,-1.0,15m
9,26,2.0,1.0,0.3333,3,0.1,3164,15.6,-70.52,70.74,-1.0,15m
5,50,3.0,3.0,1.0,3,0.1,3017,21.7,-70.74,71.5,-0.99,15m
9,26,5.0,1.0,0.3333,3,0.1,3164,13.6,-70.8,71.18,-0.99,15m
9,50,3.0,1.0,0.2,5,0.1,2254,8.1,-71.09,71.09,-1.0,15m
9,26,3.0,3.0,1.0,3,0.1,3164,24.3,-71.3,71.4,-1.0,15m
12,21,5.0,2.0,0.6667,3,0.1,3052,20.6,-71.49,71.69,-1.0,15m
12,21,2.0,2.0,0.6667,3,0.1,3052,23.8,-71.51,71.64,-1.0,15m
12,50,3.0,2.0,0.4,5,0.1,1918,13.9,-71.65,72.89,-0.98,15m
12,21,5.0,1.0,0.3333,3,0.1,3052,13.5,-71.71,71.99,-1.0,15m
9,26,2.0,3.0,1.0,3,0.1,3164,26.4,-72.19,72.51,-1.0,15m
12,50,2.0,2.0,0.4,5,0.1,1918,16.1,-72.7,72.75,-1.0,15m
5,50,5.0,2.0,0.6667,3,0.1,3017,18.0,-72.71,73.23,-0.99,15m
9,21,5.0,3.0,1.0,3,0.1,3552,24.0,-73.17,73.33,-1.0,15m
12,21,3.0,2.0,0.6667,3,0.1,3052,21.6,-73.36,73.39,-1.0,15m
9,26,3.0,2.0,0.6667,3,0.1,3164,21.2,-73.55,73.55,-1.0,15m
5,50,3.0,1.0,0.3333,3,0.1,3017,12.9,-73.65,73.65,-1.0,15m
9,26,2.0,2.0,0.6667,3,0.1,3164,23.2,-73.69,73.86,-1.0,15m
