fast_ema,slow_ema,tp_pct,sl_capital,sl_price_pct,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
9,50,2.0,1.0,0.3333,3,0.1,530,14.7,-13.35,16.47,-0.81,1h
9,50,3.0,1.0,0.3333,3,0.1,530,10.6,-13.38,17.29,-0.77,1h
12,50,2.0,1.0,0.3333,3,0.1,471,12.3,-18.7,20.38,-0.92,1h
9,50,5.0,1.0,0.3333,3,0.1,530,6.8,-18.75,19.99,-0.94,1h
9,50,2.0,2.0,0.6667,3,0.1,530,23.2,-19.65,23.25,-0.85,1h
12,50,3.0,3.0,1.0,3,0.1,471,22.9,-20.47,23.96,-0.85,1h
12,50,3.0,1.0,0.3333,3,0.1,471,8.5,-20.55,22.06,-0.93,1h
9,50,5.0,2.0,0.6667,3,0.1,530,12.8,-20.75,26.36,-0.79,1h
12,50,3.0,2.0,0.6667,3,0.1,471,16.6,-20.89,22.87,-0.91,1h
5,21,5.0,1.0,0.3333,3,0.1,1115,10.1,-21.24,26.32,-0.81,1h
12,50,2.0,2.0,0.6667,3,0.1,471,22.1,-21.53,24.33,-0.89,1h
5,50,3.0,1.0,0.3333,3,0.1,722,9.8,-21.73,23.04,-0.94,1h
9,50,3.0,3.0,1.0,3,0.1,530,22.8,-22.0,22.41,-0.98,1h
12,21,5.0,1.0,0.3333,3,0.1,757,7.9,-22.17,24.44,-0.91,1h
9,50,3.0,2.0,0.6667,3,0.1,530,16.8,-22.29,24.46,-0.91,1h
9,50,2.0,3.0,1.0,3,0.1,530,29.8,-22.46,22.64,-0.99,1h
12,50,2.0,3.0,1.0,3,0.1,471,29.5,-22.48,26.23,-0.86,1h
5,21,5.0,2.0,0.6667,3,0.1,1115,17.8,-22.51,29.71,-0.76,1h
12,50,2.0,1.0,0.2,5,0.1,471,8.7,-22.71,24.82,-0.92,1h
9,50,5.0,1.0,0.2,5,0.1,530,4.2,-23.54,26.08,-0.9,1h
