coin,fg_buy,cooldown,sell_mode,fg_sell,tp_pct,sl_pct,hold_days,total_return,cagr,mdd,trades,win_rate,avg_hold_days,final_balance,bnh_return,vs_bnh
btc,5,0,fg_sell,50.0,,,,-9.06,-1.17,9.06,2,0.0,40.0,9093.86,542.47,-551.53
btc,5,0,fg_sell,60.0,,,,-3.72,-0.47,3.72,2,0.0,91.5,9627.87,542.47,-546.19
btc,5,0,fg_sell,70.0,,,,7.45,0.89,0.39,2,50.0,178.0,10745.41,542.47,-535.02
btc,5,0,fg_sell,90.0,,,,53.5,5.45,0.39,2,50.0,228.5,15350.12,542.47,-488.97
btc,5,0,tp_sl,,0.1,,,9.46,1.13,0.39,2,50.0,177.5,10946.02,542.47,-533.01
btc,5,0,fg_sell,80.0,,,,9.08,1.08,0.39,2,50.0,180.5,10908.05,542.47,-533.39
btc,5,0,tp_sl,,0.2,,,19.41,2.22,0.39,2,50.0,180.5,11941.12,542.47,-523.06
btc,5,0,tp_sl,,0.3,,,29.36,3.24,0.39,2,50.0,220.5,12936.21,542.47,-513.11
btc,5,0,tp_sl,,,0.15,,-15.42,-2.05,15.42,2,0.0,24.0,8458.29,542.47,-557.89
btc,5,0,tp_sl,,,0.1,,-10.44,-1.36,10.44,2,0.0,24.0,8955.84,542.47,-552.92
btc,5,0,tp_sl,,0.1,0.05,,-9.93,-1.29,9.93,2,0.0,8.5,9006.96,542.47,-552.4
btc,5,0,tp_sl,,0.1,0.1,,-10.44,-1.36,10.44,2,0.0,24.0,8955.84,542.47,-552.92
btc,5,0,tp_sl,,,0.05,,-9.93,-1.29,9.93,2,0.0,8.5,9006.96,542.47,-552.4
btc,5,0,tp_sl,,0.1,0.15,,-15.42,-2.05,15.42,2,0.0,24.0,8458.29,542.47,-557.89
btc,5,0,tp_sl,,0.2,0.05,,-9.93,-1.29,9.93,2,0.0,8.5,9006.96,542.47,-552.4
btc,5,0,tp_sl,,0.2,0.15,,-15.42,-2.05,15.42,2,0.0,24.0,8458.29,542.47,-557.89
btc,5,0,tp_sl,,0.3,0.05,,-9.93,-1.29,9.93,2,0.0,8.5,9006.96,542.47,-552.4
btc,5,0,tp_sl,,0.3,0.1,,-10.44,-1.36,10.44,2,0.0,24.0,8955.84,542.47,-552.92
btc,5,0,tp_sl,,0.3,0.15,,-15.42,-2.05,15.42,2,0.0,24.0,8458.29,542.47,-557.89
btc,5,0,hold,,,,30.0,-1.19,-0.15,1.19,2,0.0,23.0,9880.95,542.47,-543.66
btc,5,0,hold,,0.1,,30.0,-1.19,-0.15,1.19,2,0.0,23.0,9880.95,542.47,-543.66
btc,5,0,hold,,0.2,,30.0,-1.19,-0.15,1.19,2,0.0,23.0,9880.95,542.47,-543.66
