rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,return_pct,max_drawdown,calmar,trades,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,positive_years,total_years,pos_year_rate,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,bh_excess
30,70,2.5,atr_3x,3,0.7,True,204.12,70.76,2.88,42,61.9,19,73.7,23,52.2,6,10,60.0,-40.9,-41.3,-8.4,90.9,100.9,23.3,17.4,42.1,21.4,0.0,-1214.98
30,70,1.5,atr_3x,3,0.7,True,176.51,62.74,2.81,47,46.8,21,57.1,26,38.5,6,10,60.0,-24.6,-44.1,-11.5,90.9,100.9,26.4,10.8,24.2,11.1,0.0,-1242.59
30,65,1.5,atr_3x,3,0.7,True,149.95,66.39,2.26,82,42.7,21,57.1,61,37.7,7,10,70.0,-24.6,-47.7,-6.5,73.4,70.1,2.4,10.9,28.3,41.9,11.1,-1269.1499999999999
30,70,2.5,atr_3x,3,0.5,True,144.52,56.72,2.55,42,61.9,19,73.7,23,52.2,6,10,60.0,-29.2,-30.8,-5.8,60.7,67.8,17.1,12.7,29.2,15.1,0.0,-1274.58
30,70,2.0,atr_3x,3,0.7,True,144.47,66.24,2.18,43,51.2,20,55.0,23,47.8,6,10,60.0,-32.7,-37.8,-15.8,90.9,100.9,30.7,5.4,19.6,10.0,0.0,-1274.6299999999999
30,70,3.0,atr_3x,3,0.7,True,142.49,74.57,1.91,40,65.0,19,73.7,21,57.1,6,10,60.0,-49.0,-40.8,-13.0,90.9,100.9,16.2,20.2,42.1,21.4,0.0,-1276.61
30,70,2.5,atr_3x,2,0.7,True,133.91,53.97,2.48,42,61.9,19,73.7,23,52.2,6,10,60.0,-27.3,-28.9,-5.3,56.0,62.6,16.1,11.9,27.1,14.1,0.0,-1285.1899999999998
30,70,1.5,atr_3x,3,0.5,True,121.22,49.73,2.44,47,46.8,21,57.1,26,38.5,6,10,60.0,-17.6,-33.6,-8.0,60.7,67.8,19.2,8.0,17.3,8.0,0.0,-1297.8799999999999
30,75,1.5,atr_3x,3,0.7,True,114.99,46.56,2.47,29,48.3,21,57.1,8,25.0,5,10,50.0,-24.6,-26.0,-2.1,46.2,80.8,7.2,19.1,16.6,0.0,0.0,-1304.11
30,70,3.0,atr_3x,3,0.5,True,113.33,59.92,1.89,40,65.0,19,73.7,21,57.1,6,10,60.0,-35.0,-30.1,-9.1,60.7,67.8,12.4,14.6,29.2,15.1,0.0,-1305.77
30,70,1.5,atr_3x,2,0.7,True,112.08,47.23,2.37,47,46.8,21,57.1,26,38.5,6,10,60.0,-16.4,-31.8,-7.4,56.0,62.6,17.9,7.5,16.2,7.5,0.0,-1307.02
30,65,2.0,atr_3x,3,0.7,True,111.98,73.85,1.52,78,48.7,20,55.0,58,46.6,7,10,70.0,-32.7,-47.1,-13.8,55.2,60.7,12.7,3.9,23.3,72.9,11.1,-1307.12
30,65,1.5,atr_3x,3,0.5,True,111.01,52.8,2.1,82,42.7,21,57.1,61,37.7,7,10,70.0,-17.6,-36.4,-4.2,51.1,49.3,2.8,8.1,20.5,29.1,7.9,-1308.09
30,70,3.0,atr_3x,2,0.7,True,106.59,57.04,1.87,40,65.0,19,73.7,21,57.1,6,10,60.0,-32.7,-28.3,-8.4,56.0,62.6,11.7,13.7,27.1,14.1,0.0,-1312.51
30,70,2.0,atr_3x,3,0.5,True,105.57,52.55,2.01,43,51.2,20,55.0,23,47.8,6,10,60.0,-23.4,-28.0,-11.2,60.7,67.8,22.0,4.2,14.3,7.2,0.0,-1313.53
30,65,1.5,atr_3x,2,0.7,True,103.72,50.17,2.07,82,42.7,21,57.1,61,37.7,7,10,70.0,-16.4,-34.4,-3.8,47.4,45.8,2.8,7.6,19.1,27.0,7.4,-1315.3799999999999
30,70,2.0,atr_3x,2,0.7,True,98.46,49.92,1.97,43,51.2,20,55.0,23,47.8,6,10,60.0,-21.8,-26.3,-10.4,56.0,62.6,20.5,4.0,13.3,6.8,0.0,-1320.6399999999999
30,65,2.0,atr_3x,3,0.5,True,92.18,59.77,1.54,78,48.7,20,55.0,58,46.6,7,10,70.0,-23.4,-35.4,-9.5,40.1,43.5,10.1,3.2,17.2,48.7,7.9,-1326.9199999999998
30,70,2.5,atr_3x,2,0.5,True,91.59,41.66,2.2,42,61.9,19,73.7,23,52.2,6,10,60.0,-19.5,-21.2,-3.7,38.2,42.9,11.7,8.6,19.0,10.0,0.0,-1327.51
30,65,2.0,atr_3x,2,0.7,True,87.37,56.95,1.53,78,48.7,20,55.0,58,46.6,7,10,70.0,-21.8,-33.3,-8.8,37.5,40.6,9.6,3.0,16.1,44.9,7.4,-1331.73
30,70,2.5,atr_3x,3,0.3,True,81.29,38.23,2.13,42,61.9,19,73.7,23,52.2,6,10,60.0,-17.5,-19.2,-3.3,34.0,38.2,10.5,7.7,17.0,9.0,0.0,-1337.81
30,75,1.5,atr_3x,3,0.5,True,81.22,35.32,2.3,29,48.3,21,57.1,8,25.0,5,10,50.0,-17.6,-19.2,-1.2,31.9,55.5,5.4,13.6,12.1,0.0,0.0,-1337.8799999999999
35,70,2.5,atr_3x,3,0.7,True,77.64,85.87,0.9,80,53.8,57,54.4,23,52.2,7,10,70.0,-51.0,-65.8,6.4,149.8,86.7,12.8,12.3,26.1,40.7,-4.9,-1341.4599999999998
30,70,3.0,atr_3x,2,0.5,True,76.76,44.08,1.74,40,65.0,19,73.7,21,57.1,6,10,60.0,-23.3,-20.6,-5.9,38.2,42.9,8.7,9.8,19.0,10.0,0.0,-1342.34
30,70,1.5,atr_3x,2,0.5,True,76.53,36.2,2.11,47,46.8,21,57.1,26,38.5,6,10,60.0,-11.7,-23.7,-5.2,38.2,42.9,12.9,5.4,11.6,5.4,0.0,-1342.57
35,70,2.5,atr_3x,3,0.5,True,75.74,74.0,1.02,80,53.8,57,54.4,23,52.2,7,10,70.0,-38.4,-52.2,6.2,95.8,61.0,10.0,9.7,19.4,28.2,-3.5,-1343.36
30,75,1.5,atr_3x,2,0.7,True,75.5,33.3,2.27,29,48.3,21,57.1,8,25.0,5,10,50.0,-16.4,-18.0,-1.0,29.6,51.4,5.1,12.7,11.3,0.0,0.0,-1343.6
30,65,1.5,atr_3x,2,0.5,True,73.44,38.46,1.91,82,42.7,21,57.1,61,37.7,7,10,70.0,-11.7,-25.7,-2.5,33.1,32.3,2.4,5.5,13.8,18.9,5.3,-1345.6599999999999
35,70,2.5,atr_3x,2,0.7,True,73.3,71.35,1.03,80,53.8,57,54.4,23,52.2,7,10,70.0,-36.2,-49.5,6.1,87.8,56.7,9.5,9.2,18.2,26.1,-3.3,-1345.8
30,65,2.5,atr_3x,3,0.7,True,71.02,80.48,0.88,75,53.3,19,73.7,56,46.4,6,10,60.0,-40.9,-54.8,-9.1,9.0,112.3,-2.0,14.0,41.7,72.9,11.1,-1348.08
30,70,2.0,atr_3x,2,0.5,True,69.32,38.23,1.81,43,51.2,20,55.0,23,47.8,6,10,60.0,-15.6,-19.2,-7.4,38.2,42.9,14.6,3.0,9.6,4.9,0.0,-1349.78
30,70,3.0,atr_3x,3,0.3,True,68.87,40.46,1.7,40,65.0,19,73.7,21,57.1,6,10,60.0,-21.0,-18.6,-5.3,34.0,38.2,7.9,8.9,17.0,9.0,0.0,-1350.23
30,70,1.5,atr_3x,3,0.3,True,67.98,33.16,2.05,47,46.8,21,57.1,26,38.5,6,10,60.0,-10.5,-21.6,-4.7,34.0,38.2,11.6,4.9,10.4,4.9,0.0,-1351.12
30,65,2.5,atr_3x,3,0.5,True,67.05,66.77,1.0,75,53.3,19,73.7,56,46.4,6,10,60.0,-29.2,-41.9,-6.0,7.6,75.3,-0.1,10.4,29.5,48.7,7.9,-1352.05
30,65,1.5,atr_3x,3,0.3,True,65.75,35.23,1.87,82,42.7,21,57.1,61,37.7,7,10,70.0,-10.5,-23.3,-2.2,29.6,29.0,2.3,5.0,12.4,16.9,4.8,-1353.35
25,70,2.0,atr_3x,3,0.7,True,64.97,43.15,1.51,26,50.0,3,66.7,23,47.8,7,10,70.0,0.0,-32.6,11.1,30.6,11.1,28.2,1.1,6.5,10.0,0.0,-1354.1299999999999
30,65,2.0,atr_3x,2,0.5,True,64.97,44.14,1.47,78,48.7,20,55.0,58,46.6,7,10,70.0,-15.6,-24.6,-6.1,26.8,28.9,7.3,2.4,11.7,30.7,5.3,-1354.1299999999999
30,65,2.5,atr_3x,2,0.7,True,64.66,63.89,1.01,75,53.3,19,73.7,56,46.4,7,10,70.0,-27.3,-39.6,-5.6,7.3,69.5,0.2,9.8,27.4,44.9,7.4,-1354.4399999999998
30,75,2.5,atr_3x,3,0.7,True,63.93,64.53,0.99,27,59.3,19,73.7,8,25.0,4,10,40.0,-40.9,-32.7,-10.8,46.2,80.8,-1.1,32.5,33.4,0.0,0.0,-1355.1699999999998
30,70,2.0,atr_3x,3,0.3,True,61.99,35.01,1.77,43,51.2,20,55.0,23,47.8,6,10,60.0,-14.0,-17.4,-6.7,34.0,38.2,13.2,2.7,8.7,4.4,0.0,-1357.11
