rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,return_pct,max_drawdown,calmar,trades,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,positive_years,total_years,pos_year_rate,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,bh_excess
30,70,2.5,atr_3x,3,0.5,True,144.52,56.72,2.55,42,61.9,19,73.7,23,52.2,6,10,60.0,-29.2,-30.8,-5.8,60.7,67.8,17.1,12.7,29.2,15.1,0.0,-1274.58
30,70,2.5,atr_3x,2,0.7,True,133.91,53.97,2.48,42,61.9,19,73.7,23,52.2,6,10,60.0,-27.3,-28.9,-5.3,56.0,62.6,16.1,11.9,27.1,14.1,0.0,-1285.1899999999998
30,70,1.5,atr_3x,3,0.5,True,121.22,49.73,2.44,47,46.8,21,57.1,26,38.5,6,10,60.0,-17.6,-33.6,-8.0,60.7,67.8,19.2,8.0,17.3,8.0,0.0,-1297.8799999999999
30,70,1.5,atr_3x,2,0.7,True,112.08,47.23,2.37,47,46.8,21,57.1,26,38.5,6,10,60.0,-16.4,-31.8,-7.4,56.0,62.6,17.9,7.5,16.2,7.5,0.0,-1307.02
30,70,2.5,atr_3x,2,0.5,True,91.59,41.66,2.2,42,61.9,19,73.7,23,52.2,6,10,60.0,-19.5,-21.2,-3.7,38.2,42.9,11.7,8.6,19.0,10.0,0.0,-1327.51
30,70,2.5,atr_3x,3,0.3,True,81.29,38.23,2.13,42,61.9,19,73.7,23,52.2,6,10,60.0,-17.5,-19.2,-3.3,34.0,38.2,10.5,7.7,17.0,9.0,0.0,-1337.81
30,70,1.5,atr_3x,2,0.5,True,76.53,36.2,2.11,47,46.8,21,57.1,26,38.5,6,10,60.0,-11.7,-23.7,-5.2,38.2,42.9,12.9,5.4,11.6,5.4,0.0,-1342.57
30,65,1.5,atr_3x,3,0.5,True,111.01,52.8,2.1,82,42.7,21,57.1,61,37.7,7,10,70.0,-17.6,-36.4,-4.2,51.1,49.3,2.8,8.1,20.5,29.1,7.9,-1308.09
30,65,1.5,atr_3x,2,0.7,True,103.72,50.17,2.07,82,42.7,21,57.1,61,37.7,7,10,70.0,-16.4,-34.4,-3.8,47.4,45.8,2.8,7.6,19.1,27.0,7.4,-1315.3799999999999
30,70,1.5,atr_3x,3,0.3,True,67.98,33.16,2.05,47,46.8,21,57.1,26,38.5,6,10,60.0,-10.5,-21.6,-4.7,34.0,38.2,11.6,4.9,10.4,4.9,0.0,-1351.12
30,70,2.0,atr_3x,3,0.5,True,105.57,52.55,2.01,43,51.2,20,55.0,23,47.8,6,10,60.0,-23.4,-28.0,-11.2,60.7,67.8,22.0,4.2,14.3,7.2,0.0,-1313.53
30,70,2.5,atr_3x,1,0.7,True,61.26,30.92,1.98,42,61.9,19,73.7,23,52.2,6,10,60.0,-13.6,-15.1,-2.5,25.9,29.1,8.2,6.0,13.1,6.9,0.0,-1357.84
30,70,2.0,atr_3x,2,0.7,True,98.46,49.92,1.97,43,51.2,20,55.0,23,47.8,6,10,60.0,-21.8,-26.3,-10.4,56.0,62.6,20.5,4.0,13.3,6.8,0.0,-1320.6399999999999
30,70,1.5,atr_3x,1,0.7,True,51.41,26.72,1.92,47,46.8,21,57.1,26,38.5,6,10,60.0,-8.2,-17.2,-3.6,25.9,29.1,9.1,3.9,8.1,3.8,0.0,-1367.6899999999998
30,70,2.5,atr_3x,2,0.3,True,51.6,27.03,1.91,42,61.9,19,73.7,23,52.2,6,10,60.0,-11.7,-13.0,-2.1,21.9,24.7,7.1,5.2,11.1,5.9,0.0,-1367.5
30,65,1.5,atr_3x,2,0.5,True,73.44,38.46,1.91,82,42.7,21,57.1,61,37.7,7,10,70.0,-11.7,-25.7,-2.5,33.1,32.3,2.4,5.5,13.8,18.9,5.3,-1345.6599999999999
30,70,3.0,atr_3x,3,0.5,True,113.33,59.92,1.89,40,65.0,19,73.7,21,57.1,6,10,60.0,-35.0,-30.1,-9.1,60.7,67.8,12.4,14.6,29.2,15.1,0.0,-1305.77
30,70,3.0,atr_3x,2,0.7,True,106.59,57.04,1.87,40,65.0,19,73.7,21,57.1,6,10,60.0,-32.7,-28.3,-8.4,56.0,62.6,11.7,13.7,27.1,14.1,0.0,-1312.51
30,65,1.5,atr_3x,3,0.3,True,65.75,35.23,1.87,82,42.7,21,57.1,61,37.7,7,10,70.0,-10.5,-23.3,-2.2,29.6,29.0,2.3,5.0,12.4,16.9,4.8,-1353.35
30,70,1.5,atr_3x,2,0.3,True,43.4,23.31,1.86,47,46.8,21,57.1,26,38.5,6,10,60.0,-7.0,-14.9,-3.1,21.9,24.7,7.8,3.3,6.9,3.3,0.0,-1375.6999999999998
30,70,2.5,atr_3x,1,0.5,True,42.21,22.97,1.84,42,61.9,19,73.7,23,52.2,6,10,60.0,-9.7,-10.9,-1.8,18.0,20.4,5.9,4.3,9.2,4.9,0.0,-1376.8899999999999
30,70,2.0,atr_3x,2,0.5,True,69.32,38.23,1.81,43,51.2,20,55.0,23,47.8,6,10,60.0,-15.6,-19.2,-7.4,38.2,42.9,14.6,3.0,9.6,4.9,0.0,-1349.78
30,70,1.5,atr_3x,1,0.5,True,35.6,19.77,1.8,47,46.8,21,57.1,26,38.5,6,10,60.0,-5.9,-12.5,-2.5,18.0,20.4,6.5,2.8,5.8,2.7,0.0,-1383.5
30,65,1.5,atr_3x,1,0.7,True,50.42,28.38,1.78,82,42.7,21,57.1,61,37.7,7,10,70.0,-8.2,-18.6,-1.6,22.8,22.3,2.0,3.9,9.7,13.0,3.7,-1368.6799999999998
30,70,2.0,atr_3x,3,0.3,True,61.99,35.01,1.77,43,51.2,20,55.0,23,47.8,6,10,60.0,-14.0,-17.4,-6.7,34.0,38.2,13.2,2.7,8.7,4.4,0.0,-1357.11
30,70,3.0,atr_3x,2,0.5,True,76.76,44.08,1.74,40,65.0,19,73.7,21,57.1,6,10,60.0,-23.3,-20.6,-5.9,38.2,42.9,8.7,9.8,19.0,10.0,0.0,-1342.34
30,65,1.5,atr_3x,2,0.3,True,42.84,24.75,1.73,82,42.7,21,57.1,61,37.7,7,10,70.0,-7.0,-16.1,-1.4,19.4,19.1,1.8,3.4,8.3,11.1,3.2,-1376.26
30,70,3.0,atr_3x,3,0.3,True,68.87,40.46,1.7,40,65.0,19,73.7,21,57.1,6,10,60.0,-21.0,-18.6,-5.3,34.0,38.2,7.9,8.9,17.0,9.0,0.0,-1350.23
30,70,2.5,atr_3x,1,0.3,True,24.34,14.33,1.7,42,61.9,19,73.7,23,52.2,6,10,60.0,-5.8,-6.6,-1.0,10.6,12.0,3.6,2.6,5.5,3.0,0.0,-1394.76
30,70,2.0,atr_3x,1,0.7,True,47.46,28.19,1.68,43,51.2,20,55.0,23,47.8,6,10,60.0,-10.9,-13.7,-5.2,25.9,29.1,10.2,2.2,6.8,3.5,0.0,-1371.6399999999999
30,65,1.5,atr_3x,1,0.5,True,35.35,20.99,1.68,82,42.7,21,57.1,61,37.7,7,10,70.0,-5.9,-13.5,-1.1,16.1,15.8,1.5,2.8,6.9,9.2,2.6,-1383.75
30,70,1.5,atr_3x,1,0.3,True,20.66,12.29,1.68,47,46.8,21,57.1,26,38.5,6,10,60.0,-3.5,-7.7,-1.5,10.6,12.0,3.9,1.7,3.5,1.6,0.0,-1398.4399999999998
30,70,2.0,atr_3x,2,0.3,True,40.3,24.59,1.64,43,51.2,20,55.0,23,47.8,6,10,60.0,-9.4,-11.8,-4.4,21.9,24.7,8.8,1.9,5.8,3.0,0.0,-1378.8
30,70,3.0,atr_3x,1,0.7,True,52.96,32.73,1.62,40,65.0,19,73.7,21,57.1,6,10,60.0,-16.3,-14.6,-4.1,25.9,29.1,6.3,6.9,13.1,6.9,0.0,-1366.1399999999999
30,70,2.0,atr_3x,1,0.5,True,33.24,20.85,1.59,43,51.2,20,55.0,23,47.8,6,10,60.0,-7.8,-9.9,-3.7,18.0,20.4,7.3,1.6,4.9,2.5,0.0,-1385.86
30,65,1.5,atr_3x,1,0.3,True,20.73,13.03,1.59,82,42.7,21,57.1,61,37.7,7,10,70.0,-3.5,-8.3,-0.6,9.5,9.4,1.0,1.7,4.2,5.5,1.6,-1398.37
30,70,3.0,atr_3x,2,0.3,True,45.03,28.61,1.57,40,65.0,19,73.7,21,57.1,6,10,60.0,-14.0,-12.6,-3.5,21.9,24.7,5.4,5.9,11.1,5.9,0.0,-1374.07
30,65,2.0,atr_3x,3,0.5,True,92.18,59.77,1.54,78,48.7,20,55.0,58,46.6,7,10,70.0,-23.4,-35.4,-9.5,40.1,43.5,10.1,3.2,17.2,48.7,7.9,-1326.9199999999998
30,70,3.0,atr_3x,1,0.5,True,37.16,24.31,1.53,40,65.0,19,73.7,21,57.1,6,10,60.0,-11.7,-10.5,-2.9,18.0,20.4,4.6,4.9,9.2,4.9,0.0,-1381.9399999999998
30,65,2.0,atr_3x,2,0.7,True,87.37,56.95,1.53,78,48.7,20,55.0,58,46.6,7,10,70.0,-21.8,-33.3,-8.8,37.5,40.6,9.6,3.0,16.1,44.9,7.4,-1331.73
25,70,2.0,atr_3x,3,0.7,True,64.97,43.15,1.51,26,50.0,3,66.7,23,47.8,7,10,70.0,0.0,-32.6,11.1,30.6,11.1,28.2,1.1,6.5,10.0,0.0,-1354.1299999999999
30,70,2.0,atr_3x,1,0.3,True,19.48,12.94,1.51,43,51.2,20,55.0,23,47.8,6,10,60.0,-4.7,-6.0,-2.2,10.6,12.0,4.4,1.0,2.9,1.5,0.0,-1399.62
30,65,2.0,atr_3x,2,0.5,True,64.97,44.14,1.47,78,48.7,20,55.0,58,46.6,7,10,70.0,-15.6,-24.6,-6.1,26.8,28.9,7.3,2.4,11.7,30.7,5.3,-1354.1299999999999
30,65,2.0,atr_3x,3,0.3,True,58.78,40.54,1.45,78,48.7,20,55.0,58,46.6,7,10,70.0,-14.0,-22.3,-5.5,24.1,26.0,6.7,2.2,10.6,27.3,4.8,-1360.32
25,70,2.0,atr_3x,3,0.5,True,47.61,32.74,1.45,26,50.0,3,66.7,23,47.8,7,10,70.0,0.0,-23.8,8.2,21.9,7.9,20.1,1.0,4.7,7.2,0.0,-1371.49
30,70,3.0,atr_3x,1,0.3,True,21.77,15.17,1.44,40,65.0,19,73.7,21,57.1,6,10,60.0,-7.0,-6.4,-1.7,10.6,12.0,2.8,3.0,5.5,3.0,0.0,-1397.33
25,70,2.0,atr_3x,2,0.7,True,44.55,30.87,1.44,26,50.0,3,66.7,23,47.8,7,10,70.0,0.0,-22.3,7.7,20.4,7.4,18.8,1.0,4.4,6.8,0.0,-1374.55
25,70,2.0,atr_3x,2,0.5,True,32.02,22.95,1.4,26,50.0,3,66.7,23,47.8,7,10,70.0,0.0,-16.1,5.6,14.6,5.3,13.4,0.8,3.1,4.9,0.0,-1387.08
30,65,2.0,atr_3x,1,0.7,True,45.95,32.82,1.4,78,48.7,20,55.0,58,46.6,7,10,70.0,-10.9,-17.6,-4.2,18.8,20.2,5.3,1.7,8.3,20.8,3.7,-1373.1499999999999
25,70,2.0,atr_3x,3,0.3,True,28.83,20.87,1.38,26,50.0,3,66.7,23,47.8,7,10,70.0,0.0,-14.6,5.0,13.1,4.8,12.0,0.7,2.8,4.4,0.0,-1390.27
30,65,2.0,atr_3x,2,0.3,True,39.38,28.69,1.37,78,48.7,20,55.0,58,46.6,7,10,70.0,-9.4,-15.2,-3.6,16.1,17.3,4.6,1.5,7.2,17.6,3.2,-1379.7199999999998
25,70,2.0,atr_3x,1,0.7,True,22.42,16.56,1.35,26,50.0,3,66.7,23,47.8,7,10,70.0,0.0,-11.4,4.0,10.2,3.7,9.3,0.6,2.2,3.5,0.0,-1396.6799999999998
30,65,2.0,atr_3x,1,0.5,True,32.76,24.38,1.34,78,48.7,20,55.0,58,46.6,7,10,70.0,-7.8,-12.8,-2.9,13.4,14.4,3.9,1.3,6.0,14.5,2.6,-1386.34
25,70,2.0,atr_3x,2,0.3,True,19.2,14.34,1.34,26,50.0,3,66.7,23,47.8,7,10,70.0,0.0,-9.8,3.4,8.7,3.2,8.0,0.5,1.9,3.0,0.0,-1399.8999999999999
25,70,2.0,atr_3x,1,0.5,True,15.98,12.07,1.32,26,50.0,3,66.7,23,47.8,7,10,70.0,0.0,-8.2,2.9,7.3,2.6,6.7,0.5,1.6,2.5,0.0,-1403.12
25,70,2.0,atr_3x,1,0.3,True,9.55,7.39,1.29,26,50.0,3,66.7,23,47.8,7,10,70.0,0.0,-4.9,1.7,4.4,1.6,4.0,0.3,0.9,1.5,0.0,-1409.55
30,65,2.0,atr_3x,1,0.3,True,19.49,15.21,1.28,78,48.7,20,55.0,58,46.6,7,10,70.0,-4.7,-7.8,-1.7,8.0,8.6,2.4,0.8,3.6,8.5,1.6,-1399.61
25,65,2.0,atr_3x,1,0.3,True,9.56,9.13,1.05,61,47.5,3,66.7,58,46.6,7,10,70.0,0.0,-6.7,2.2,1.9,-1.5,2.0,0.1,1.6,8.5,1.6,-1409.54
25,65,2.0,atr_3x,1,0.5,True,15.56,14.87,1.05,61,47.5,3,66.7,58,46.6,7,10,70.0,0.0,-11.1,3.6,3.0,-2.4,3.3,0.2,2.6,14.5,2.6,-1403.54
25,65,2.0,atr_3x,2,0.3,True,18.42,17.64,1.04,61,47.5,3,66.7,58,46.6,7,10,70.0,0.0,-13.3,4.3,3.5,-3.0,3.9,0.2,3.1,17.6,3.2,-1400.6799999999998
25,65,2.0,atr_3x,1,0.7,True,21.16,20.34,1.04,61,47.5,3,66.7,58,46.6,7,10,70.0,0.0,-15.4,5.0,4.0,-3.5,4.5,0.2,3.6,20.8,3.7,-1397.9399999999998
25,65,2.0,atr_3x,3,0.3,True,26.28,25.55,1.03,61,47.5,3,66.7,58,46.6,7,10,70.0,0.0,-19.6,6.4,4.8,-4.5,5.6,0.2,4.6,27.3,4.8,-1392.82
25,65,2.0,atr_3x,2,0.5,True,28.64,28.05,1.02,61,47.5,3,66.7,58,46.6,7,10,70.0,0.0,-21.7,7.0,5.1,-5.0,6.1,0.2,5.1,30.7,5.3,-1390.4599999999998
30,65,2.5,atr_3x,2,0.5,True,51.04,50.43,1.01,75,53.3,19,73.7,56,46.4,7,10,70.0,-19.5,-29.5,-3.8,5.7,47.5,0.7,7.1,19.4,30.7,5.3,-1368.06
30,65,2.5,atr_3x,3,0.3,True,46.77,46.53,1.01,75,53.3,19,73.7,56,46.4,7,10,70.0,-17.5,-26.8,-3.3,5.2,42.3,0.8,6.4,17.4,27.3,4.8,-1372.33
35,70,2.5,atr_3x,2,0.5,True,58.39,58.22,1.0,80,53.8,57,54.4,23,52.2,7,10,70.0,-26.7,-37.9,5.1,58.2,39.8,7.1,6.9,13.3,18.3,-2.3,-1360.7099999999998
35,70,2.5,atr_3x,3,0.3,True,53.57,54.22,0.99,80,53.8,57,54.4,23,52.2,7,10,70.0,-24.3,-34.7,4.8,51.4,35.6,6.5,6.3,12.0,16.3,-2.1,-1365.53
30,65,2.5,atr_3x,1,0.7,True,37.43,38.02,0.98,75,53.3,19,73.7,56,46.4,7,10,70.0,-13.6,-21.3,-2.5,4.3,32.1,0.8,5.1,13.5,20.8,3.7,-1381.6699999999998
30,65,2.5,atr_3x,2,0.3,True,32.43,33.4,0.97,75,53.3,19,73.7,56,46.4,7,10,70.0,-11.7,-18.4,-2.1,3.7,27.2,0.8,4.4,11.5,17.6,3.2,-1386.6699999999998
25,65,2.0,atr_3x,2,0.7,True,36.47,37.45,0.97,61,47.5,3,66.7,58,46.6,6,10,60.0,0.0,-29.7,9.6,6.1,-7.2,8.0,0.0,6.9,44.9,7.4,-1382.6299999999999
30,65,2.5,atr_3x,1,0.5,True,27.26,28.52,0.96,75,53.3,19,73.7,56,46.4,7,10,70.0,-9.7,-15.5,-1.7,3.2,22.4,0.7,3.7,9.6,14.5,2.6,-1391.84
25,65,2.0,atr_3x,3,0.5,True,38.0,39.65,0.96,61,47.5,3,66.7,58,46.6,6,10,60.0,0.0,-31.6,10.2,6.2,-7.7,8.4,0.0,7.4,48.7,7.9,-1381.1
35,70,2.5,atr_3x,1,0.7,True,42.92,45.18,0.95,80,53.8,57,54.4,23,52.2,7,10,70.0,-19.2,-28.0,4.0,38.5,27.3,5.2,5.1,9.4,12.6,-1.6,-1376.1799999999998
20,65,2.0,atr_3x,1,0.3,True,7.48,8.0,0.94,58,46.6,0,0.0,58,46.6,6,10,60.0,0.0,-5.6,0.3,1.9,-1.5,2.0,-1.1,1.6,8.5,1.6,-1411.62
