rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,return_pct,max_drawdown,calmar,trades,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,positive_years,total_years,pos_year_rate,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,bh_excess
20,65,2.0,atr_2x,3,0.7,True,97.86,52.48,1.86,69,59.4,0,0.0,69,59.4,4,10,40.0,0.0,-15.7,-9.8,-11.7,0.0,67.1,5.8,17.0,42.7,-0.2,-441.14
25,65,2.0,atr_2x,3,0.7,True,77.26,55.95,1.38,73,58.9,4,50.0,69,59.4,4,10,40.0,0.0,-15.7,-9.8,-2.9,-15.7,61.5,5.8,17.0,42.7,-0.2,-461.74
20,65,1.5,atr_2x,3,0.7,True,75.38,43.84,1.72,77,51.9,0,0.0,77,51.9,5,10,50.0,0.0,-15.2,1.1,-11.4,0.0,45.1,5.4,6.9,48.7,-5.0,-463.62
20,65,2.0,atr_2x,3,0.5,True,74.19,39.86,1.86,69,59.4,0,0.0,69,59.4,5,10,50.0,0.0,-8.8,-6.6,-7.8,0.0,46.1,4.2,12.2,29.7,0.1,-464.81
25,65,1.5,atr_2x,3,0.7,True,69.65,43.84,1.59,81,51.9,4,50.0,77,51.9,5,10,50.0,0.0,-15.2,1.1,-2.6,-11.8,44.8,5.4,6.9,48.7,-5.0,-469.35
20,65,2.0,atr_2x,2,0.7,True,69.63,37.57,1.85,69,59.4,0,0.0,69,59.4,5,10,50.0,0.0,-7.8,-6.1,-7.2,0.0,42.8,4.0,11.4,27.6,0.1,-469.37
20,65,2.0,atr_3x,3,0.7,True,68.37,59.72,1.14,66,48.5,0,0.0,66,48.5,6,10,60.0,0.0,-8.1,-19.8,7.1,0.0,30.8,3.1,16.4,30.0,4.6,-470.63
20,65,2.5,atr_2x,3,0.7,True,65.53,60.82,1.08,69,63.8,0,0.0,69,63.8,4,10,40.0,0.0,-24.8,-3.7,-18.7,0.0,55.1,2.5,33.0,36.8,-2.7,-473.47
25,65,2.0,atr_2x,3,0.5,True,62.06,42.8,1.45,73,58.9,4,50.0,69,59.4,5,10,50.0,0.0,-8.8,-6.6,-1.3,-11.2,42.9,4.2,12.2,29.7,0.1,-476.94
20,65,2.0,atr_3x,3,0.5,True,59.82,46.24,1.29,66,48.5,0,0.0,66,48.5,6,10,60.0,0.0,-2.1,-14.1,6.3,0.0,23.5,2.4,12.0,21.9,3.5,-479.18
25,65,2.0,atr_2x,2,0.7,True,58.73,40.39,1.45,73,58.9,4,50.0,69,59.4,5,10,50.0,0.0,-7.8,-6.1,-1.1,-10.5,39.9,4.0,11.4,27.6,0.1,-480.27
20,65,1.5,atr_2x,3,0.5,True,58.64,33.39,1.76,77,51.9,0,0.0,77,51.9,5,10,50.0,0.0,-9.1,1.3,-7.4,0.0,32.0,3.9,5.1,33.5,-3.4,-480.36
20,65,2.0,atr_3x,2,0.7,True,57.27,43.72,1.31,66,48.5,0,0.0,66,48.5,6,10,60.0,0.0,-1.4,-13.1,6.1,0.0,22.2,2.3,11.2,20.5,3.4,-481.73
20,65,2.5,atr_2x,3,0.5,True,56.15,47.11,1.19,69,63.8,0,0.0,69,63.8,4,10,40.0,0.0,-15.0,-2.0,-13.0,0.0,38.9,1.9,22.9,25.9,-1.7,-482.85
25,65,1.5,atr_2x,3,0.5,True,55.58,33.39,1.66,81,51.9,4,50.0,77,51.9,5,10,50.0,0.0,-9.1,1.3,-0.8,-8.4,32.0,3.9,5.1,33.5,-3.4,-483.42
20,65,1.5,atr_2x,2,0.7,True,55.29,31.5,1.76,77,51.9,0,0.0,77,51.9,5,10,50.0,0.0,-8.2,1.3,-6.8,0.0,29.8,3.7,4.8,31.0,-3.1,-483.71
20,65,2.5,atr_2x,2,0.7,True,53.59,44.54,1.2,69,63.8,0,0.0,69,63.8,4,10,40.0,0.0,-13.6,-1.8,-12.0,0.0,36.2,1.8,21.3,24.1,-1.5,-485.40999999999997
25,65,1.5,atr_2x,2,0.7,True,52.59,31.5,1.67,81,51.9,4,50.0,77,51.9,5,10,50.0,0.0,-8.2,1.3,-0.6,-7.9,29.9,3.7,4.8,31.0,-3.1,-486.40999999999997
20,65,2.0,atr_2x,2,0.5,True,50.3,27.85,1.81,69,59.4,0,0.0,69,59.4,5,10,50.0,0.0,-4.3,-4.2,-4.9,0.0,29.7,2.9,8.1,19.3,0.2,-488.7
20,65,1.5,atr_3x,3,0.7,True,48.26,48.26,1.0,73,41.1,0,0.0,73,41.1,4,10,40.0,0.0,-11.7,-6.0,-3.5,0.0,21.4,4.1,4.6,40.7,-0.5,-490.74
20,65,2.0,atr_2x,3,0.3,True,45.28,25.29,1.79,69,59.4,0,0.0,69,59.4,5,10,50.0,0.0,-3.6,-3.7,-4.3,0.0,26.5,2.6,7.3,17.3,0.2,-493.72
20,65,2.0,atr_3x,2,0.5,True,44.35,32.81,1.35,66,48.5,0,0.0,66,48.5,7,10,70.0,0.0,0.7,-9.3,4.9,0.0,16.4,1.7,8.1,14.8,2.5,-494.65
20,65,1.5,atr_3x,3,0.5,True,44.02,35.89,1.23,73,41.1,0,0.0,73,41.1,4,10,40.0,0.0,-5.9,-3.8,-1.1,0.0,16.9,3.1,3.6,28.8,-0.1,-494.98
25,65,2.0,atr_2x,2,0.5,True,43.73,30.08,1.45,73,58.9,4,50.0,69,59.4,5,10,50.0,0.0,-4.3,-4.2,-0.4,-7.5,27.9,2.9,8.1,19.3,0.2,-495.27
20,65,1.5,atr_3x,2,0.7,True,42.43,33.69,1.26,73,41.1,0,0.0,73,41.1,4,10,40.0,0.0,-5.1,-3.4,-0.8,0.0,16.0,2.9,3.4,26.8,-0.0,-496.57
25,65,3.0,atr_2x,3,0.5,True,41.23,46.66,0.88,70,67.1,4,75.0,66,66.7,5,10,50.0,0.0,-19.4,-5.0,2.7,1.8,23.2,-0.3,21.6,22.2,-3.4,-497.77
20,65,2.5,atr_2x,2,0.5,True,41.05,33.45,1.23,69,63.8,0,0.0,69,63.8,4,10,40.0,0.0,-8.3,-1.0,-8.4,0.0,25.5,1.4,14.9,17.1,-1.0,-497.95
20,65,1.5,atr_2x,2,0.5,True,40.69,23.49,1.73,77,51.9,0,0.0,77,51.9,5,10,50.0,0.0,-4.9,1.1,-4.5,0.0,21.1,2.7,3.5,21.6,-2.2,-498.31
20,65,2.0,atr_3x,3,0.3,True,40.54,29.88,1.36,66,48.5,0,0.0,66,48.5,7,10,70.0,0.0,1.1,-8.4,4.6,0.0,14.9,1.6,7.3,13.3,2.3,-498.46
25,65,3.0,atr_2x,2,0.7,True,40.25,44.18,0.91,70,67.1,4,75.0,66,66.7,5,10,50.0,0.0,-17.6,-4.6,2.7,1.7,21.9,-0.3,20.1,20.8,-3.1,-498.75
25,65,3.0,atr_2x,3,0.7,True,39.9,60.22,0.66,70,67.1,4,75.0,66,66.7,5,10,50.0,0.0,-30.9,-7.8,2.3,2.6,29.7,-0.8,30.9,31.0,-5.2,-499.1
25,65,2.0,atr_2x,3,0.3,True,39.64,27.34,1.45,73,58.9,4,50.0,69,59.4,5,10,50.0,0.0,-3.6,-3.7,-0.3,-6.7,25.0,2.6,7.3,17.3,0.2,-499.36
25,65,1.5,atr_2x,2,0.5,True,39.2,23.49,1.67,81,51.9,4,50.0,77,51.9,6,10,60.0,0.0,-4.9,1.1,0.1,-5.6,21.2,2.7,3.5,21.6,-2.2,-499.8
20,65,3.0,atr_2x,3,0.5,True,38.53,49.8,0.77,66,66.7,0,0.0,66,66.7,3,10,30.0,0.0,-19.4,-5.0,-4.1,0.0,31.8,-0.3,21.6,22.2,-3.4,-500.47
20,65,3.0,atr_2x,2,0.7,True,37.63,47.12,0.8,66,66.7,0,0.0,66,66.7,3,10,30.0,0.0,-17.6,-4.6,-3.7,0.0,29.8,-0.3,20.1,20.8,-3.1,-501.37
25,65,2.5,atr_2x,3,0.5,True,37.62,51.26,0.73,73,63.0,4,50.0,69,63.8,4,10,40.0,0.0,-15.0,-2.0,-6.8,-14.0,32.8,1.9,22.9,25.9,-1.7,-501.38
20,65,2.5,atr_2x,3,0.3,True,37.43,30.47,1.23,69,63.8,0,0.0,69,63.8,4,10,40.0,0.0,-7.1,-0.8,-7.5,0.0,22.9,1.3,13.4,15.3,-0.9,-501.57
20,65,3.0,atr_2x,3,0.7,True,37.24,64.01,0.58,66,66.7,0,0.0,66,66.7,3,10,30.0,0.0,-30.9,-7.8,-7.0,0.0,43.5,-0.8,30.9,31.0,-5.2,-501.76
25,65,2.5,atr_2x,3,0.7,True,36.91,65.34,0.56,73,63.0,4,50.0,69,63.8,4,10,40.0,0.0,-24.8,-3.7,-10.6,-19.6,45.0,2.5,33.0,36.8,-2.7,-502.09000000000003
20,65,1.5,atr_2x,3,0.3,True,36.8,21.37,1.72,77,51.9,0,0.0,77,51.9,5,10,50.0,0.0,-4.2,1.1,-3.9,0.0,19.0,2.4,3.2,19.3,-1.9,-502.2
25,65,2.5,atr_2x,2,0.7,True,36.7,48.57,0.76,73,63.0,4,50.0,69,63.8,4,10,40.0,0.0,-13.6,-1.8,-6.2,-13.1,30.7,1.8,21.3,24.1,-1.5,-502.3
25,65,1.5,atr_2x,3,0.3,True,35.55,21.37,1.66,81,51.9,4,50.0,77,51.9,6,10,60.0,0.0,-4.2,1.1,0.2,-5.1,19.1,2.4,3.2,19.3,-1.9,-503.45
20,65,2.0,atr_2x,1,0.7,True,35.12,20.01,1.76,69,59.4,0,0.0,69,59.4,5,10,50.0,0.0,-2.4,-2.8,-3.3,0.0,20.3,2.0,5.7,13.3,0.2,-503.88
25,65,2.0,atr_3x,3,0.5,True,34.02,50.83,0.67,70,47.1,4,25.0,66,48.5,6,10,60.0,0.0,-2.1,-14.1,17.8,-11.2,5.4,2.4,12.0,21.9,3.5,-504.98
20,65,1.5,atr_3x,2,0.5,True,33.73,24.55,1.37,73,41.1,0,0.0,73,41.1,6,10,60.0,0.0,-2.4,-2.2,0.1,0.0,12.1,2.2,2.6,19.0,0.1,-505.27
25,65,2.0,atr_3x,2,0.7,True,33.6,48.16,0.7,70,47.1,4,25.0,66,48.5,6,10,60.0,0.0,-1.4,-13.1,16.7,-10.5,5.4,2.3,11.2,20.5,3.4,-505.4
25,65,3.0,atr_2x,2,0.5,True,33.23,33.39,1.0,70,67.1,4,75.0,66,66.7,5,10,50.0,0.0,-11.1,-3.0,2.4,1.2,16.3,-0.1,14.1,14.8,-2.1,-505.77
20,65,2.0,atr_3x,1,0.7,True,32.34,23.78,1.36,66,48.5,0,0.0,66,48.5,7,10,70.0,0.0,1.4,-6.5,3.7,0.0,11.8,1.2,5.7,10.4,1.8,-506.65999999999997
25,65,2.0,atr_2x,1,0.7,True,31.15,21.68,1.44,73,58.9,4,50.0,69,59.4,5,10,50.0,0.0,-2.4,-2.8,-0.1,-5.2,19.2,2.0,5.7,13.3,0.2,-507.85
20,65,3.0,atr_2x,2,0.5,True,31.14,35.47,0.88,66,66.7,0,0.0,66,66.7,3,10,30.0,0.0,-11.1,-3.0,-2.2,0.0,21.4,-0.1,14.1,14.8,-2.1,-507.86
