rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,return_pct,max_drawdown,calmar,trades,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,positive_years,total_years,pos_year_rate,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,bh_excess
25,65,1.5,atr_2x,2,0.5,True,39.2,23.49,1.67,81,51.9,4,50.0,77,51.9,6,10,60.0,0.0,-4.9,1.1,0.1,-5.6,21.2,2.7,3.5,21.6,-2.2,-499.8
25,65,1.5,atr_2x,3,0.3,True,35.55,21.37,1.66,81,51.9,4,50.0,77,51.9,6,10,60.0,0.0,-4.2,1.1,0.2,-5.1,19.1,2.4,3.2,19.3,-1.9,-503.45
25,65,1.5,atr_2x,1,0.7,True,27.98,16.98,1.65,81,51.9,4,50.0,77,51.9,6,10,60.0,0.0,-3.0,0.9,0.3,-3.9,14.8,1.9,2.5,14.8,-1.5,-511.02
25,65,1.5,atr_2x,2,0.3,True,24.09,14.71,1.64,81,51.9,4,50.0,77,51.9,6,10,60.0,0.0,-2.4,0.8,0.4,-3.4,12.7,1.6,2.2,12.6,-1.2,-514.91
25,65,1.5,atr_2x,1,0.5,True,20.14,12.39,1.63,81,51.9,4,50.0,77,51.9,6,10,60.0,0.0,-1.9,0.7,0.4,-2.8,10.5,1.4,1.8,10.4,-1.0,-518.86
25,65,1.5,atr_2x,1,0.3,True,12.13,7.6,1.6,81,51.9,4,50.0,77,51.9,6,10,60.0,0.0,-1.0,0.4,0.3,-1.7,6.3,0.8,1.1,6.2,-0.6,-526.87
20,65,1.5,atr_3x,1,0.3,True,11.38,7.6,1.5,73,41.1,0,0.0,73,41.1,6,10,60.0,0.0,-0.0,-0.5,0.4,0.0,3.9,0.7,0.9,5.6,0.1,-527.62
20,65,1.5,atr_3x,1,0.5,True,18.49,12.48,1.48,73,41.1,0,0.0,73,41.1,6,10,60.0,0.0,-0.4,-1.0,0.5,0.0,6.4,1.1,1.4,9.4,0.2,-520.51
20,65,1.5,atr_3x,2,0.3,True,21.86,14.94,1.46,73,41.1,0,0.0,73,41.1,6,10,60.0,0.0,-0.7,-1.2,0.5,0.0,7.6,1.3,1.6,11.3,0.2,-517.14
20,65,1.5,atr_3x,1,0.7,True,25.09,17.38,1.44,73,41.1,0,0.0,73,41.1,6,10,60.0,0.0,-1.0,-1.4,0.4,0.0,8.8,1.6,1.9,13.2,0.2,-513.91
20,65,1.5,atr_3x,3,0.3,True,31.03,22.18,1.4,73,41.1,0,0.0,73,41.1,6,10,60.0,0.0,-1.9,-1.9,0.2,0.0,11.0,2.0,2.4,17.0,0.2,-507.97
25,65,2.0,atr_2x,1,0.3,True,13.43,9.63,1.39,73,58.9,4,50.0,69,59.4,6,10,60.0,0.0,-0.6,-1.2,0.1,-2.2,8.1,0.9,2.4,5.6,0.1,-525.57
20,65,1.5,atr_3x,2,0.5,True,33.73,24.55,1.37,73,41.1,0,0.0,73,41.1,6,10,60.0,0.0,-2.4,-2.2,0.1,0.0,12.1,2.2,2.6,19.0,0.1,-505.27
20,65,2.0,atr_3x,1,0.7,True,32.34,23.78,1.36,66,48.5,0,0.0,66,48.5,7,10,70.0,0.0,1.4,-6.5,3.7,0.0,11.8,1.2,5.7,10.4,1.8,-506.65999999999997
20,65,2.0,atr_3x,1,0.5,True,23.53,17.36,1.36,66,48.5,0,0.0,66,48.5,7,10,70.0,0.0,1.5,-4.6,2.8,0.0,8.5,0.9,4.1,7.5,1.3,-515.47
20,65,2.0,atr_3x,2,0.3,True,28.0,20.61,1.36,66,48.5,0,0.0,66,48.5,7,10,70.0,0.0,1.5,-5.6,3.3,0.0,10.2,1.1,4.9,8.9,1.6,-511.0
20,65,2.0,atr_3x,3,0.3,True,40.54,29.88,1.36,66,48.5,0,0.0,66,48.5,7,10,70.0,0.0,1.1,-8.4,4.6,0.0,14.9,1.6,7.3,13.3,2.3,-498.46
20,65,2.0,atr_3x,2,0.5,True,44.35,32.81,1.35,66,48.5,0,0.0,66,48.5,7,10,70.0,0.0,0.7,-9.3,4.9,0.0,16.4,1.7,8.1,14.8,2.5,-494.65
20,65,2.0,atr_3x,1,0.3,True,14.29,10.64,1.34,66,48.5,0,0.0,66,48.5,7,10,70.0,0.0,1.1,-2.8,1.8,0.0,5.2,0.6,2.5,4.5,0.8,-524.71
20,65,2.0,atr_3x,2,0.7,True,57.27,43.72,1.31,66,48.5,0,0.0,66,48.5,6,10,60.0,0.0,-1.4,-13.1,6.1,0.0,22.2,2.3,11.2,20.5,3.4,-481.73
20,65,2.0,atr_3x,3,0.5,True,59.82,46.24,1.29,66,48.5,0,0.0,66,48.5,6,10,60.0,0.0,-2.1,-14.1,6.3,0.0,23.5,2.4,12.0,21.9,3.5,-479.18
25,65,1.5,atr_3x,1,0.3,True,9.29,8.11,1.15,77,40.3,4,25.0,73,41.1,6,10,60.0,0.0,-0.0,-0.5,2.6,-1.7,1.5,0.7,0.9,5.6,0.1,-529.71
