rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,return_pct,max_drawdown,calmar,trades,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,positive_years,total_years,pos_year_rate,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,bh_excess
30,70,3.0,atr_2x,3,0.7,True,179.81,39.41,4.56,34,67.6,10,60.0,24,70.8,6,9,66.7,-4.2,18.6,19.2,30.2,35.7,-13.6,8.6,31.6,-5.3,130.41
30,70,2.5,atr_2x,3,0.7,True,162.69,32.89,4.95,36,61.1,10,60.0,26,61.5,6,9,66.7,-7.8,18.6,11.8,44.2,39.2,-11.7,8.6,14.8,-2.8,113.28999999999999
30,65,2.0,atr_3x,3,0.7,True,150.72,48.36,3.12,74,48.6,10,40.0,64,50.0,7,9,77.8,-25.5,43.2,9.3,7.0,33.7,-7.7,12.6,34.9,7.2,101.32
30,65,2.5,atr_3x,3,0.7,True,139.86,45.08,3.1,69,52.2,10,40.0,59,54.2,7,9,77.8,-36.1,46.7,27.1,28.2,21.2,-14.8,6.4,24.2,15.2,90.46000000000001
20,65,3.0,atr_3x,3,0.7,True,133.32,41.04,3.25,53,62.3,0,0.0,53,62.3,8,9,88.9,-34.6,41.5,8.1,6.6,51.9,3.1,0.4,24.1,12.1,83.91999999999999
30,65,3.0,atr_2x,3,0.7,True,129.66,42.05,3.08,65,64.6,10,60.0,55,65.5,6,9,66.7,-26.4,69.5,17.4,30.0,35.3,-18.0,-10.1,17.5,2.8,80.25999999999999
20,70,3.0,atr_3x,3,0.7,True,129.31,53.75,2.41,24,66.7,0,0.0,24,66.7,5,9,55.6,-4.5,28.8,-12.5,2.8,41.3,0.0,13.0,31.1,-0.9,79.91
20,65,2.5,atr_3x,3,0.7,True,129.12,35.8,3.61,59,54.2,0,0.0,59,54.2,7,9,77.8,-21.9,46.7,1.4,25.2,1.7,-3.5,6.4,31.0,15.2,79.72
30,70,3.0,atr_2x,3,0.5,True,129.03,28.16,4.58,34,67.6,10,60.0,24,70.8,6,9,66.7,-1.7,13.1,13.9,27.3,25.2,-9.7,6.1,22.7,-3.5,79.63
30,70,2.5,atr_3x,3,0.7,True,122.61,47.22,2.6,36,52.8,10,40.0,26,57.7,7,9,77.8,-19.0,28.8,2.8,16.5,72.7,-11.7,13.0,1.7,1.7,73.21000000000001
30,65,2.0,atr_3x,3,0.5,True,122.02,35.11,3.48,74,48.6,10,40.0,64,50.0,7,9,77.8,-16.9,30.9,7.7,10.2,24.7,-5.1,9.5,25.7,5.7,72.62
30,65,3.0,atr_3x,3,0.7,True,121.6,48.94,2.48,63,58.7,10,40.0,53,62.3,7,9,77.8,-48.9,41.5,35.5,9.1,81.0,-10.9,0.4,14.1,12.1,72.19999999999999
