rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,return_pct,max_drawdown,calmar,trades,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,positive_years,total_years,pos_year_rate,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,bh_excess
30,70,2.5,atr_2x,3,0.5,True,117.42,23.5,5.0,36,61.1,10,60.0,26,61.5,6,9,66.7,-3.8,13.1,8.8,35.6,27.4,-8.4,6.1,11.2,-1.7,68.02000000000001
30,70,2.5,atr_2x,2,0.7,True,109.26,21.94,4.98,36,61.1,10,60.0,26,61.5,6,9,66.7,-3.3,12.2,8.3,33.8,25.5,-7.8,5.7,10.6,-1.6,59.86000000000001
30,70,2.5,atr_2x,3,0.7,True,162.69,32.89,4.95,36,61.1,10,60.0,26,61.5,6,9,66.7,-7.8,18.6,11.8,44.2,39.2,-11.7,8.6,14.8,-2.8,113.28999999999999
30,70,2.5,atr_2x,2,0.5,True,76.2,15.67,4.86,36,61.1,10,60.0,26,61.5,6,9,66.7,-1.5,8.7,6.1,25.6,17.9,-5.6,4.1,7.8,-1.0,26.800000000000004
30,70,2.5,atr_2x,3,0.3,True,67.98,14.11,4.82,36,61.1,10,60.0,26,61.5,6,9,66.7,-1.2,7.8,5.5,23.3,16.1,-5.0,3.7,7.1,-0.9,18.580000000000005
30,70,2.5,atr_2x,1,0.7,True,51.79,10.97,4.72,36,61.1,10,60.0,26,61.5,6,9,66.7,-0.6,6.0,4.3,18.5,12.4,-3.9,2.9,5.6,-0.7,2.3900000000000006
30,70,2.5,atr_2x,2,0.3,True,43.87,9.4,4.66,36,61.1,10,60.0,26,61.5,6,9,66.7,-0.4,5.2,3.7,16.0,10.6,-3.4,2.5,4.8,-0.6,-5.530000000000001
30,70,2.5,atr_2x,1,0.5,True,36.09,7.84,4.6,36,61.1,10,60.0,26,61.5,6,9,66.7,-0.3,4.3,3.1,13.5,8.8,-2.8,2.0,4.1,-0.5,-13.309999999999995
30,70,3.0,atr_2x,3,0.5,True,129.03,28.16,4.58,34,67.6,10,60.0,24,70.8,6,9,66.7,-1.7,13.1,13.9,27.3,25.2,-9.7,6.1,22.7,-3.5,79.63
30,70,3.0,atr_2x,3,0.7,True,179.81,39.41,4.56,34,67.6,10,60.0,24,70.8,6,9,66.7,-4.2,18.6,19.2,30.2,35.7,-13.6,8.6,31.6,-5.3,130.41
30,70,3.0,atr_2x,2,0.7,True,119.86,26.28,4.56,34,67.6,10,60.0,24,70.8,6,9,66.7,-1.4,12.2,13.0,26.3,23.5,-9.1,5.7,21.2,-3.2,70.46000000000001
20,65,2.5,atr_3x,2,0.3,True,44.47,9.83,4.52,59,54.2,0,0.0,59,54.2,7,9,77.8,-4.3,13.0,0.8,11.7,1.8,-0.5,2.5,9.2,4.7,-4.93
20,65,2.5,atr_3x,1,0.7,True,52.03,11.52,4.52,59,54.2,0,0.0,59,54.2,7,9,77.8,-5.2,15.2,0.9,13.4,2.0,-0.7,2.9,10.8,5.4,2.6300000000000026
20,65,2.5,atr_3x,1,0.5,True,36.88,8.16,4.52,59,54.2,0,0.0,59,54.2,7,9,77.8,-3.4,10.8,0.7,9.9,1.5,-0.4,2.2,7.7,3.9,-12.519999999999996
20,65,2.5,atr_3x,1,0.3,True,21.81,4.85,4.49,59,54.2,0,0.0,59,54.2,7,9,77.8,-1.9,6.4,0.4,6.2,1.0,-0.2,1.3,4.6,2.4,-27.59
20,65,2.5,atr_3x,3,0.3,True,66.9,14.91,4.49,59,54.2,0,0.0,59,54.2,7,9,77.8,-7.1,19.6,1.0,16.4,2.3,-0.9,3.6,13.8,6.9,17.500000000000007
30,70,2.5,atr_2x,1,0.3,True,21.05,4.7,4.48,36,61.1,10,60.0,26,61.5,6,9,66.7,-0.0,2.6,1.9,8.2,5.2,-1.7,1.2,2.5,-0.3,-28.349999999999998
20,65,2.5,atr_3x,2,0.5,True,74.12,16.63,4.46,59,54.2,0,0.0,59,54.2,7,9,77.8,-8.1,21.9,1.1,17.8,2.4,-1.1,3.9,15.3,7.6,24.720000000000006
30,70,3.0,atr_2x,2,0.5,True,82.88,18.78,4.41,34,67.6,10,60.0,24,70.8,6,9,66.7,-0.4,8.7,9.3,20.9,16.6,-6.5,4.1,15.1,-2.2,33.48
