coin,period,return_pct,max_drawdown,calmar,trades,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,bh_return
BTC,2017~2026,111.98,73.85,1.52,78,48.7,20,55.0,58,46.6,1419.1
BTC,2017,-32.75,32.75,-1.0,1,0.0,1,0.0,0,0.0,215.3
BTC,2018,-47.1,55.39,-0.85,13,23.1,2,0.0,11,27.3,-72.4
BTC,2019,-13.78,29.07,-0.47,10,40.0,3,33.3,7,42.9,94.8
BTC,2020,55.17,22.03,2.5,9,66.7,3,100.0,6,50.0,300.3
BTC,2021,60.7,20.09,3.02,5,60.0,2,100.0,3,33.3,57.9
BTC,2022,12.67,9.29,1.36,15,46.7,2,50.0,13,46.2,-64.7
BTC,2023,3.86,23.57,0.16,9,44.4,3,66.7,6,33.3,155.8
BTC,2024,23.31,14.06,1.66,8,50.0,4,50.0,4,50.0,121.1
BTC,2025,72.86,1.25,58.39,7,85.7,0,0.0,7,85.7,-6.6
BTC,2026 (YTD),11.12,0.1,105.92,1,100.0,0,0.0,1,100.0,-24.8
ETH,2017~2026,77.26,55.95,1.38,73,58.9,4,50.0,69,59.4,539.0
ETH,2017,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,138.3
ETH,2018,-15.75,40.4,-0.39,20,50.0,0,0.0,20,50.0,-82.1
ETH,2019,-9.81,16.13,-0.61,9,44.4,0,0.0,9,44.4,-1.6
ETH,2020,-2.88,27.25,-0.11,5,40.0,1,100.0,4,25.0,465.6
ETH,2021,-15.7,15.7,-1.0,1,0.0,1,0.0,0,0.0,393.6
ETH,2022,61.51,23.42,2.63,12,75.0,2,50.0,10,80.0,-67.9
ETH,2023,5.8,8.83,0.66,8,62.5,0,0.0,8,62.5,91.1
ETH,2024,17.03,7.45,2.29,7,71.4,0,0.0,7,71.4,46.8
ETH,2025,42.7,10.22,4.18,9,77.8,0,0.0,9,77.8,-11.4
ETH,2026 (YTD),-0.15,9.46,-0.02,2,50.0,0,0.0,2,50.0,-34.0
XRP,2018~2026,94.41,58.79,1.61,68,48.5,4,25.0,64,50.0,49.4
XRP,2018,-25.47,37.72,-0.68,12,33.3,1,0.0,11,36.4,-62.0
XRP,2019,43.25,16.34,2.65,10,60.0,0,0.0,10,60.0,-44.7
XRP,2020,-12.79,29.52,-0.43,6,33.3,0,0.0,6,33.3,13.2
XRP,2021,4.51,47.03,0.1,7,57.1,0,0.0,7,57.1,265.0
XRP,2022,12.19,18.23,0.67,8,50.0,0,0.0,8,50.0,-59.7
XRP,2023,0.32,21.87,0.01,7,42.9,1,0.0,6,50.0,82.1
XRP,2024,12.59,15.33,0.82,6,50.0,0,0.0,6,50.0,239.9
XRP,2025,47.06,21.64,2.17,8,62.5,2,50.0,6,66.7,-12.6
XRP,2026 (YTD),7.21,18.06,0.4,4,50.0,0,0.0,4,50.0,-25.4
