mode,leverage,pos_ratio,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar,sma_fast,sma_slow
long_only,3,0.5,5,5,0,60.0,75.47,58.27,1.3,20,150
long_only,2,1.0,5,5,0,60.0,72.62,67.37,1.08,20,150
long_only,2,1.0,4,4,0,75.0,70.37,70.25,1.0,50,150
long_only,3,1.0,4,4,0,75.0,66.46,85.33,0.78,50,150
long_only,2,0.5,5,5,0,60.0,61.24,46.74,1.31,20,150
long_only,1,1.0,5,5,0,60.0,61.24,46.74,1.31,20,150
long_only,3,0.5,4,4,0,75.0,60.69,60.05,1.01,50,150
long_only,2,0.5,4,4,0,75.0,44.97,47.0,0.96,50,150
long_only,1,1.0,4,4,0,75.0,44.97,47.0,0.96,50,150
long_only,1,0.5,5,5,0,60.0,34.29,30.01,1.14,20,150
long_short,2,0.5,10,5,5,50.0,28.4,50.94,0.56,20,150
long_short,1,1.0,10,5,5,50.0,28.4,50.94,0.56,20,150
long_only,1,0.5,4,4,0,75.0,24.37,29.05,0.84,50,150
long_short,1,0.5,10,5,5,50.0,21.87,31.03,0.7,20,150
long_short,3,0.5,10,5,5,50.0,17.34,68.8,0.25,20,150
long_only,3,0.5,4,4,0,75.0,12.7,64.87,0.2,20,200
long_only,1,1.0,4,4,0,75.0,11.31,53.26,0.21,20,200
long_only,2,0.5,4,4,0,75.0,11.31,53.26,0.21,20,200
long_only,2,1.0,4,4,0,75.0,10.96,73.46,0.15,20,200
long_only,1,0.5,4,4,0,75.0,8.79,39.12,0.22,50,200
long_only,3,1.0,5,5,0,60.0,7.1,99.16,0.07,20,150
long_only,1,0.5,4,4,0,75.0,7.01,35.31,0.2,20,200
long_short,1,0.5,8,4,4,50.0,6.65,33.11,0.2,50,150
long_only,1,1.0,4,4,0,75.0,6.0,61.52,0.1,50,200
long_only,2,0.5,4,4,0,75.0,6.0,61.52,0.1,50,200
long_short,1,1.0,8,4,4,50.0,4.88,51.55,0.09,50,150
long_short,2,0.5,8,4,4,50.0,4.88,51.55,0.09,50,150
long_only,3,1.0,4,4,0,75.0,-2.8,86.27,-0.03,20,200
long_short,3,0.5,8,4,4,50.0,-3.89,64.75,-0.06,50,150
long_short,2,1.0,10,5,5,50.0,-9.05,82.18,-0.11,20,150
long_only,3,0.5,4,4,0,75.0,-12.41,77.62,-0.16,50,200
long_short,2,1.0,8,4,4,50.0,-17.96,75.84,-0.24,50,150
long_only,1,0.5,6,6,0,50.0,-18.79,42.62,-0.44,100,150
long_short,1,0.5,8,4,4,50.0,-20.88,49.99,-0.42,20,200
long_short,1,0.5,8,4,4,50.0,-24.97,58.25,-0.43,50,200
long_only,1,0.5,4,4,0,25.0,-26.07,48.19,-0.54,100,200
long_short,2,0.5,8,4,4,50.0,-42.61,73.44,-0.58,20,200
long_short,1,1.0,8,4,4,50.0,-42.61,73.44,-0.58,20,200
long_only,1,1.0,6,6,0,50.0,-43.67,69.53,-0.63,100,150
long_only,2,0.5,6,6,0,50.0,-43.67,69.53,-0.63,100,150
long_only,2,0.5,4,4,0,25.0,-49.67,73.29,-0.68,100,200
long_only,1,1.0,4,4,0,25.0,-49.67,73.29,-0.68,100,200
long_only,2,1.0,4,4,0,75.0,-50.82,90.67,-0.56,50,200
long_short,1,1.0,8,4,4,50.0,-53.61,83.54,-0.64,50,200
long_short,2,0.5,8,4,4,50.0,-53.61,83.54,-0.64,50,200
long_short,3,1.0,8,4,4,50.0,-54.07,89.85,-0.6,50,150
long_short,3,0.5,8,4,4,50.0,-63.16,86.5,-0.73,20,200
long_only,3,0.5,4,4,0,25.0,-70.32,87.59,-0.8,100,200
long_short,1,0.5,12,6,6,41.7,-71.28,76.14,-0.94,100,150
long_only,3,0.5,6,6,0,50.0,-72.87,88.17,-0.83,100,150
long_short,1,0.5,8,4,4,12.5,-72.91,77.35,-0.94,100,200
long_short,3,1.0,10,5,5,50.0,-77.56,99.16,-0.78,20,150
long_short,3,0.5,8,4,4,50.0,-79.03,94.95,-0.83,50,200
long_short,2,1.0,8,4,4,50.0,-80.99,94.21,-0.86,20,200
long_only,2,1.0,4,4,0,25.0,-87.52,97.06,-0.9,100,200
long_short,2,1.0,8,4,4,50.0,-95.56,99.26,-0.96,50,200
long_short,1,1.0,12,6,6,41.7,-95.75,97.04,-0.99,100,150
long_short,2,0.5,12,6,6,41.7,-95.75,97.04,-0.99,100,150
long_short,2,0.5,8,4,4,12.5,-96.65,97.62,-0.99,100,200
long_short,1,1.0,8,4,4,12.5,-96.65,97.62,-0.99,100,200
long_short,3,0.5,12,6,6,41.7,-99.93,99.96,-1.0,100,150
long_only,3,1.0,3,3,0,33.3,-100.0,114.85,-0.87,100,200
long_short,3,0.5,6,3,3,16.7,-100.0,100.68,-0.99,100,200
long_short,2,1.0,6,3,3,16.7,-100.0,102.6,-0.97,100,200
long_short,3,1.0,4,2,2,50.0,-100.0,105.02,-0.95,20,200
long_only,3,1.0,5,5,0,40.0,-100.0,123.49,-0.81,100,150
long_only,3,1.0,3,3,0,66.7,-100.0,112.33,-0.89,50,200
long_only,2,1.0,5,5,0,40.0,-100.0,102.41,-0.98,100,150
long_short,3,1.0,4,2,2,50.0,-100.0,114.92,-0.87,50,200
long_short,3,1.0,2,1,1,0.0,-100.0,117.18,-0.85,100,150
long_short,2,1.0,8,4,4,37.5,-100.0,101.12,-0.99,100,150
long_short,3,1.0,2,1,1,0.0,-100.0,126.74,-0.79,100,200
