set,sma_fast,sma_slow,coin,period,trades,win_rate,return_pct,max_drawdown,calmar,bh_ref
A,20,150,BTC,full,11,63.6,762.49,64.7,11.79,1433.0
A,20,150,ETH,full,9,66.7,1916.7,65.82,29.12,552.0
A,20,150,XRP,full,14,28.6,-51.79,90.87,-0.57,48.0
A,20,150,BTC,2017,0,0.0,0.0,0.0,0.0,1433.0
A,20,150,ETH,2017,0,0.0,0.0,0.0,0.0,552.0
A,20,150,BTC,2018,1,0.0,-19.58,19.89,-0.98,1433.0
A,20,150,ETH,2018,0,0.0,0.0,0.0,0.0,552.0
A,20,150,XRP,2018,1,0.0,-34.27,37.32,-0.92,48.0
A,20,150,BTC,2019,1,100.0,65.46,38.61,1.7,1433.0
A,20,150,ETH,2019,1,100.0,53.64,41.41,1.3,552.0
A,20,150,XRP,2019,2,0.0,-21.53,38.12,-0.56,48.0
A,20,150,BTC,2020,2,50.0,95.81,53.62,1.79,1433.0
A,20,150,ETH,2020,2,50.0,180.8,62.21,2.91,552.0
A,20,150,XRP,2020,2,50.0,-18.67,69.55,-0.27,48.0
A,20,150,BTC,2021,1,0.0,-6.56,31.73,-0.21,1433.0
A,20,150,ETH,2021,1,100.0,21.95,29.99,0.73,552.0
A,20,150,XRP,2021,2,50.0,-21.56,81.05,-0.27,48.0
A,20,150,BTC,2022,0,0.0,0.0,0.0,0.0,1433.0
A,20,150,ETH,2022,1,0.0,-26.15,33.01,-0.79,552.0
A,20,150,XRP,2022,1,0.0,-18.36,37.46,-0.49,48.0
A,20,150,BTC,2023,2,100.0,46.72,18.89,2.47,1433.0
A,20,150,ETH,2023,2,100.0,42.9,22.08,1.94,552.0
A,20,150,XRP,2023,2,50.0,4.76,46.75,0.1,48.0
A,20,150,BTC,2024,3,66.7,25.75,14.67,1.75,1433.0
A,20,150,ETH,2024,1,100.0,7.91,18.05,0.44,552.0
A,20,150,XRP,2024,3,33.3,122.58,43.57,2.81,48.0
A,20,150,BTC,2025,1,100.0,17.96,14.63,1.23,1433.0
A,20,150,ETH,2025,1,100.0,40.34,31.98,1.26,552.0
A,20,150,XRP,2025,1,0.0,-13.96,35.41,-0.39,48.0
B,50,200,BTC,full,8,62.5,630.1,66.77,9.44,1433.0
B,50,200,ETH,full,8,62.5,604.17,78.72,7.67,552.0
B,50,200,XRP,full,11,27.3,-64.91,91.36,-0.71,48.0
B,50,200,BTC,2017,0,0.0,0.0,0.0,0.0,1433.0
B,50,200,ETH,2017,0,0.0,0.0,0.0,0.0,552.0
B,50,200,BTC,2018,0,0.0,0.0,0.0,0.0,1433.0
B,50,200,ETH,2018,0,0.0,0.0,0.0,0.0,552.0
B,50,200,XRP,2018,0,0.0,0.0,0.0,0.0,48.0
B,50,200,BTC,2019,1,100.0,70.32,43.4,1.62,1433.0
B,50,200,ETH,2019,1,100.0,0.39,50.36,0.01,552.0
B,50,200,XRP,2019,1,0.0,-41.35,44.85,-0.92,48.0
B,50,200,BTC,2020,2,50.0,109.14,52.83,2.07,1433.0
B,50,200,ETH,2020,2,50.0,121.11,61.88,1.96,552.0
B,50,200,XRP,2020,2,0.0,-59.69,69.56,-0.86,48.0
B,50,200,BTC,2021,1,0.0,-4.06,31.69,-0.13,1433.0
B,50,200,ETH,2021,1,100.0,21.95,29.99,0.73,552.0
B,50,200,XRP,2021,2,0.0,-37.94,79.81,-0.48,48.0
B,50,200,BTC,2022,0,0.0,0.0,0.0,0.0,1433.0
B,50,200,ETH,2022,0,0.0,0.0,0.0,0.0,552.0
B,50,200,XRP,2022,1,0.0,-22.43,34.24,-0.66,48.0
B,50,200,BTC,2023,2,100.0,36.11,20.01,1.8,1433.0
B,50,200,ETH,2023,2,100.0,24.21,23.15,1.05,552.0
B,50,200,XRP,2023,2,50.0,-8.15,47.02,-0.17,48.0
B,50,200,BTC,2024,1,100.0,33.64,12.57,2.67,1433.0
B,50,200,ETH,2024,1,0.0,-11.91,18.05,-0.66,552.0
B,50,200,XRP,2024,2,50.0,183.28,34.46,5.32,48.0
B,50,200,BTC,2025,1,0.0,-15.7,24.43,-0.64,1433.0
B,50,200,ETH,2025,1,100.0,24.26,42.77,0.57,552.0
B,50,200,XRP,2025,1,0.0,-35.68,37.94,-0.94,48.0
