coin,year,sma_fast,sma_slow,mode,leverage,pos_ratio,return_pct,max_drawdown,calmar,trades,win_rate,long_trades,short_trades
BTC,2022,20,150,long_only,3,1.0,0.0,0.0,0.0,0,0.0,0,0
BTC,2023,20,150,long_only,3,1.0,165.06,48.4,3.41,2,100.0,2,0
BTC,2024,20,150,long_only,3,1.0,84.15,26.66,3.16,3,33.3,3,0
BTC,2025,20,150,long_only,3,1.0,53.83,30.46,1.77,1,100.0,1,0
ETH,2022,20,150,long_only,3,0.5,-39.21,49.58,-0.79,1,0.0,1,0
ETH,2023,20,150,long_only,3,0.5,67.22,29.24,2.3,2,100.0,2,0
ETH,2024,20,150,long_only,3,0.5,11.72,24.42,0.48,1,100.0,1,0
ETH,2025,20,150,long_only,3,0.5,60.48,38.83,1.56,1,100.0,1,0
XRP,2022,100,200,long_only,2,1.0,-33.04,36.26,-0.91,1,0.0,1,0
XRP,2023,100,200,long_only,2,1.0,38.28,61.74,0.62,2,50.0,2,0
XRP,2024,100,200,long_only,2,1.0,507.65,40.24,12.62,1,100.0,1,0
XRP,2025,100,200,long_only,2,1.0,-53.61,70.81,-0.76,1,0.0,1,0
